,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-09-30,MITK,2019-12-06 00:00:00,2019-12-06 16:57:37,FY,-724000.0,8412000.0,-3775000.0,9637000.0,362000.0,1564000.0,0.0,28000.0,1125000.0,338000.0,14250000,0.0,0.0,-24410000,14966000,0.0,0.0,-296000.0,5581000.0,0.0,0.0,-1030000.0,0.0,0.0,0.0,16748000,9028000.0,14250000,-1063000.0,13187000,https://www.sec.gov/Archives/edgar/data/807863/000080786319000080/0000807863-19-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786319000080/mitk-20190930.htm
0,2018-09-30,MITK,2018-12-14 00:00:00,2018-12-13 19:39:11,FY,-11807000,4638000.0,3636000.0,8950000.0,-1882000.0,-5673000.0,0.0,309000.0,1670000.0,2091000.0,5626000.0,0.0,0.0,-15391000,41018000,0.0,0.0,-270000.0,1125000.0,0.0,0.0,-1284000.0,0.0,0.0,0.0,9028000.0,12289000,5626000.0,-4307000.0,1319000.0,https://www.sec.gov/Archives/edgar/data/807863/000080786318000115/0000807863-18-000115-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786318000115/mitk-20180930.htm
0,2017-09-30,MITK,2017-11-30 00:00:00,2017-11-30 16:15:52,FY,14092000,913000.0,-11065000,5478000.0,-582000.0,-2101000.0,0.0,593000.0,-269000.0,1579000.0,10445000,0.0,0.0,-39939000,32650000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12289000,9010000.0,10445000,-488000.0,9957000.0,https://www.sec.gov/Archives/edgar/data/807863/000080786317000080/0000807863-17-000080-index.html,https://www.sec.gov/Archives/edgar/data/807863/000080786317000080/mitk-20170930x10k.htm
0,2016-09-30,MITK,2016-12-09 00:00:00,2016-12-09 16:48:13,FY,1959000.0,1388000.0,-127000.0,4079000.0,-1097000.0,-1002000.0,0.0,-222000.0,-67000.0,1652000.0,7854000.0,0.0,0.0,-33658000,30623000,0.0,0.0,-22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9010000.0,2753000.0,7854000.0,-250000.0,7604000.0,https://www.sec.gov/Archives/edgar/data/807863/000156459016030084/0001564590-16-030084-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459016030084/mitk-10k_20160930.htm
0,2015-09-30,MITK,2015-12-07 00:00:00,2015-12-04 18:29:57,FY,2526139.0,605725.0,-647392.0,3367486.0,-574173.0,-566069.0,0.0,-448833.0,478485.0,827523.0,6105308.0,0.0,0.0,-27254351,21406088,0.0,0.0,-21101.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2752638.0,7766590.0,6105308.0,-73126.0,6032182.0,https://www.sec.gov/Archives/edgar/data/807863/000156459015011292/0001564590-15-011292-index.html,https://www.sec.gov/Archives/edgar/data/807863/000156459015011292/mitk-10k_20150930.htm
0,2014-09-30,MITK,2014-12-05 00:00:00,2014-12-05 14:15:28,FY,-5291869.0,470697.0,0.0,3444480.0,-1487747.0,-1454823.0,0.0,-83642.0,291238.0,401319.0,-2468671.0,0.0,0.0,-24642603,11666624,0.0,0.0,-18892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7766590.0,23294456,-2468671.0,-135452.0,-2604123.0,https://www.sec.gov/Archives/edgar/data/807863/000119312514434645/0001193125-14-434645-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312514434645/d803965d10k.htm
0,2013-09-30,MITK,2013-12-12 00:00:00,2013-12-12 15:45:31,FY,-7275706.0,323383.0,0.0,2791862.0,3370108.0,-391543.0,0.0,1163959.0,1214572.0,182162.0,-615061.0,0.0,0.0,-4058975.0,6090734.0,0.0,0.0,-16914.0,16004797,0.0,0.0,0.0,0.0,0.0,0.0,23294456,6702090.0,-615061.0,-1497492.0,-2112553.0,https://www.sec.gov/Archives/edgar/data/807863/000119312513471705/0001193125-13-471705-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312513471705/d590793d10k.htm
0,2012-09-30,MITK,2012-12-07 00:00:00,2012-12-07 15:41:21,FY,-7839996.0,231981.0,0.0,2599858.0,2971566.0,1862555.0,0.0,353043.0,-2887.0,0.0,-1778764.0,0.0,0.0,-12187523,14635005,0.0,0.0,-14916.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6702090.0,5655716.0,-1778764.0,-339715.0,-2118479.0,https://www.sec.gov/Archives/edgar/data/807863/000119312512495286/0001193125-12-495286-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312512495286/d411670d10k.htm
0,2011-09-30,MITK,2011-12-15 00:00:00,2011-12-15 17:10:07,FY,-125057.0,179291.0,0.0,1271238.0,-1462713.0,-1750036.0,-166236.0,130393.0,25203.0,384124.0,316168.0,0.0,0.0,-10614723,0.0,0.0,0.0,0.0,14595366,0.0,0.0,0.0,0.0,0.0,0.0,5655716.0,1305049.0,316168.0,-204358.0,111810.0,https://www.sec.gov/Archives/edgar/data/807863/000119312511342502/0001193125-11-342502-index.html,https://www.sec.gov/Archives/edgar/data/807863/000119312511342502/d256703d10k.htm
0,2010-09-30,MITK,2010-11-16 00:00:00,2010-11-16 16:59:09,FY,-682353.0,172598.0,0.0,406269.0,-1015582.0,-842517.0,7738.0,-127791.0,-119197.0,276622.0,-806064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345000.0,0.0,0.0,0.0,0.0,0.0,0.0,1305049.0,674115.0,-806064.0,-9367.0,-815431.0,https://www.sec.gov/Archives/edgar/data/807863/000114420410061498/0001144204-10-061498-index.html,https://www.sec.gov/Archives/edgar/data/807863/000114420410061498/v202880_10k.htm
