,date,symbol,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink
0,2019-12-31,NI,2020-02-28 00:00:00,2020-02-27 19:41:31,FY,383100000,717400000,118200000,25900000,-75100000,187800000,-2000000.0,-299900000,-65700000,-700000.0,1583300000,0.0,0.0,-140400000,132100000,-111700000,0.0,-855600000,244400000,0.0,-354600000,-17800000,0.0,0.0,0.0,148400000,121100000,1583300000,-1802400000,-219100000,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/0001111711-20-000013-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171120000013/ni-20191231x10k.htm
0,2018-12-31,NI,2019-02-20 00:00:00,2019-02-20 11:33:16,FY,-50600000,599600000,-188200000,28600000,110200000,-186200000,41400000,268400000,-15500000,-5000000.0,540100000,0.0,0.0,-90000000,82300000,-100200000,0.0,-1224600000,848200000,-4000000.0,-284900000,-46000000,0.0,0.0,0.0,121100000,38400000,540100000,-1818200000,-1278100000,https://www.sec.gov/Archives/edgar/data/1111711/000111171119000008/0001111711-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171119000008/ni-20181231x10k.htm
0,2017-12-31,NI,2018-02-20 00:00:00,2018-02-20 11:00:43,FY,128600000,570300000,306700000,40100000,-416400000,-52300000,19000000,49000000,-424400000,1300000.0,742200000,0.0,0.0,-168400000,163100000,-107400000,0.0,-2137400000,336700000,-7200000.0,-229100000,-144300000,0.0,0.0,0.0,38400000,36000000,742200000,-1695800000,-953600000,https://www.sec.gov/Archives/edgar/data/1111711/000111171118000008/0001111711-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171118000008/ni-20171231x10k.htm
0,2016-12-31,NI,2017-02-22 00:00:00,2017-02-22 10:06:30,FY,328100000,547100000,182300000,46500000,-292100000,-188000000,38900000,108800000,-196500000,-7800000.0,803300000,0.0,0.0,0.0,0.0,-107700000,0.0,-434600000,23100000,-9400000.0,-205500000,-3700000.0,0.0,0.0,0.0,26400000,15500000,803300000,-1475200000,-671900000,https://www.sec.gov/Archives/edgar/data/1111711/000111171117000011/0001111711-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171117000011/ni-20161231x10k.htm
0,2015-12-31,NI,2016-02-18 00:00:00,2016-02-18 11:29:02,FY,198600000,524400000,135300000,50700000,146900000,262200000,46900000,-190500000,-48900000,-2800000.0,1456800000,0.0,0.0,0.0,0.0,-62500000,0.0,-3028600000,22500000,-20400000,-263400000,-230300000,0.0,0.0,0.0,15500000,24900000,1456800000,-1360700000,96100000,https://www.sec.gov/Archives/edgar/data/1111711/000111171116000049/0001111711-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171116000049/ni-20151231x10kq4.htm
0,2014-12-31,NI,2015-02-18,2015-02-18 10:36:47,FY,530700000,605500000,299100000,72300000,-139500000,-63100000,-119900000,37600000,-141700000,-11700000,1319600000,0.0,0.0,0.0,0.0,-18900000,0.0,-521000000,30300000,-10200000,-321300000,-8700000.0,0.0,0.0,0.0,25400000,26800000,1319600000,-2028500000,-708900000,https://www.sec.gov/Archives/edgar/data/1111711/000111171115000008/ni-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171115000008/ni-20141231x10k.htm
0,2013-12-31,NI,2014-02-18,2014-02-18 10:20:54,FY,490900000,577300000,287400000,50700000,55300000,-94800000,-9200000.0,67800000,-27700000,-9100000.0,1436800000,0.0,0.0,-125400000,0.0,-4800000.0,0.0,-589000000,43700000,-8100000.0,-305900000,-3200000.0,0.0,0.0,0.0,26800000,36300000,1436800000,-1879900000,-443100000,https://www.sec.gov/Archives/edgar/data/1111711/000111171114000016/ni-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1111711/000111171114000016/ni-20131231x10k.htm
0,2012-12-31,NI,2013-02-19 00:00:00,2013-02-19 11:56:41,FY,410600000,561900000,304600000,45000000,-30300000,-51300000,62400000,57300000,125400000,-900000.0,1275500000,0.0,0.0,0.0,0.0,97300000,0.0,-913800000,383500000,-10000000,-273200000,-3400000.0,0.0,0.0,0.0,36300000,11500000,1275500000,-1498800000,-223300000,https://www.sec.gov/Archives/edgar/data/1111711/000111171113000007/0001111711-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000111171113000007/ni-20121231x10k.htm
0,2012-06-30,NI,,2012-07-31 12:01:06,FY,0.0,0.0,0.0,0.0,487500000,0.0,0.0,0.0,-910700000,0.0,0.0,0.0,0.0,0.0,0.0,52800000,52800000,0.0,0.0,-52800000,0.0,52800000,0.0,0.0,52800000,52800000,0.0,0.0,0.0,0.0,,
0,2011-12-31,NI,2012-02-24 00:00:00,2012-02-24 14:26:10,FY,299100000,538200000,178400000,39200000,-262200000,219600000,-141800000,-154800000,-301600000,38200000,870200000,0.0,0.0,-6400000.0,0.0,-17700000,0.0,-286900000,24400000,-3100000.0,-257800000,-62100000,0.0,0.0,0.0,11500000,9200000.0,870200000,-1125200000,-255000000,https://www.sec.gov/Archives/edgar/data/1111711/000119312512077712/0001193125-12-077712-index.html,https://www.sec.gov/Archives/edgar/data/1111711/000119312512077712/d260054d10k.htm
