,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,2086.HK,HKD,2020-12-31,2020-12-31,Q4,54371000.0,326000.0,54697000.0,0.0,19602000.0,0.0,87102000.0,14982000.0,0.0,17449000.0,17449000.0,0.0,1925000.0,0.0,34356000.0,0.0,121458000.0,3650000.0,0.0,0.0,0.0,0.0,14187000.0,0.0,0.0,0.0,0.0,5953000.0,0.0,20140000.0,31956000.0,0.0,-26133000.0,0.0,101318000.0,121458000.0,0.0,9658000.0,-44713000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
1,2020-06-30,2086.HK,HKD,2020-06-30,2020-06-30,Q2,44902000.0,311000.0,45213000.0,0.0,35459000.0,0.0,102875000.0,7189000.0,0.0,0.0,26898000.0,0.0,1755000.0,0.0,35842000.0,0.0,138717000.0,7865000.0,311000.0,0.0,0.0,0.0,18797000.0,0.0,0.0,0.0,0.0,2819000.0,0.0,21616000.0,85145000.0,0.0,0.0,0.0,117101000.0,138717000.0,0.0,1975000.0,-42927000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
2,2019-12-31,2086.HK,HKD,2019-12-31,2019-12-31,Q4,45449000.0,316000.0,45765000.0,0.0,30760000.0,0.0,102999000.0,10400000.0,0.0,30527000.0,30527000.0,0.0,1940000.0,0.0,42867000.0,0.0,145866000.0,8847000.0,316000.0,0.0,0.0,0.0,23887000.0,0.0,0.0,0.0,0.0,3196000.0,0.0,27083000.0,31956000.0,28248000.0,-35047000.0,0.0,118783000.0,145866000.0,0.0,4215000.0,-41234000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
3,2019-06-30,2086.HK,HKD,2019-06-30,2019-06-30,Q2,32088000.0,309000.0,32397000.0,0.0,34001000.0,0.0,96465000.0,11024000.0,0.0,0.0,36800000.0,0.0,1552000.0,0.0,49376000.0,0.0,145841000.0,6830000.0,309000.0,0.0,0.0,0.0,19155000.0,0.0,0.0,0.0,0.0,2111000.0,0.0,21266000.0,31956000.0,0.0,0.0,0.0,124575000.0,145841000.0,0.0,4540000.0,-27548000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
4,2018-12-31,2086.HK,HKD,2018-12-31,2018-12-31,Q4,27937000.0,874000.0,28811000.0,0.0,36191000.0,0.0,106599000.0,5472000.0,0.0,43735000.0,43735000.0,0.0,2406000.0,0.0,51613000.0,0.0,158212000.0,12541000.0,874000.0,0.0,0.0,0.0,29045000.0,0.0,0.0,0.0,0.0,1293000.0,0.0,30338000.0,31956000.0,37393000.0,-29226000.0,0.0,127874000.0,158212000.0,0.0,0.0,-27937000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
5,2018-06-30,2086.HK,HKD,2018-06-30,2018-06-30,Q2,24038000.0,878000.0,24916000.0,0.0,37701000.0,0.0,109900000.0,4375000.0,0.0,48079000.0,48079000.0,0.0,3136000.0,0.0,55590000.0,0.0,165490000.0,7419000.0,878000.0,0.0,0.0,0.0,18701000.0,0.0,0.0,292000.0,1472000.0,1764000.0,0.0,20465000.0,31956000.0,51356000.0,0.0,0.0,145025000.0,165490000.0,0.0,0.0,-24038000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
6,2017-12-31,2086.HK,HKD,2017-12-31,2017-12-31,Q4,29632000.0,858000.0,30490000.0,0.0,37974000.0,3548000.0,126764000.0,5270000.0,0.0,47000000.0,47000000.0,0.0,2709000.0,0.0,54979000.0,0.0,181743000.0,10856000.0,858000.0,0.0,0.0,0.0,26159000.0,0.0,0.0,510000.0,0.0,1883000.0,0.0,28042000.0,31956000.0,61962000.0,-26644000.0,0.0,153701000.0,181743000.0,0.0,0.0,-29632000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
7,2017-06-30,2086.HK,HKD,2017-06-30,2017-06-30,Q2,33660000.0,882000.0,34542000.0,0.0,39649000.0,0.0,128245000.0,4858000.0,1172000.0,45811000.0,46983000.0,269000.0,1405000.0,0.0,53863000.0,0.0,182108000.0,16095000.0,882000.0,0.0,0.0,0.0,32150000.0,0.0,0.0,392000.0,0.0,1370000.0,0.0,33520000.0,31956000.0,57828000.0,0.0,0.0,148588000.0,182108000.0,1151000.0,5111000.0,-28549000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
8,2016-12-31,2086.HK,HKD,2016-12-31,2016-12-31,Q4,40551000.0,861000.0,41412000.0,0.0,29998000.0,1644000.0,128647000.0,5371000.0,1172000.0,45263000.0,46435000.0,209000.0,755000.0,0.0,53147000.0,0.0,181794000.0,12083000.0,861000.0,0.0,0.0,0.0,33749000.0,0.0,0.0,152000.0,0.0,1016000.0,0.0,34765000.0,31956000.0,56967000.0,-25779000.0,0.0,147029000.0,181794000.0,1070000.0,14222000.0,-26329000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
9,2016-06-30,2086.HK,HKD,2016-06-30,2016-06-30,Q2,29225000.0,912000.0,30137000.0,0.0,43036000.0,0.0,119787000.0,5283000.0,1972000.0,47865000.0,49837000.0,1255000.0,3154000.0,0.0,59906000.0,0.0,179693000.0,12407000.0,912000.0,0.0,0.0,0.0,69995000.0,0.0,0.0,1011000.0,0.0,1923000.0,0.0,71918000.0,28406000.0,55888000.0,0.0,0.0,107775000.0,179693000.0,2167000.0,42255000.0,13030000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
10,2015-06-30,2086.HK,HKD,2015-06-30,2015-06-30,Q2,36017000.0,70000.0,36087000.0,0.0,45513000.0,0.0,135647000.0,7232000.0,1972000.0,45546000.0,47518000.0,1896000.0,943000.0,0.0,57966000.0,0.0,193613000.0,19692000.0,70000.0,0.0,0.0,0.0,70888000.0,0.0,0.0,1438000.0,0.0,2192000.0,0.0,73080000.0,28406000.0,68756000.0,0.0,0.0,120533000.0,193613000.0,1966000.0,41023000.0,5006000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
11,2014-12-31,2086.HK,HKD,2014-12-31,2014-12-31,Q4,35671000.0,69000.0,35740000.0,0.0,40118000.0,1510000.0,130973000.0,7763000.0,1972000.0,42875000.0,44847000.0,2512000.0,915000.0,0.0,56414000.0,0.0,187387000.0,14981000.0,69000.0,0.0,0.0,0.0,67913000.0,0.0,0.0,1650000.0,0.0,2387000.0,0.0,70300000.0,28406000.0,65083000.0,-25471000.0,0.0,117087000.0,187387000.0,2581000.0,35336000.0,-335000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
12,2014-06-30,2086.HK,HKD,2014-06-30,2014-06-30,Q2,30118000.0,71000.0,30189000.0,0.0,51080000.0,0.0,134512000.0,7503000.0,1946000.0,38715000.0,40661000.0,0.0,445000.0,0.0,48981000.0,0.0,183493000.0,18829000.0,71000.0,0.0,0.0,0.0,76166000.0,0.0,0.0,1681000.0,0.0,1990000.0,0.0,78156000.0,28406000.0,53187000.0,0.0,0.0,105337000.0,183493000.0,0.0,29360000.0,-758000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
13,2013-12-31,2086.HK,HKD,2013-12-31,2013-12-31,Q4,48614000.0,71000.0,48685000.0,0.0,44094000.0,0.0,124563000.0,7238000.0,0.0,32260000.0,32260000.0,0.0,593000.0,32260000.0,40091000.0,0.0,164654000.0,11841000.0,71000.0,0.0,0.0,0.0,63935000.0,0.0,0.0,511000.0,0.0,772000.0,0.0,64707000.0,28406000.0,47384000.0,-22689000.0,0.0,99947000.0,164654000.0,0.0,36341000.0,-12273000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
14,2013-06-30,2086.HK,HKD,2013-06-30,2013-06-30,Q2,41633000.0,37000.0,41670000.0,0.0,41724000.0,0.0,109471000.0,8744000.0,0.0,32036000.0,32036000.0,0.0,0.0,32036000.0,40780000.0,0.0,150251000.0,13373000.0,37000.0,0.0,0.0,4586000.0,64044000.0,0.0,0.0,729000.0,0.0,1021000.0,0.0,65065000.0,28406000.0,32992000.0,-20674000.0,0.0,85186000.0,150251000.0,0.0,20479000.0,-21154000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
15,2012-12-31,2086.HK,HKD,2012-12-31,2012-12-31,Q4,34223000.0,38000.0,34261000.0,0.0,34766000.0,0.0,88975000.0,9578000.0,0.0,29311000.0,29311000.0,0.0,0.0,0.0,38889000.0,0.0,127864000.0,9730000.0,38000.0,0.0,0.0,12548000.0,46758000.0,0.0,0.0,729000.0,0.0,1032000.0,0.0,47790000.0,28406000.0,28331000.0,-18074000.0,0.0,80074000.0,127864000.0,0.0,14218000.0,-20005000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
16,2012-06-30,2086.HK,HKD,2012-06-30,2012-06-30,Q2,15697000.0,36000.0,15733000.0,0.0,39714000.0,0.0,76050000.0,9686000.0,0.0,25461000.0,25461000.0,0.0,0.0,0.0,35147000.0,0.0,111197000.0,26792000.0,36000.0,0.0,0.0,0.0,40188000.0,0.0,0.0,900000.0,0.0,900000.0,0.0,41088000.0,28316000.0,18890000.0,-15751000.0,0.0,70109000.0,111197000.0,0.0,11163000.0,-4534000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
17,2011-12-31,2086.HK,HKD,2011-12-31,2011-12-31,Q4,22267000.0,36000.0,22303000.0,0.0,36845000.0,0.0,76158000.0,9719000.0,0.0,22141000.0,22141000.0,0.0,0.0,0.0,31860000.0,0.0,108018000.0,35158000.0,36000.0,0.0,0.0,0.0,44153000.0,0.0,0.0,900000.0,0.0,900000.0,0.0,45053000.0,28316000.0,0.0,-13681000.0,0.0,62965000.0,108018000.0,0.0,8285000.0,-13982000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
18,2011-06-30,2086.HK,HKD,2011-06-30,2011-06-30,Q2,15466000.0,36000.0,15502000.0,0.0,35550000.0,2000000.0,67304000.0,7202000.0,0.0,18037000.0,18037000.0,0.0,0.0,-1000000.0,25239000.0,0.0,92543000.0,20753000.0,36000.0,0.0,0.0,0.0,34011000.0,0.0,0.0,641000.0,0.0,641000.0,0.0,34652000.0,28316000.0,6893000.0,-11662000.0,0.0,57891000.0,92543000.0,0.0,13194000.0,-2272000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
19,2010-12-31,2086.HK,HKD,2010-12-31,2010-12-31,Q4,15323000.0,36000.0,15359000.0,0.0,26708000.0,786000.0,59657000.0,6918000.0,0.0,15166000.0,15166000.0,0.0,0.0,-393000.0,22084000.0,0.0,81741000.0,13609000.0,36000.0,0.0,0.0,0.0,23660000.0,0.0,0.0,641000.0,0.0,641000.0,0.0,24301000.0,28316000.0,0.0,0.0,0.0,57440000.0,81741000.0,0.0,10051000.0,-5272000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
20,2010-06-30,2086.HK,HKD,2010-06-30,2010-06-30,Q2,11242000.0,34000.0,11276000.0,0.0,25442000.0,0.0,48931000.0,6537000.0,0.0,12227000.0,12227000.0,0.0,0.0,0.0,18764000.0,0.0,67695000.0,11860000.0,34000.0,0.0,0.0,0.0,12497000.0,0.0,0.0,564000.0,0.0,564000.0,0.0,13061000.0,28260000.0,0.0,-8789000.0,0.0,54634000.0,67695000.0,0.0,0.0,-11242000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
21,2009-12-31,2086.HK,HKD,2009-12-31,2009-12-31,Q4,23810000.0,20000.0,23830000.0,0.0,17882000.0,718000.0,61193000.0,5620000.0,0.0,9945000.0,9945000.0,0.0,0.0,0.0,15565000.0,0.0,76758000.0,13123000.0,20000.0,0.0,0.0,2213000.0,20289000.0,0.0,0.0,564000.0,0.0,564000.0,0.0,20853000.0,28260000.0,0.0,-7609000.0,0.0,55905000.0,76758000.0,0.0,0.0,-23810000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
22,2009-09-30,2086.HK,HKD,2009-09-30,2009-09-30,Q3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000.0,30000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
23,2009-06-30,2086.HK,HKD,2009-06-30,2009-06-30,Q2,15588000.0,21000.0,15609000.0,0.0,14189000.0,0.0,44077000.0,4609000.0,0.0,9311000.0,9311000.0,0.0,0.0,0.0,13920000.0,0.0,57997000.0,0.0,21000.0,0.0,0.0,0.0,10650000.0,0.0,0.0,258000.0,0.0,258000.0,0.0,10908000.0,28180000.0,0.0,-6566000.0,0.0,47089000.0,57997000.0,0.0,0.0,-15588000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585450,14:37:30,20210509
