,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,AKSO.OL,NOK,2020-12-31,2020-12-31,Q4,3171000000,0.0,3171000000,0.0,255000000,-1000000.0,12843000000,5868000000,4838000000.0,987000000.0,5825000000,318000000.0,464000000,9000000.0,13984000000,0.0,26827000000,2125000000,202000000.0,0.0,0.0,600000000.0,10628000000,2513000000,0.0,223000000,5000000.0,8291000000,0.0,18919000000,532000000.0,2386000000.0,-8942000000.0,0.0,7870000000,26789000000,0.0,2715000000,-456000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
1,2020-06-30,AKSO.OL,NOK,2020-06-30,2020-06-30,Q2,2460000000,0.0,2460000000,0.0,270000000,0.0,13188000000,6399000000,4269000000.0,1154000000.0,5423000000,0.0,1121000000,371000000.0,14161000000,0.0,27349000000,3087000000,0.0,0.0,0.0,1000000.0,10458000000,4580000000,0.0,242000000,4000000.0,10281000000,0.0,20739000000,294000000.0,4828000000.0,0.0,0.0,6532000000,27271000000,0.0,10229000000,7769000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
2,2019-12-31,AKSO.OL,NOK,2019-12-31,2019-12-31,Q4,1898000000,0.0,1898000000,0.0,369000000,0.0,12265000000,6692000000,4324000000.0,1386000000.0,5710000000,0.0,871000000,269000000.0,14298000000,0.0,26563000000,2000000000,0.0,0.0,0.0,862000000.0,10209000000,3280000000,0.0,269000000,22000000.0,9123000000,0.0,19332000000,294000000.0,5666000000.0,-6490000000.0,0.0,7134000000,26466000000,0.0,8957000000,7059000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
3,2019-06-30,AKSO.OL,NOK,2019-06-30,2019-06-30,Q2,2228000000,0.0,2228000000,0.0,353000000,0.0,13009000000,6764000000,1268000000.0,4310000000.0,5578000000,0.0,751000000,169000000.0,14083000000,0.0,27092000000,8451000000,0.0,0.0,0.0,1000000.0,11396000000,2714000000,0.0,211000000,13000000.0,8529000000,0.0,19925000000,0.0,0.0,0.0,0.0,7044000000,26969000000,0.0,9164000000,6936000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
4,2018-12-31,AKSO.OL,NOK,2018-12-31,2018-12-31,Q4,2473000000,0.0,2473000000,0.0,326000000,0.0,11408000000,3044000000,4258000000.0,1427000000.0,5685000000,0.0,663000000,85000000.0,9556000000,0.0,20964000000,1605000000,0.0,0.0,0.0,793000000.0,10721000000,1788000000,0.0,266000000,10000000.0,2636000000,0.0,13357000000,294000000.0,6047000000.0,-4703000000.0,0.0,7501000000,20858000000,0.0,2913000000,440000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
5,2018-06-30,AKSO.OL,NOK,2018-06-30,2018-06-30,Q2,2440000000,0.0,2440000000,0.0,308000000,0.0,11001000000,2977000000,0.0,0.0,5646000000,0.0,644000000,87000000.0,9451000000,0.0,20452000000,5715000000,0.0,0.0,0.0,1261000000.0,10045000000,2703000000,0.0,227000000,83000000.0,3551000000,0.0,13596000000,0.0,0.0,0.0,0.0,6828000000,20424000000,0.0,2821000000,381000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
6,2017-12-31,AKSO.OL,NOK,2017-12-31,2017-12-31,Q4,1978000000,0.0,1978000000,0.0,428000000,-2000000.0,9775000000,3317000000,4280000000.0,1534000000.0,5814000000,0.0,633000000,105000000.0,9960000000,1000000.0,19736000000,2640000000,0.0,0.0,0.0,1174000000.0,9236000000,2576000000,0.0,238000000,83000000.0,3453000000,0.0,12689000000,294000000.0,5572000000.0,-4263000000.0,0.0,6980000000,19669000000,0.0,3115000000,1137000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
7,2017-06-30,AKSO.OL,NOK,2017-06-30,2017-06-30,Q2,1211000000,142000000.0,1353000000,0.0,473000000,7310000000.0,9188000000,3564000000,1478000000.0,4398000000.0,5876000000,0.0,649000000,104000000.0,10255000000,0.0,19443000000,2640000000,142000000.0,0.0,0.0,1824000000.0,10073000000,1729000000,0.0,280000000,70000000.0,2609000000,0.0,12682000000,0.0,0.0,0.0,0.0,6651000000,19333000000,0.0,1871000000,660000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
8,2016-12-31,AKSO.OL,NOK,2016-12-31,2016-12-31,Q4,2480000000,93000000.0,2573000000,0.0,575000000,2000000.0,11226000000,3807000000,3982000000.0,1665000000.0,5647000000,0.0,666000000,92000000.0,10286000000,0.0,21512000000,1062000000,93000000.0,0.0,0.0,1378000000.0,12297000000,1844000000,0.0,331000000,84000000.0,2799000000,0.0,15096000000,294000000.0,5350000000.0,-3649000000.0,0.0,6278000000,21374000000,0.0,1937000000,-543000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
9,2016-09-30,AKSO.OL,NOK,2016-09-30,2016-09-30,Q3,2299000000,33000000.0,2332000000,0.0,607000000,2000000.0,11464000000,3736000000,1740000000.0,4019000000.0,5759000000,0.0,546000000,94000000.0,10135000000,0.0,21599000000,3612000000,33000000.0,0.0,0.0,1957000000.0,11840000000,2154000000,0.0,392000000,5000000.0,3183000000,0.0,15023000000,0.0,0.0,0.0,0.0,6289000000,21312000000,0.0,2187000000,-112000000,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620586446,14:54:06,20210509
