,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,AROW,USD,2021-05-06,2021-05-06 11:55:34,Q1,452207000,464089000.0,916296000.0,0.0,0.0,0.0,45602000.0,43057000.0,21873000.0,2049000.0,23922000.0,0.0,0.0,0.0,23922000.0,3834187000,3903711000,0.0,0.0,0.0,0.0,0.0,12458000.0,65000000.0,0.0,0.0,0.0,65000000.0,3483840000.0,3561298000,20194000.0,51263000.0,-3096000.0,0.0,342413000,3903711000,0.0,70205000.0,-382002000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753821000125/0000717538-21-000125-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753821000125/arow-20210331.htm,1620588734,15:32:14,20210509
1,2020-12-31,AROW,USD,2021-03-10,2021-03-10 13:51:58,Q4,380991000,365287000.0,746278000.0,0.0,0.0,0.0,1000.0,42612000.0,21873000.0,1950000.0,23823000.0,0.0,0.0,0.0,0.0,3688635000,3688636000,0.0,57929000.0,0.0,0.0,0.0,57929000.0,65000000.0,0.0,0.0,0.0,69631000.0,3226684000.0,3354244000,20194000.0,41899000.0,0.0,3481761000.0,334392000,3688636000,0.0,122929000.0,-258062000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753821000076/0000717538-21-000076-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753821000076/arow-20201231.htm,1620588734,15:32:14,20210509
2,2020-09-30,AROW,USD,2020-11-05,2020-11-05 11:31:10,Q3,450666000,374928000.0,825594000.0,0.0,0.0,0.0,54286000.0,42075000.0,21873000.0,1789000.0,23662000.0,607000000.0,0.0,0.0,23662000.0,3699736000,3777684000,0.0,60894000.0,0.0,0.0,0.0,60894000.0,70000000.0,0.0,0.0,0.0,70000000.0,3321130000.0,3452024000,20194000.0,33434000.0,-253000.0,292479000.0,325660000,3777684000,981928000.0,130894000.0,-319772000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753820000201/0000717538-20-000201-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753820000201/arow-20200930.htm,1620588734,15:32:14,20210509
3,2020-06-30,AROW,USD,2020-08-06,2020-08-06 10:59:58,Q2,253270000,378778000.0,632048000.0,0.0,0.0,0.0,38267000.0,41231000.0,21873000.0,1662000.0,23535000.0,619000000.0,0.0,0.0,594517000.0,2914393000,3547177000,0.0,0.0,0.0,0.0,0.0,3209490000.0,70000000.0,0.0,0.0,0.0,20000000.0,0.0,3229490000,19606000.0,42704000.0,0.0,0.0,317687000,3547177000,997778000.0,75239000.0,-178031000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753820000165/0000717538-20-000165-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753820000165/arow-20200630.htm,1620588734,15:32:14,20210509
4,2020-03-31,AROW,USD,2020-05-07,2020-05-07 11:58:57,Q1,138529000,378186000.0,516715000.0,0.0,0.0,0.0,32525000.0,40987000.0,21873000.0,1640000.0,23513000.0,624000000.0,0.0,0.0,23513000.0,3235294000,3291332000,0.0,0.0,0.0,0.0,0.0,2961934000.0,70000000.0,0.0,0.0,0.0,20000000.0,0.0,2981934000,19606000.0,37441000.0,-2000000.0,0.0,309398000,3291332000,1002186000.0,75249000.0,-63280000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753820000102/0000717538-20-000102-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753820000102/arowform10-qmarch2020.htm,1620588734,15:32:14,20210509
5,2019-12-31,AROW,USD,2020-02-28,2020-02-28 16:52:16,Q4,70221000,357334000.0,427555000.0,0.0,0.0,0.0,34963000.0,40629000.0,21873000.0,1661000.0,23534000.0,615000000.0,0.0,0.0,2128170000.0,1021142000,3184275000,0.0,130000000.0,0.0,0.0,0.0,2862547000.0,50000000.0,0.0,0.0,0.0,20000000.0,0.0,2882547000,19606000.0,33218000.0,-6000000.0,0.0,301728000,3184275000,972334000.0,180000000.0,109779000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753820000054/0000717538-20-000054-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753820000054/arrow-12312019x10k.htm,1620588734,15:32:14,20210509
6,2019-09-30,AROW,USD,2019-11-05,2019-11-05 13:21:27,Q3,92298000,314182000.0,406480000.0,0.0,0.0,0.0,65882000.0,40228000.0,21873000.0,1713000.0,23586000.0,578000000.0,0.0,0.0,2125766000.0,921174000,3112822000,0.0,48000000.0,0.0,0.0,0.0,2800594000.0,50000000.0,0.0,0.0,0.0,20000000.0,0.0,2820594000,19606000.0,27375000.0,-9000000.0,0.0,292228000,3112822000,892182000.0,98000000.0,5702000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753819000223/0000717538-19-000223-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753819000223/arowform10-qseptember2019.htm,1620588734,15:32:14,20210509
7,2019-06-30,AROW,USD,2019-08-05,2019-08-05 13:26:52,Q2,62695000,285878000.0,348573000.0,0.0,0.0,0.0,34650000.0,38836000.0,21873000.0,1730000.0,23603000.0,558000000.0,0.0,0.0,2092125000.0,878975000,3005750000,0.0,83000000.0,0.0,0.0,0.0,2701101000.0,50000000.0,0.0,0.0,0.0,20000000.0,0.0,2721101000,19035000.0,39397000.0,-10000000.0,0.0,284649000,3005750000,843878000.0,133000000.0,70305000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753819000178/0000717538-19-000178-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753819000178/arowform10-qjune2019.htm,1620588734,15:32:14,20210509
8,2019-03-31,AROW,USD,2019-05-09,2019-05-09 11:53:31,Q1,61229000,298812000.0,360041000.0,0.0,0.0,0.0,36198000.0,34949000.0,21873000.0,1777000.0,23650000.0,588000000.0,0.0,0.0,2058739000.0,889946000,2984883000,0.0,74500000.0,0.0,0.0,0.0,2688274000.0,55000000.0,0.0,0.0,0.0,20000000.0,0.0,2708274000,19035000.0,34231000.0,-12000000.0,0.0,276609000,2984883000,886812000.0,129500000.0,68271000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753819000126/0000717538-19-000126-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753819000126/arowform10-qmarch2019.htm,1620588734,15:32:14,20210509
9,2018-12-31,AROW,USD,2019-03-08,2019-03-08 16:31:57,Q4,84239000,317535000.0,401774000.0,0.0,0.0,0.0,36360000.0,30446000.0,21873000.0,1852000.0,23725000.0,618000000.0,0.0,0.0,2000108000.0,951866000,2988334000,0.0,234000000.0,0.0,0.0,0.0,2698750000.0,65000000.0,0.0,0.0,0.0,20000000.0,0.0,2718750000,19035000.0,29257000.0,-14000000.0,0.0,269584000,2988334000,935535000.0,299000000.0,214761000.0,https://www.sec.gov/Archives/edgar/data/717538/000071753819000078/0000717538-19-000078-index.htm,https://www.sec.gov/Archives/edgar/data/717538/000071753819000078/arrow-12312018x10k.htm,1620588734,15:32:14,20210509
