,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,BCOW,USD,2021-03-31,2021-03-31 12:58:27,Q4,92526000.0,0.0,92526000,0.0,0.0,0.0,92526000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424231000.0,516757000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456749000,456749000,49000.0,41530000,1138000.0,17291000.0,60008000,516757000,0.0,0.0,-92526000,https://www.sec.gov/Archives/edgar/data/1751692/000119312521101902/0001193125-21-101902-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312521101902/d160548d10k.htm,1620589220,15:40:20,20210509
1,2020-09-30,BCOW,USD,2020-11-12,2020-11-12 17:17:01,Q3,78042000.0,58428000.0,136470000,997000.0,0.0,0.0,78042000.0,6380000.0,0.0,1615000.0,1615000.0,64000000.0,0.0,0.0,7995000.0,418815000.0,504852000,208000.0,0.0,0.0,0.0,0.0,0.0,68884000.0,0.0,0.0,0.0,0.0,445212000,445212000,49000.0,41106000,1000000.0,17245000.0,59640000,504852000,122428000.0,127312000.0,49270000,https://www.sec.gov/Archives/edgar/data/1751692/000119312520291817/0001193125-20-291817-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312520291817/d56976d10q.htm,1620589220,15:40:20,20210509
2,2020-06-30,BCOW,USD,2020-08-14,2020-08-14 09:11:17,Q2,66677000.0,65477000.0,132154000,909000.0,0.0,0.0,66677000.0,6477000.0,0.0,1587000.0,1587000.0,71000000.0,0.0,0.0,423121000.0,5418000.0,495216000,275000.0,0.0,0.0,0.0,0.0,0.0,69367000.0,0.0,0.0,0.0,69367000.0,365330000,434697000,49000.0,40694000,2000000.0,0.0,60519000,495216000,136477000.0,134844000.0,68167000,https://www.sec.gov/Archives/edgar/data/1751692/000119312520219803/0001193125-20-219803-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312520219803/d45360d10q.htm,1620589220,15:40:20,20210509
3,2020-03-31,BCOW,USD,2020-05-15,2020-05-15 10:02:20,Q1,40460000.0,66905000.0,107365000,970000.0,0.0,0.0,40460000.0,6616000.0,0.0,1936000.0,1936000.0,71000000.0,0.0,0.0,402989000.0,4462000.0,447911000,372000.0,0.0,0.0,0.0,0.0,0.0,55614000.0,0.0,0.0,0.0,55614000.0,333626000,389240000,49000.0,40500000,0.0,0.0,58671000,447911000,137905000.0,122519000.0,82059000,https://www.sec.gov/Archives/edgar/data/1751692/000119312520143530/0001193125-20-143530-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312520143530/d930061d10q.htm,1620589220,15:40:20,20210509
4,2019-12-31,BCOW,USD,2020-03-30,2020-03-30 16:17:52,Q4,11507000.0,71375000.0,82882000,963000.0,0.0,0.0,11707000.0,6681000.0,0.0,2172000.0,2172000.0,75000000.0,0.0,0.0,343964000.0,72338000.0,428009000,385000.0,0.0,0.0,0.0,0.0,0.0,17623000.0,0.0,0.0,0.0,17623000.0,351721000,369344000,49000.0,40213000,-8987000.0,0.0,58665000,428009000,146375000.0,88998000.0,77491000,https://www.sec.gov/Archives/edgar/data/1751692/000156459020014188/0001564590-20-014188-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000156459020014188/bcow-10k_20191231.htm,1620589220,15:40:20,20210509
5,2019-09-30,BCOW,USD,2019-11-14,2019-11-14 10:02:46,Q3,10279000.0,68135000.0,78414000,1034000.0,0.0,0.0,10279000.0,7528000.0,0.0,2201000.0,2201000.0,69000000.0,0.0,0.0,361662000.0,69246000.0,441187000,419000.0,0.0,0.0,0.0,0.0,0.0,7633000.0,0.0,0.0,0.0,7633000.0,375089000,382722000,49000.0,39720000,0.0,0.0,58465000,441187000,137135000.0,75768000.0,65489000,https://www.sec.gov/Archives/edgar/data/1751692/000119312519291925/0001193125-19-291925-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312519291925/d799826d10q.htm,1620589220,15:40:20,20210509
6,2019-06-30,BCOW,USD,2019-08-14,2019-08-14 10:02:50,Q2,32044000.0,68465000.0,100509000,1120000.0,0.0,0.0,32044000.0,7578000.0,0.0,2263000.0,2263000.0,69000000.0,0.0,0.0,377564000.0,73701000.0,483309000,575000.0,0.0,0.0,0.0,0.0,0.0,12642000.0,0.0,0.0,0.0,12642000.0,413152000,425794000,49000.0,39284000,0.0,0.0,57515000,483309000,137465000.0,81107000.0,49063000,https://www.sec.gov/Archives/edgar/data/1751692/000119312519220708/0001193125-19-220708-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312519220708/d774047d10q.htm,1620589220,15:40:20,20210509
7,2019-03-31,BCOW,USD,2019-05-10,2019-04-01 13:46:31,Q1,32540000.0,64695000.0,97235000,1170000.0,0.0,0.0,32540000.0,7692000.0,0.0,2117000.0,2117000.0,66000000.0,0.0,0.0,396403000.0,68008000.0,496951000,503000.0,0.0,0.0,0.0,0.0,0.0,24651000.0,0.0,0.0,0.0,24651000.0,415609000,440260000,49000.0,39293000,-1000000.0,0.0,56691000,496951000,130695000.0,89346000.0,56806000,https://www.sec.gov/Archives/edgar/data/1751692/000119312519143946/0001193125-19-143946-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312519143946/d743630d10q.htm,1620589220,15:40:20,20210509
8,2018-12-31,BCOW,USD,2019-04-01,2019-04-01 13:46:31,Q4,7782000.0,65731000.0,73513000,1106000.0,0.0,0.0,7782000.0,8163000.0,0.0,2103000.0,2103000.0,67000000.0,0.0,0.0,406339000.0,66978000.0,481099000,372000.0,0.0,0.0,0.0,0.0,0.0,30010000.0,0.0,0.0,0.0,30010000.0,412908000,442918000,0.0,39764000,-2000000.0,0.0,38181000,481099000,132731000.0,95741000.0,87959000,https://www.sec.gov/Archives/edgar/data/1751692/000119312519094174/0001193125-19-094174-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312519094174/d694512d10k.htm,1620589220,15:40:20,20210509
9,2018-09-30,BCOW,USD,2018-12-21,2018-12-21 16:04:07,Q3,8784000.0,66875000.0,75659000,1223000.0,0.0,0.0,8784000.0,7851000.0,0.0,2137000.0,2137000.0,68000000.0,0.0,0.0,405790000.0,68270000.0,482844000,343000.0,0.0,0.0,0.0,0.0,0.0,36668000.0,0.0,0.0,0.0,36668000.0,408427000,445095000,0.0,39705000,-2000000.0,0.0,37749000,482844000,134875000.0,103543000.0,94759000,https://www.sec.gov/Archives/edgar/data/1751692/000119312518356311/0001193125-18-356311-index.htm,https://www.sec.gov/Archives/edgar/data/1751692/000119312518356311/d667775d10q.htm,1620589220,15:40:20,20210509
