,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,BIOL,USD,2021-03-31,2021-03-31 17:07:05,Q4,17564000.0,0.0,17564000.0,3059000.0,11157000.0,0.0,35110000.0,2758000.0,2926000.0,0.0,2926000.0,0.0,0.0,231000.0,5915000.0,0.0,41025000.0,2651000.0,0.0,0.0,1905000.0,0.0,11223000.0,16186000.0,374000.0,0.0,1056000.0,19774000.0,0.0,30997000.0,98000.0,-251376000.0,-385000.0,0.0,10028000.0,41025000.0,0.0,17960000.0,396000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459021017121/0001564590-21-017121-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459021017121/biol-10k_20201231.htm,1620589392,15:43:12,20210509
1,2020-09-30,BIOL,USD,2020-11-13,2020-11-13 17:26:37,Q3,18847000.0,0.0,18847000.0,3393000.0,12592000.0,1215000.0,36047000.0,2803000.0,2926000.0,0.0,2926000.0,0.0,0.0,220000.0,5949000.0,2281000.0,41996000.0,2592000.0,12946000.0,0.0,1616000.0,15366000.0,21433000.0,3140000.0,412000.0,0.0,1097000.0,6712000.0,0.0,28145000.0,93000.0,-245234000.0,-1000000.0,14292000.0,13851000.0,41996000.0,0.0,16086000.0,-2761000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459020053929/0001564590-20-053929-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020053929/biol-10q_20200930.htm,1620589392,15:43:12,20210509
2,2020-06-30,BIOL,USD,2020-08-14,2020-08-13 18:45:52,Q2,5437000.0,0.0,5437000.0,4119000.0,11932000.0,0.0,22894000.0,1430000.0,2926000.0,0.0,2926000.0,0.0,0.0,506000.0,4862000.0,0.0,27756000.0,2510000.0,13544000.0,0.0,1486000.0,0.0,21089000.0,3140000.0,412000.0,0.0,1612000.0,5358000.0,0.0,26447000.0,50000.0,-245251000.0,-1000000.0,0.0,1309000.0,27756000.0,0.0,16684000.0,11247000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459020040120/0001564590-20-040120-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020040120/biol-10q_20200630.htm,1620589392,15:43:12,20210509
3,2020-03-31,BIOL,USD,2020-05-08,2020-05-08 15:11:52,Q1,1511000.0,0.0,1511000.0,4749000.0,12192000.0,0.0,19969000.0,1152000.0,2926000.0,0.0,2926000.0,0.0,0.0,484000.0,4562000.0,0.0,24531000.0,4056000.0,13562000.0,0.0,1982000.0,0.0,23679000.0,0.0,390000.0,0.0,1107000.0,5708000.0,0.0,29387000.0,32000.0,-240553000.0,-1000000.0,0.0,-4856000.0,24531000.0,0.0,13702000.0,12191000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459020023480/0001564590-20-023480-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020023480/biol-10q_20200331.htm,1620589392,15:43:12,20210509
4,2019-12-31,BIOL,USD,2020-03-30,2020-03-30 06:08:23,Q4,5789000.0,0.0,5789000.0,8760000.0,10995000.0,0.0,27019000.0,1469000.0,2926000.0,0.0,2926000.0,0.0,0.0,433000.0,4828000.0,0.0,31847000.0,5332000.0,13466000.0,0.0,2237000.0,0.0,25779000.0,0.0,358000.0,78000.0,1045000.0,5691000.0,0.0,31470000.0,31000.0,-234547000.0,-1000000.0,0.0,377000.0,31847000.0,0.0,13789000.0,8000000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459020013794/0001564590-20-013794-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459020013794/biol-10k_20191231.htm,1620589392,15:43:12,20210509
5,2019-09-30,BIOL,USD,2019-11-12,2019-11-08 19:14:46,Q3,2091000.0,0.0,2091000.0,8474000.0,11537000.0,0.0,23289000.0,1340000.0,2926000.0,0.0,2926000.0,0.0,0.0,718000.0,4984000.0,0.0,28273000.0,6604000.0,0.0,0.0,2594000.0,0.0,14066000.0,13356000.0,0.0,71000.0,1145000.0,15273000.0,0.0,29339000.0,22000.0,-230960000.0,-1000000.0,0.0,-1066000.0,28273000.0,0.0,13832000.0,11741000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459019042402/0001564590-19-042402-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019042402/biol-10q_20190930.htm,1620589392,15:43:12,20210509
6,2019-06-30,BIOL,USD,2019-08-09,2019-08-09 14:02:01,Q2,3720000.0,0.0,3720000.0,9740000.0,12334000.0,0.0,27058000.0,1585000.0,2926000.0,0.0,2926000.0,0.0,0.0,793000.0,5304000.0,0.0,32362000.0,5878000.0,0.0,0.0,2532000.0,0.0,13290000.0,13328000.0,0.0,72000.0,1145000.0,15280000.0,0.0,28570000.0,22000.0,-225491000.0,-1000000.0,0.0,3792000.0,32362000.0,0.0,13893000.0,10173000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459019031164/0001564590-19-031164-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019031164/biol-10q_20190630.htm,1620589392,15:43:12,20210509
7,2019-03-31,BIOL,USD,2019-05-10,2019-05-10 17:20:35,Q1,2956000.0,0.0,2956000.0,11743000.0,12023000.0,0.0,28849000.0,1733000.0,2926000.0,0.0,2926000.0,0.0,0.0,302000.0,4961000.0,0.0,33810000.0,5894000.0,0.0,0.0,2541000.0,0.0,15120000.0,10906000.0,0.0,72000.0,162000.0,11717000.0,0.0,26837000.0,21000.0,-221592000.0,-1000000.0,0.0,6973000.0,33810000.0,0.0,11624000.0,8668000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459019018602/0001564590-19-018602-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019018602/biol-10q_20190331.htm,1620589392,15:43:12,20210509
8,2018-12-31,BIOL,USD,2019-03-08,2019-03-08 12:33:08,Q4,8044000.0,0.0,8044000.0,11112000.0,12248000.0,0.0,33307000.0,1975000.0,2926000.0,0.0,2926000.0,0.0,0.0,308000.0,5209000.0,0.0,38516000.0,5953000.0,0.0,0.0,2497000.0,0.0,15967000.0,10836000.0,0.0,77000.0,100000.0,11460000.0,0.0,27427000.0,21000.0,-216692000.0,-1000000.0,0.0,11089000.0,38516000.0,0.0,10836000.0,2792000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459019006918/0001564590-19-006918-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459019006918/biol-10k_20181231.htm,1620589392,15:43:12,20210509
9,2018-09-30,BIOL,USD,2018-11-14,2018-11-14 15:59:43,Q3,2238000.0,0.0,2238000.0,11399000.0,13423000.0,0.0,28033000.0,2927000.0,2926000.0,0.0,2926000.0,0.0,0.0,369000.0,6222000.0,0.0,34255000.0,7570000.0,1500000.0,0.0,2316000.0,0.0,17252000.0,50000.0,3000.0,105000.0,134000.0,667000.0,0.0,17919000.0,20000.0,-209773000.0,-1000000.0,0.0,16336000.0,34255000.0,0.0,1550000.0,-688000.0,https://www.sec.gov/Archives/edgar/data/811240/000156459018029550/0001564590-18-029550-index.htm,https://www.sec.gov/Archives/edgar/data/811240/000156459018029550/biol-10q_20180930.htm,1620589392,15:43:12,20210509
