,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-29,BWLA,USD,2020-05-12 00:00:00,2020-05-12 16:16:42,Q3,3154121000.0,134170000.0,3288291000.0,0.0,486706000.0,6066874000.0,9841871000.0,0.0,0.0,0.0,0.0,5646551000.0,0.0,0.0,5646551000.0,14397421000.0,29885843000,385954000.0,0.0,0.0,1298847000.0,1756864000.0,3441665000.0,661313000.0,0.0,0.0,0.0,661313000.0,2348718000.0,6451696000.0,374645000.0,15063942000,0.0,7995560000.0,23434147000,29885843000,5780721000.0,661313000.0,-2492808000.0,https://www.sec.gov/Archives/edgar/data/13573/000143774920010433/0001437749-20-010433-index.htm,https://www.sec.gov/Archives/edgar/data/13573/000143774920010433/bwl-a20200329_10q.htm,1620589792,15:49:52,20210509
1,2019-12-29,BWLA,USD,2020-02-11 00:00:00,2020-02-11 16:02:42,Q2,1807717.0,6641483.0,8449200.0,0.0,503725.0,1171870.0,10124795.0,18126755.0,0.0,0.0,0.0,227102.0,290727.0,1666739.0,20311323.0,0.0,30436118,492729.0,1776511.0,0.0,1551169000.0,1589351.0,3858591.0,1749533.0,0.0,1551169.0,0.0,3300702.0,0.0,7159293.0,374645.0,14906620,0.0,7995560.0,23276825,30436118,6868585.0,3526044.0,1718327.0,https://www.sec.gov/Archives/edgar/data/13573/000143774920002304/0001437749-20-002304-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774920002304/bwl-a20191231_10q.htm,1620589792,15:49:52,20210509
2,2019-09-29,BWLA,USD,2019-11-12 00:00:00,2019-11-12 16:03:53,Q1,1124148.0,6474494.0,7598642.0,0.0,518386.0,783203.0,8900231.0,18109049.0,0.0,0.0,0.0,747102.0,446402.0,1552014.0,20854567.0,0.0,29754798,417398.0,1091804.0,0.0,1492547000.0,1663304.0,3172506.0,1787424.0,0.0,1492547.0,0.0,3279971.0,0.0,6452477.0,374645.0,14932116,0.0,7995560.0,23302321,29754798,7221596.0,2879228.0,1755080.0,https://www.sec.gov/Archives/edgar/data/13573/000143774919022451/0001437749-19-022451-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774919022451/bwl-a20190930_10q.htm,1620589792,15:49:52,20210509
3,2019-06-30,BWLA,USD,2019-09-26 00:00:00,2019-09-26 16:56:43,Q4,269844.0,7029916.0,7299760.0,78222.0,518121.0,1536905.0,9433008.0,18141526.0,0.0,0.0,0.0,747102.0,441402.0,-374087.0,18955943.0,0.0,28388951,820491.0,308794.0,0.0,185392.0,1750601.0,3065278.0,1032823000.0,0.0,1403507.0,0.0,1403507.0,0.0,4468785.0,374645.0,15549961,0.0,7995560.0,23920166,28388951,7777018.0,1033131794.0,1032861950.0,https://www.sec.gov/Archives/edgar/data/13573/000143774919019108/0001437749-19-019108-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774919019108/bwl-a20190630_10k.htm,1620589792,15:49:52,20210509
4,2019-03-31,BWLA,USD,2019-05-14 00:00:00,2019-05-14 16:02:17,Q3,2381770.0,630720.0,3012490.0,0.0,556356.0,7762595.0,11331441.0,18369161.0,0.0,0.0,0.0,717733.0,361323.0,-294008.0,19154209.0,0.0,30485650,552430.0,2351965.0,0.0,1355558000.0,1647467.0,4551862.0,744297000.0,0.0,1355558.0,0.0,1355558.0,0.0,5907420.0,374645.0,16208025,0.0,7995560.0,24578230,30485650,1348453.0,746648965.0,744267195.0,https://www.sec.gov/Archives/edgar/data/13573/000143774919009825/0001437749-19-009825-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774919009825/bwl-a20190331_10q.htm,1620589792,15:49:52,20210509
5,2018-12-30,BWLA,USD,2019-02-13 00:00:00,2019-02-13 16:01:58,Q2,1639081.0,232972.0,1872053.0,0.0,562571.0,6835549.0,9270173.0,18528317.0,0.0,0.0,0.0,717733.0,207898.0,-141583.0,19312365.0,0.0,28582538,465584.0,1665731.0,0.0,1262832000.0,1513233.0,3644548.0,610063000.0,0.0,1262832.0,0.0,1262832.0,0.0,4907380.0,374645.0,15304953,0.0,7995560.0,23675158,28582538,950705.0,611728731.0,610089650.0,https://www.sec.gov/Archives/edgar/data/13573/000143774919002455/0001437749-19-002455-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774919002455/bwl-a20181230_10q.htm,1620589792,15:49:52,20210509
6,2018-09-30,BWLA,USD,2018-11-13 00:00:00,2018-11-13 16:12:45,Q1,1010508.0,233907.0,1244415.0,0.0,560609.0,7360925.0,9165949.0,18474210.0,0.0,0.0,0.0,717733.0,136298.0,-18544193.0,784048.0,18474210.0,28424207,421004.0,969775.0,0.0,1371767000.0,1623335.0,3014114.0,0.0,0.0,1371767.0,0.0,1371767.0,17440.0,4403321.0,374645.0,15650681,0.0,7995560.0,24020886,28424207,951640.0,969775.0,-40733.0,https://www.sec.gov/Archives/edgar/data/13573/000143774918020573/0001437749-18-020573-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774918020573/bwl-a20180930_10q.htm,1620589792,15:49:52,20210509
7,2018-07-01,BWLA,USD,2018-09-27 00:00:00,2018-09-27 16:02:08,Q4,1008433.0,2157875.0,3166308.0,0.0,490456.0,952859.0,4609623.0,18698651.0,0.0,0.0,0.0,4816804.0,192298.0,-18106901.0,5600852.0,18698651.0,28909126,806487.0,305236.0,0.0,1311697000.0,1984591.0,3096314.0,1107226000.0,0.0,1311697.0,0.0,1311697.0,17440.0,4425451.0,374645.0,14010725,2102745.0,7995560.0,24483675,28909126,6974679.0,1107531236.0,1106522803.0,https://www.sec.gov/Archives/edgar/data/13573/000143774918017549/0001437749-18-017549-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774918017549/bwl-a20180701_10k.htm,1620589792,15:49:52,20210509
8,2018-04-01,BWLA,USD,2018-05-15 00:00:00,2018-05-15 16:01:00,Q3,3120867.0,2051498.0,5172365.0,0.0,502198.0,491514.0,6166077.0,18861503.0,0.0,0.0,0.0,5029117.0,0.0,-18022862.0,5867758.0,18861503.0,30895338,596866.0,2266527.0,57997.0,1379565000.0,1635863.0,4557253.0,758498000.0,0.0,1379565.0,0.0,1379565.0,18413.0,5955231.0,374645.0,14336830,2233072.0,7995560.0,24940107,30895338,7080615.0,760764527.0,757643660.0,https://www.sec.gov/Archives/edgar/data/13573/000143774918009984/0001437749-18-009984-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774918009984/bwl-a20180401_10q.htm,1620589792,15:49:52,20210509
9,2017-12-31,BWLA,USD,2018-02-13 00:00:00,2018-02-13 16:02:15,Q2,1293634.0,1972472.0,3266106.0,0.0,554234.0,548951.0,4369291.0,19062939.0,0.0,0.0,0.0,5523003.0,25572.0,-18249870.0,6361644.0,19062939.0,29793874,472306.0,1631122.0,0.0,10597000.0,1539913.0,3643341.0,662548000.0,0.0,1523091.0,0.0,1523091.0,18413.0,5184845.0,374645.0,13611396,2627428.0,7995560.0,24609029,29793874,7495475.0,664179122.0,662885488.0,https://www.sec.gov/Archives/edgar/data/13573/000143774918002364/0001437749-18-002364-index.html,https://www.sec.gov/Archives/edgar/data/13573/000143774918002364/bwl-a20171231_10q.htm,1620589792,15:49:52,20210509
