,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,CLIQ.TO,CAD,2020-12-31,2020-12-31,Q4,60650000.0,0.0,60650000.0,8454000.0,88542000,0.0,199252000,248525000,14599000.0,6328000.0,20927000,0.0,17637000.0,0.0,288064000,0.0,487316000,11339000.0,0.0,0.0,0.0,14611000.0,62417000.0,75883000.0,0.0,0.0,0.0,295184000.0,0.0,357601000.0,397181000.0,-447571000.0,-56559000.0,0.0,129592000,487193000,0.0,310887000.0,250237000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
1,2020-09-30,CLIQ.TO,CAD,2020-09-30,2020-09-30,Q3,12478000.0,0.0,12478000.0,9363000.0,105533000,0.0,145025000,277253000,14599000.0,23817000.0,38416000,0.0,9429000.0,0.0,326265000,0.0,471290000,0.0,0.0,0.0,0.0,1677000.0,39504000.0,75439000.0,0.0,0.0,0.0,334360000.0,0.0,373864000.0,397181000.0,-484118000.0,0.0,0.0,97329000,471193000,0.0,352742000.0,340264000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
2,2020-06-30,CLIQ.TO,CAD,2020-06-30,2020-06-30,Q2,9159000.0,0.0,9159000.0,11699000.0,106678000,0.0,138371000,283656000,14599000.0,28377000.0,42976000,0.0,11124000.0,0.0,339012000,0.0,477383000,0.0,0.0,0.0,0.0,0.0,45440000.0,74997000.0,0.0,0.0,0.0,340431000.0,0.0,385871000.0,397181000.0,-489756000.0,0.0,0.0,91421000,477292000,0.0,358354000.0,349195000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
3,2020-03-31,CLIQ.TO,CAD,2020-03-31,2020-03-31,Q1,2428000.0,0.0,2428000.0,10343000.0,81853000,0.0,157259000,284489000,14599000.0,28388000.0,42987000,0.0,7021000.0,0.0,335738000,0.0,492997000,0.0,0.0,0.0,0.0,37283000.0,78036000.0,82707000.0,0.0,0.0,0.0,348000000.0,0.0,426036000.0,397181000.0,-524825000.0,0.0,0.0,66938000,492974000,0.0,365456000.0,363028000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
4,2019-12-31,CLIQ.TO,CAD,2019-12-31,2019-12-31,Q4,11707000.0,0.0,11707000.0,5315000.0,104819000,0.0,132869000,307361000,14599000.0,38716000.0,53315000,0.0,14559000.0,0.0,376969000,0.0,509838000,26094000.0,0.0,0.0,0.0,760000.0,63252000.0,84969000.0,0.0,0.0,0.0,371869000.0,0.0,435121000.0,384181000.0,-515839000.0,-78443000.0,0.0,74023000,509144000,0.0,390157000.0,378450000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
5,2019-09-30,CLIQ.TO,CAD,2019-09-30,2019-09-30,Q3,11270000.0,0.0,11270000.0,10066000.0,121939000,0.0,160545000,319694000,14599000.0,40794000.0,55393000,0.0,6592000.0,0.0,382909000,0.0,543454000,0.0,0.0,0.0,0.0,5761000.0,55452000.0,108160000.0,0.0,0.0,0.0,398759000.0,0.0,454211000.0,384181000.0,-503178000.0,0.0,0.0,87095000,541306000,0.0,416948000.0,405678000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
6,2019-06-30,CLIQ.TO,CAD,2019-06-30,2019-06-30,Q2,9776000.0,0.0,9776000.0,13083000.0,121828000,0.0,161510000,315393000,14599000.0,40551000.0,55150000,0.0,6999000.0,0.0,379361000,0.0,540871000,0.0,0.0,0.0,0.0,6107000.0,62909000.0,99407000.0,0.0,0.0,0.0,387487000.0,0.0,450396000.0,384181000.0,-499702000.0,0.0,0.0,88723000,539119000,0.0,404852000.0,395076000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
7,2019-03-31,CLIQ.TO,CAD,2019-03-31,2019-03-31,Q1,22115000.0,0.0,22115000.0,9965000.0,100501000,0.0,149835000,271184000,10973000.0,37717000.0,48690000,0.0,9342000.0,193128000.0,330235000,0.0,480070000,32138000.0,0.0,0.0,0.0,6434000.0,54375000.0,73364000.0,0.0,0.0,255681000.0,329045000.0,0.0,383420000.0,384181000.0,-494132000.0,0.0,0.0,94526000,477946000,0.0,344848000.0,322733000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
8,2018-12-31,CLIQ.TO,CAD,2018-12-31,2018-12-31,Q4,64393000.0,0.0,64393000.0,4899000.0,89584000,0.0,171177000,71754000,0.0,38344000.0,38344000,0.0,10092000.0,0.0,121042000,0.0,292219000,50936000.0,0.0,0.0,0.0,1566000.0,53990000.0,73139000.0,0.0,0.0,0.0,76420000.0,0.0,130410000.0,383933000.0,-420571000.0,-69440000.0,0.0,161746000,292156000,0.0,73187000.0,8794000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
9,2018-09-30,CLIQ.TO,CAD,2018-09-30,2018-09-30,Q3,60150000.0,0.0,60150000.0,5138000.0,100299000,0.0,180033000,68903000,145519000.0,37628000.0,183147000,0.0,8645000.0,0.0,260695000,0.0,440728000,47376000.0,0.0,0.0,0.0,3168000.0,54365000.0,72952000.0,0.0,3181000.0,0.0,76133000.0,0.0,130498000.0,0.0,0.0,0.0,0.0,310236000,440734000,0.0,73436000.0,13286000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=ALCANNA INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590368,15:59:28,20210509
