,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,CRLA.PA,EUR,2020-12-31,2020-12-31,Q4,1591134000,0.0,0.0,1309822000.0,0.0,0.0,0.0,78256000,0.0,14000.0,14000.0,0.0,0.0,0.0,0.0,30959199000,30959199000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26830281000,26830281000,301516000,2362927000,-217345000.0,0.0,4122842000,30953123000,0.0,103754000.0,-1487380000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
1,2020-06-30,CRLA.PA,EUR,2020-06-30,2020-06-30,Q2,1733784000,0.0,0.0,1264214000.0,0.0,0.0,30399036000.0,71529000,0.0,213000.0,213000.0,0.0,0.0,0.0,71742000.0,30399036000,30470778000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26500105000,26500105000,1451610000,2261370000,-232853000.0,0.0,3964731000,30464836000,0.0,85337000.0,-1648447000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
2,2019-12-31,CRLA.PA,EUR,2019-12-31,2019-12-31,Q4,797191000,0.0,0.0,1213005000.0,0.0,0.0,0.0,71813000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27731472000,27731472000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23636965000,23636965000,277850000,2249357000,-229876000.0,0.0,4087412000,27724377000,0.0,66950000.0,-730241000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
3,2019-06-30,CRLA.PA,EUR,2019-06-30,2019-06-30,Q2,243835000,0.0,0.0,1240739000.0,0.0,0.0,26639592000.0,71979000,0.0,25000.0,25000.0,0.0,0.0,0.0,72004000.0,26639592000,26711596000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22804441000,22804441000,1430458000,2170854000,-225690000.0,0.0,3900741000,26705182000,0.0,55319000.0,-188516000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
4,2018-12-31,CRLA.PA,EUR,2018-12-31,2018-12-31,Q4,337682000,0.0,0.0,1027337000.0,0.0,0.0,25757879000.0,50863000,0.0,4584000.0,4584000.0,0.0,0.0,0.0,55447000.0,25757879000,25813326000,648179000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22017370000,22017370000,251639000,2081520000,-221351000.0,0.0,3789484000,25806854000,0.0,57712000.0,-279970000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
5,2018-06-30,CRLA.PA,EUR,2018-06-30,2018-06-30,Q2,216445000,0.0,0.0,933080000.0,0.0,0.0,25006108000.0,47046000,0.0,4587000.0,4587000.0,0.0,0.0,0.0,51633000.0,25006108000,25057741000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21308050000,21308050000,244762000,1988979000,-219004000.0,0.0,3749677000,25057727000,0.0,59601000.0,-156844000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
6,2017-12-31,CRLA.PA,EUR,2017-12-31,2017-12-31,Q4,548261000,0.0,0.0,942609000.0,0.0,0.0,24202762000.0,44893000,0.0,4340000.0,4340000.0,0.0,0.0,0.0,49233000.0,24202762000,24251995000,532433000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20907767000,20907767000,236098000,1850124000,-223377000.0,0.0,3344214000,24251981000,0.0,29986000.0,-518275000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
7,2017-06-30,CRLA.PA,EUR,2017-06-30,2017-06-30,Q2,549130000,0.0,0.0,961914000.0,0.0,0.0,23768022000.0,42964000,0.0,4634000.0,4634000.0,0.0,0.0,0.0,47598000.0,23768022000,23815620000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20620602000,20620602000,231572000,1749939000,-220392000.0,0.0,3195004000,23815606000,0.0,32191000.0,-516939000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
8,2016-12-31,CRLA.PA,EUR,2016-12-31,2016-12-31,Q4,189684000,0.0,0.0,1037452000.0,0.0,0.0,23649713000.0,40904000,0.0,4572000.0,4572000.0,0.0,0.0,0.0,45476000.0,23649713000,23695189000,454886000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20594549000,20594549000,230066000,1669847000,-219122000.0,0.0,3100626000,23695175000,0.0,0.0,-189684000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
9,2016-06-30,CRLA.PA,EUR,2016-06-30,2016-06-30,Q2,132144000,0.0,0.0,1059127000.0,0.0,0.0,22782559000.0,43365000,0.0,4629000.0,4629000.0,0.0,0.0,0.0,47994000.0,22782559000,22830553000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19775120000,19775120000,234125000,1619049000,-215694000.0,0.0,3055418000,22830538000,0.0,0.0,-132144000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=C.R.L.A#phrase=C.R.L.A,1620590685,16:04:45,20210509
