,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,DWARKESH.NS,INR,2020-09-30,2020-09-30,Q3,2204000.0,25089000.0,27293000.0,0.0,5710588000,1355164000.0,7610821000,4178987000.0,0.0,0.0,0.0,0.0,522237000.0,21628000.0,4894609000,0.0,12505430000,1276547000.0,25089000.0,0.0,0.0,27517000.0,5334098000,1694887000,0.0,0.0,34808000.0,1941247000,0.0,7275345000,188301000,0.0,0.0,0.0,5230085000,12505430000,0.0,1719976000,1717772000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
1,2020-03-31,DWARKESH.NS,INR,2020-03-31,2020-03-31,Q1,19200000.0,0.0,19200000.0,0.0,9124958000,0.0,10991097000,4322401000.0,0.0,0.0,0.0,0.0,588942000.0,0.0,5102483000,0.0,16093580000,2185383000.0,0.0,0.0,0.0,27000.0,9071669000,1932477000,0.0,0.0,48158000.0,2184834000,0.0,11256503000,188301000,2975046000.0,-4752005000.0,0.0,4837077000,16093580000,0.0,8279661000,8260461000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
2,2019-09-30,DWARKESH.NS,INR,2019-09-30,2019-09-30,Q3,17053000.0,63308000.0,80361000.0,0.0,5495450000,448454000.0,6422359000,4112649000.0,0.0,0.0,0.0,0.0,479827000.0,81933000.0,4844927000,0.0,11267286000,2318457000.0,63308000.0,0.0,0.0,23303000.0,4530232000,1847328000,0.0,0.0,63496000.0,2122949000,0.0,6653181000,188301000,0.0,0.0,0.0,4614105000,11267286000,0.0,1910636000,1893583000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
3,2019-03-31,DWARKESH.NS,INR,2019-03-31,2019-03-31,Q1,5117000.0,0.0,5117000.0,0.0,8240087000,22818000.0,9496484000,3355669000.0,0.0,0.0,0.0,0.0,401482000.0,0.0,4154650000,0.0,13651134000,1884766000.0,0.0,0.0,0.0,0.0,7362960000,1396055000,0.0,0.0,80940000.0,1652175000,0.0,9015135000,188301000,2694520000.0,-4417056000.0,0.0,4635999000,13651134000,0.0,6515924000,6510807000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
4,2018-09-30,DWARKESH.NS,INR,2018-09-30,2018-09-30,Q3,1465125000.0,2356000.0,1467481000.0,0.0,2836015000,62107000.0,4539154000,3263303000.0,0.0,0.0,0.0,0.0,391732000.0,22601000.0,3849580000,0.0,8388734000,2726840000.0,2356000.0,0.0,0.0,88249000.0,3885602000,307086000,0.0,0.0,0.0,461870000,0.0,4347472000,188301000,0.0,0.0,0.0,4041262000,8388734000,0.0,309442000,-1155683000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
5,2018-03-31,DWARKESH.NS,INR,2018-03-31,2018-03-31,Q1,24687000.0,0.0,24687000.0,0.0,5312180000,25749000.0,6087502000,3410117000.0,0.0,0.0,0.0,0.0,333086000.0,0.0,3772915000,0.0,9860417000,2191438000.0,0.0,0.0,0.0,0.0,5526868000,519826000,0.0,0.0,0.0,675387000,0.0,6202255000,188301000,1754456000.0,-4094412000.0,0.0,3658162000,9860417000,0.0,3402554000,3377867000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
6,2017-09-30,DWARKESH.NS,INR,2017-09-30,2017-09-30,Q3,404161000.0,0.0,404161000.0,0.0,707071000,11782000.0,1447326000,3446079000.0,0.0,0.0,0.0,0.0,209584000.0,13899000.0,3693770000,0.0,5141096000,134952000.0,0.0,0.0,0.0,30606000.0,763869000,692163000,0.0,0.0,0.0,855997000,0.0,1619866000,188301000,0.0,0.0,0.0,3521230000,5141096000,0.0,712842000,308681000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
7,2017-03-31,DWARKESH.NS,INR,2017-03-31,2017-03-31,Q1,9647627.0,0.0,9647627.0,0.0,6099419567,84870.0,6698424361,3317554140.0,0.0,955000.0,955000.0,0.0,0.0,3529446.0,3858323477,0.0,10556747838,770009843.0,0.0,0.0,0.0,790986911.0,5841218170,1031966657,0.0,368765762.0,0.0,1549630117,0.0,7390848287,499301470,1103843068.0,-3800123959.0,0.0,3165899551,10556747838,0.0,5032352466,5022704839,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
8,2016-09-30,DWARKESH.NS,INR,2016-09-30,2016-09-30,Q3,5675000.0,0.0,5675000.0,0.0,1555746000,163268000.0,2086375000,3443022000.0,0.0,0.0,0.0,0.0,170715000.0,3066000.0,3714624000,0.0,5800999000,80750000.0,0.0,0.0,0.0,985932000.0,1808655000,1361367000,0.0,0.0,43198000.0,1535324000,0.0,3343979000,499301000,0.0,0.0,0.0,2457020000,5800999000,0.0,2083221000,2077546000,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
9,2016-03-31,DWARKESH.NS,INR,2016-03-31,2016-03-31,Q1,48224577.0,400000.0,48624577.0,0.0,5365616175,64896440.0,6172480810,3566150038.0,0.0,0.0,450000.0,0.0,170715769.0,6259766.0,3839850774,0.0,10012331584,1426319898.0,400000.0,0.0,0.0,658273449.0,6304605016,2370610327,0.0,0.0,43778241.0,2537581686,0.0,8842186702,474146760,-297983743.0,-3509699290.0,0.0,1170144882,10012331584,0.0,2371010327,2322785750,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591344,16:15:44,20210509
