,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2021-02-28,ENRT,USD,2021-04-14,2021-04-14 12:36:08,Q2,416246,43200,459446,1025,0,0,514225,0,0,69000,69000,0,0,0,69000,0,583225,274510,0,0,0,0,434469,0,0,0,0,0,0,434469,494346,-14352649,0,0,148756,583225,0,0,-416246,https://www.sec.gov/Archives/edgar/data/1346022/000106299321003615/0001062993-21-003615-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299321003615/form10q.htm,1620591664,16:21:04,20210509
1,2020-11-30,ENRT,USD,2021-01-13,2021-01-12 19:23:52,Q1,257275,0,257275,2318,0,0,259593,0,0,0,0,0,0,0,0,0,259593,292883,0,0,0,183584,476467,0,0,0,0,0,0,476467,0,0,0,0,-154903,321564,0,0,-257275,https://www.sec.gov/Archives/edgar/data/1346022/000106299321000310/0001062993-21-000310-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299321000310/form10q.htm,1620591664,16:21:04,20210509
2,2020-08-31,ENRT,USD,2020-11-04,2020-11-03 18:31:01,Q4,45528,24354,69882,1508,0,0,86214,0,0,4725,4725,0,0,0,0,0,86214,290336,0,0,0,0,479170,0,0,0,0,0,0,479170,128473,-14280027,0,0,-392956,86214,0,0,-45528,https://www.sec.gov/Archives/edgar/data/1346022/000106299320005369/0001062993-20-005369-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299320005369/form10k.htm,1620591664,16:21:04,20210509
3,2020-05-31,ENRT,USD,2020-07-14,2020-07-14 13:39:29,Q3,92783,0,92783,855,0,0,104577,0,0,0,0,0,0,0,0,0,104577,271769,0,0,0,0,466284,0,0,0,0,0,0,466284,128473,-14248778,0,0,-361707,104577,0,0,-92783,https://www.sec.gov/Archives/edgar/data/1346022/000106299320003293/0001062993-20-003293-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299320003293/form10q.htm,1620591664,16:21:04,20210509
4,2020-02-29,ENRT,USD,2020-04-09 00:00:00,2020-04-09 16:49:41,Q2,132077,0,132077,599,0,0,151464,0,0,0,0,0,0,0,0,0,151464,276984,0,0,0,0,482374,0,0,0,0,0,0,482374,128473,-14217981,0,0,-330910,151464,0,0,-132077,https://www.sec.gov/Archives/edgar/data/1346022/000106299320001738/0001062993-20-001738-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299320001738/form10q.htm,1620591664,16:21:04,20210509
5,2019-11-30,ENRT,USD,2020-01-15 00:00:00,2020-01-14 19:30:52,Q1,7407,0,7407,7437,0,0,26656,0,0,0,0,0,0,0,0,0,26656,287242,15857,0,0,0,520659,0,0,0,0,0,0,520659,128473,-14363766,0,0,-494003,26656,0,15857,8450,https://www.sec.gov/Archives/edgar/data/1346022/000106299320000148/0001062993-20-000148-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299320000148/form10q.htm,1620591664,16:21:04,20210509
6,2019-08-31,ENRT,USD,2019-11-27 00:00:00,2019-11-27 15:10:05,Q4,9758,0,9758,6225,0,0,46245,0,0,0,0,0,0,0,0,0,46245,283430,15479,0,0,0,502130,0,0,0,0,0,0,502130,127473,-14314159,0,0,-455885,46245,0,15479,5721,https://www.sec.gov/Archives/edgar/data/1346022/000106299319004611/0001062993-19-004611-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319004611/form10k.htm,1620591664,16:21:04,20210509
7,2019-05-31,ENRT,USD,2019-07-05,2019-07-05 13:51:28,Q3,14202,0,14202,4827,0,0,63817,0,0,0,0,0,0,0,0,0,63817,277280,0,0,0,0,463744,0,0,0,0,0,0,463744,127473,-14258201,0,0,-399927,63817,0,0,-14202,https://www.sec.gov/Archives/edgar/data/1346022/000106299319002817/0001062993-19-002817-index.htm,https://www.sec.gov/Archives/edgar/data/1346022/000106299319002817/form10q.htm,1620591664,16:21:04,20210509
8,2019-02-28,ENRT,USD,2019-04-09 00:00:00,2019-04-09 14:28:22,Q2,11477,0,11477,2355,0,0,65323,0,0,0,0,0,0,0,0,0,65323,303552,0,0,0,0,495183,0,0,0,0,0,0,495183,121966,-14191073,0,0,-429860,65323,0,0,-11477,https://www.sec.gov/Archives/edgar/data/1346022/000106299319001618/0001062993-19-001618-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319001618/form10q.htm,1620591664,16:21:04,20210509
9,2018-11-30,ENRT,USD,2019-01-14 00:00:00,2019-01-14 15:38:43,Q1,137915,0,137915,9147,0,0,230631,0,0,0,0,0,0,0,0,0,230631,285025,0,0,0,0,456035,0,0,0,0,0,0,456035,121966,-13986617,0,0,-225404,230631,0,0,-137915,https://www.sec.gov/Archives/edgar/data/1346022/000106299319000176/0001062993-19-000176-index.html,https://www.sec.gov/Archives/edgar/data/1346022/000106299319000176/form10q.htm,1620591664,16:21:04,20210509
