,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,GIM,USD,2020-06-30,2020-06-30,Q1,0.0,0.0,0.0,7478491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,868402920,868402920,2643846.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33001406.0,33001406.0,1016016456.0,-180614942.0,0.0,0.0,835401514,868402920,0.0,0.0,0.0,,,1620592560,16:36:00,20210509
1,2019-12-31,GIM,USD,2019-12-31,2019-12-31,Q4,0.0,0.0,0.0,9209721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,929625595,929625595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24247336.0,24247336.0,1016016456.0,-110638197.0,0.0,0.0,905378259,929625595,0.0,0.0,0.0,,,1620592560,16:36:00,20210509
2,2019-06-30,GIM,USD,2019-06-30,2019-06-30,Q3,16382751.0,0.0,0.0,9970312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,959274002,959274002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12693584.0,12693584.0,1016013989.0,-69433571.0,0.0,0.0,946580418,959274002,0.0,0.0,-16382751.0,,,1620592560,16:36:00,20210509
3,2018-12-31,GIM,USD,2018-12-31,2018-12-31,Q2,34655627.0,0.0,0.0,9809863.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,957503985,957503985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12516216.0,12516216.0,1016013989.0,-71026220.0,0.0,0.0,944987769,957503985,0.0,0.0,-34655627.0,,,1620592560,16:36:00,20210509
4,2018-06-30,GIM,USD,2018-06-30,2018-06-30,Q1,8262821.0,0.0,0.0,10973633.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948227299,948227299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5906126.0,5906126.0,1013251661.0,-12994340.0,0.0,0.0,942321173,948227299,0.0,0.0,-8262821.0,,,1620592560,16:36:00,20210509
5,2017-12-31,GIM,USD,2017-12-31,2017-12-31,Q4,0.0,0.0,0.0,81385350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896305970.0,1557840.0,10360000.0,0.0,994124110,994124110,0.0,0.0,0.0,0.0,948300.0,0.0,0.0,0.0,0.0,18278310.0,0.0,21332750.0,21332750.0,0.0,-21732460.0,-18727840.0,0.0,972791360,994124110,896305970.0,0.0,0.0,,,1620592560,16:36:00,20210509
6,2017-06-30,GIM,USD,2017-06-30,2017-06-30,Q3,187040.0,0.0,187040.0,81385350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,896305970.0,1557840.0,10360000.0,0.0,994124110,994124110,0.0,0.0,0.0,0.0,948300.0,0.0,0.0,0.0,0.0,18278310.0,0.0,21332750.0,21332750.0,0.0,-21732460.0,0.0,0.0,972791360,994124110,896305970.0,0.0,-187040.0,,,1620592560,16:36:00,20210509
7,2016-08-31,GIM,USD,2016-08-31,2016-08-31,Q2,2200000.0,0.0,2200000.0,79400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891800000.0,1600000.0,0.0,0.0,982900000,982900000,0.0,0.0,0.0,0.0,500000.0,0.0,0.0,0.0,0.0,29200000.0,0.0,31700000.0,31700000.0,0.0,9700000.0,-81900000.0,0.0,951200000,982900000,891800000.0,0.0,-2200000.0,,,1620592560,16:36:00,20210509
8,2016-02-29,GIM,USD,2016-02-29,2016-02-29,Q1,0.0,0.0,0.0,62700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,882900000.0,600000.0,0.0,0.0,963300000,963300000,0.0,0.0,0.0,0.0,700000.0,0.0,0.0,0.0,0.0,28400000.0,0.0,30100000.0,30100000.0,0.0,-48800000.0,-130300000.0,0.0,933100000,963200000,882900000.0,0.0,0.0,,,1620592560,16:36:00,20210509
9,2015-08-31,GIM,USD,2015-08-31,2015-08-31,Q4,4200000.0,0.0,4200000.0,44000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937000000.0,500000.0,5200000.0,0.0,1031600000,1031600000,0.0,0.0,0.0,0.0,5700000.0,0.0,0.0,0.0,0.0,35500000.0,0.0,42100000.0,42100000.0,0.0,-7400000.0,-115300000.0,0.0,989600000,1031700000,937000000.0,0.0,-4200000.0,,,1620592560,16:36:00,20210509
10,2015-02-28,GIM,USD,2015-02-28,2015-02-28,Q3,0.0,0.0,0.0,19500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,996700000.0,1000000.0,27900000.0,0.0,1134400000,1134400000,0.0,0.0,0.0,0.0,28700000.0,0.0,0.0,0.0,0.0,30200000.0,0.0,60200000.0,60200000.0,0.0,-34100000.0,-6000000.0,0.0,1074100000,1134300000,996700000.0,0.0,0.0,,,1620592560,16:36:00,20210509
11,2014-08-31,GIM,USD,2014-08-31,2014-08-31,Q2,0.0,0.0,0.0,17700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1130600000.0,600000.0,8000000.0,0.0,1188900000,1188900000,0.0,0.0,0.0,0.0,8600000.0,0.0,0.0,0.0,0.0,10100000.0,0.0,19600000.0,19600000.0,0.0,-3900000.0,59000000.0,0.0,1169300000,1188900000,1130600000.0,0.0,0.0,,,1620592560,16:36:00,20210509
