,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2016-03-31,HERO,USD,2016-05-05 00:00:00,2016-05-05 17:15:40,Q1,296715000.0,0.0,296715000.0,56322000,0.0,11482000.0,364519000,465752000.0,0.0,0.0,0.0,0.0,0.0,232536000.0,698288000.0,0.0,1062807000,30514000.0,429908000.0,0.0,0.0,60957000.0,521379000,429908000.0,0.0,0.0,4299000.0,4299000.0,0.0,525678000,200000.0,-50600000.0,0.0,587529000.0,537129000.0,1062807000,0.0,859816000.0,563101000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084916000159/0001330849-16-000159-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084916000159/a2016q110-q.htm,1620593043,16:44:03,20210509
1,2015-12-31,HERO,USD,2016-03-30,2016-03-30 16:58:43,Q4,330780000.0,0.0,330780000.0,63668000,0.0,15755000.0,410203000,465497000.0,0.0,0.0,0.0,0.0,0.0,232440000.0,697937000.0,0.0,1108140000,43616000.0,6148000.0,0.0,0.0,49108000.0,98872000,428715000.0,0.0,0.0,16622000.0,445337000.0,0.0,544209000,200000.0,-23669000.0,0.0,587400000.0,563931000.0,1108140000,0.0,434863000.0,104083000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084916000134/0001330849-16-000134-index.htm,https://www.sec.gov/Archives/edgar/data/1330849/000133084916000134/a1231201510-k.htm,1620593043,16:44:03,20210509
2,2015-09-30,HERO,USD,2015-11-05 00:00:00,2015-11-05 15:31:52,Q3,126375000.0,427828000.0,554203000.0,67842000,0.0,27873000.0,222090000,1526336000.0,0.0,0.0,0.0,0.0,6520000.0,2811000.0,1535667000.0,0.0,1757757000,36377000.0,8320000.0,0.0,1532000.0,56962000.0,103191000,0.0,0.0,6459000.0,15963000.0,22422000.0,1254845000.0,1380458000,1646000.0,-1750393000.0,0.0,2126046000.0,377299000.0,1757757000,427828000.0,8320000.0,-118055000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000096/0001330849-15-000096-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000096/a2015q310-q.htm,1620593043,16:44:03,20210509
3,2015-06-30,HERO,USD,2015-07-23 00:00:00,2015-07-23 17:06:40,Q2,143373000.0,0.0,143373000.0,94176000,0.0,28964000.0,266513000,1555954000.0,0.0,0.0,0.0,0.0,4009000.0,17148000.0,1577111000.0,0.0,1843624000,45283000.0,1211044000.0,0.0,5388000.0,91308000.0,1353023000,1211044000.0,0.0,3947000.0,14752000.0,18699000.0,0.0,1371722000,1646000.0,-1655042000.0,0.0,2125298000.0,471902000.0,1843624000,0.0,2422088000.0,2278715000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000059/0001330849-15-000059-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000059/a2015q210-q.htm,1620593043,16:44:03,20210509
4,2015-03-31,HERO,USD,2015-04-29 00:00:00,2015-04-29 15:31:12,Q1,218172000.0,0.0,218172000.0,108053000,0.0,15589000.0,341814000,1568485000.0,0.0,0.0,0.0,0.0,4461000.0,18695000.0,1591641000.0,0.0,1933455000,46424000.0,12177000.0,0.0,5088000.0,88340000.0,152029000,1210981000.0,0.0,4403000.0,7479000.0,1222863000.0,0.0,1374892000,1644000.0,-1566792000.0,0.0,2123711000.0,558563000.0,1933455000,0.0,1223158000.0,1004986000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000039/0001330849-15-000039-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000039/a2015q110-q.htm,1620593043,16:44:03,20210509
5,2014-12-31,HERO,USD,2015-03-02,2015-03-02 12:17:24,Q4,207937000.0,0.0,207937000.0,166359000,0.0,30001000.0,404297000,1574749000.0,0.0,0.0,0.0,0.0,4461000.0,18900000.0,1598110000.0,0.0,2002407000,52952000.0,13406000.0,0.0,9439000.0,88659000.0,164456000,1210919000.0,0.0,4147000.0,7854000.0,1222920000.0,0.0,1387376000,1635000.0,-1509677000.0,0.0,2123073000.0,615031000.0,2002407000,0.0,1224325000.0,1016388000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000019/0001330849-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1330849/000133084915000019/hero1231201410-k.htm,1620593043,16:44:03,20210509
6,2014-09-30,HERO,USD,2014-10-23 00:00:00,2014-10-23 17:01:09,Q3,192053000.0,0.0,192053000.0,206428000,0.0,47098000.0,445579000,1720584000.0,0.0,0.0,0.0,0.0,10876000.0,14575000.0,1746035000.0,0.0,2191614000,67121000.0,14160000.0,0.0,10448000.0,100378000.0,192107000,1210857000.0,0.0,14497000.0,6742000.0,1232096000.0,0.0,1424203000,1635000.0,-1355558000.0,0.0,2121334000.0,767411000.0,2191614000,0.0,1225017000.0,1032964000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000068/0001330849-14-000068-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000068/a2014q310-q.htm,1620593043,16:44:03,20210509
7,2014-06-30,HERO,USD,2014-07-23 00:00:00,2014-07-23 17:15:41,Q2,191905000.0,0.0,191905000.0,198275000,0.0,66800000.0,456980000,1819400000.0,0.0,0.0,0.0,0.0,10876000.0,15636000.0,1845912000.0,0.0,2302892000,87584000.0,30431000.0,11751000.0,14506000.0,71857000.0,216129000,1210796000.0,0.0,15394000.0,7012000.0,1233202000.0,0.0,1449331000,1635000.0,-1267005000.0,0.0,2118931000.0,853561000.0,2302892000,0.0,1241227000.0,1049322000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000050/0001330849-14-000050-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000050/a2014q210-q.htm,1620593043,16:44:03,20210509
8,2014-03-31,HERO,USD,2014-04-23 00:00:00,2014-04-23 15:53:04,Q1,197212000.0,0.0,197212000.0,224199000,0.0,38615000.0,460026000,1807343000.0,0.0,0.0,0.0,0.0,10876000.0,97194000.0,1915413000.0,0.0,2375439000,83031000.0,29093000.0,0.0,19154000.0,83907000.0,215185000,1290664000.0,0.0,14788000.0,10230000.0,1315682000.0,0.0,1530867000,1633000.0,-1273651000.0,0.0,2116590000.0,844572000.0,2375439000,0.0,1319757000.0,1122545000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000035/0001330849-14-000035-index.html,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000035/a2014q110-q.htm,1620593043,16:44:03,20210509
9,2013-12-31,HERO,USD,2014-02-27,2014-02-27 17:07:24,Q4,198406000.0,0.0,198406000.0,220139000,0.0,48634000.0,467179000,1808526000.0,0.0,0.0,0.0,0.0,10876000.0,14867000.0,1834269000.0,0.0,2301448000,80018000.0,9568000.0,4800000.0,21480000.0,133590000.0,239888000,1210676000.0,0.0,14452000.0,12732000.0,1237860000.0,0.0,1477748000,1621000.0,-1293567000.0,0.0,2115646000.0,823700000.0,2301448000,0.0,1220244000.0,1021838000.0,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000017/0001330849-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1330849/000133084914000017/hero1231201310-k.htm,1620593043,16:44:03,20210509
