,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2016-03-31,HNSN,USD,2016-04-25 00:00:00,2016-04-22 21:22:56,Q1,12504000.0,0.0,12504000,2609000.0,9603000.0,1310000.0,26026000.0,2399000.0,0.0,0.0,0.0,0.0,0.0,6243000.0,8642000.0,0.0,34668000,991000.0,33824000.0,359000.0,3124000.0,3987000.0,42285000.0,33824000.0,36000.0,0.0,79000.0,115000.0,0.0,42400000.0,2000.0,-463600000.0,-122000.0,455988000,-7732000.0,34668000,0.0,67648000.0,55144000.0,https://www.sec.gov/Archives/edgar/data/1276591/000127659116000045/0001276591-16-000045-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000127659116000045/hnsn-20151231x10k.htm,1620593172,16:46:12,20210509
1,2015-12-31,HNSN,USD,2016-04-25,2016-04-22 21:22:56,Q4,20375000.0,1501000.0,21876000,4551000.0,8659000.0,1814000.0,36900000.0,2325000.0,0.0,0.0,0.0,0.0,0.0,6493000.0,8818000.0,0.0,45718000,664000.0,35141000.0,333000.0,3923000.0,3780000.0,43841000.0,35141000.0,91000.0,0.0,76000.0,167000.0,262000.0,44270000.0,2000.0,-453929000.0,-210000.0,455585000,1448000.0,45718000,1501000.0,70282000.0,49907000.0,https://www.sec.gov/Archives/edgar/data/1276591/000127659116000045/0001276591-16-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1276591/000127659116000045/hnsn-20151231x10k.htm,1620593172,16:46:12,20210509
2,2015-09-30,HNSN,USD,2015-11-09 00:00:00,2015-11-09 17:26:27,Q3,28882000.0,1306000.0,30188000,3342000.0,11030000.0,1701000.0,46261000.0,2475000.0,0.0,0.0,0.0,0.0,0.0,5969000.0,8444000.0,0.0,54705000,933000.0,0.0,280000.0,2705000.0,2651000.0,6569000.0,34833000.0,76000.0,0.0,76000.0,34985000.0,290000.0,41844000.0,19000.0,-442389000.0,-405000.0,455636000,12861000.0,54705000,1306000.0,34833000.0,5951000.0,https://www.sec.gov/Archives/edgar/data/1276591/000127659115000006/0001276591-15-000006-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000127659115000006/hnsn-20150930x10q.htm,1620593172,16:46:12,20210509
3,2015-06-30,HNSN,USD,2015-08-10 00:00:00,2015-08-10 17:25:25,Q2,40233000.0,1431000.0,41664000,2497000.0,11184000.0,2417000.0,56331000.0,2639000.0,0.0,0.0,0.0,0.0,0.0,6040000.0,8679000.0,0.0,65010000,2025000.0,0.0,323000.0,2494000.0,2986000.0,7828000.0,34528000.0,120000.0,0.0,152000.0,34800000.0,313000.0,42941000.0,19000.0,-432162000.0,-323000.0,454535000,22069000.0,65010000,1431000.0,34528000.0,-5705000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312515285134/0001193125-15-285134-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000119312515285134/d81388d10q.htm,1620593172,16:46:12,20210509
4,2015-03-31,HNSN,USD,2015-05-11 00:00:00,2015-05-11 16:50:34,Q1,51400000.0,1876000.0,53276000,3745000.0,10192000.0,3389000.0,68726000.0,2823000.0,0.0,0.0,0.0,0.0,0.0,6094000.0,8917000.0,0.0,77643000,2828000.0,0.0,289000.0,3011000.0,20671000.0,26799000.0,34227000.0,89000.0,0.0,152000.0,34468000.0,20096000.0,81363000.0,13000.0,-418843000.0,139000.0,414971000,-3720000.0,77643000,1876000.0,34227000.0,-17173000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312515182124/0001193125-15-182124-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000119312515182124/d905447d10q.htm,1620593172,16:46:12,20210509
5,2014-12-31,HNSN,USD,2015-03-16,2015-03-16 17:01:16,Q4,24528000.0,1973000.0,26501000,5121000.0,11492000.0,3651000.0,44792000.0,2328000.0,0.0,0.0,0.0,0.0,0.0,6555000.0,8883000.0,0.0,53675000,2534000.0,0.0,274000.0,3422000.0,4668000.0,10898000.0,34385000.0,105000.0,0.0,152000.0,34642000.0,366000.0,45906000.0,13000.0,-406910000.0,305000.0,414361000,7769000.0,53675000,1973000.0,34385000.0,9857000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312515093965/0001193125-15-093965-index.htm,https://www.sec.gov/Archives/edgar/data/1276591/000119312515093965/d835468d10k.htm,1620593172,16:46:12,20210509
6,2014-09-30,HNSN,USD,2014-11-06 00:00:00,2014-11-06 16:46:22,Q3,34224000.0,1931000.0,36155000,4308000.0,11687000.0,2033000.0,54183000.0,2811000.0,0.0,0.0,0.0,0.0,0.0,6671000.0,9482000.0,0.0,63665000,2535000.0,0.0,0.0,2820000.0,4593000.0,9948000.0,34123000.0,154000.0,0.0,498000.0,34775000.0,0.0,44723000.0,13000.0,-394993000.0,323000.0,413599000,18942000.0,63665000,1931000.0,34123000.0,-101000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312514401168/0001193125-14-401168-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000119312514401168/d807130d10q.htm,1620593172,16:46:12,20210509
7,2014-06-30,HNSN,USD,2014-08-08 00:00:00,2014-08-07 18:03:19,Q2,24899000.0,1903000.0,26802000,4055000.0,11397000.0,1362000.0,43616000.0,3407000.0,0.0,0.0,0.0,0.0,0.0,6861000.0,10268000.0,0.0,53884000,2986000.0,0.0,0.0,3185000.0,5254000.0,11425000.0,33863000.0,246000.0,0.0,557000.0,34666000.0,0.0,46091000.0,11000.0,-379398000.0,337000.0,386843000,7793000.0,53884000,1903000.0,33863000.0,8964000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312514301060/0001193125-14-301060-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000119312514301060/d755778d10q.htm,1620593172,16:46:12,20210509
8,2014-03-31,HNSN,USD,2014-05-09 00:00:00,2014-05-09 16:10:35,Q1,30976000.0,2028000.0,33004000,4395000.0,12028000.0,1629000.0,51056000.0,3882000.0,0.0,0.0,0.0,0.0,0.0,6976000.0,10858000.0,0.0,61914000,3174000.0,0.0,0.0,3044000.0,4274000.0,10492000.0,33608000.0,136000.0,0.0,546000.0,34290000.0,0.0,44782000.0,11000.0,-367109000.0,445000.0,383785000,17132000.0,61914000,2028000.0,33608000.0,2632000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312514192455/0001193125-14-192455-index.html,https://www.sec.gov/Archives/edgar/data/1276591/000119312514192455/d707656d10q.htm,1620593172,16:46:12,20210509
9,2013-12-31,HNSN,USD,2014-03-13,2014-03-13 17:18:10,Q4,27995000.0,1945000.0,29940000,5114000.0,12203000.0,1914000.0,49171000.0,3641000.0,0.0,0.0,0.0,0.0,0.0,8347000.0,11988000.0,0.0,61159000,3337000.0,0.0,3864000.0,2912000.0,70000.0,10183000.0,33358000.0,203000.0,0.0,229000.0,33790000.0,310000.0,44283000.0,10000.0,-352664000.0,360000.0,369170000,16876000.0,61159000,1945000.0,33358000.0,5363000.0,https://www.sec.gov/Archives/edgar/data/1276591/000119312514098025/0001193125-14-098025-index.htm,https://www.sec.gov/Archives/edgar/data/1276591/000119312514098025/d640312d10k.htm,1620593172,16:46:12,20210509
