,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,INGR,USD,2021-05-07,2021-05-07 15:45:17,Q1,576000000.0,1000000.0,577000000.0,1025000000.0,950000000.0,0.0,2610000000,2537000000,899000000.0,437000000.0,1336000000.0,0.0,24000000.0,296000000.0,4193000000,0.0,6803000000,0.0,448000000.0,0.0,0.0,0.0,1380000000,1749000000,0.0,219000000.0,219000000,2739000000,0.0,4119000000,1000000.0,3667000000.0,-1164000000.0,0.0,2658000000,6777000000,0.0,2197000000,1621000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837021006479/0001558370-21-006479-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837021006479/ingr-20210331x10q.htm,1620593626,16:53:46,20210509
1,2020-12-31,INGR,USD,2021-02-24,2021-02-24 17:11:05,Q4,665000000.0,0.0,665000000.0,1011000000.0,917000000.0,54000000.0,2647000000,2628000000,902000000.0,444000000.0,1346000000.0,0.0,23000000.0,214000000.0,4211000000,410000000.0,6858000000,599000000.0,438000000.0,0.0,23000000.0,398000000.0,1458000000,1748000000,0.0,217000000.0,88000000,2398000000,0.0,3856000000,1000000.0,3957000000.0,-1133000000.0,126000000.0,2981000000,6837000000,0.0,2186000000,1521000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837021001632/0001558370-21-001632-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837021001632/ingr-20201231x10k.htm,1620593626,16:53:46,20210509
2,2020-09-30,INGR,USD,2020-11-06,2020-11-06 16:26:37,Q3,553000000.0,0.0,553000000.0,913000000.0,908000000.0,56000000.0,2430000000,2515000000,841000000.0,479000000.0,1320000000.0,0.0,23000000.0,176000000.0,4034000000,0.0,6464000000,893000000.0,62000000.0,0.0,23000000.0,0.0,955000000,2115000000,0.0,189000000.0,211000000,2712000000,0.0,3667000000,1000000.0,3884000000.0,-1259000000.0,118000000.0,2776000000,6443000000,0.0,2177000000,1624000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837020013169/0001558370-20-013169-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837020013169/ingr-20200930x10q.htm,1620593626,16:53:46,20210509
3,2020-06-30,INGR,USD,2020-08-05,2020-08-05 15:19:36,Q2,1047000000.0,1000000.0,1048000000.0,861000000.0,859000000.0,0.0,2820000000,2380000000,791000000.0,421000000.0,1212000000.0,0.0,17000000.0,182000000.0,3791000000,0.0,6611000000,0.0,470000000.0,0.0,0.0,0.0,1282000000,2140000000,0.0,172000000.0,236000000,2663000000,0.0,3945000000,1000000.0,3836000000.0,-1307000000.0,0.0,2646000000,6591000000,0.0,2610000000,1563000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837020009367/0001558370-20-009367-index.htm,https://www.sec.gov/Archives/edgar/data/1046257/000155837020009367/ingr-20200630x10q.htm,1620593626,16:53:46,20210509
4,2020-03-31,INGR,USD,2020-05-06 00:00:00,2020-05-06 17:03:49,Q1,278000000.0,2000000.0,280000000.0,996000000.0,857000000.0,0.0,2188000000,2355000000,787000000.0,427000000.0,1214000000.0,0.0,16000000.0,179000000.0,3764000000,0.0,5952000000,0.0,77000000.0,0.0,0.0,0.0,937000000,1871000000,0.0,174000000.0,228000000,2388000000,0.0,3325000000,1000000.0,3813000000.0,-1322000000.0,0.0,2606000000,5931000000,0.0,1948000000,1670000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837020005442/0001558370-20-005442-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837020005442/ingr-20200506x10q.htm,1620593626,16:53:46,20210509
5,2019-12-31,INGR,USD,2020-02-19 00:00:00,2020-02-19 15:42:27,Q4,264000000.0,4000000.0,268000000.0,977000000.0,861000000.0,0.0,2160000000,2457000000,801000000.0,437000000.0,1238000000.0,0.0,13000000.0,172000000.0,3880000000,0.0,6040000000,504000000.0,82000000.0,0.0,0.0,0.0,967000000,1765000000,0.0,195000000.0,119000000,2332000000,0.0,3299000000,1000000.0,3780000000.0,-1158000000.0,0.0,2720000000,6019000000,0.0,1847000000,1583000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837020000978/0001558370-20-000978-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837020000978/ingr-20191231x10k60356d.htm,1620593626,16:53:46,20210509
6,2019-09-30,INGR,USD,2019-11-06 00:00:00,2019-11-06 12:01:29,Q3,443000000.0,3000000.0,446000000.0,981000000.0,879000000.0,0.0,2342000000,2358000000,795000000.0,442000000.0,1237000000.0,0.0,11000000.0,147000000.0,3753000000,0.0,6095000000,0.0,81000000.0,0.0,0.0,0.0,957000000,1999000000,0.0,185000000.0,238000000,2526000000,0.0,3483000000,1000000.0,3713000000.0,-1214000000.0,0.0,2593000000,6076000000,0.0,2080000000,1637000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837019010101/0001558370-19-010101-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019010101/ingr-20190930x10qa93556.htm,1620593626,16:53:46,20210509
7,2019-06-30,INGR,USD,2019-08-02 00:00:00,2019-08-02 13:53:36,Q2,297000000.0,4000000.0,301000000.0,1015000000.0,865000000.0,0.0,2215000000,2375000000,801000000.0,451000000.0,1252000000.0,0.0,10000000.0,146000000.0,3783000000,0.0,5998000000,0.0,107000000.0,0.0,0.0,0.0,894000000,1944000000,0.0,199000000.0,236000000,2492000000,0.0,3386000000,1000000.0,3656000000.0,-1152000000.0,0.0,2596000000,5982000000,0.0,2051000000,1754000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837019006930/0001558370-19-006930-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019006930/ingr-20190630x10q.htm,1620593626,16:53:46,20210509
8,2019-03-31,INGR,USD,2019-05-03 00:00:00,2019-05-03 14:34:00,Q1,255000000.0,4000000.0,259000000.0,1013000000.0,862000000.0,0.0,2170000000,2354000000,815000000.0,453000000.0,1268000000.0,0.0,11000000.0,129000000.0,3762000000,0.0,5932000000,0.0,153000000.0,0.0,0.0,0.0,901000000,1957000000,0.0,193000000.0,224000000,2487000000,0.0,3388000000,1000000.0,3594000000.0,-1160000000.0,0.0,2522000000,5910000000,0.0,2110000000,1855000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837019003951/0001558370-19-003951-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019003951/ingr-20190331x10q.htm,1620593626,16:53:46,20210509
9,2018-12-31,INGR,USD,2019-02-25 00:00:00,2019-02-25 16:41:09,Q4,327000000.0,7000000.0,334000000.0,951000000.0,824000000.0,0.0,2138000000,2198000000,791000000.0,460000000.0,1251000000.0,0.0,10000000.0,131000000.0,3590000000,0.0,5728000000,452000000.0,169000000.0,0.0,0.0,0.0,946000000,1932000000,0.0,189000000.0,132000000,2374000000,0.0,3320000000,1000000.0,3536000000.0,-1154000000.0,0.0,2388000000,5708000000,0.0,2101000000,1774000000,https://www.sec.gov/Archives/edgar/data/1046257/000155837019000999/0001558370-19-000999-index.html,https://www.sec.gov/Archives/edgar/data/1046257/000155837019000999/ingr-20181231x10k.htm,1620593626,16:53:46,20210509
