,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-06-30,NBL,USD,2020-08-03 00:00:00,2020-08-03 08:19:51,Q2,324000000.0,0.0,324000000.0,465000000,68000000.0,0.0,1003000000,13211000000,0.0,262000000.0,262000000.0,1246000000.0,0.0,177000000,14896000000,0.0,15899000000,676000000,0.0,0.0,0.0,317000000,1382000000,7781000000,0.0,518000000,153000000.0,9855000000,0.0,11237000000,5000000.0,-4198000000.0,-19044000000.0,0.0,4003000000,15240000000,0.0,8184000000,7860000000,https://www.sec.gov/Archives/edgar/data/72207/000007220720000069/0000072207-20-000069-index.htm,https://www.sec.gov/Archives/edgar/data/72207/000007220720000069/nbl-20200630x10q.htm,1620595542,17:25:42,20210509
1,2020-03-31,NBL,USD,2020-05-08 00:00:00,2020-05-08 12:58:56,Q1,1397000000.0,0.0,1397000000.0,562000000,68000000.0,0.0,2312000000,13465000000,0.0,270000000.0,270000000.0,1249000000.0,0.0,162000000,15146000000,0.0,17458000000,1099000000,0.0,0.0,0.0,254000000,1750000000,8470000000,0.0,615000000,199000000.0,10662000000,0.0,12412000000,5000000.0,-3780000000.0,-18690000000.0,0.0,4397000000,16809000000,0.0,8899000000,7502000000,https://www.sec.gov/Archives/edgar/data/72207/000007220720000041/0000072207-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220720000041/nbl-20200331x10q.htm,1620595542,17:25:42,20210509
2,2019-12-31,NBL,USD,2020-02-12 00:00:00,2020-02-12 10:57:26,Q4,484000000.0,0.0,484000000.0,730000000,59000000.0,148000000.0,1362000000,17678000000,110000000.0,278000000.0,388000000.0,1066000000.0,0.0,126000000,19285000000,0.0,20647000000,1250000000,0.0,0.0,0.0,229000000,1969000000,7314000000,0.0,662000000,222000000.0,9623000000,0.0,11592000000,5000000.0,241000000.0,-14036000000.0,0.0,8410000000,20002000000,0.0,7729000000,7245000000,https://www.sec.gov/Archives/edgar/data/72207/000007220720000010/0000072207-20-000010-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220720000010/nbl-20191231x10k.htm,1620595542,17:25:42,20210509
3,2019-09-30,NBL,USD,2019-11-07 00:00:00,2019-11-07 12:19:22,Q3,473000000.0,0.0,473000000.0,677000000,74000000.0,0.0,1427000000,19072000000,110000000.0,286000000.0,396000000.0,959000000.0,0.0,150000000,20577000000,0.0,22004000000,1395000000,0.0,0.0,0.0,259000000,2585000000,6777000000,0.0,954000000,149000000.0,9336000000,0.0,11921000000,5000000.0,1506000000.0,-12693000000.0,0.0,9004000000,20925000000,0.0,7758000000,7285000000,https://www.sec.gov/Archives/edgar/data/72207/000007220719000083/0000072207-19-000083-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220719000083/nbl-20190930x10q.htm,1620595542,17:25:42,20210509
4,2019-06-30,NBL,USD,2019-08-02,2019-08-02 10:46:13,Q2,470000000.0,0.0,470000000.0,575000000,68000000.0,0.0,1358000000,19047000000,110000000.0,294000000.0,404000000.0,699000000.0,0.0,141000000,20291000000,0.0,21649000000,1313000000,0.0,0.0,132000000.0,257000000,2311000000,6696000000,0.0,961000000,95000000.0,9234000000,0.0,11545000000,5000000.0,1546000000.0,-12153000000.0,0.0,9029000000,20574000000,0.0,7384000000,6914000000,https://www.sec.gov/Archives/edgar/data/72207/000007220719000067/nbl-20190630x10q.htm,https://www.sec.gov/Archives/edgar/data/72207/000007220719000067/nbl-20190630x10q.htm,1620595542,17:25:42,20210509
5,2019-03-31,NBL,USD,2019-05-03 00:00:00,2019-05-03 10:22:14,Q1,528000000.0,0.0,528000000.0,573000000,70000000.0,0.0,1243000000,18974000000,110000000.0,302000000.0,412000000.0,559000000.0,0.0,132000000,20077000000,0.0,21320000000,1284000000,0.0,0.0,0.0,350000000,1943000000,6564000000,0.0,961000000,102000000.0,9234000000,0.0,11177000000,5000000.0,1614000000.0,-11675000000.0,0.0,9071000000,20248000000,0.0,6932000000,6404000000,https://www.sec.gov/Archives/edgar/data/72207/000007220719000053/0000072207-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220719000053/nbl-20190331x10q.htm,1620595542,17:25:42,20210509
6,2018-12-31,NBL,USD,2019-02-19 00:00:00,2019-02-19 12:55:35,Q4,716000000.0,0.0,716000000.0,616000000,67000000.0,418000000.0,1750000000,18419000000,110000000.0,310000000.0,420000000.0,286000000.0,21000000.0,76000000,19260000000,0.0,21010000000,1207000000,0.0,0.0,0.0,86000000,1726000000,6392000000,0.0,1061000000,80000000.0,8800000000,0.0,10526000000,5000000.0,1980000000.0,-11474000000.0,0.0,9426000000,19952000000,0.0,6615000000,5899000000,https://www.sec.gov/Archives/edgar/data/72207/000007220719000018/0000072207-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220719000018/nbl-20181231x10k.htm,1620595542,17:25:42,20210509
7,2018-09-30,NBL,USD,2018-11-01 00:00:00,2018-11-01 10:47:35,Q3,720000000.0,165000000.0,885000000.0,698000000,86000000.0,0.0,1727000000,18245000000,1401000000.0,318000000.0,1719000000.0,295000000.0,25000000.0,78000000,20420000000,0.0,22147000000,1239000000,165000000.0,0.0,0.0,417000000,2124000000,6381000000,0.0,983000000,151000000.0,8629000000,0.0,10753000000,5000000.0,2850000000.0,-11677000000.0,0.0,10346000000,21099000000,460000000.0,6546000000,5826000000,https://www.sec.gov/Archives/edgar/data/72207/000007220718000073/0000072207-18-000073-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220718000073/nbl-20180930x10q.htm,1620595542,17:25:42,20210509
8,2018-06-30,NBL,USD,2018-08-03 00:00:00,2018-08-03 10:27:14,Q2,621000000.0,0.0,621000000.0,743000000,73000000.0,187000000.0,1551000000,17917000000,1402000000.0,326000000.0,1728000000.0,507000000.0,25000000.0,69000000,20303000000,0.0,21854000000,1308000000,0.0,0.0,0.0,360000000,2053000000,6361000000,0.0,970000000,148000000.0,8520000000,0.0,10573000000,5000000.0,2677000000.0,-11313000000.0,0.0,10252000000,20825000000,0.0,6602000000,5981000000,https://www.sec.gov/Archives/edgar/data/72207/000007220718000060/0000072207-18-000060-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220718000060/nbl-20180630x10q.htm,1620595542,17:25:42,20210509
9,2018-03-31,NBL,USD,2018-05-01 00:00:00,2018-05-01 12:32:19,Q1,992000000.0,0.0,992000000.0,707000000,60000000.0,895000000.0,2594000000,17431000000,1402000000.0,334000000.0,1736000000.0,540000000.0,25000000.0,66000000,19854000000,0.0,22448000000,1423000000,0.0,0.0,0.0,467000000,2214000000,6858000000,0.0,976000000,170000000.0,8847000000,0.0,11061000000,5000000.0,2754000000.0,-10882000000.0,0.0,10362000000,21423000000,0.0,6912000000,5920000000,https://www.sec.gov/Archives/edgar/data/72207/000007220718000041/0000072207-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/72207/000007220718000041/nbl-20180331x10q.htm,1620595542,17:25:42,20210509
