,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,NTZ,EUR,2020-12-31,2020-12-31,Q4,0.0,0.0,0.0,0.0,0.0,0.0,172100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183900000.0,0.0,356000000.0,0.0,0.0,0.0,0.0,0.0,177700000.0,0.0,0.0,0.0,0.0,103000000.0,0.0,280700000.0,0.0,0.0,0.0,0.0,74300000.0,355000000.0,0.0,0.0,0.0,,,1620595890,17:31:30,20210509
1,2020-09-30,NTZ,EUR,2020-09-30,2020-09-30,Q3,0.0,0.0,0.0,0.0,0.0,0.0,153700000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189200000.0,0.0,342900000.0,0.0,0.0,0.0,0.0,0.0,149100000.0,0.0,0.0,0.0,0.0,113500000.0,0.0,262600000.0,0.0,0.0,0.0,0.0,79900000.0,342500000.0,0.0,0.0,0.0,,,1620595890,17:31:30,20210509
2,2020-06-30,NTZ,EUR,2020-06-30,2020-06-30,Q2,0.0,0.0,0.0,0.0,0.0,0.0,136400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197900000.0,0.0,334300000.0,0.0,0.0,0.0,0.0,0.0,137800000.0,0.0,0.0,0.0,0.0,110100000.0,0.0,247900000.0,0.0,0.0,0.0,0.0,85400000.0,333300000.0,0.0,0.0,0.0,,,1620595890,17:31:30,20210509
3,2020-03-31,NTZ,EUR,2020-04-27 00:00:00,2020-04-27 06:00:41,Q1,0.0,0.0,0.0,0.0,0.0,0.0,142200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205400000.0,0.0,347600000.0,0.0,0.0,0.0,0.0,0.0,141200000.0,0.0,0.0,0.0,0.0,110000000.0,0.0,251200000.0,0.0,0.0,0.0,0.0,95200000.0,346400000.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/900391/000115752320000570/0001157523-20-000570-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752320000570/a52209828.htm,1620595890,17:31:30,20210509
4,2019-12-31,NTZ,EUR,2020-02-24 00:00:00,2020-02-24 17:08:11,Q4,39799000.0,0.0,39799000.0,37992000.0,69685000.0,9241000.0,156862000.0,0.0,4068000.0,1953000.0,6021000.0,41342000.0,513000.0,2896000.0,212532000.0,0.0,369394000.0,47402000.0,28491000.0,0.0,15083000.0,772000.0,151957000.0,14091000.0,22958000.0,430000.0,0.0,112619000.0,0.0,264576000.0,54853000.0,31126000.0,-261428000.0,0.0,103126000.0,367702000.0,0.0,42582000.0,2783000.0,https://www.sec.gov/Archives/edgar/data/900391/000115752320000257/0001157523-20-000257-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752320000257/a52178658.htm,1620595890,17:31:30,20210509
5,2019-09-30,NTZ,EUR,2019-11-29 00:00:00,2019-11-29 16:30:31,Q3,0.0,0.0,0.0,0.0,0.0,0.0,148900000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221200000.0,0.0,370100000.0,0.0,0.0,0.0,0.0,0.0,137800000.0,0.0,0.0,0.0,0.0,119100000.0,0.0,256900000.0,0.0,0.0,0.0,0.0,111300000.0,368200000.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/900391/000115752319002311/0001157523-19-002311-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752319002311/a52137441.htm,1620595890,17:31:30,20210509
6,2019-06-30,NTZ,EUR,2019-08-12 00:00:00,2019-08-12 06:00:49,Q2,0.0,0.0,0.0,0.0,0.0,0.0,174100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220900000.0,0.0,395000000.0,0.0,0.0,0.0,0.0,0.0,158000000.0,0.0,0.0,0.0,0.0,113000000.0,0.0,271000000.0,0.0,0.0,0.0,0.0,122100000.0,393100000.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/900391/000115752319001803/0001157523-19-001803-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752319001803/a52077244.htm,1620595890,17:31:30,20210509
7,2019-03-31,NTZ,EUR,2019-04-04 00:00:00,2019-04-04 12:24:47,Q1,0.0,0.0,0.0,0.0,0.0,0.0,193000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,224400000.0,0.0,417400000.0,0.0,0.0,0.0,0.0,0.0,168200000.0,0.0,0.0,0.0,0.0,113900000.0,0.0,282100000.0,0.0,0.0,0.0,0.0,133400000.0,415500000.0,0.0,0.0,0.0,https://www.sec.gov/Archives/edgar/data/900391/000115752319000760/0001157523-19-000760-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752319000760/a51964916.htm,1620595890,17:31:30,20210509
8,2018-12-31,NTZ,EUR,2019-02-08 00:00:00,2019-02-08 16:31:42,Q4,62131000.0,0.0,62131000.0,52460000.0,84227000.0,8107000.0,207143000.0,0.0,3947000.0,1945000.0,5892000.0,40220000.0,475000.0,3359000.0,165565000.0,0.0,372708000.0,57325000.0,45730000.0,0.0,12165000.0,320000.0,168386000.0,10361000.0,22936000.0,42000.0,1119000.0,66141000.0,0.0,234527000.0,54853000.0,64496000.0,-235534000.0,0.0,136547000.0,371074000.0,0.0,56091000.0,-6040000.0,https://www.sec.gov/Archives/edgar/data/900391/000115752319000273/0001157523-19-000273-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752319000273/a51938339.htm,1620595890,17:31:30,20210509
9,2018-09-30,NTZ,EUR,2018-11-30 00:00:00,2018-11-30 16:32:17,Q3,53600000.0,0.0,53600000.0,74500000.0,77500000.0,200000.0,208000000.0,0.0,3400000.0,1800000.0,5200000.0,16500000.0,0.0,1300000.0,126500000.0,0.0,334500000.0,64700000.0,33300000.0,0.0,0.0,900000.0,147500000.0,11100000.0,14700000.0,0.0,12200000.0,55100000.0,0.0,202600000.0,54900000.0,64000000.0,0.0,0.0,130300000.0,332900000.0,16500000.0,44400000.0,-9200000.0,https://www.sec.gov/Archives/edgar/data/900391/000115752318002501/0001157523-18-002501-index.html,https://www.sec.gov/Archives/edgar/data/900391/000115752318002501/a51907552.htm,1620595890,17:31:30,20210509
