,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-27,PBPB,USD,2021-03-12,2021-03-12 13:51:30,Q4,11126000,0.0,11126000,4354000.0,2989000.0,4839000.0,23308000,61193000,2222000.0,3404000.0,5626000.0,0.0,0.0,0.0,66819000,193230000.0,283357000,6206000.0,15953000.0,0.0,0.0,43447000.0,65606000,333000.0,0.0,0.0,7157000.0,7490000.0,204766000.0,277862000,339000.0,0.0,0.0,5431000.0,5770000.0,283632000,0.0,16286000.0,5160000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459021012800/0001564590-21-012800-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459021012800/pbpb-10k_20201227.htm,1620596366,17:39:26,20210509
1,2020-09-27,PBPB,USD,2020-11-05,2020-11-05 17:18:41,Q3,23407000,0.0,23407000,4575000.0,2724000.0,5372000.0,36078000,64852000,2222000.0,3404000.0,5626000.0,0.0,0.0,0.0,70478000,200248000.0,306804000,5429000.0,0.0,0.0,0.0,55442000.0,60871000,22386000.0,0.0,0.0,5775000.0,28161000.0,195681000.0,284713000,338000.0,0.0,0.0,21824000.0,22162000.0,306875000,0.0,22386000.0,-1021000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459020051478/0001564590-20-051478-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020051478/pbpb-10q_20200927.htm,1620596366,17:39:26,20210509
2,2020-06-28,PBPB,USD,2020-08-05,2020-08-05 16:53:25,Q2,29092000,0.0,29092000,3357000.0,2823000.0,8448000.0,43720000,273623000,2222000.0,3404000.0,5626000.0,0.0,0.0,4303000.0,283552000,0.0,327272000,6691000.0,0.0,171000.0,0.0,171000.0,63556000,23086000.0,0.0,0.0,205977000.0,229241000.0,0.0,292797000,334000.0,-289638000.0,0.0,34141000.0,34475000.0,327272000,0.0,23086000.0,-6006000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459020036893/0001564590-20-036893-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020036893/pbpb-10q_20200628.htm,1620596366,17:39:26,20210509
3,2020-03-29,PBPB,USD,2020-05-18,2020-05-18 17:12:03,Q1,45816000,0.0,45816000,2651000.0,3245000.0,8454000.0,60166000,281245000,2222000.0,3404000.0,5626000.0,0.0,0.0,4032000.0,290903000,0.0,351069000,3375000.0,39786000.0,0.0,0.0,171000.0,88689000,0.0,0.0,0.0,206176000.0,206454000.0,0.0,295143000,331000.0,-267422000.0,0.0,55595000.0,55926000.0,351069000,0.0,39786000.0,-6030000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459020026026/0001564590-20-026026-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020026026/pbpb-10q_20200329.htm,1620596366,17:39:26,20210509
4,2019-12-29,PBPB,USD,2020-02-27,2020-02-27 16:58:50,Q4,18806000,0.0,18806000,4257000.0,3473000.0,5687000.0,32223000,291020000,2222000.0,3404000.0,5626000.0,0.0,0.0,4010000.0,300656000,0.0,332879000,3886000.0,0.0,171000.0,1594000.0,171000.0,53774000,0.0,2054000.0,60038000.0,209936000.0,210257000.0,0.0,264031000,331000.0,-254081000.0,0.0,68517000.0,68848000.0,332879000,0.0,0.0,-18806000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459020007450/0001564590-20-007450-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459020007450/pbpb-10k_20191229.htm,1620596366,17:39:26,20210509
5,2019-09-29,PBPB,USD,2019-11-05,2019-11-05 16:32:33,Q3,15758000,0.0,15758000,5084000.0,3317000.0,7934000.0,32093000,291887000,2222000.0,3404000.0,5626000.0,0.0,0.0,3957000.0,301470000,0.0,333563000,4607000.0,0.0,177000.0,1632000.0,177000.0,53203000,0.0,1755000.0,1755000.0,210184000.0,210549000.0,0.0,263752000,331000.0,-252749000.0,0.0,69480000.0,69811000.0,333563000,0.0,0.0,-15758000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459019040430/0001564590-19-040430-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019040430/pbpb-10q_20190929.htm,1620596366,17:39:26,20210509
6,2019-06-30,PBPB,USD,2019-08-08,2019-08-08 16:19:01,Q2,18066000,0.0,18066000,4545000.0,3357000.0,0.0,34150000,298168000,2222000.0,3404000.0,5626000.0,0.0,0.0,0.0,310692000,0.0,344842000,4222000.0,0.0,0.0,0.0,0.0,54813000,0.0,0.0,0.0,6255000.0,217153000.0,0.0,271966000,331000.0,-250394000.0,0.0,0.0,72470000.0,344436000,0.0,240024000.0,221958000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459019030805/0001564590-19-030805-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019030805/pbpb-10q_20190630.htm,1620596366,17:39:26,20210509
7,2019-03-31,PBPB,USD,2019-05-08,2019-05-08 14:19:49,Q1,13831000,0.0,13831000,5548000.0,3293000.0,0.0,32592000,306349000,2222000.0,3404000.0,5626000.0,0.0,0.0,0.0,318938000,0.0,351530000,3203000.0,0.0,0.0,0.0,0.0,52195000,0.0,0.0,0.0,6239000.0,223247000.0,0.0,275442000,330000.0,-248528000.0,0.0,0.0,75661000.0,351103000,0.0,245776000.0,231945000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459019017050/0001564590-19-017050-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019017050/pbpb-10q_20190331.htm,1620596366,17:39:26,20210509
8,2018-12-30,PBPB,USD,2019-03-01,2019-02-28 19:15:56,Q4,19775000,0.0,19775000,4737000.0,3482000.0,11426000.0,39420000,87782000,2222000.0,3404000.0,5626000.0,0.0,0.0,20387000.0,113795000,0.0,153215000,3835000.0,0.0,162000.0,2184000.0,162000.0,29026000,0.0,22905000.0,13385000.0,28656000.0,29018000.0,0.0,58044000,330000.0,-229558000.0,0.0,94841000.0,95171000.0,153215000,0.0,0.0,-19775000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459019005583/0001564590-19-005583-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459019005583/pbpb-10k_20181230.htm,1620596366,17:39:26,20210509
9,2018-09-30,PBPB,USD,2018-11-09,2018-11-09 13:02:42,Q3,26711000,0.0,26711000,5353000.0,3459000.0,0.0,46503000,94237000,2222000.0,3404000.0,5626000.0,0.0,12612000.0,0.0,119539000,0.0,166042000,3380000.0,0.0,0.0,0.0,0.0,26977000,0.0,0.0,0.0,5983000.0,28981000.0,0.0,55958000,329000.0,-225195000.0,0.0,0.0,109671000.0,165629000,0.0,0.0,-26711000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459018028823/0001564590-18-028823-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018028823/pbpb-10q_20180930.htm,1620596366,17:39:26,20210509
10,2018-07-01,PBPB,USD,2018-08-08,2018-08-08 16:06:26,Q2,34300000,0.0,34300000,5700000.0,3300000.0,13200000.0,56500000,99600000,2200000.0,3400000.0,5600000.0,0.0,0.0,14600000.0,119800000,0.0,176300000,4500000.0,0.0,0.0,1415000.0,16217000.0,30500000,0.0,22811000.0,9803000.0,26400000.0,26900000.0,0.0,57400000,300000.0,-223200000.0,0.0,118582000.0,118900000.0,176300000,0.0,0.0,-34300000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459018020456/0001564590-18-020456-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018020456/pbpb-10q_20180701.htm,1620596366,17:39:26,20210509
11,2018-04-01,PBPB,USD,2018-05-09,2018-05-09 16:02:13,Q1,28900000,0.0,28900000,4900000.0,3500000.0,11200000.0,48500000,100700000,2200000.0,3400000.0,5600000.0,0.0,0.0,15700000.0,122100000,0.0,170600000,3400000.0,0.0,176000.0,1691000.0,200000.0,26100000,0.0,22964000.0,10902000.0,27200000.0,27700000.0,0.0,53800000,300000.0,-222900000.0,0.0,116456000.0,116800000.0,170600000,0.0,0.0,-28900000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459018012379/0001564590-18-012379-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018012379/pbpb-10q_20180401.htm,1620596366,17:39:26,20210509
12,2017-12-31,PBPB,USD,2018-02-28,2018-02-28 16:02:36,Q4,25530000,0.0,25530000,5087000.0,3525000.0,0.0,45203000,103859000,2222000.0,3404000.0,5626000.0,0.0,11202000.0,0.0,125527000,0.0,170730000,3903000.0,0.0,0.0,2305000.0,0.0,27352000,0.0,0.0,0.0,3153000.0,26140000.0,0.0,53492000,318000.0,-219990000.0,-187726000.0,0.0,116723000.0,170215000,0.0,0.0,-25530000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459018003783/0001564590-18-003783-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459018003783/pbpb-10k_20171231.htm,1620596366,17:39:26,20210509
13,2017-09-24,PBPB,USD,2017-11-03,2017-11-03 14:01:10,Q3,22200000,0.0,22200000,5900000.0,3300000.0,10600000.0,42000000,105400000,2200000.0,3400000.0,5600000.0,0.0,0.0,23200000.0,134200000,0.0,176200000,4600000.0,0.0,0.0,18381000.0,5813000.0,28800000,0.0,23000000.0,18381000.0,25500000.0,26100000.0,0.0,54900000,300000.0,-212700000.0,0.0,121040000.0,121400000.0,176300000,0.0,0.0,-22200000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459017021465/0001564590-17-021465-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459017021465/pbpb-10q_20170924.htm,1620596366,17:39:26,20210509
14,2017-06-25,PBPB,USD,2017-08-04,2017-08-04 14:01:08,Q2,21200000,0.0,21200000,5600000.0,3300000.0,9200000.0,39300000,105300000,2200000.0,3400000.0,5600000.0,0.0,0.0,23300000.0,134200000,0.0,173500000,4200000.0,0.0,68000.0,18436000.0,100000.0,23900000,0.0,22174000.0,18436000.0,24700000.0,25500000.0,0.0,49400000,300000.0,-212500000.0,0.0,123733000.0,124000000.0,173400000,0.0,0.0,-21200000.0,https://www.sec.gov/Archives/edgar/data/1195734/000156459017015609/0001564590-17-015609-index.htm,https://www.sec.gov/Archives/edgar/data/1195734/000156459017015609/pbpb-10q_20170625.htm,1620596366,17:39:26,20210509
