,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,RMS.PA,EUR,2020-12-31,2020-12-31,Q4,4732700000,0.0,4732700000,0.0,1289400000,193000000.0,6649700000,3092300000,42400000.0,221200000.0,263600000,48800000.0,475200000,24100000.0,4400800000,0.0,11050500000,372500000,24500000.0,0.0,0.0,795100000.0,1838600000,18400000,0.0,21900000,36200000.0,1820900000,0.0,3659500000,53800000,1385400000,-2453500000.0,0.0,7380100000,11039600000,48800000,42900000,-4689800000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
1,2020-06-30,RMS.PA,EUR,2020-06-30,2020-06-30,Q2,3750300000,0.0,3750300000,0.0,1275400000,193100000.0,5523800000,2899700000,19100000.0,194400000.0,213500000,79100000.0,528600000,6400000.0,4209700000,0.0,9733500000,297700000,0.0,0.0,0.0,734210000.0,1699810000,29500000,0.0,22500000,30290000.0,1693290000,0.0,3393100000,53800000,335000000,-2391100000.0,0.0,6340000000,9733100000,79100000,1552100000,-2198200000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
2,2019-12-31,RMS.PA,EUR,2019-12-31,2019-12-31,Q4,4384200000,0.0,4384200000,0.0,1132600000,0.0,6090500000,2496000000,16200000.0,184100000.0,200300000,79300000.0,510300000,11200000.0,3790600000,0.0,9881100000,405500000,0.0,0.0,0.0,800400000.0,2023600000,29600000,0.0,24600000,32400000.0,1281600000,0.0,3305200000,53800000,1528200000,-2275900000.0,0.0,6568100000,9873300000,79300000,1141700000,-3242500000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
3,2019-06-30,RMS.PA,EUR,2019-06-30,2019-06-30,Q2,3549900000,0.0,3549900000,0.0,1070900000,200600000.0,5223200000,2320600000,16200000.0,157000000.0,173200000,84800000.0,473400000,17700000.0,3572800000,100000.0,8796100000,367500000,0.0,0.0,0.0,624100000.0,1807400000,27500000,0.0,27400000,34600000.0,1221100000,0.0,3028500000,53800000,754300000,-2148800000.0,0.0,5762900000,8791400000,84800000,1136100000,-2413800000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
4,2018-12-31,RMS.PA,EUR,2018-12-31,2018-12-31,Q4,3479100000,0.0,3479100000,0.0,963600000,206400000.0,4982600000,1345500000,15700000.0,142100000.0,157800000,75100000.0,447700000,21800000.0,2485500000,0.0,7468100000,417100000,0.0,0.0,0.0,574400000.0,1581400000,27500000,0.0,35900000,113800000.0,378900000,0.0,1960300000,53800000,1404600000,-1356500000.0,0.0,5503000000,7463300000,75100000,50000000,-3429100000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
5,2018-06-30,RMS.PA,EUR,2018-06-30,2018-06-30,Q2,2718300000,0.0,2718300000,0.0,953300000,213200000.0,4238700000,1279200000,15400000.0,129400000.0,144800000,77200000.0,377600000,29900000.0,2284500000,100000.0,6523300000,383800000,0.0,0.0,0.0,522000000.0,1324600000,25600000,0.0,21400000,102500000.0,406300000,0.0,1730900000,53800000,707800000,-1272400000.0,0.0,4788900000,6519800000,77200000,39300000,-2679000000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
6,2017-12-31,RMS.PA,EUR,2017-12-31,2017-12-31,Q4,2931900000,0.0,2931900000,0.0,896200000,-100000.0,4470600000,1283400000,33000000.0,132000000.0,165000000,72500000.0,349800000,-300000.0,2297600000,0.0,6768200000,425800000,0.0,0.0,0.0,0.0,1357500000,23500000,0.0,46800000,200000.0,365300000,0.0,1722800000,53800000,1221500000,-1199400000.0,0.0,5038800000,6761600000,72500000,53600000,-2878300000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
7,2017-06-30,RMS.PA,EUR,2017-06-30,2017-06-30,Q2,2442300000,100600000.0,2542900000,0.0,930900000,172100000.0,3940000000,1282400000,35900000.0,125100000.0,161000000,89700000.0,424700000,32800000.0,2220800000,0.0,6160800000,350000000,100600000.0,0.0,0.0,517300000.0,1228200000,22300000,0.0,48700000,96900000.0,362400000,0.0,1590600000,53800000,605200000,-1159800000.0,0.0,4564500000,6155100000,190300000,122900000,-2319400000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
8,2016-12-31,RMS.PA,EUR,2016-12-31,2016-12-31,Q4,2328900000,40500000.0,2369400000,0.0,915100000,100000.0,3812900000,1334500000,36700000.0,122000000.0,158700000,87300000.0,430400000,300000.0,2185800000,0.0,5998700000,423000000,40500000.0,0.0,0.0,-100000.0,1290000000,20800000,0.0,49000000,-100000.0,324000000,0.0,1614000000,53800000,1100300000,-1119700000.0,0.0,4382500000,5996500000,127800000,61300000,-2267600000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
9,2016-06-30,RMS.PA,EUR,2016-06-30,2016-06-30,Q2,1527900000,60900000.0,1588800000,0.0,993600000,0.0,3066300000,1297100000,39900000.0,126400000.0,166300000,84900000.0,381800000,100000.0,2181300000,0.0,5247600000,353600000,60900000.0,0.0,0.0,100000.0,1098900000,16300000,0.0,32100000,167500000.0,281400000,0.0,1380300000,53800000,545400000,-1097000000.0,0.0,3863300000,5243600000,145800000,77200000,-1450700000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
10,2015-12-31,RMS.PA,EUR,2015-12-31,2015-12-31,Q4,1589200000,39000000.0,1628200000,0.0,949200000,0.0,3095200000,1287300000,37900000.0,122400000.0,160300000,85400000.0,360300000,-100000.0,2092400000,0.0,5187600000,402500000,39000000.0,0.0,0.0,-100000.0,1157200000,11400000,0.0,50700000,0.0,281700000,0.0,1438900000,53800000,972600000,-1043200000.0,0.0,3742000000,5180900000,124400000,50400000,-1538800000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
11,2015-06-30,RMS.PA,EUR,2015-06-30,2015-06-30,Q2,968200000,51900000.0,1020100000,0.0,1006400000,100000.0,2450500000,1245500000,37300000.0,119800000.0,157100000,103600000.0,368500000,8800000.0,2098200000,0.0,4548700000,311800000,51900000.0,0.0,0.0,-100000.0,1045500000,20500000,0.0,30700000,100000.0,268000000,0.0,1313500000,53800000,482500000,-994400000.0,0.0,3227800000,4541300000,155500000,72400000,-895800000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
12,2014-12-31,RMS.PA,EUR,2014-12-31,2014-12-31,Q4,1441600000,39400000.0,1481000000,0.0,912000000,0.0,2791700000,1181400000,37400000.0,117600000.0,155000000,91300000.0,335800000,-200000.0,1976500000,0.0,4768200000,340200000,39400000.0,0.0,0.0,5100000.0,1043900000,19500000,0.0,31200000,123800000.0,265800000,0.0,1309700000,53800000,858800000,-906700000.0,0.0,3449000000,4758700000,130700000,58900000,-1382700000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
13,2014-06-30,RMS.PA,EUR,2014-06-30,2014-06-30,Q2,970600000,36100000.0,1006700000,0.0,905300000,123500000.0,2245300000,1047600000,53300000.0,119000000.0,172300000,79000000.0,277000000,16700000.0,1790900000,0.0,4036200000,275500000,36100000.0,0.0,0.0,343700000.0,825400000,15900000,0.0,28200000,77200000.0,225300000,0.0,1050700000,53800000,412500000,-864500000.0,0.0,2970700000,4021400000,115100000,52000000,-918600000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
14,2013-12-31,RMS.PA,EUR,2013-12-31,2013-12-31,Q4,1053700000,67000000.0,1120700000,0.0,813400000,-100000.0,2249200000,1025100000,51400000.0,109000000.0,160400000,44500000.0,242500000,-200000.0,1688400000,0.0,3937600000,313800000,67000000.0,0.0,0.0,5300000.0,880000000,24600000,0.0,25700000,83200000.0,216400000,0.0,1096400000,53800000,790300000,-814700000.0,0.0,2825600000,3922000000,111500000,91600000,-962100000,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,https://www.infogreffe.com/recherche-entreprise-dirigeants/resultats-entreprise-dirigeants.html?ga_cat=globale&ga_q=R.M.S#phrase=R.M.S,1620597335,17:55:35,20210509
