,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2019-12-31,SPRXE,USD,2020-04-20,2020-04-20 14:43:36,Q4,899000.0,0.0,899000.0,13000.0,48000.0,70000.0,1030000.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,0.0,1180000.0,2897000.0,513000.0,0.0,101000.0,8899000.0,12410000.0,29000.0,0.0,0.0,0.0,29000.0,5676000.0,18115000.0,3394000.0,-139555000.0,0.0,119226000.0,-16935000.0,1180000.0,0.0,542000.0,-357000.0,https://www.sec.gov/Archives/edgar/data/924515/000165495420004236/0001654954-20-004236-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495420004236/gthp_10k.htm,1620598232,18:10:32,20210509
1,2019-09-30,SPRXE,USD,2020-03-09,2020-03-09 16:05:47,Q3,0.0,0.0,0.0,14000.0,48000.0,106000.0,168000.0,0.0,0.0,0.0,0.0,0.0,0.0,171000.0,171000.0,0.0,339000.0,2957000.0,420000.0,0.0,98000.0,8153000.0,11628000.0,66000.0,0.0,0.0,6664000.0,6730000.0,0.0,18358000.0,3393000.0,-140638000.0,0.0,119226000.0,-18019000.0,339000.0,0.0,486000.0,486000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178120000018/0001121781-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178120000018/gthp10q93019.htm,1620598232,18:10:32,20210509
2,2019-06-30,SPRXE,USD,2020-02-11,2020-02-11 10:18:26,Q2,0.0,0.0,0.0,16000.0,48000.0,2000.0,66000.0,0.0,0.0,0.0,0.0,0.0,0.0,194000.0,194000.0,0.0,260000.0,2924000.0,366000.0,0.0,0.0,8453000.0,11743000.0,72000.0,0.0,0.0,7030000.0,7102000.0,0.0,18845000.0,3393000.0,-140512000.0,0.0,118534000.0,-18585000.0,260000.0,0.0,438000.0,438000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178120000011/0001121781-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178120000011/gthp10q63019.htm,1620598232,18:10:32,20210509
3,2019-03-31,SPRXE,USD,2019-07-11,2019-07-11 16:44:15,Q1,6000.0,0.0,6000.0,13000.0,112000.0,36000.0,167000.0,16000.0,0.0,0.0,0.0,0.0,0.0,221000.0,237000.0,0.0,404000.0,3004000.0,105000.0,0.0,0.0,8580000.0,11689000.0,97000.0,0.0,0.0,4627000.0,4724000.0,0.0,16413000.0,3393000.0,-137856000.0,0.0,118454000.0,-16009000.0,404000.0,0.0,202000.0,196000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178119000058/0001121781-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178119000058/gthp10q33119.htm,1620598232,18:10:32,20210509
4,2018-12-31,SPRXE,USD,2019-05-08,2019-05-08 17:23:45,Q4,0.0,0.0,0.0,13000.0,114000.0,69000.0,196000.0,21000.0,0.0,0.0,0.0,0.0,0.0,19000.0,40000.0,0.0,236000.0,3013000.0,380000.0,0.0,66000.0,7533000.0,10992000.0,5068000.0,0.0,0.0,0.0,5068000.0,0.0,16060000.0,2877000.0,-137634000.0,0.0,118933000.0,-15824000.0,236000.0,0.0,5448000.0,5448000.0,https://www.sec.gov/Archives/edgar/data/924515/000165495419005469/0001654954-19-005469-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495419005469/gthp_10k.htm,1620598232,18:10:32,20210509
5,2018-09-30,SPRXE,USD,2018-11-14,2018-11-14 11:46:40,Q3,70000.0,0.0,70000.0,4000.0,265000.0,108000.0,447000.0,27000.0,0.0,0.0,0.0,0.0,0.0,17000.0,44000.0,0.0,491000.0,2971000.0,2354000.0,0.0,35000.0,5305000.0,10665000.0,606000.0,0.0,0.0,3390000.0,3996000.0,0.0,14661000.0,1125000.0,-134883000.0,0.0,119588000.0,-14170000.0,491000.0,0.0,2960000.0,2890000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178118000063/0001121781-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178118000063/gthp10q93018.htm,1620598232,18:10:32,20210509
6,2018-06-30,SPRXE,USD,2018-08-14,2018-08-14 11:25:22,Q2,41000.0,0.0,41000.0,6000.0,280000.0,41000.0,368000.0,32000.0,0.0,0.0,0.0,0.0,0.0,18000.0,50000.0,0.0,418000.0,2961000.0,2347000.0,0.0,17000.0,7235000.0,12560000.0,0.0,0.0,0.0,0.0,0.0,2076000.0,14636000.0,1009000.0,-134129000.0,0.0,118902000.0,-14218000.0,418000.0,0.0,2347000.0,2306000.0,https://www.sec.gov/Archives/edgar/data/924515/000165495418009034/0001654954-18-009034-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495418009034/gthp_10q.htm,1620598232,18:10:32,20210509
7,2018-03-31,SPRXE,USD,2018-05-21,2018-05-21 11:39:06,Q1,76000.0,0.0,76000.0,5000.0,295000.0,90000.0,466000.0,43000.0,0.0,0.0,0.0,0.0,0.0,18000.0,61000.0,0.0,527000.0,2976000.0,2296000.0,0.0,28000.0,6891000.0,12191000.0,0.0,0.0,0.0,0.0,0.0,6274000.0,18465000.0,879000.0,-137506000.0,0.0,118689000.0,-17938000.0,527000.0,0.0,2296000.0,2220000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178118000024/0001121781-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178118000024/gthp10q33118.htm,1620598232,18:10:32,20210509
8,2017-12-31,SPRXE,USD,2018-04-17,2018-04-17 14:27:59,Q4,1000.0,0.0,1000.0,3000.0,265000.0,111000.0,380000.0,49000.0,0.0,0.0,0.0,0.0,0.0,60000.0,109000.0,0.0,489000.0,3019000.0,783000.0,0.0,21000.0,8106000.0,11929000.0,0.0,0.0,0.0,0.0,0.0,7962000.0,19891000.0,791000.0,-138533000.0,0.0,118340000.0,-19402000.0,489000.0,0.0,783000.0,782000.0,https://www.sec.gov/Archives/edgar/data/924515/000165495418004021/0001654954-18-004021-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000165495418004021/gthp_10k.htm,1620598232,18:10:32,20210509
9,2017-09-30,SPRXE,USD,2017-11-20,2017-11-20 17:27:21,Q3,74000.0,0.0,74000.0,0.0,577000.0,179000.0,830000.0,56000.0,0.0,0.0,0.0,0.0,0.0,19000.0,75000.0,0.0,905000.0,2965000.0,2322000.0,0.0,156000.0,5973000.0,11416000.0,0.0,0.0,0.0,0.0,0.0,1834000.0,13250000.0,751000.0,-131319000.0,0.0,118223000.0,-12345000.0,905000.0,0.0,2322000.0,2248000.0,https://www.sec.gov/Archives/edgar/data/924515/000112178117000077/0001121781-17-000077-index.htm,https://www.sec.gov/Archives/edgar/data/924515/000112178117000077/gthp10q93017.htm,1620598232,18:10:32,20210509
