,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,inventory,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,accountPayables,shortTermDebt,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,totalLiabilities,commonStock,retainedEarnings,accumulatedOtherComprehensiveIncomeLoss,othertotalStockholdersEquity,totalStockholdersEquity,totalLiabilitiesAndStockholdersEquity,totalInvestments,totalDebt,netDebt,link,finalLink,timestamp,est_time,est_date
0,2020-03-31,TRSW,USD,2020-04-30,2020-04-30 11:01:53,Q1,206110000.0,0.0,206110000.0,122580000.0,140420000.0,16230000.0,485340000,208440000.0,375670000.0,193260000,568930000,0.0,3630000.0,54080000.0,835080000,0.0,1320420000,59460000,5380000.0,0.0,3630000.0,39660000.0,104500000,444980000.0,0.0,32820000.0,38220000,516020000,24440000.0,644960000,430000.0,-66730000.0,-9680000.0,751440000,675460000,1320420000,0.0,450360000,244250000,https://www.sec.gov/Archives/edgar/data/842633/000084263320000058/0000842633-20-000058-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263320000058/trimas0331202010q.htm,1620599047,18:24:07,20210509
1,2019-12-31,TRSW,USD,2020-02-27,2020-02-27 11:41:01,Q4,172470000.0,0.0,172470000.0,108860000.0,132660000.0,20050000.0,434040000,214330000.0,334640000.0,161390000,496030000,0.0,500000.0,47800000.0,758660000,0.0,1192700000,72670000,5100000.0,0.0,500000.0,42020000.0,119790000,294690000.0,0.0,16830000.0,40810000,352330000,23100000.0,495220000,450000.0,-79850000.0,-6000000.0,782880000,697480000,1192700000,0.0,299790000,127320000,https://www.sec.gov/Archives/edgar/data/842633/000084263320000014/0000842633-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263320000014/trs201910-k.htm,1620599047,18:24:07,20210509
2,2019-09-30,TRSW,USD,2019-11-04,2019-11-04 11:57:59,Q3,57940000.0,0.0,57940000.0,152220000.0,176300000.0,8150000.0,394610000,226640000.0,332670000.0,171380000,504050000,0.0,1100000.0,58810000.0,790600000,0.0,1185210000,80180000,8500000.0,0.0,1100000.0,46590000.0,135270000,294410000.0,0.0,21700000.0,43130000,359240000,28640000.0,523150000,450000.0,-118250000.0,-16450000.0,796310000,662060000,1185210000,0.0,302910000,244970000,https://www.sec.gov/Archives/edgar/data/842633/000084263319000104/0000842633-19-000104-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263319000104/trimas0930201910q.htm,1620599047,18:24:07,20210509
3,2019-06-30,TRSW,USD,2019-07-30,2019-07-30 11:26:08,Q2,40280000.0,0.0,40280000.0,150410000.0,180500000.0,7020000.0,378210000,225630000.0,334780000.0,176910000,511690000,0.0,610000.0,55640000.0,793570000,0.0,1171780000,85570000,8610000.0,0.0,610000.0,41750000.0,135930000,294120000.0,0.0,18780000.0,44550000,357450000,31040000.0,524420000,450000.0,-137360000.0,-16630000.0,800900000,647360000,1171780000,0.0,302730000,262450000,https://www.sec.gov/Archives/edgar/data/842633/000084263319000083/0000842633-19-000083-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263319000083/trimas0630201910q.htm,1620599047,18:24:07,20210509
4,2019-03-31,TRSW,USD,2019-04-30,2019-04-30 12:18:17,Q1,84410000.0,0.0,84410000.0,139360000.0,179170000.0,7020000.0,409960000,197090000.0,325520000.0,173680000,499200000,0.0,380000.0,50450000.0,747120000,0.0,1157080000,96720000,7950000.0,0.0,380000.0,38920000.0,143590000,293840000.0,0.0,10600000.0,37860000,342300000,30680000.0,516570000,460000.0,-159380000.0,-15100000.0,814530000,640510000,1157080000,0.0,301790000,217380000,https://www.sec.gov/Archives/edgar/data/842633/000084263319000035/0000842633-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263319000035/trimas_03312019x10q.htm,1620599047,18:24:07,20210509
5,2018-12-31,TRSW,USD,2019-02-28,2019-02-28 13:29:02,Q4,108150000.0,0.0,108150000.0,123110000.0,173120000.0,7430000.0,411810000,187800000.0,316650000.0,174530000,491180000,0.0,1080000.0,8650000.0,688710000,0.0,1100520000,93430000,0.0,0.0,1080000.0,48300000.0,141730000,293560000.0,0.0,5560000.0,39220000,338340000,0.0,480070000,460000.0,-179660000.0,-16850000.0,816500000,620450000,1100520000,0.0,293560000,185410000,https://www.sec.gov/Archives/edgar/data/842633/000084263319000010/0000842633-19-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263319000010/trs201810-k.htm,1620599047,18:24:07,20210509
6,2018-09-30,TRSW,USD,2018-10-30,2018-10-30 11:15:13,Q3,79630000.0,0.0,79630000.0,132630000.0,165470000.0,8360000.0,386090000,185080000.0,316730000.0,179280000,496010000,0.0,0.0,9390000.0,690480000,0.0,1076570000,77780000,0.0,0.0,6060000.0,50260000.0,128040000,293290000.0,0.0,6060000.0,41690000,341040000,0.0,469080000,460000.0,-196370000.0,-18880000.0,822280000,607490000,1076570000,0.0,293290000,213660000,https://www.sec.gov/Archives/edgar/data/842633/000084263318000076/0000842633-18-000076-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263318000076/trimas_09302018x10q.htm,1620599047,18:24:07,20210509
7,2018-06-30,TRSW,USD,2018-08-07,2018-08-07 14:36:30,Q2,53400000.0,0.0,53400000.0,132500000.0,160680000.0,6960000.0,353540000,187070000.0,317700000.0,184290000,501990000,0.0,2270000.0,8990000.0,700320000,0.0,1053860000,80970000,0.0,0.0,2270000.0,45040000.0,126010000,293010000.0,0.0,5480000.0,43670000,342160000,0.0,468170000,460000.0,-219040000.0,-16900000.0,821170000,585690000,1053860000,0.0,293010000,239610000,https://www.sec.gov/Archives/edgar/data/842633/000084263318000066/0000842633-18-000066-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263318000066/trimas_06302018x10q.htm,1620599047,18:24:07,20210509
8,2018-03-31,TRSW,USD,2018-04-27,2018-04-27 10:23:37,Q1,36670000.0,0.0,36670000.0,128850000.0,156560000.0,10840000.0,332920000,188440000.0,320210000.0,189260000,509470000,0.0,5280000.0,9020000.0,712210000,0.0,1045130000,73020000,0.0,0.0,5280000.0,44720000.0,117740000,301710000.0,0.0,5710000.0,54190000,361610000,0.0,479350000,460000.0,-238640000.0,-18810000.0,822770000,565780000,1045130000,0.0,301710000,265040000,https://www.sec.gov/Archives/edgar/data/842633/000084263318000026/0000842633-18-000026-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263318000026/trimas_03312018x10q.htm,1620599047,18:24:07,20210509
9,2017-12-31,TRSW,USD,2018-02-27,2018-02-27 12:59:10,Q4,27580000.0,0.0,27580000.0,112220000.0,155350000.0,16120000.0,311270000,190250000.0,319390000.0,194220000,513610000,0.0,9100000.0,8970000.0,721930000,0.0,1033200000,72410000,0.0,0.0,9100000.0,49470000.0,121880000,303080000.0,0.0,5650000.0,58570000,367300000,0.0,489180000,460000.0,-262960000.0,-17330000.0,823850000,544020000,1033200000,0.0,303080000,275500000,https://www.sec.gov/Archives/edgar/data/842633/000084263318000010/0000842633-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263318000010/trs201710-k.htm,1620599047,18:24:07,20210509
10,2017-09-30,TRSW,USD,2017-10-26,2017-10-26 12:09:27,Q3,24760000.0,0.0,24760000.0,125410000.0,160180000.0,8800000.0,319150000,185800000.0,318730000.0,199150000,517880000,0.0,0.0,30500000.0,734180000,0.0,1053330000,77720000,0.0,0.0,5750000.0,41600000.0,119320000,336560000.0,0.0,5750000.0,44740000,387050000,0.0,506370000,460000.0,-258950000.0,-16740000.0,822190000,546960000,1053330000,0.0,336560000,311800000,https://www.sec.gov/Archives/edgar/data/842633/000084263317000102/0000842633-17-000102-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263317000102/trimas_09302017x10q.htm,1620599047,18:24:07,20210509
11,2017-06-30,TRSW,USD,2017-07-27,2017-07-27 11:33:34,Q2,22680000.0,0.0,22680000.0,123790000.0,156330000.0,9770000.0,312570000,183760000.0,317850000.0,204110000,521960000,0.0,0.0,34840000.0,740560000,0.0,1053130000,77060000,13760000.0,0.0,8200000.0,42160000.0,132980000,332740000.0,0.0,8200000.0,50750000,391690000,0.0,524670000,460000.0,-272080000.0,-20360000.0,820440000,528460000,1053130000,0.0,346500000,323820000,https://www.sec.gov/Archives/edgar/data/842633/000084263317000084/0000842633-17-000084-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263317000084/trimas_06302017x10q.htm,1620599047,18:24:07,20210509
12,2017-03-31,TRSW,USD,2017-04-27,2017-04-27 11:35:13,Q1,22640000.0,0.0,22640000.0,119240000.0,159010000.0,7980000.0,308870000,184000000.0,316110000.0,209100000,525210000,0.0,0.0,34810000.0,744020000,0.0,1052890000,76850000,13770000.0,0.0,8070000.0,40880000.0,131500000,353110000.0,0.0,8070000.0,50130000,411310000,0.0,542810000,460000.0,-286930000.0,-22050000.0,818600000,510080000,1052890000,0.0,366880000,344240000,https://www.sec.gov/Archives/edgar/data/842633/000084263317000059/0000842633-17-000059-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263317000059/trimas_03312017x10q.htm,1620599047,18:24:07,20210509
13,2016-12-31,TRSW,USD,2017-02-28,2017-02-28 13:47:48,Q4,20710000.0,0.0,20710000.0,111570000.0,160460000.0,16060000.0,308800000,179160000.0,315080000.0,213920000,529000000,0.0,0.0,34690000.0,742850000,0.0,1051650000,72270000,13810000.0,0.0,5910000.0,47190000.0,133270000,360840000.0,0.0,5910000.0,51910000,418660000,0.0,551930000,460000.0,-293920000.0,-24400000.0,817580000,499720000,1051650000,0.0,374650000,353940000,https://www.sec.gov/Archives/edgar/data/842633/000084263317000010/0000842633-17-000010-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263317000010/trs201610-k.htm,1620599047,18:24:07,20210509
14,2016-09-30,TRSW,USD,2016-10-27,2016-10-27 13:29:39,Q3,22550000.0,0.0,22550000.0,130440000.0,171260000.0,7530000.0,331780000,182000000.0,377380000.0,258400000,635780000,0.0,0.0,8840000.0,826620000,0.0,1158400000,76140000,13840000.0,0.0,9530000.0,45950000.0,135930000,388580000.0,0.0,9530000.0,57350000,455460000,0.0,591390000,460000.0,-226560000.0,-22810000.0,815920000,567010000,1158400000,0.0,402420000,379870000,https://www.sec.gov/Archives/edgar/data/842633/000084263316000271/0000842633-16-000271-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000271/trimas_09302016x10q.htm,1620599047,18:24:07,20210509
15,2016-06-30,TRSW,USD,2016-07-28,2016-07-28 16:10:58,Q2,23660000.0,0.0,23660000.0,124620000.0,165800000.0,7440000.0,321520000,178660000.0,377430000.0,263510000,640940000,0.0,0.0,9080000.0,828680000,0.0,1150200000,77820000,13820000.0,0.0,8320000.0,41690000.0,133330000,392460000.0,0.0,8320000.0,57890000,458670000,0.0,592000000,450000.0,-235340000.0,-22030000.0,815120000,558200000,1150200000,0.0,406280000,382620000,https://www.sec.gov/Archives/edgar/data/842633/000084263316000251/0000842633-16-000251-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000251/trimas_06302016x10q.htm,1620599047,18:24:07,20210509
16,2016-03-31,TRSW,USD,2016-04-28,2016-04-28 13:43:57,Q1,25420000.0,0.0,25420000.0,131630000.0,167320000.0,10070000.0,334440000,179670000.0,379250000.0,268720000,647970000,0.0,0.0,9500000.0,837140000,0.0,1171580000,75050000,13840000.0,0.0,9100000.0,41940000.0,130830000,424010000.0,0.0,9100000.0,56920000,490030000,0.0,620860000,450000.0,-245820000.0,-16770000.0,812860000,550720000,1171580000,0.0,437850000,412430000,https://www.sec.gov/Archives/edgar/data/842633/000084263316000232/0000842633-16-000232-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000232/trimas_03312016x10q.htm,1620599047,18:24:07,20210509
17,2015-12-31,TRSW,USD,2016-02-26,2016-02-26 16:38:32,Q4,19450000.0,0.0,19450000.0,121990000.0,167370000.0,17810000.0,326620000,181130000.0,378920000.0,273870000,652790000,0.0,0.0,9760000.0,843680000,0.0,1170300000,88420000,13850000.0,0.0,11260000.0,50480000.0,152750000,405780000.0,0.0,11260000.0,53320000,470360000,0.0,623110000,450000.0,-254120000.0,-11300000.0,812160000,547190000,1170300000,0.0,419630000,400180000,https://www.sec.gov/Archives/edgar/data/842633/000084263316000176/0000842633-16-000176-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263316000176/trs201510-k.htm,1620599047,18:24:07,20210509
18,2015-09-30,TRSW,USD,2015-10-29,2015-10-29 16:03:39,Q3,22460000.0,0.0,22460000.0,144600000.0,176410000.0,36580000.0,380050000,174320000.0,455430000.0,281230000,736660000,0.0,24030000.0,-2100000.0,932910000,0.0,1312960000,84060000,13860000.0,0.0,24030000.0,61870000.0,159790000,445560000.0,0.0,42350000.0,57400000,545310000,0.0,705100000,450000.0,-193320000.0,-9470000.0,810200000,607860000,1312960000,0.0,459420000,436960000,https://www.sec.gov/Archives/edgar/data/842633/000084263315000141/0000842633-15-000141-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000141/trimas_09302015x10q.htm,1620599047,18:24:07,20210509
19,2015-06-30,TRSW,USD,2015-08-04,2015-08-04 15:33:38,Q2,26170000.0,0.0,26170000.0,140150000.0,179670000.0,42880000.0,388870000,176970000.0,457720000.0,286700000,744420000,0.0,24030000.0,720000.0,946140000,0.0,1335010000,106380000,10460000.0,0.0,24030000.0,59850000.0,176690000,453490000.0,0.0,46130000.0,56560000,556180000,0.0,732870000,450000.0,-205030000.0,-1730000.0,808450000,602140000,1335010000,0.0,463950000,437780000,https://www.sec.gov/Archives/edgar/data/842633/000084263315000106/0000842633-15-000106-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000106/trimas_063015x10q.htm,1620599047,18:24:07,20210509
20,2015-03-31,TRSW,USD,2015-04-28,2015-04-28 16:51:52,Q1,23730000.0,0.0,23730000.0,220380000.0,301440000.0,46350000.0,591900000,228170000.0,461700000.0,354840000,816540000,0.0,28720000.0,8410000.0,1081840000,0.0,1673740000,174710000,23590000.0,0.0,28720000.0,90730000.0,289030000,647910000.0,0.0,54250000.0,84030000,786190000,0.0,1075220000,450000.0,-212870000.0,3540000.0,807400000,598520000,1673740000,0.0,671500000,647770000,https://www.sec.gov/Archives/edgar/data/842633/000084263315000075/0000842633-15-000075-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000075/trimas_033115x10q.htm,1620599047,18:24:07,20210509
21,2014-12-31,TRSW,USD,2015-02-26,2015-02-25 17:32:28,Q4,24420000.0,0.0,24420000.0,196320000.0,294630000.0,43250000.0,558620000,232650000.0,466660000.0,363930000,830590000,0.0,28870000.0,11020000.0,1103130000,0.0,1661750000,185010000,23860000.0,0.0,28870000.0,101050000.0,309920000,615470000.0,0.0,55290000.0,90440000,761200000,0.0,1071120000,450000.0,-226850000.0,10220000.0,806810000,590630000,1661750000,0.0,639330000,614910000,https://www.sec.gov/Archives/edgar/data/842633/000084263315000016/0000842633-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263315000016/trs201410-k.htm,1620599047,18:24:07,20210509
22,2014-09-30,TRSW,USD,2014-10-28,2014-10-28 16:47:23,Q3,30070000.0,0.0,30070000.0,222140000.0,262810000.0,37170000.0,552190000,214550000.0,321550000.0,207590000,529140000,0.0,18340000.0,27030000.0,789060000,0.0,1341250000,166200000,11430000.0,0.0,18340000.0,85880000.0,263510000,329690000.0,0.0,52930000.0,94410000,477030000,0.0,740540000,450000.0,-228320000.0,22630000.0,805950000,600710000,1341250000,0.0,341120000,311050000,https://www.sec.gov/Archives/edgar/data/842633/000084263314000148/0000842633-14-000148-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263314000148/trimas_093014x10q.htm,1620599047,18:24:07,20210509
23,2014-06-30,TRSW,USD,2014-07-31,2014-07-31 16:08:18,Q2,38380000.0,0.0,38380000.0,246340000.0,260950000.0,37120000.0,582790000,212130000.0,312270000.0,209910000,522180000,0.0,18340000.0,29200000.0,781850000,0.0,1364640000,175300000,14570000.0,0.0,18340000.0,79440000.0,269310000,353910000.0,0.0,54180000.0,100980000,509070000,0.0,778380000,450000.0,-250550000.0,32820000.0,803540000,586260000,1364640000,0.0,368480000,330100000,https://www.sec.gov/Archives/edgar/data/842633/000084263314000124/0000842633-14-000124-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263314000124/trimas_063014x10q.htm,1620599047,18:24:07,20210509
24,2014-03-31,TRSW,USD,2014-04-29,2014-04-29 15:41:03,Q1,31820000.0,0.0,31820000.0,226380000.0,269900000.0,38120000.0,566220000,208360000.0,310700000.0,214760000,525460000,0.0,18340000.0,30570000.0,782730000,0.0,1348950000,159460000,14000000.0,0.0,18340000.0,80240000.0,253700000,384190000.0,0.0,53920000.0,102270000,540380000,0.0,794080000,450000.0,-276750000.0,30200000.0,800970000,554870000,1348950000,0.0,398190000,366370000,https://www.sec.gov/Archives/edgar/data/842633/000084263314000079/0000842633-14-000079-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263314000079/trimas_033114x10q.htm,1620599047,18:24:07,20210509
25,2013-12-31,TRSW,USD,2014-02-20,2014-02-20 16:57:50,Q4,27000000.0,0.0,27000000.0,180210000.0,270690000.0,37110000.0,515010000,206150000.0,309660000.0,219530000,529190000,0.0,18340000.0,32090000.0,785770000,0.0,1300780000,166090000,10290000.0,0.0,18340000.0,85130000.0,261510000,295450000.0,0.0,64940000.0,99990000,460380000,29480000.0,751370000,450000.0,-295320000.0,27830000.0,816450000,549410000,1300780000,0.0,305740000,278740000,https://www.sec.gov/Archives/edgar/data/842633/000084263314000015/0000842633-14-000015-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263314000015/trs201310-k.htm,1620599047,18:24:07,20210509
26,2013-09-30,TRSW,USD,2013-10-28,2013-10-28 14:56:06,Q3,209350000.0,0.0,209350000.0,201110000.0,249630000.0,35650000.0,695740000,206730000.0,290270000.0,200310000,490580000,0.0,17690000.0,21580000.0,736580000,0.0,1432320000,152460000,21600000.0,0.0,17690000.0,83090000.0,257150000,458140000.0,0.0,63310000.0,80940000,602390000,27960000.0,887500000,450000.0,-302170000.0,31270000.0,815270000,544820000,1432320000,0.0,479740000,270390000,https://www.sec.gov/Archives/edgar/data/842633/000084263313000185/0000842633-13-000185-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263313000185/trimas_093013x10q.htm,1620599047,18:24:07,20210509
27,2013-06-30,TRSW,USD,2013-07-25,2013-07-25 11:18:36,Q2,18830000.0,0.0,18830000.0,207860000.0,246060000.0,30760000.0,503510000,200330000.0,285360000.0,208850000,494210000,0.0,17990000.0,23280000.0,735810000,0.0,1239320000,163830000,20840000.0,0.0,17990000.0,74120000.0,258790000,459810000.0,0.0,65160000.0,87140000,612110000,27200000.0,898100000,400000.0,-330800000.0,33790000.0,637830000,341220000,1239320000,0.0,480650000,461820000,https://www.sec.gov/Archives/edgar/data/842633/000084263313000149/0000842633-13-000149-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263313000149/trimas_063013x10q.htm,1620599047,18:24:07,20210509
28,2013-03-31,TRSW,USD,2013-04-25,2013-04-25 14:10:56,Q1,21260000.0,0.0,21260000.0,193160000.0,247880000.0,31950000.0,494250000,194620000.0,284380000.0,210970000,495350000,0.0,18270000.0,18130000.0,726370000,0.0,1220620000,147500000,22530000.0,0.0,18270000.0,70340000.0,240370000,483700000.0,0.0,63150000.0,90570000,637420000,27090000.0,904880000,400000.0,-357690000.0,38000000.0,635030000,315740000,1220620000,0.0,506230000,484970000,https://www.sec.gov/Archives/edgar/data/842633/000084263313000097/0000842633-13-000097-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263313000097/trimas_033113x10q.htm,1620599047,18:24:07,20210509
29,2012-12-31,TRSW,USD,2013-02-26,2013-02-26 13:23:18,Q4,20580000.0,0.0,20580000.0,150390000.0,238020000.0,28800000.0,437790000,185030000.0,270940000.0,206160000,477100000,0.0,18270000.0,12770000.0,693170000,0.0,1130960000,158410000,14370000.0,0.0,18270000.0,74420000.0,247200000,408070000.0,0.0,60370000.0,84960000,553400000,26780000.0,827380000,390000.0,-370870000.0,39260000.0,634800000,303580000,1130960000,0.0,422440000,401860000,https://www.sec.gov/Archives/edgar/data/842633/000084263313000015/0000842633-13-000015-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263313000015/trs201210-k.htm,1620599047,18:24:07,20210509
30,2012-09-30,TRSW,USD,2012-10-25,2012-10-25 13:05:32,Q3,26090000.0,0.0,26090000.0,185040000.0,220450000.0,28660000.0,460240000,180100000.0,269260000.0,208910000,478170000,0.0,18510000.0,8270000.0,685050000,0.0,1145290000,148890000,17950000.0,0.0,18510000.0,79480000.0,246320000,412040000.0,0.0,66340000.0,78780000,557160000,26370000.0,829850000,390000.0,-356930000.0,40730000.0,631250000,315440000,1145290000,0.0,429990000,403900000,https://www.sec.gov/Archives/edgar/data/842633/000084263312000074/0000842633-12-000074-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000074/trimas_093012x10q.htm,1620599047,18:24:07,20210509
31,2012-06-30,TRSW,USD,2012-07-30,2012-07-30 12:35:46,Q2,29280000.0,0.0,29280000.0,186720000.0,214030000.0,30060000.0,460090000,173210000.0,249670000.0,196570000,446240000,0.0,18510000.0,3520000.0,641480000,0.0,1101570000,169670000,8360000.0,0.0,18510000.0,67670000.0,245700000,412460000.0,0.0,64650000.0,62050000,539160000,25490000.0,810350000,390000.0,-375600000.0,38510000.0,627920000,291220000,1101570000,0.0,420820000,391540000,https://www.sec.gov/Archives/edgar/data/842633/000084263312000045/0000842633-12-000045-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000045/trimas_063012x10q.htm,1620599047,18:24:07,20210509
32,2012-03-31,TRSW,USD,2012-04-26,2012-04-26 12:33:53,Q1,14960000.0,0.0,14960000.0,179820000.0,198500000.0,31900000.0,425180000,165900000.0,251330000.0,201540000,452870000,0.0,18510000.0,4800000.0,642080000,0.0,1067260000,144580000,12980000.0,0.0,18510000.0,71910000.0,229470000,486160000.0,0.0,65370000.0,62690000,614220000,25390000.0,869080000,350000.0,-392260000.0,43800000.0,546290000,198180000,1067260000,0.0,499140000,484180000,https://www.sec.gov/Archives/edgar/data/842633/000084263312000027/0000842633-12-000027-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000027/trimas_033112x10q.htm,1620599047,18:24:07,20210509
33,2011-12-31,TRSW,USD,2012-02-27,2012-02-27 12:20:55,Q4,88920000.0,0.0,88920000.0,135610000.0,178030000.0,29130000.0,431690000,159210000.0,215360000.0,155670000,371030000,0.0,18510000.0,6100000.0,554850000,0.0,986540000,146930000,7290000.0,0.0,18510000.0,70140000.0,224360000,462610000.0,0.0,64780000.0,61000000,588390000,0.0,812750000,350000.0,-404750000.0,39580000.0,538610000,173790000,986540000,0.0,469900000,380980000,https://www.sec.gov/Archives/edgar/data/842633/000084263312000012/0000842633-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263312000012/trs201110-k.htm,1620599047,18:24:07,20210509
34,2011-09-30,TRSW,USD,2011-10-27,2011-10-27 13:39:43,Q3,10540000.0,0.0,10540000.0,151970000.0,173770000.0,63160000.0,399440000,157180000.0,215920000.0,158870000,374790000,0.0,23590000.0,2860000.0,558420000,0.0,957860000,119420000,2920000.0,0.0,23590000.0,78090000.0,200430000,473040000.0,0.0,67790000.0,54210000,595040000,0.0,795470000,340000.0,-418000000.0,42470000.0,537580000,162390000,957860000,0.0,475960000,465420000,https://www.sec.gov/Archives/edgar/data/842633/000084263311000032/0000842633-11-000032-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263311000032/trimas_093011x10q.htm,1620599047,18:24:07,20210509
35,2011-06-30,TRSW,USD,2011-07-28,2011-07-28 15:40:48,Q2,10070000.0,0.0,10070000.0,171070000.0,175660000.0,34180000.0,390980000,169440000.0,208500000.0,154070000,362570000,0.0,25090000.0,1800000.0,558900000,0.0,949880000,136570000,4900000.0,0.0,25090000.0,62900000.0,204370000,473500000.0,0.0,61650000.0,56050000,591200000,0.0,795570000,340000.0,-436270000.0,53750000.0,536490000,154310000,949880000,0.0,478400000,468330000,https://www.sec.gov/Archives/edgar/data/842633/000084263311000018/0000842633-11-000018-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263311000018/trimas_063011x10q.htm,1620599047,18:24:07,20210509
36,2011-03-31,TRSW,USD,2011-04-28,2011-04-28 14:36:13,Q1,14910000.0,0.0,14910000.0,0.0,164640000.0,197440000.0,376990000,168950000.0,207910000.0,156570000,364480000,0.0,0.0,0.0,533430000,24900000.0,935320000,123930000,0.0,0.0,28240000.0,55190000.0,207360000,19270000.0,0.0,0.0,54880000,74150000,522870000.0,804380000,340000.0,0.0,51100000.0,79500000,130940000,935320000,0.0,495640000,480730000,https://www.sec.gov/Archives/edgar/data/842633/000084263311000004/0000842633-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000084263311000004/trimas03311110q.htm,1620599047,18:24:07,20210509
37,2010-12-31,TRSW,USD,2011-02-28,2011-02-28 08:34:42,Q4,46370000.0,0.0,46370000.0,0.0,161300000.0,159100000.0,366770000,167510000.0,205890000.0,159930000,365820000,0.0,0.0,0.0,533330000,24060000.0,924160000,128300000,0.0,0.0,34500000.0,51630000.0,214430000,17730000.0,0.0,0.0,56610000,74340000,523070000.0,811840000,340000.0,0.0,46060000.0,65920000,112320000,924160000,0.0,494650000,448280000,https://www.sec.gov/Archives/edgar/data/842633/000104746911001479/0001047469-11-001479-index.htm,https://www.sec.gov/Archives/edgar/data/842633/000104746911001479/a2202276z10-k.htm,1620599047,18:24:07,20210509
