,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2021-01-31,2M6.DE,USD,2021-01-31,2021-01-31,Q1,1279000000.0,678000000.0,-139000000.0,65000000.0,407000000.0,219000000.0,70000000.0,0.0,-303000000.0,49000000.0,2356000000.0,-363000000,0.0,-4088000000.0,2416000000.0,-132000000.0,0.0,-369000000.0,195000000.0,-9000000.0,-781000000.0,-34000000.0,-998000000.0,72000000.0,-1343000000.0,5077000000.0,6420000000.0,2356000000.0,-363000000,1993000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
1,2020-10-31,2M6.DE,USD,2020-10-31,2020-10-31,Q4,489000000.0,671000000.0,-72000000.0,140000000.0,227000000.0,-527000000.0,90000000.0,0.0,15000000.0,44000000.0,1861000000.0,-281000000,0.0,-3315000000.0,1934000000.0,12000000.0,-2020000000.0,-6366000000.0,93000000.0,-68000000.0,-780000000.0,-19000000.0,32000000.0,48000000.0,-79000000.0,6420000000.0,6499000000.0,1861000000.0,-281000000,1580000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
2,2020-07-31,2M6.DE,USD,2020-07-31,2020-07-31,Q3,487000000.0,669000000.0,3000000.0,70000000.0,-1060000000.0,-142000000.0,-235000000.0,0.0,-142000000.0,68000000.0,278000000.0,-334000000,0.0,-2045000000.0,2403000000.0,-16000000.0,8000000.0,-27000000.0,26000000.0,0.0,-778000000.0,-51000000.0,1959000000.0,114000000.0,2359000000.0,6499000000.0,4140000000.0,278000000.0,-334000000,-56000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
3,2020-04-30,2M6.DE,USD,2020-04-30,2020-04-30,Q2,646000000.0,672000000.0,-522000000.0,62000000.0,490000000.0,1410000000.0,-231000000.0,0.0,-542000000.0,77000000.0,1450000000.0,-336000000,0.0,-2790000000.0,3783000000.0,-3000000.0,365000000.0,-504000000.0,77000000.0,-118000000.0,-724000000.0,-7000000.0,-1310000000.0,-74000000.0,431000000.0,4140000000.0,3709000000.0,1450000000.0,-336000000,1114000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
4,2020-01-31,2M6.DE,USD,2020-01-31,2020-01-31,Q1,1915000000.0,663000000.0,-548000000.0,66000000.0,263000000.0,-158000000.0,-79000000.0,0.0,103000000.0,21000000.0,2407000000.0,-293000000,0.0,-4023000000.0,2531000000.0,-18000000.0,-1801000000.0,-12000000.0,153000000.0,-246000000.0,-723000000.0,-20000000.0,-873000000.0,14000000.0,-253000000.0,3709000000.0,3962000000.0,2407000000.0,-293000000,2114000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
5,2019-10-31,2M6.DE,USD,2019-10-31,2019-10-31,Q4,1364000000.0,671000000.0,-263000000.0,108000000.0,-100000000.0,-280000000.0,-145000000.0,0.0,-10000000.0,61000000.0,1867000000.0,-283000000,0.0,-2557000000.0,1691000000.0,-11000000.0,-1216000000.0,-559000000.0,222000000.0,-629000000.0,-723000000.0,-7000000.0,-1741000000.0,-28000000.0,-1118000000.0,3962000000.0,5080000000.0,1867000000.0,-283000000,1584000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
6,2019-07-31,2M6.DE,USD,2019-07-31,2019-07-31,Q3,864000000.0,657000000.0,18000000.0,61000000.0,-592000000.0,319000000.0,-122000000.0,0.0,-160000000.0,58000000.0,1510000000.0,-301000000,0.0,-1669000000.0,1569000000.0,-5000000.0,-551000000.0,-5035000000.0,210000000.0,-333000000.0,-724000000.0,-47000000.0,-274000000.0,2000000.0,687000000.0,5080000000.0,4393000000.0,1510000000.0,-301000000,1209000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
7,2019-04-30,2M6.DE,USD,2019-04-30,2019-04-30,Q2,1172000000.0,667000000.0,-99000000.0,62000000.0,-351000000.0,-441000000.0,93000000.0,0.0,-191000000.0,146000000.0,2087000000.0,-335000000,0.0,-545000000.0,524000000.0,39000000.0,-529000000.0,-8632000000.0,101000000.0,-149000000.0,-671000000.0,4000000.0,-860000000.0,-8000000.0,690000000.0,4393000000.0,3703000000.0,2087000000.0,-335000000,1752000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
8,2019-01-31,2M6.DE,USD,2019-01-31,2019-01-31,Q1,1269000000.0,675000000.0,-125000000.0,60000000.0,95000000.0,-103000000.0,-55000000.0,0.0,66000000.0,56000000.0,2055000000.0,-302000000,0.0,-543000000.0,1335000000.0,0.0,-1009000000.0,-12000000.0,91000000.0,-681000000.0,-671000000.0,-1000000.0,-1268000000.0,14000000.0,-208000000.0,3703000000.0,3911000000.0,2055000000.0,-302000000,1753000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
9,2018-10-31,2M6.DE,USD,2018-10-31,2018-10-31,Q4,1115000000.0,651000000.0,-83000000.0,104000000.0,-698000000.0,-175000000.0,-132000000.0,0.0,-330000000.0,52000000.0,1163000000.0,-206000000,0.0,-462000000.0,804000000.0,0.0,121000000.0,-5000000.0,350000000.0,-1223000000.0,-674000000.0,16000000.0,-1730000000.0,-23000000.0,-469000000.0,3911000000.0,4380000000.0,1163000000.0,-206000000,957000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585573,14:39:33,20210509
