,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,6MK.DE,USD,2020-12-31,2020-12-31,Q4,-2091000000,904000000.0,-715000000.0,121000000.0,1048000000.0,0.0,0.0,0.0,0.0,3056000000.0,4006000000,0.0,0.0,-1017000000.0,918000000.0,-11000000.0,0.0,-3000000.0,0.0,0.0,-1542000000,36000000.0,1372000000,164000000.0,764000000.0,8165000000.0,7401000000.0,4006000000,-1514000000,2492000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
1,2020-09-30,6MK.DE,USD,2020-09-30,2020-09-30,Q3,2944000000,852000000.0,-75000000.0,125000000.0,-1445000000.0,0.0,0.0,0.0,0.0,-243000000.0,2173000000,0.0,0.0,-1000000.0,2000000.0,-54000000.0,-2155000000.0,-2000000.0,0.0,0.0,-1545000000,-28000000.0,-3851000000,87000000.0,-3746000000.0,7401000000.0,11147000000.0,2173000000,-1516000000,657000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
2,2020-06-30,6MK.DE,USD,2020-06-30,2020-06-30,Q2,3010000000,1048000000.0,40000000.0,121000000.0,-527000000.0,0.0,0.0,0.0,0.0,-345000000.0,3367000000,0.0,0.0,-28000000.0,76000000.0,59000000.0,-882000000.0,-1000000.0,0.0,0.0,-1577000000,-128000000.0,1137000000,65000000.0,3687000000.0,11147000000.0,7460000000.0,3367000000,-668000000,2699000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
3,2020-03-31,6MK.DE,USD,2020-03-31,2020-03-31,Q1,3219000000,821000000.0,82000000.0,108000000.0,-3666000000.0,0.0,0.0,0.0,0.0,143000000.0,707000000,0.0,0.0,-49000000.0,1816000000.0,136000000.0,-1628000000.0,-1951000000.0,0.0,-1281000000.0,-1551000000,-316000000.0,-1490000000,-63000000.0,-2474000000.0,7460000000.0,9934000000.0,707000000,-986000000,-279000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
4,2019-12-31,6MK.DE,USD,2019-12-31,2019-12-31,Q4,2363000000,936000000.0,-170000000.0,111000000.0,1402000000.0,0.0,0.0,0.0,0.0,-24000000.0,4794000000,0.0,0.0,-822000000.0,1163000000.0,58000000.0,-763000000.0,0.0,0.0,-1050000000.0,-1405000000,245000000.0,-2011000000,43000000.0,2063000000.0,9934000000.0,7871000000.0,4794000000,-1137000000,3657000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
5,2019-09-30,6MK.DE,USD,2019-09-30,2019-09-30,Q3,1908000000,845000000.0,-237000000.0,102000000.0,-91000000.0,0.0,0.0,0.0,0.0,1087000000.0,4226000000,0.0,0.0,-570000000.0,2524000000.0,235000000.0,191000000.0,0.0,0.0,-1405000000.0,-1394000000,-33000000.0,-3152000000,-54000000.0,1211000000.0,7871000000.0,6660000000.0,4226000000,-959000000,3267000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
6,2019-06-30,6MK.DE,USD,2019-06-30,2019-06-30,Q2,2644000000,973000000.0,-343000000.0,111000000.0,-443000000.0,0.0,0.0,0.0,0.0,-6000000.0,3084000000,0.0,0.0,-836000000.0,3036000000.0,47000000.0,-2425000000.0,0.0,0.0,-1235000000.0,-1468000000,-115000000.0,-2084000000,8000000.0,-1417000000.0,6660000000.0,8077000000.0,3084000000,-782000000,2302000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
7,2019-03-31,6MK.DE,USD,2019-03-31,2019-03-31,Q1,2862000000,898000000.0,194000000.0,93000000.0,-2935000000.0,0.0,0.0,0.0,0.0,120000000.0,1336000000,0.0,0.0,-974000000.0,1899000000.0,38000000.0,368000000.0,0.0,0.0,-1090000000.0,-1428000000,-92000000.0,-1614000000,20000000.0,110000000.0,8077000000.0,7967000000.0,1336000000,-595000000,741000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
8,2018-12-31,6MK.DE,USD,2018-12-31,2018-12-31,Q4,1778000000,1095000000.0,-118000000.0,87000000.0,481000000.0,0.0,0.0,0.0,0.0,-27000000.0,3592000000,0.0,0.0,-1095000000.0,4009000000.0,252000000.0,2178000000.0,-1280000000.0,0.0,-5933000000.0,-1277000000,-36000000.0,-5566000000,-65000000.0,139000000.0,7967000000.0,7828000000.0,3592000000,-929000000,2663000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
9,2018-09-30,6MK.DE,USD,2018-09-30,2018-09-30,Q3,1958000000,1061000000.0,-133000000.0,91000000.0,-760000000.0,0.0,0.0,0.0,0.0,576000000.0,2793000000,0.0,0.0,-1651000000.0,3840000000.0,124000000.0,1660000000.0,1000000.0,0.0,-996000000.0,-1285000000,-12000000.0,-1905000000,-32000000.0,2516000000.0,7828000000.0,5312000000.0,2793000000,-653000000,2140000000,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620585748,14:42:28,20210509
