,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,8029.HK,HKD,2020-09-30,2020-09-30,Q3,-15056750.0,1896000.0,0.0,0.0,5303000.0,0.0,0.0,0.0,0.0,8607750.0,6495750.0,-752500.0,,0.0,0.0,49000.0,0.0,-2250000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4750.0,27626500.0,27631250.0,6495750.0,-752500.0,5743250.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
1,2020-06-30,8029.HK,HKD,2020-06-30,2020-06-30,Q2,-15056750.0,1896000.0,0.0,0.0,5303000.0,0.0,0.0,0.0,0.0,8607750.0,6495750.0,-752500.0,,0.0,0.0,49000.0,0.0,-2250000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4750.0,27626500.0,27631250.0,6495750.0,-752500.0,5743250.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
2,2020-03-31,8029.HK,HKD,2020-03-31,2020-03-31,Q1,-15056750.0,1896000.0,0.0,0.0,5303000.0,0.0,0.0,0.0,0.0,8607750.0,6495750.0,-752500.0,,0.0,0.0,49000.0,0.0,-2250000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4750.0,27626500.0,27631250.0,6495750.0,-752500.0,5743250.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
3,2020-01-31,8029.HK,HKD,2020-01-31,2020-01-31,Q1,-15056750.0,1896000.0,0.0,0.0,5303000.0,0.0,0.0,0.0,0.0,8607750.0,6495750.0,-752500.0,,0.0,0.0,49000.0,0.0,-2250000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4750.0,27626500.0,27631250.0,6495750.0,-752500.0,5743250.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
4,2019-06-30,8029.HK,HKD,2019-06-30,2019-06-30,Q2,-25745250.0,681250.0,0.0,0.0,23146500.0,0.0,0.0,0.0,0.0,10440250.0,13772000.0,-2916000.0,,0.0,0.0,6002750.0,0.0,-16250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6089250.0,27631250.0,21542000.0,13772000.0,-2916000.0,10856000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
5,2019-03-31,8029.HK,HKD,2019-03-31,2019-03-31,Q1,-25745250.0,681250.0,0.0,0.0,23146500.0,0.0,0.0,0.0,0.0,10440250.0,13772000.0,-2916000.0,,0.0,0.0,6002750.0,0.0,-16250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6089250.0,27631250.0,21542000.0,13772000.0,-2916000.0,10856000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
6,2019-01-31,8029.HK,HKD,2019-01-31,2019-01-31,Q1,-25745250.0,681250.0,0.0,0.0,23146500.0,0.0,0.0,0.0,0.0,10440250.0,13772000.0,-2916000.0,,0.0,0.0,6002750.0,0.0,-16250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6089250.0,27631250.0,21542000.0,13772000.0,-2916000.0,10856000.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
7,2018-06-30,8029.HK,HKD,2018-06-30,2018-06-30,Q2,-15471216.5,1398640.25,0.0,0.0,66635109.5,0.0,55569.75,0.0,0.0,6258333.25,59632341.0,-1520939.0,,0.0,0.0,94549044.0,0.0,-54250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6078413.25,21541944.0,15463530.75,59632341.0,-1520939.0,58111402.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
8,2018-03-31,8029.HK,HKD,2018-03-31,2018-03-31,Q1,-15471216.5,1398640.25,0.0,0.0,66635109.5,0.0,55569.75,0.0,0.0,6258333.25,59632341.0,-1520939.0,,0.0,0.0,94549044.0,0.0,-54250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6078413.25,21541944.0,15463530.75,59632341.0,-1520939.0,58111402.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
9,2018-01-31,8029.HK,HKD,2018-01-31,2018-01-31,Q1,-15471216.5,1398640.25,0.0,0.0,66635109.5,0.0,55569.75,0.0,0.0,6258333.25,59632341.0,-1520939.0,,0.0,0.0,94549044.0,0.0,-54250000.0,0.0,0.0,0.0,0.0,0.0,0.0,6078413.25,21541944.0,15463530.75,59632341.0,-1520939.0,58111402.0,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620585765,14:42:45,20210509
