,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-09-30,ACHN,USD,2019-11-07 00:00:00,2019-11-07 16:06:26,Q3,-19583000.0,272000.0,0.0,1707000.0,-81054000.0,179000.0,0.0,-1478000.0,140232000.0,0.0,-16470000.0,-86000.0,0.0,-291000.0,0.0,0.0,21642000.0,0.0,0.0,0.0,0.0,0.0,3519000.0,0.0,8691000.0,43719000.0,35028000.0,-16470000.0,-86000.0,-16556000.0,https://www.sec.gov/Archives/edgar/data/1070336/000156459019041721/0001564590-19-041721-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000156459019041721/achn-10q_20190930.htm,1620586118,14:48:38,20210509
1,2019-06-30,ACHN,USD,2019-08-08,2019-08-08 16:01:56,Q2,-38385000.0,296000.0,0.0,1588000.0,-24625000.0,801000.0,0.0,2564000.0,221286000.0,0.0,-14076000.0,-21000.0,0.0,65428000.0,0.0,0.0,-909000.0,0.0,79000.0,0.0,0.0,0.0,370000.0,0.0,-14615000.0,35028000.0,49643000.0,-14076000.0,-21000.0,-14097000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312519216792/0001193125-19-216792-index.htm,https://www.sec.gov/Archives/edgar/data/1070336/000119312519216792/d18349d10q.htm,1620586118,14:48:38,20210509
2,2019-03-31,ACHN,USD,2019-05-09 00:00:00,2019-05-09 16:03:06,Q1,-18959000.0,300000.0,0.0,1566000.0,-17640000.0,-866000.0,0.0,-271000.0,245911000.0,0.0,-17727000.0,-70000.0,0.0,-65515000.0,0.0,0.0,17520000.0,-131000.0,0.0,0.0,0.0,0.0,-131000.0,0.0,-338000.0,49643000.0,49981000.0,-17727000.0,-70000.0,-17797000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312519142950/0001193125-19-142950-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312519142950/d646020d10q.htm,1620586118,14:48:38,20210509
3,2018-12-31,ACHN,USD,2019-03-07 00:00:00,2019-03-07 16:03:49,Q4,-70272000.0,300000.0,0.0,1884000.0,-14259000.0,-268000.0,0.0,690000.0,263551000.0,0.0,-11702000.0,-47000.0,0.0,0.0,0.0,0.0,25064000.0,-38000.0,-102000.0,0.0,0.0,0.0,176000.0,0.0,13538000.0,49981000.0,36443000.0,-11702000.0,-47000.0,-11749000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312519067172/0001193125-19-067172-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312519067172/d678011d10k.htm,1620586118,14:48:38,20210509
4,2018-09-30,ACHN,USD,2018-11-07 00:00:00,2018-11-07 16:03:54,Q3,-15884000.0,287000.0,0.0,1611000.0,-5968000.0,236000.0,0.0,219000.0,277810000.0,0.0,-13000000.0,-116000.0,0.0,0.0,0.0,0.0,14198000.0,-37000.0,0.0,0.0,0.0,0.0,-28000.0,0.0,1170000.0,36443000.0,35273000.0,-13000000.0,-116000.0,-13116000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312518320874/0001193125-18-320874-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312518320874/d623682d10q.htm,1620586118,14:48:38,20210509
5,2018-06-30,ACHN,USD,2018-08-08 00:00:00,2018-08-08 16:11:56,Q2,-37787000.0,282000.0,0.0,3550000.0,-17584000.0,32000.0,0.0,-1049000.0,283778000.0,0.0,-13212000.0,-174000.0,0.0,-274000.0,0.0,0.0,10776000.0,-37000.0,102000.0,0.0,0.0,0.0,635000.0,0.0,-1801000.0,35273000.0,37074000.0,-13212000.0,-174000.0,-13386000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312518242739/0001193125-18-242739-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312518242739/d669658d10q.htm,1620586118,14:48:38,20210509
6,2018-03-31,ACHN,USD,2018-05-02 00:00:00,2018-05-02 06:41:46,Q1,-20588000.0,289000.0,0.0,2335000.0,10308000.0,-290000.0,0.0,-2800000.0,301362000.0,0.0,-24098000.0,-178000.0,0.0,215000.0,0.0,0.0,16278000.0,-58000.0,0.0,0.0,0.0,0.0,1246000.0,0.0,-6574000.0,37074000.0,43496000.0,-24098000.0,-178000.0,-24276000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312518147446/0001193125-18-147446-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312518147446/d562859d10q.htm,1620586118,14:48:38,20210509
7,2017-12-31,ACHN,USD,2018-02-22 00:00:00,2018-02-22 06:17:34,Q4,-23203000.0,284000.0,0.0,2209000.0,-21516000.0,231000.0,0.0,-2890000.0,291054000.0,0.0,-20249000.0,-79000.0,0.0,235000.0,0.0,0.0,11622000.0,-69000.0,-127000.0,0.0,0.0,0.0,29000.0,0.0,-8598000.0,43496000.0,52094000.0,-20249000.0,-79000.0,-20328000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312518052951/0001193125-18-052951-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312518052951/d507705d10k.htm,1620586118,14:48:38,20210509
8,2017-09-30,ACHN,USD,2017-11-01 00:00:00,2017-11-01 16:11:55,Q3,-19338000.0,277000.0,0.0,2405000.0,-28566000.0,-62000.0,0.0,5227000.0,312570000.0,0.0,-16572000.0,-213000.0,0.0,-212000.0,0.0,0.0,33334000.0,-96000.0,0.0,0.0,0.0,0.0,-59000.0,0.0,16703000.0,52094000.0,35391000.0,-16572000.0,-213000.0,-16785000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312517329408/0001193125-17-329408-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312517329408/d406453d10q.htm,1620586118,14:48:38,20210509
9,2017-06-30,ACHN,USD,2017-08-08 00:00:00,2017-08-08 16:03:51,Q2,-22543000.0,270000.0,0.0,2783000.0,-31659000.0,230000.0,0.0,-1165000.0,341136000.0,0.0,-16857000.0,-120000.0,0.0,-625000.0,0.0,0.0,9135000.0,-93000.0,127000.0,0.0,0.0,0.0,34000.0,0.0,-7688000.0,35391000.0,43079000.0,-16857000.0,-120000.0,-16977000.0,https://www.sec.gov/Archives/edgar/data/1070336/000119312517251312/0001193125-17-251312-index.html,https://www.sec.gov/Archives/edgar/data/1070336/000119312517251312/d417371d10q.htm,1620586118,14:48:38,20210509
