,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,ARRD.DE,USD,2020-12-31,2020-12-31,Q4,1362000000,1175000000.0,824000000.0,0.0,361000000,0.0,0.0,0.0,0.0,-1546000000.0,1416000000.0,0.0,0.0,0.0,0.0,-155000000.0,0.0,-2342000000.0,0.0,-487000000.0,-16000000.0,0.0,-2227000000,234000000.0,67000000.0,5600000000.0,6617000000.0,1416000000.0,-668000000,748000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
1,2020-09-30,ARRD.DE,USD,2020-09-30,2020-09-30,Q3,-261000000,183000000.0,580000000.0,0.0,1072000000,0.0,0.0,0.0,0.0,296000000.0,1770000000.0,0.0,0.0,0.0,0.0,34000000.0,-486000000.0,-63000000.0,0.0,-13000000.0,-55000000.0,0.0,-401000000,73000000.0,-70000000.0,0.0,0.0,1770000000.0,-520000000,1250000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
2,2020-06-30,ARRD.DE,USD,2020-06-30,2020-06-30,Q2,-559000000,739000000.0,84000000.0,0.0,-392000000,0.0,0.0,0.0,0.0,415000000.0,302000000.0,0.0,0.0,0.0,0.0,37000000.0,-364000000.0,-59000000.0,740000000.0,0.0,-7000000.0,1237000000.0,1516000000,-13000000.0,1332000000.0,5630000000.0,4298000000.0,302000000.0,-401000000,-99000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
3,2020-03-31,ARRD.DE,USD,2020-03-31,2020-03-31,Q1,-1120000000,863000000.0,178000000.0,0.0,-109000000,-201000000.0,257000000.0,0.0,0.0,924000000.0,594000000.0,0.0,0.0,0.0,0.0,95000000.0,-755000000.0,-59000000.0,0.0,0.0,-103000000.0,0.0,-386000000,-131000000.0,-697000000.0,4298000000.0,4995000000.0,594000000.0,-850000000,-256000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
4,2019-12-31,ARRD.DE,USD,2019-12-31,2019-12-31,Q4,-1882000000,1632000000.0,-135000000.0,0.0,2600000000,889000000.0,1781000000.0,0.0,0.0,737000000.0,2932000000.0,0.0,0.0,0.0,0.0,-936000000.0,-1751000000.0,-86000000.0,0.0,0.0,-21000000.0,0.0,19000000,131000000.0,1348000000.0,4995000000.0,3647000000.0,2932000000.0,-815000000,2117000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
5,2019-09-30,ARRD.DE,USD,2019-09-30,2019-09-30,Q3,-539000000,766000000.0,64000000.0,0.0,-203000000,0.0,0.0,0.0,0.0,265000000.0,328000000.0,0.0,0.0,0.0,0.0,125000000.0,-816000000.0,-84000000.0,0.0,0.0,-61000000.0,0.0,659000000,-155000000.0,-9000000.0,3647000000.0,3656000000.0,328000000.0,-941000000,-613000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
6,2019-06-30,ARRD.DE,USD,2019-06-30,2019-06-30,Q2,-447000000,1713000000.0,-211000000.0,0.0,353000000,354000000.0,71000000.0,0.0,0.0,472000000.0,1786000000.0,0.0,0.0,0.0,0.0,305000000.0,-564000000.0,-84000000.0,0.0,0.0,-204000000.0,0.0,180000000,17000000.0,21000000.0,3656000000.0,2246000000.0,1786000000.0,-869000000,917000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
7,2019-03-31,ARRD.DE,USD,2019-03-31,2019-03-31,Q1,414000000,883000000.0,-45000000.0,0.0,-553000000,0.0,-230000000.0,0.0,0.0,480000000.0,971000000.0,0.0,0.0,0.0,0.0,254000000.0,-693000000.0,-208000000.0,0.0,-90000000.0,-46000000.0,0.0,-344000000,-15000000.0,-11000000.0,-92000000.0,0.0,971000000.0,-947000000,24000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
8,2018-12-31,ARRD.DE,USD,2018-12-31,2018-12-31,Q4,1193000000,938000000.0,-909000000.0,0.0,-3262000000,0.0,-2054000000.0,0.0,0.0,4437000000.0,2170000000.0,0.0,0.0,0.0,0.0,-770000000.0,-1926000000.0,-406000000.0,0.0,0.0,-32000000.0,27000000.0,-411000000,3000000.0,13000000.0,-151000000.0,2482000000.0,2170000000.0,-1156000000,1014000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
9,2018-09-30,ARRD.DE,USD,2018-09-30,2018-09-30,Q3,899000000,1162000000.0,-28000000.0,0.0,-1713000000,0.0,0.0,0.0,0.0,497000000.0,634000000.0,0.0,0.0,0.0,0.0,180000000.0,-601000000.0,0.0,0.0,0.0,-37000000.0,-17000000.0,-597000000,-56000000.0,-618000000.0,2482000000.0,3100000000.0,634000000.0,-781000000,-147000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
10,2018-06-30,ARRD.DE,USD,2018-06-30,2018-06-30,Q2,1865000000,712000000.0,-259000000.0,0.0,-1232000000,0.0,0.0,0.0,0.0,176000000.0,1232000000.0,0.0,0.0,0.0,0.0,60000000.0,-556000000.0,-21000000.0,0.0,0.0,-101000000.0,0.0,352000000,-104000000.0,-23000000.0,3100000000.0,2199000000.0,1232000000.0,-616000000,616000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
11,2018-03-31,ARRD.DE,USD,2018-03-31,2018-03-31,Q1,1192000000,797000000.0,-81000000.0,0.0,-1869000000,0.0,0.0,0.0,0.0,333000000.0,160000000.0,0.0,0.0,0.0,0.0,76000000.0,-676000000.0,0.0,0.0,-226000000.0,-50000000.0,-20000000.0,-33000000,17000000.0,-526000000.0,2260000000.0,2786000000.0,160000000.0,-752000000,-592000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
12,2017-12-31,ARRD.DE,USD,2017-12-31,2017-12-31,Q4,4575000000,2768000000.0,432000000.0,0.0,-2155000000,0.0,-2347000000.0,1094000000.0,-282000000.0,327000000.0,4563000000.0,0.0,0.0,0.0,44000000.0,-77000000.0,-2830000000.0,-4856000000.0,0.0,0.0,-141000000.0,-15000000.0,-1731000000,58000000.0,73000000.0,2574000000.0,2501000000.0,4563000000.0,-2819000000,1744000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
13,2017-09-30,ARRD.DE,USD,2017-09-30,2017-09-30,Q3,1205000000,690000000.0,-45000000.0,0.0,-801000000,0.0,0.0,0.0,0.0,-169000000.0,763000000.0,0.0,0.0,0.0,0.0,74000000.0,-563000000.0,0.0,0.0,0.0,-80000000.0,7000000.0,514000000,9000000.0,706000000.0,2978000000.0,2272000000.0,763000000.0,-637000000,126000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
14,2017-06-30,ARRD.DE,USD,2017-06-30,2017-06-30,Q2,1322000000,722000000.0,71000000.0,0.0,-548000000,0.0,0.0,0.0,0.0,-233000000.0,1214000000.0,0.0,0.0,0.0,0.0,-172000000.0,-738000000.0,0.0,0.0,0.0,0.0,-18000000.0,-744000000,30000000.0,-354000000.0,2048000000.0,2402000000.0,1214000000.0,-566000000,648000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
15,2017-03-31,ARRD.DE,USD,2017-03-31,2017-03-31,Q1,1002000000,655000000.0,76000000.0,0.0,-2181000000,0.0,0.0,0.0,0.0,235000000.0,-299000000.0,0.0,0.0,0.0,0.0,-18000000.0,-598000000.0,0.0,0.0,0.0,-40000000.0,-37000000.0,666000000,3000000.0,13000000.0,2402000000.0,2615000000.0,-299000000.0,-580000000,-879000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
16,2016-12-31,ARRD.DE,USD,2016-12-31,2016-12-31,Q4,403000000,852000000.0,-93000000.0,0.0,495000000,0.0,0.0,0.0,0.0,10000000.0,1653000000.0,0.0,0.0,0.0,0.0,-7000000.0,-809000000.0,0.0,0.0,0.0,-7000000.0,-11000000.0,-468000000,-15000000.0,-13000000.0,2615000000.0,2256000000.0,1653000000.0,-802000000,851000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
17,2016-09-30,ARRD.DE,USD,2016-09-30,2016-09-30,Q3,680000000,693000000.0,79000000.0,0.0,-565000000,0.0,0.0,0.0,0.0,98000000.0,876000000.0,0.0,0.0,0.0,0.0,235000000.0,-300000000.0,0.0,0.0,0.0,-7000000.0,-17000000.0,-741000000,29000000.0,-139000000.0,2256000000.0,2395000000.0,876000000.0,-535000000,341000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
18,2016-06-30,ARRD.DE,USD,2016-06-30,2016-06-30,Q2,1112000000,729000000.0,70000000.0,0.0,235000000,0.0,0.0,0.0,0.0,-1109000000.0,869000000.0,0.0,0.0,0.0,0.0,1059000000.0,538000000.0,0.0,3115000000.0,0.0,-41000000.0,-8000000.0,-1857000000,-23000000.0,-468000000.0,2395000000.0,2863000000.0,869000000.0,-521000000,348000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
19,2016-03-31,ARRD.DE,USD,2016-03-31,2016-03-31,Q1,-416000000,652000000.0,676000000.0,0.0,-1188000000,0.0,0.0,0.0,0.0,-90000000.0,-690000000.0,0.0,0.0,0.0,0.0,14000000.0,-572000000.0,0.0,0.0,0.0,-6000000.0,63000000.0,140000000,-118000000.0,-1239000000.0,2863000000.0,4102000000.0,-690000000.0,-586000000,-1276000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
20,2015-12-31,ARRD.DE,USD,2015-12-31,2015-12-31,Q4,-6686000000,5525000000.0,402000000.0,0.0,1343000000,0.0,0.0,0.0,0.0,335000000.0,1574000000.0,0.0,0.0,0.0,0.0,90000000.0,-646000000.0,0.0,0.0,0.0,-11000000.0,7000000.0,-367000000,-89000000.0,466000000.0,4102000000.0,3636000000.0,1574000000.0,-736000000,838000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
21,2015-09-30,ARRD.DE,USD,2015-09-30,2015-09-30,Q3,-711000000,804000000.0,14000000.0,0.0,-136000000,0.0,0.0,0.0,0.0,502000000.0,473000000.0,0.0,0.0,0.0,0.0,35000000.0,-649000000.0,0.0,0.0,0.0,-21000000.0,-10000000.0,-835000000,-70000000.0,-1076000000.0,3636000000.0,4712000000.0,473000000.0,-684000000,-211000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
22,2015-06-30,ARRD.DE,USD,2015-06-30,2015-06-30,Q2,179000000,820000000.0,70000000.0,0.0,247000000,0.0,0.0,0.0,0.0,-172000000.0,1019000000.0,0.0,0.0,0.0,0.0,123000000.0,-419000000.0,0.0,0.0,0.0,-331000000.0,26000000.0,1284000000,72000000.0,-1000000.0,4712000000.0,2779000000.0,1019000000.0,-542000000,477000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
23,2015-03-31,ARRD.DE,USD,2015-03-31,2015-03-31,Q1,-728000000,807000000.0,85000000.0,0.0,-1206000000,0.0,0.0,0.0,0.0,127000000.0,-915000000.0,0.0,0.0,0.0,0.0,289000000.0,-456000000.0,0.0,0.0,0.0,-53000000.0,-20000000.0,313000000,-180000000.0,1000000.0,2779000000.0,4016000000.0,-915000000.0,-745000000,-1660000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
24,2014-12-31,ARRD.DE,USD,2014-12-31,2014-12-31,Q4,-955000000,1246000000.0,103000000.0,0.0,994000000,0.0,0.0,0.0,0.0,904000000.0,2292000000.0,0.0,0.0,0.0,0.0,575000000.0,-492000000.0,0.0,0.0,0.0,-15000000.0,-43000000.0,-1926000000,-32000000.0,-159000000.0,4016000000.0,4175000000.0,2292000000.0,-1067000000,1225000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
25,2014-09-30,ARRD.DE,USD,2014-09-30,2014-09-30,Q3,22000000,946000000.0,-159000000.0,0.0,-576000000,0.0,0.0,0.0,0.0,268000000.0,501000000.0,0.0,0.0,0.0,0.0,61000000.0,-888000000.0,0.0,0.0,0.0,-381000000.0,-13000000.0,294000000,-71000000.0,1000000.0,4175000000.0,4404000000.0,501000000.0,-949000000,-448000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
26,2014-06-30,ARRD.DE,USD,2014-06-30,2014-06-30,Q2,52000000,931000000.0,61000000.0,0.0,856000000,0.0,0.0,0.0,0.0,-352000000.0,1548000000.0,0.0,0.0,0.0,0.0,167000000.0,-607000000.0,0.0,0.0,0.0,-5000000.0,-11000000.0,-1675000000,9000000.0,38000000.0,4404000000.0,5061000000.0,1548000000.0,-774000000,774000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620588740,15:32:20,20210509
