,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,CHMA,USD,2021-03-04,2021-03-04 16:22:32,Q4,-19808000.0,50000.0,4000.0,1207000.0,-2698000.0,-359000.0,-1988000.0,0.0,0.0,292000.0,-21028000.0,-3000.0,0.0,-52462000.0,16349000.0,0.0,-36116000.0,0.0,0.0,0.0,0.0,0.0,29000.0,0.0,-57115000.0,36025000,93140000,-21028000.0,-3000.0,-21031000.0,https://www.sec.gov/Archives/edgar/data/1339469/000156459021010965/0001564590-21-010965-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000156459021010965/chma-10k_20201231.htm,1620590246,15:57:26,20210509
1,2020-09-30,CHMA,USD,2020-11-05,2020-11-05 16:25:08,Q3,-18457000.0,49000.0,-8000.0,1316000.0,98230000.0,-179000.0,-8913000.0,7690000.0,153115000.0,237000.0,-25346000.0,-13000.0,0.0,-83952000.0,14885000.0,0.0,-69080000.0,0.0,75479000.0,0.0,0.0,39880000.0,115372000.0,0.0,20946000.0,93140000,72194000,-25346000.0,-13000.0,-25359000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312520286853/0001193125-20-286853-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312520286853/d98259d10q.htm,1620590246,15:57:26,20210509
2,2020-06-30,CHMA,USD,2020-08-10,2020-08-10 17:21:12,Q2,-21128000.0,-74000.0,16000.0,1335000.0,-15850000.0,0.0,0.0,0.0,54885000.0,0.0,-16362000.0,-74000.0,0.0,0.0,21866000.0,0.0,21792000.0,-334000.0,0.0,0.0,0.0,0.0,24209000.0,0.0,29639000.0,72194000,42555000,-16362000.0,-74000.0,-16436000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312520215056/0001193125-20-215056-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312520215056/d948015d10q.htm,1620590246,15:57:26,20210509
3,2020-03-31,CHMA,USD,2020-05-07,2020-05-07 16:22:14,Q1,-15386000.0,147000.0,-24000.0,1162000.0,-14146000.0,0.0,0.0,0.0,70735000.0,0.0,-12590000.0,-282000.0,0.0,-8927000.0,36771000.0,0.0,27562000.0,-504000.0,0.0,0.0,0.0,0.0,-272000.0,0.0,14700000.0,42555000,27855000,-12590000.0,-282000.0,-12872000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312520136301/0001193125-20-136301-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312520136301/d882270d10q.htm,1620590246,15:57:26,20210509
4,2019-12-31,CHMA,USD,2020-03-16,2020-03-16 16:22:45,Q4,-12047000.0,197000.0,-4000.0,1077000.0,-11303000.0,0.0,0.0,0.0,84881000.0,0.0,-9751000.0,-167000.0,0.0,-2726000.0,21325000.0,0.0,18432000.0,-502000.0,0.0,0.0,0.0,0.0,-491000.0,0.0,8190000.0,27855000,19665000,-9751000.0,-167000.0,-9918000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312520074902/0001193125-20-074902-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312520074902/d841062d10k.htm,1620590246,15:57:26,20210509
5,2019-09-30,CHMA,USD,2019-11-05,2019-11-05 16:23:00,Q3,-7683000.0,61000.0,-5000.0,944000.0,45733000.0,0.0,0.0,0.0,96184000.0,0.0,-9153000.0,-126000.0,0.0,-56618000.0,11301000.0,0.0,-45443000.0,0.0,52343000.0,0.0,0.0,0.0,53693000.0,0.0,-903000.0,19665000,20568000,-9153000.0,-126000.0,-9279000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312519284741/0001193125-19-284741-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312519284741/d779605d10q.htm,1620590246,15:57:26,20210509
6,2019-06-30,CHMA,USD,2019-08-08,2019-08-08 16:16:59,Q2,-7840000.0,61000.0,-3000.0,627000.0,25132000.0,0.0,0.0,0.0,50451000.0,0.0,-8158000.0,-7000.0,0.0,-28100000.0,14500000.0,0.0,-13607000.0,0.0,0.0,0.0,0.0,0.0,32259000.0,0.0,10494000.0,20568000,10074000,-8158000.0,-7000.0,-8165000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312519216854/0001193125-19-216854-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312519216854/d766894d10q.htm,1620590246,15:57:26,20210509
7,2019-03-31,CHMA,USD,2019-05-09,2019-05-09 16:21:53,Q1,-8750000.0,55000.0,-10000.0,622000.0,-8241000.0,0.0,0.0,0.0,25319000.0,0.0,-7950000.0,-7000.0,0.0,-12282000.0,17250000.0,0.0,4961000.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,-2986000.0,10074000,13060000,-7950000.0,-7000.0,-7957000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312519143008/0001193125-19-143008-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312519143008/d711452d10q.htm,1620590246,15:57:26,20210509
8,2018-12-31,CHMA,USD,2019-03-08,2019-03-08 16:23:06,Q4,-8075000.0,19000.0,19000.0,630000.0,-7382000.0,0.0,0.0,0.0,33560000.0,0.0,-6638000.0,0.0,0.0,-4704000.0,13200000.0,0.0,8496000.0,0.0,0.0,0.0,0.0,0.0,33000.0,0.0,1891000.0,13060000,11169000,-6638000.0,0.0,-6638000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312519069153/0001193125-19-069153-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312519069153/d684858d10k.htm,1620590246,15:57:26,20210509
9,2018-09-30,CHMA,USD,2018-11-08,2018-11-08 16:30:56,Q3,-7470000.0,23000.0,2000.0,735000.0,-6681000.0,0.0,0.0,0.0,40942000.0,0.0,-6688000.0,0.0,0.0,-15741000.0,19750000.0,0.0,4009000.0,0.0,0.0,0.0,0.0,0.0,4000.0,0.0,-2675000.0,11169000,13844000,-6688000.0,0.0,-6688000.0,https://www.sec.gov/Archives/edgar/data/1339469/000119312518322604/0001193125-18-322604-index.htm,https://www.sec.gov/Archives/edgar/data/1339469/000119312518322604/d627008d10q.htm,1620590246,15:57:26,20210509
