,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,CT1.AX,AUD,2020-09-30,2020-09-30,Q3,-730969.0,11449.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5746.75,,-5280.5,0.0,0.0,-480701.75,0.0,1633569.25,-26046.5,0.0,0.5,-480701.75,0.0,1091079.75,1101293.25,10213.5,0.0,-5746.75,-486448.5,,,1620590771,16:06:11,20210509
1,2020-06-30,CT1.AX,AUD,2020-06-30,2020-06-30,Q2,-730969.0,11449.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5746.75,,-5280.5,0.0,0.0,-480701.75,0.0,1633569.25,-26046.5,0.0,0.5,-480701.75,0.0,1091079.75,1101293.25,10213.5,0.0,-5746.75,-486448.5,,,1620590771,16:06:11,20210509
2,2020-03-31,CT1.AX,AUD,2020-03-31,2020-03-31,Q1,-730969.0,11449.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5746.75,,-5280.5,0.0,0.0,-480701.75,0.0,1633569.25,-26046.5,0.0,0.5,-480701.75,0.0,1091079.75,1101293.25,10213.5,0.0,-5746.75,-486448.5,,,1620590771,16:06:11,20210509
3,2020-01-31,CT1.AX,AUD,2020-01-31,2020-01-31,Q1,-730969.0,11449.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5746.75,,-5280.5,0.0,0.0,-480701.75,0.0,1633569.25,-26046.5,0.0,0.5,-480701.75,0.0,1091079.75,1101293.25,10213.5,0.0,-5746.75,-486448.5,,,1620590771,16:06:11,20210509
4,2019-06-30,CT1.AX,AUD,2019-06-30,2019-06-30,Q2,-544319.25,5912.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1438.75,,0.0,0.0,0.0,-315910.75,0.0,213198.75,-8418.75,0.0,0.0,-315910.75,0.0,-103230.5,10213.5,113444.0,0.0,-1438.75,-317349.5,,,1620590771,16:06:11,20210509
5,2019-03-31,CT1.AX,AUD,2019-03-31,2019-03-31,Q1,-544319.25,5912.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1438.75,,0.0,0.0,0.0,-315910.75,0.0,213198.75,-8418.75,0.0,0.0,-315910.75,0.0,-103230.5,10213.5,113444.0,0.0,-1438.75,-317349.5,,,1620590771,16:06:11,20210509
6,2019-01-31,CT1.AX,AUD,2019-01-31,2019-01-31,Q1,-544319.25,5912.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1438.75,,0.0,0.0,0.0,-315910.75,0.0,213198.75,-8418.75,0.0,0.0,-315910.75,0.0,-103230.5,10213.5,113444.0,0.0,-1438.75,-317349.5,,,1620590771,16:06:11,20210509
7,2018-06-30,CT1.AX,AUD,2018-06-30,2018-06-30,Q2,-708459.25,2603.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7404.5,,-1890.25,0.0,0.0,-664377.0,0.0,366375.0,-11120.5,0.0,0.0,-664377.0,0.0,-318340.25,113444.0,431784.25,0.0,-7404.5,-671781.5,,,1620590771,16:06:11,20210509
8,2018-03-31,CT1.AX,AUD,2018-03-31,2018-03-31,Q1,-708459.25,2603.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7404.5,,-1890.25,0.0,0.0,-664377.0,0.0,366375.0,-11120.5,0.0,0.0,-664377.0,0.0,-318340.25,113444.0,431784.25,0.0,-7404.5,-671781.5,,,1620590771,16:06:11,20210509
9,2018-01-31,CT1.AX,AUD,2018-01-31,2018-01-31,Q1,-708459.25,2603.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7404.5,,-1890.25,0.0,0.0,-664377.0,0.0,366375.0,-11120.5,0.0,0.0,-664377.0,0.0,-318340.25,113444.0,431784.25,0.0,-7404.5,-671781.5,,,1620590771,16:06:11,20210509
