,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,CWEB.TO,USD,2020-12-31,2020-12-31,Q4,-14718000.0,3025000.0,8000.0,1561000.0,-2649000.0,0.0,-4454000.0,-308000.0,495000.0,-106000.0,-5044000.0,0.0,0.0,0.0,0.0,-1662000.0,-7579000.0,-1388000.0,0.0,0.0,0.0,16000.0,-465000.0,0.0,-13088000.0,52803000.0,65891000.0,-5044000.0,-5917000.0,-10961000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
1,2020-09-30,CWEB.TO,USD,2020-09-30,2020-09-30,Q3,-6539000.0,2798000.0,10000.0,2026000.0,-14322000.0,0.0,2088000.0,-10344000.0,322000.0,421000.0,-21570000.0,-12153000.0,0.0,0.0,0.0,1087000.0,-11066000.0,-1370000.0,0.0,0.0,0.0,-16000.0,-1293000.0,0.0,-33929000.0,65891000.0,99820000.0,-21570000.0,-12153000.0,-33723000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
2,2020-06-30,CWEB.TO,USD,2020-06-30,2020-06-30,Q2,-14430000.0,2127000.0,-1000.0,2044000.0,4661000.0,0.0,933000.0,5495000.0,265000.0,-199000.0,-7114000.0,-8663000.0,0.0,0.0,0.0,-1760000.0,758000.0,-736000.0,0.0,0.0,0.0,0.0,53140000.0,0.0,46784000.0,99820000.0,53036000.0,-7114000.0,-8663000.0,-15777000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
3,2020-03-31,CWEB.TO,USD,2020-03-31,2020-03-31,Q1,-11499000.0,1804000.0,14331000.0,266000.0,-16816000.0,0.0,-349000.0,-3437000.0,114000.0,-82000.0,-14864000.0,-1524000.0,0.0,0.0,0.0,-30000.0,-1554000.0,-468000.0,0.0,0.0,0.0,0.0,901000.0,0.0,-15517000.0,53036000.0,68553000.0,-14864000.0,-1524000.0,-16388000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
4,2019-12-31,CWEB.TO,USD,2019-12-31,2019-12-31,Q4,-18778000.0,1450000.0,-2065000.0,1669000.0,-3446000.0,0.0,-20047000.0,2764000.0,253000.0,434000.0,-8685000.0,-4247000.0,0.0,0.0,0.0,-604000.0,-4851000.0,-730000.0,49810000.0,0.0,0.0,0.0,47109000.0,0.0,33573000.0,68553000.0,34980000.0,-8685000.0,-4247000.0,-12932000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
5,2019-09-30,CWEB.TO,USD,2019-09-30,2019-09-30,Q3,-1314000.0,1110000.0,-3437000.0,560000.0,-7108000.0,0.0,-23155000.0,1998000.0,-154000.0,-17000.0,-9547000.0,-6747000.0,0.0,0.0,0.0,87000.0,-6660000.0,-567000.0,0.0,0.0,0.0,0.0,-244000.0,0.0,-16451000.0,34980000.0,51431000.0,-9547000.0,-6747000.0,-16294000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
6,2019-06-30,CWEB.TO,USD,2019-06-30,2019-06-30,Q2,2191000.0,480000.0,18000.0,441000.0,-14881000.0,0.0,-7141000.0,-786000.0,730000.0,-354000.0,-11555000.0,-3291000.0,0.0,0.0,0.0,-2206000.0,-5483000.0,-1006000.0,0.0,0.0,0.0,0.0,-572000.0,0.0,-17624000.0,51431000.0,69055000.0,-11555000.0,-3291000.0,-14846000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
7,2019-03-31,CWEB.TO,USD,2019-03-31,2019-03-31,Q1,2334000.0,926000.0,-200000.0,308000.0,-7389000.0,-769000.0,-3155000.0,-516000.0,-559000.0,-215000.0,-3689000.0,-768000.0,0.0,0.0,0.0,61000.0,-721000.0,-377000.0,0.0,0.0,0.0,0.0,47000.0,0.0,-4349000.0,69055000.0,73404000.0,-3689000.0,-768000.0,-4457000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
8,2018-12-31,CWEB.TO,USD,2018-12-31,2018-12-31,Q4,3152000.0,550000.0,2577000.0,227000.0,-7554000.0,-1363000.0,-8285000.0,-296000.0,672000.0,-1434000.0,-2413000.0,-3061000.0,0.0,0.0,0.0,501000.0,-2560000.0,-76000.0,0.0,0.0,0.0,-1252000.0,-982000.0,0.0,-5955000.0,73404000.0,79359000.0,-2413000.0,-3061000.0,-5474000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
9,2018-09-30,CWEB.TO,USD,2018-09-30,2018-09-30,Q3,1823000.0,375000.0,-2433000.0,218000.0,-6661000.0,-619000.0,-10273000.0,2262000.0,2678000.0,2064000.0,-4581000.0,-1179000.0,0.0,0.0,0.0,116000.0,-1063000.0,-75000.0,76214000.0,0.0,0.0,-3702000.0,74219000.0,0.0,68575000.0,79359000.0,10784000.0,-4581000.0,-1179000.0,-5760000.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=CHARLOTTES WEB HOLDINGS INC&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620590890,16:08:10,20210509
