,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,ELTK,USD,2020-09-30,2020-09-30,Q3,598000.0,391000.0,6000.0,48000.0,-152000.0,949000.0,-50000.0,397000.0,-14000.0,-2000.0,873000.0,-348000.0,0.0,0.0,0.0,-1000.0,-349000.0,-1200000.0,0.0,0.0,0.0,-87000.0,-1287000.0,7000.0,-756000.0,2651000.0,3407000.0,873000.0,-348000.0,525000.0,,,1620591585,16:19:45,20210509
1,2020-06-30,ELTK,USD,2020-08-05 00:00:00,2020-08-05 07:35:11,Q2,703000.0,391000.0,7000.0,17000.0,286000.0,281000.0,27000.0,-113000.0,478000.0,-6000.0,1398000.0,-250000.0,0.0,0.0,0.0,-58000.0,-308000.0,-933000.0,0.0,0.0,0.0,-153000.0,55000.0,48000.0,1193000.0,3407000.0,2214000.0,1398000.0,-250000.0,1148000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891320002252/0001178913-20-002252-index.htm,https://www.sec.gov/Archives/edgar/data/1024672/000117891320002252/zk2024752.htm,1620591585,16:19:45,20210509
2,2020-03-31,ELTK,USD,2020-04-22 00:00:00,2020-04-22 08:05:17,Q1,541000.0,395000.0,5000.0,26000.0,502000.0,-132000.0,221000.0,-257000.0,11000.0,10000.0,1479000.0,-204000.0,0.0,0.0,0.0,0.0,-204000.0,-511000.0,0.0,0.0,0.0,-151000.0,-662000.0,-27000.0,586000.0,2214000.0,1628000.0,1479000.0,-204000.0,1275000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891320001159/0001178913-20-001159-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891320001159/zk2024293.htm,1620591585,16:19:45,20210509
3,2019-12-31,ELTK,USD,2020-01-09 00:00:00,2020-01-09 08:05:14,Q4,370000.0,389000.0,45000.0,53000.0,-974000.0,-565000.0,77000.0,15000.0,1407000.0,-24000.0,-141000.0,-388000.0,0.0,0.0,0.0,0.0,-263000.0,-216000.0,0.0,0.0,0.0,3110000.0,-266000.0,9000.0,-661000.0,1628000.0,2289000.0,-141000.0,-388000.0,-529000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891320000075/0001178913-20-000075-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891320000075/zk2023818.htm,1620591585,16:19:45,20210509
4,2019-09-30,ELTK,USD,2019-10-31 00:00:00,2019-10-31 06:01:52,Q3,391000.0,371000.0,0.0,26000.0,605000.0,886000.0,211000.0,-102000.0,23000.0,3000.0,1396000.0,-293000.0,0.0,0.0,0.0,0.0,-293000.0,-220000.0,0.0,0.0,0.0,-94000.0,-678000.0,27000.0,452000.0,2289000.0,1837000.0,1396000.0,-293000.0,1103000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891319002546/0001178913-19-002546-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891319002546/zk1923555.htm,1620591585,16:19:45,20210509
5,2019-06-30,ELTK,USD,2019-08-28 00:00:00,2019-08-28 08:05:15,Q2,790000.0,375000.0,0.0,31000.0,-1504000.0,-1838000.0,302000.0,-652000.0,-9000.0,7000.0,-301000.0,-91000.0,0.0,0.0,0.0,0.0,-91000.0,-2018000.0,3298000.0,0.0,0.0,-98000.0,1182000.0,-21000.0,769000.0,1837000.0,1068000.0,-301000.0,-91000.0,-392000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891319002273/0001178913-19-002273-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891319002273/zk1923446.htm,1620591585,16:19:45,20210509
6,2019-03-31,ELTK,USD,2019-04-02 00:00:00,2019-04-02 16:18:03,Q1,242000.0,372000.0,0.0,31000.0,981000.0,240000.0,-415000.0,846000.0,-9000.0,-2000.0,1624000.0,-159000.0,0.0,0.0,0.0,0.0,-159000.0,-1833000.0,0.0,0.0,0.0,-96000.0,-1380000.0,-10000.0,75000.0,1068000.0,993000.0,1624000.0,-159000.0,1465000.0,https://www.sec.gov/Archives/edgar/data/1024672/000091066219000017/0000910662-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000091066219000017/eltek6k.htm,1620591585,16:19:45,20210509
7,2018-12-31,ELTK,USD,2019-01-09 00:00:00,2019-01-09 08:30:33,Q4,-631000.0,367000.0,0.0,56000.0,189000.0,1264000.0,631000.0,-1516000.0,-35000.0,55000.0,137000.0,-423000.0,0.0,0.0,0.0,0.0,-423000.0,-220000.0,0.0,0.0,0.0,-84000.0,62000.0,15000.0,-209000.0,992000.0,1201000.0,137000.0,-423000.0,-286000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891319000074/0001178913-19-000074-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891319000074/zk1922459.htm,1620591585,16:19:45,20210509
8,2018-09-30,ELTK,USD,2018-10-04 00:00:00,2018-10-04 06:01:56,Q3,-463000.0,416000.0,0.0,0.0,212000.0,1016000.0,253000.0,-440000.0,5000.0,-1000.0,164000.0,-86000.0,0.0,0.0,0.0,0.0,-86000.0,-225000.0,0.0,0.0,0.0,-74000.0,89000.0,43000.0,210000.0,1201000.0,991000.0,164000.0,-86000.0,78000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891318002620/0001178913-18-002620-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891318002620/zk1822136.htm,1620591585,16:19:45,20210509
9,2018-06-30,ELTK,USD,2018-07-03 00:00:00,2018-07-03 06:02:54,Q2,-843000.0,425000.0,0.0,0.0,-163000.0,78000.0,-330000.0,-205000.0,14000.0,10000.0,-571000.0,-30000.0,0.0,0.0,0.0,0.0,-30000.0,-229000.0,0.0,0.0,0.0,-73000.0,1200000.0,-42000.0,556000.0,991000.0,435000.0,-571000.0,-30000.0,-601000.0,https://www.sec.gov/Archives/edgar/data/1024672/000117891318002028/0001178913-18-002028-index.html,https://www.sec.gov/Archives/edgar/data/1024672/000117891318002028/zk1821861.htm,1620591585,16:19:45,20210509
