,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,EMBASSY.NS,INR,2021-03-31,2021-03-31,Q1,380170000.0,1976010000.0,0.0,0.0,643960000.0,0.0,-160000.0,0.0,0.0,2060100000.0,6084820000.0,0.0,0.0,179530000.0,588850000.0,0.0,-1274410000.0,-26365590000.0,0.0,0.0,-4312520000.0,0.0,-3846620000.0,0.0,-1039900000.0,9174780000.0,10214680000.0,6084820000.0,0.0,6084820000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
1,2020-12-31,EMBASSY.NS,INR,2020-12-31,2020-12-31,Q4,2108850000.0,1359180000.0,0.0,0.0,173700000.0,0.0,530000.0,0.0,0.0,1175370000.0,4570640000.0,0.0,0.0,-381610000.0,76550000.0,-39138150000.0,-40256470000.0,-7228120000.0,36852020000.0,0.0,-4243370000.0,0.0,30722670000.0,0.0,-2959470000.0,10214680000.0,13174150000.0,4570640000.0,-1337770000.0,3232870000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
2,2020-09-30,EMBASSY.NS,INR,2020-09-30,2020-09-30,Q3,2099150000.0,1193180000.0,0.0,0.0,-344150000.0,0.0,1150000.0,0.0,0.0,1246540000.0,4053970000.0,0.0,0.0,0.0,355460000.0,0.0,-508650000.0,-6809820000.0,0.0,0.0,-4498440000.0,0.0,-3796570000.0,0.0,-251250000.0,13174150000.0,13425400000.0,4053970000.0,-1230560000.0,2823410000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
3,2020-06-30,EMBASSY.NS,INR,2020-06-30,2020-06-30,Q2,1956220000.0,1178600000.0,0.0,0.0,24390000.0,0.0,500000.0,0.0,0.0,1094980000.0,3984740000.0,0.0,0.0,0.0,12158230000.0,0.0,11636820000.0,-48290000.0,0.0,-5316590000.0,0.0,1000000.0,-5308080000.0,0.0,10313480000.0,13424970000.0,3111490000.0,3984740000.0,-887710000.0,3097030000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
4,2020-03-31,EMBASSY.NS,INR,2020-03-31,2020-03-31,Q1,377930000.0,1263200000.0,0.0,0.0,587140000.0,0.0,-10000.0,0.0,0.0,1000570000.0,4538690000.0,0.0,0.0,2781030000.0,1289020000.0,0.0,-19781920000.0,-3435460000.0,0.0,0.0,-4707200000.0,0.0,-5524860000.0,0.0,2107260000.0,3111490000.0,1004230000.0,4538690000.0,-1574920000.0,2963770000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
5,2019-12-31,EMBASSY.NS,INR,2019-12-31,2019-12-31,Q4,2335700000.0,1182420000.0,0.0,0.0,155970000.0,0.0,-1680000.0,0.0,0.0,896600000.0,4095400000.0,0.0,0.0,-8498580000.0,541080000.0,0.0,-13534240000.0,-40140000.0,0.0,0.0,-4629690000.0,27440000.0,8858500000.0,0.0,-580340000.0,1004230000.0,1584570000.0,4095400000.0,-5666940000.0,-1571540000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
6,2019-09-30,EMBASSY.NS,INR,2019-09-30,2019-09-30,Q3,1926950000.0,1444320000.0,0.0,0.0,65420000.0,0.0,5760000.0,0.0,0.0,703930000.0,3667290000.0,0.0,0.0,-407950000.0,884580000.0,0.0,-1660500000.0,-20460000.0,0.0,0.0,-4189830000.0,0.0,-2352530000.0,0.0,-345740000.0,1584570000.0,1930310000.0,3667290000.0,-2372310000.0,1294980000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
7,2019-06-30,EMBASSY.NS,INR,2019-06-30,2019-06-30,Q2,2145430000.0,1391300000.0,0.0,0.0,736170000.0,0.0,-11470000.0,0.0,0.0,696250000.0,4613380000.0,0.0,0.0,-1591290000.0,-2213160000.0,0.0,-9341110000.0,-39966600000.0,0.0,0.0,0.0,-360050000.0,-42954710000.0,0.0,-47682440000.0,1930310000.0,49612750000.0,4613380000.0,-2183640000.0,2429740000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
8,2019-03-31,EMBASSY.NS,INR,2019-03-31,2019-03-31,Q1,-4494280000.0,-2686690000.0,0.0,0.0,-2128230000.0,0.0,-3840000.0,0.0,0.0,0.0,-11313530000.0,0.0,0.0,193940000.0,-358760000.0,0.0,160990000.0,1000000000.0,47499960000.0,0.0,0.0,0.0,53054660000.0,0.0,47259400000.0,49612750000.0,2353350000.0,-11313530000.0,0.0,-4215390000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
9,2018-06-30,EMBASSY.NS,INR,2018-06-30,2018-06-30,Q2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
10,2018-03-31,EMBASSY.NS,INR,2018-03-31,2018-03-31,Q1,566040000.0,843390000.0,0.0,0.0,-692830000.0,0.0,1940000.0,0.0,0.0,1130350000.0,3088620000.0,0.0,0.0,-200030000.0,71000000.0,0.0,-13640180000.0,1275110000.0,0.0,0.0,0.0,0.0,9576400000.0,0.0,-975170000.0,1436940000.0,2412110000.0,3088620000.0,163690000.0,-6029580000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591595,16:19:55,20210509
