,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-06-30,EMMN.SW,CHF,2019-06-30,2019-06-30,Q2,43803500.0,33538250,0.0,0.0,1501000.0,0.0,384250.0,0.0,0.0,138500.0,75825000,-26815500.0,,0.0,1335500.0,0.0,0.0,-25000000.0,0.0,0.0,-12037000.0,337000.0,0.0,0.0,-18321750.0,94528000.0,112849750.0,75825000,-26815500.0,49009500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
1,2019-03-31,EMMN.SW,CHF,2019-03-31,2019-03-31,Q1,43803500.0,33538250,0.0,0.0,1501000.0,0.0,384250.0,0.0,0.0,138500.0,75825000,-26815500.0,,0.0,1335500.0,0.0,0.0,-25000000.0,0.0,0.0,-12037000.0,337000.0,0.0,0.0,-18321750.0,94528000.0,112849750.0,75825000,-26815500.0,49009500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
2,2019-01-31,EMMN.SW,CHF,2019-01-31,2019-01-31,Q1,43803500.0,33538250,0.0,0.0,1501000.0,0.0,384250.0,0.0,0.0,138500.0,75825000,-26815500.0,,0.0,1335500.0,0.0,0.0,-25000000.0,0.0,0.0,-12037000.0,337000.0,0.0,0.0,-18321750.0,94528000.0,112849750.0,75825000,-26815500.0,49009500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
3,2018-06-30,EMMN.SW,CHF,2018-06-30,2018-06-30,Q2,59587250.0,33717750,0.0,0.0,-262250.0,0.0,-51250.0,0.0,0.0,1027000.0,72976000,-21197750.0,,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,-13374500.0,-2459000.0,0.0,0.0,59698500.0,112849750.0,53151250.0,72976000,-21197750.0,51778250.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
4,2018-03-31,EMMN.SW,CHF,2018-03-31,2018-03-31,Q1,59587250.0,33717750,0.0,0.0,-262250.0,0.0,-51250.0,0.0,0.0,1027000.0,72976000,-21197750.0,,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,-13374500.0,-2459000.0,0.0,0.0,59698500.0,112849750.0,53151250.0,72976000,-21197750.0,51778250.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
5,2018-01-31,EMMN.SW,CHF,2018-01-31,2018-01-31,Q1,59587250.0,33717750,0.0,0.0,-262250.0,0.0,-51250.0,0.0,0.0,1027000.0,72976000,-21197750.0,,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,-13374500.0,-2459000.0,0.0,0.0,59698500.0,112849750.0,53151250.0,72976000,-21197750.0,51778250.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
6,2017-06-30,EMMN.SW,CHF,2017-06-30,2017-06-30,Q2,42187000.0,33305750,0.0,0.0,-8701000.0,0.0,-220000.0,0.0,0.0,1971000.0,62922500,-24783000.0,,0.0,974750.0,0.0,0.0,-62500000.0,0.0,0.0,-7891000.0,0.0,0.0,0.0,-48569250.0,53151250.0,101720500.0,62922500,-24783000.0,38139500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
7,2017-03-31,EMMN.SW,CHF,2017-03-31,2017-03-31,Q1,42187000.0,33305750,0.0,0.0,-8701000.0,0.0,-220000.0,0.0,0.0,1971000.0,62922500,-24783000.0,,0.0,974750.0,0.0,0.0,-62500000.0,0.0,0.0,-7891000.0,0.0,0.0,0.0,-48569250.0,53151250.0,101720500.0,62922500,-24783000.0,38139500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
8,2017-01-31,EMMN.SW,CHF,2017-01-31,2017-01-31,Q1,42187000.0,33305750,0.0,0.0,-8701000.0,0.0,-220000.0,0.0,0.0,1971000.0,62922500,-24783000.0,,0.0,974750.0,0.0,0.0,-62500000.0,0.0,0.0,-7891000.0,0.0,0.0,0.0,-48569250.0,53151250.0,101720500.0,62922500,-24783000.0,38139500.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
9,2016-06-30,EMMN.SW,CHF,2016-06-30,2016-06-30,Q2,39573750.0,30879750,0.0,0.0,-68750.0,0.0,6414000.0,0.0,0.0,2795250.0,67968750,-26105000.0,,-117750.0,0.0,956000.0,0.0,0.0,0.0,0.0,-6553500.0,-8391750.0,0.0,0.0,4515000.0,101720500.0,97205500.0,67968750,-26105000.0,41863750.0,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,https://www.six-group.com/en/products-services/the-swiss-stock-exchange.html,1620591615,16:20:15,20210509
