,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,EUROTEXIND.NS,INR,2020-09-30,2020-09-30,Q3,-54499000.0,9276000.0,0.0,0.0,38065000.0,0.0,57525000.0,0.0,0.0,10414500.0,-16030250.0,-4250.0,,0.0,24480000.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,840500.0,1202500.0,362000.0,-16030250.0,-4250.0,-16034500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
1,2020-06-30,EUROTEXIND.NS,INR,2020-06-30,2020-06-30,Q2,-54499000.0,9276000.0,0.0,0.0,38065000.0,0.0,57525000.0,0.0,0.0,10414500.0,-16030250.0,-4250.0,,0.0,24480000.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,840500.0,1202500.0,362000.0,-16030250.0,-4250.0,-16034500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
2,2020-03-31,EUROTEXIND.NS,INR,2020-03-31,2020-03-31,Q1,-54499000.0,9276000.0,0.0,0.0,38065000.0,0.0,57525000.0,0.0,0.0,10414500.0,-16030250.0,-4250.0,,0.0,24480000.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,840500.0,1202500.0,362000.0,-16030250.0,-4250.0,-16034500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
3,2020-01-31,EUROTEXIND.NS,INR,2020-01-31,2020-01-31,Q1,-54499000.0,9276000.0,0.0,0.0,38065000.0,0.0,57525000.0,0.0,0.0,10414500.0,-16030250.0,-4250.0,,0.0,24480000.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,840500.0,1202500.0,362000.0,-16030250.0,-4250.0,-16034500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
4,2019-06-30,EUROTEXIND.NS,INR,2019-06-30,2019-06-30,Q2,-43219000.0,9766500.0,0.0,0.0,76833000.0,0.0,54563250.0,0.0,0.0,16228500.0,58510750.0,-220250.0,,0.0,0.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2700750.0,362000.0,3062750.0,58510750.0,-220250.0,58290500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
5,2019-03-31,EUROTEXIND.NS,INR,2019-03-31,2019-03-31,Q1,-43219000.0,9766500.0,0.0,0.0,76833000.0,0.0,54563250.0,0.0,0.0,16228500.0,58510750.0,-220250.0,,0.0,0.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2700750.0,362000.0,3062750.0,58510750.0,-220250.0,58290500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
6,2019-01-31,EUROTEXIND.NS,INR,2019-01-31,2019-01-31,Q1,-43219000.0,9766500.0,0.0,0.0,76833000.0,0.0,54563250.0,0.0,0.0,16228500.0,58510750.0,-220250.0,,0.0,0.0,0.0,0.0,-1800000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2700750.0,362000.0,3062750.0,58510750.0,-220250.0,58290500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
7,2018-06-30,EUROTEXIND.NS,INR,2018-06-30,2018-06-30,Q2,-38204000.0,9961500.0,0.0,0.0,12321250.0,0.0,17528000.0,0.0,0.0,17245500.0,916500.0,-520000.0,,0.0,0.0,0.0,0.0,-1950500.0,0.0,0.0,0.0,0.0,0.0,0.0,1025500.0,3062750.0,2037250.0,916500.0,-520000.0,396500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
8,2018-03-31,EUROTEXIND.NS,INR,2018-03-31,2018-03-31,Q1,-38204000.0,9961500.0,0.0,0.0,12321250.0,0.0,17528000.0,0.0,0.0,17245500.0,916500.0,-520000.0,,0.0,0.0,0.0,0.0,-1950500.0,0.0,0.0,0.0,0.0,0.0,0.0,1025500.0,3062750.0,2037250.0,916500.0,-520000.0,396500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
9,2018-01-31,EUROTEXIND.NS,INR,2018-01-31,2018-01-31,Q1,-38204000.0,9961500.0,0.0,0.0,12321250.0,0.0,17528000.0,0.0,0.0,17245500.0,916500.0,-520000.0,,0.0,0.0,0.0,0.0,-1950500.0,0.0,0.0,0.0,0.0,0.0,0.0,1025500.0,3062750.0,2037250.0,916500.0,-520000.0,396500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620591832,16:23:52,20210509
