,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,EXNN,USD,2021-04-15,2021-04-15 15:14:12,Q4,-17047.0,0.0,0.0,0.0,-13522.0,0.0,0.0,6322.0,-9344.0,0.0,-3525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15200.0,0.0,0.0,-49456.0,3525.0,0.0,0.0,0.0,0.0,-3525.0,0.0,1098.0,https://www.sec.gov/Archives/edgar/data/1726744/000173112221000605/0001731122-21-000605-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000173112221000605/e2628-10k.htm,1620591898,16:24:58,20210509
1,2020-09-30,EXNN,USD,2020-11-20,2020-11-20 16:12:51,Q3,-17978.0,0.0,0.0,0.0,13028.0,0.0,0.0,-5828.0,4178.0,0.0,-31006.0,4623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31006.0,31006.0,0.0,-10.0,0.0,10.0,-31006.0,4623.0,-31006.0,https://www.sec.gov/Archives/edgar/data/1726744/000173112220001210/0001731122-20-001210-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000173112220001210/e2210_10-q.htm,1620591898,16:24:58,20210509
2,2020-06-30,EXNN,USD,2020-08-19,2020-08-19 17:12:10,Q2,-16300.0,0.0,0.0,0.0,-13050.0,0.0,0.0,5850.0,-8850.0,0.0,-3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3250.0,3250.0,0.0,0.0,0.0,0.0,-3250.0,0.0,-3250.0,https://www.sec.gov/Archives/edgar/data/1726744/000173112220000899/0001731122-20-000899-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000173112220000899/e2071_10q.htm,1620591898,16:24:58,20210509
3,2020-03-31,EXNN,USD,2020-05-15,2020-05-15 14:38:54,Q1,-18380.0,0.0,0.0,0.0,27967.0,0.0,0.0,3000.0,4200.0,0.0,-15210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15200.0,0.0,0.0,15200.0,15200.0,0.0,0.0,0.0,10.0,-15210.0,0.0,-15210.0,https://www.sec.gov/Archives/edgar/data/1726744/000173112220000522/0001731122-20-000522-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000173112220000522/e1915_10q.htm,1620591898,16:24:58,20210509
4,2019-12-31,EXNN,USD,2019-12-31,2019-12-31,Q4,-3040.0,227.0,0.0,0.0,-2813.0,0.0,0.0,0.0,-23767.0,0.0,-4813.0,0.0,0.0,0.0,0.0,0.0,0.0,-1723.0,0.0,0.0,0.0,0.0,2317.0,0.0,-2496.0,10.0,2506.0,-4813.0,0.0,-4813.0,,,1620591898,16:24:58,20210509
5,2019-09-30,EXNN,USD,2019-11-06,2019-11-06 08:28:03,Q3,-3100.0,226.0,0.0,0.0,-2874.0,0.0,0.0,0.0,-20954.0,0.0,6379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5750.0,0.0,629.0,2506.0,1877.0,6379.0,0.0,6379.0,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000009/0001726744-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000009/exent10qseptember30.htm,1620591898,16:24:58,20210509
6,2019-06-30,EXNN,USD,2019-07-29,2019-07-29 10:39:47,Q2,-4578.0,526.0,0.0,0.0,10948.0,0.0,0.0,0.0,-18080.0,0.0,-14052.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,1648.0,1877.0,229.0,-14052.0,0.0,-14052.0,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000007/0001726744-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000007/exent10q-june302019.htm,1620591898,16:24:58,20210509
7,2019-03-31,EXNN,USD,2019-04-30,2019-04-30 07:30:29,Q1,-6649.0,652.0,0.0,0.0,-5997.0,0.0,0.0,-2198.0,-29028.0,0.0,-8195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5394.0,0.0,-2801.0,229.0,3030.0,-8195.0,0.0,-8195.0,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000004/0001726744-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000004/exent10q-march31draftapril30.htm,1620591898,16:24:58,20210509
8,2018-12-31,EXNN,USD,2019-02-28,2019-02-27 21:52:34,Q4,-4433.0,652.0,0.0,0.0,-3781.0,0.0,0.0,-3802.0,-23031.0,0.0,-7583.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7583.0,3030.0,10613.0,-7583.0,0.0,-7583.0,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000002/0001726744-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000172674419000002/exent10kwithauditorcommentsf.htm,1620591898,16:24:58,20210509
9,2018-09-30,EXNN,USD,2018-10-24,2018-10-24 13:03:42,Q3,-17383.0,651.0,0.0,0.0,-16732.0,0.0,0.0,-2000.0,-19250.0,0.0,-16997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16997.0,10613.0,27610.0,-16997.0,0.0,-16997.0,https://www.sec.gov/Archives/edgar/data/1726744/000172674418000007/0001726744-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1726744/000172674418000007/exent10q.htm,1620591898,16:24:58,20210509
