,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,FPH,USD,2021-03-10,2021-03-09 18:17:46,Q4,3653000.0,2923000.0,950000.0,2866000.0,23769000.0,0.0,30762000.0,-3113000.0,149000.0,0.0,37214000,-23000.0,0.0,0.0,0.0,-61698000.0,-4189000.0,0.0,0.0,0.0,0.0,-5461000.0,-5461000.0,0.0,27564000,299474000,271910000,37214000,-23000.0,37191000,https://www.sec.gov/Archives/edgar/data/1574197/000157419721000007/0001574197-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419721000007/fph-20201231.htm,1620592216,16:30:16,20210509
1,2020-09-30,FPH,USD,2020-11-09,2020-11-06 18:01:20,Q3,36422000.0,3771000.0,0.0,2848000.0,83942000.0,0.0,-41808000.0,16362000.0,2047977000.0,56618000.0,32670000,-639000.0,0.0,0.0,0.0,23632000.0,22993000.0,0.0,0.0,0.0,0.0,-580000.0,-580000.0,0.0,55083000,271910000,216827000,32670000,-639000.0,32031000,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000028/0001574197-20-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000028/fph-20200930.htm,1620592216,16:30:16,20210509
2,2020-06-30,FPH,USD,2020-08-07,2020-08-07 18:11:34,Q2,14238000.0,3737000.0,0.0,2836000.0,29089000.0,0.0,-19510000.0,-39150000.0,1964035000.0,0.0,-58957000,-781000.0,0.0,0.0,0.0,0.0,33119000.0,0.0,0.0,0.0,0.0,-6831000.0,-6831000.0,0.0,-32669000,216827000,249496000,-58957000,-781000.0,-59738000,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000022/0001574197-20-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000022/fph-20200630.htm,1620592216,16:30:16,20210509
3,2020-03-31,FPH,USD,2020-05-11,2020-05-08 17:50:08,Q1,-53219000.0,3711000.0,0.0,3012000.0,-22178000.0,0.0,-68672000.0,-6403000.0,1934946000.0,0.0,-89426000,-704000.0,0.0,0.0,0.0,0.0,1017000.0,0.0,0.0,0.0,0.0,-10669000.0,-10669000.0,0.0,-99078000,249496000,348574000,-89426000,-704000.0,-90130000,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000016/0001574197-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000016/fph-20200331.htm,1620592216,16:30:16,20210509
4,2019-12-31,FPH,USD,2020-03-13,2020-03-13 16:25:32,Q4,15118000.0,3413000.0,1179000.0,3473000.0,20907000.0,0.0,8736000.0,-9760000.0,1957124000.0,0.0,19153000,-206000.0,0.0,0.0,0.0,-206000.0,-206000.0,0.0,0.0,0.0,0.0,-584000.0,-2525000.0,0.0,16422000,348574000,332152000,19153000,-206000.0,18947000,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000004/0001574197-20-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419720000004/fph-123119x10k.htm,1620592216,16:30:16,20210509
5,2019-09-30,FPH,USD,2019-11-08,2019-11-08 16:24:04,Q3,-22955000.0,6084000.0,0.0,3400000.0,103349000.0,0.0,-86865000.0,14210000.0,1936217000.0,0.0,-86468000,-193000.0,0.0,0.0,0.0,-193000.0,-193000.0,0.0,0.0,0.0,0.0,-587000.0,124413000.0,0.0,37752000,332152000,294400000,-86468000,-193000.0,-86661000,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000022/0001574197-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000022/fph-93019x10q.htm,1620592216,16:30:16,20210509
6,2019-06-30,FPH,USD,2019-08-09,2019-08-08 18:53:25,Q2,-22628000.0,5558000.0,0.0,3442000.0,-8647000.0,0.0,-65975000.0,10793000.0,1832868000.0,0.0,-81073000,-81000.0,0.0,0.0,0.0,-81000.0,443000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-80630000,294400000,375030000,-81073000,1196000.0,-81154000,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000019/0001574197-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000019/fph-63019x10q.htm,1620592216,16:30:16,20210509
7,2019-03-31,FPH,USD,2019-05-08,2019-05-07 18:28:16,Q1,52733000.0,5578000.0,1266000.0,3316000.0,-67824000.0,0.0,-47863000.0,-19417000.0,1841515000.0,-64870000.0,-83652000,-1196000.0,0.0,0.0,0.0,-1196000.0,267000.0,-65130000.0,3000.0,0.0,0.0,26445000.0,-38682000.0,0.0,-122067000,375030000,497097000,-83652000,-1196000.0,-84848000,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000014/0001574197-19-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000014/fph-33119x10q.htm,1620592216,16:30:16,20210509
8,2018-12-31,FPH,USD,2019-03-14,2019-03-14 17:19:34,Q4,-20406000.0,1517000.0,9183000.0,2674000.0,444000.0,0.0,-67581000.0,-26588000.0,1909339000.0,0.0,-103589000,-2075000.0,0.0,0.0,0.0,0.0,4375000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99214000,497097000,596311000,-103589000,-2075000.0,-105664000,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000005/0001574197-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419719000005/fph-123118x10k.htm,1620592216,16:30:16,20210509
9,2018-09-30,FPH,USD,2018-11-14,2018-11-13 18:42:24,Q3,-21939000.0,3931000.0,0.0,2649000.0,-22066000.0,0.0,-81039000.0,18392000.0,1908895000.0,-16000.0,-74761000,-678000.0,0.0,0.0,0.0,148000.0,-8968000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-83729000,596311000,680040000,-74761000,-678000.0,-75439000,https://www.sec.gov/Archives/edgar/data/1574197/000157419718000015/0001574197-18-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1574197/000157419718000015/fph-093018x10q.htm,1620592216,16:30:16,20210509
