,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,GFED,USD,2021-05-07,2021-05-07 10:40:53,Q1,2216016.0,487761.0,444597.0,0.0,743582134.0,17174.0,0.0,-583868.0,745878666.0,0.0,7051706.0,0.0,0.0,-30918248.0,155096.0,0.0,-19158689.0,0.0,0.0,0.0,-654848.0,0.0,83922364.0,0.0,-132154.0,220238289.0,148422908.0,7051706.0,0.0,7051706.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774921011250/0001437749-21-011250-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774921011250/gfed20210331_10q.htm,1620592496,16:34:56,20210509
1,2020-12-31,GFED,USD,2021-03-12,2021-03-12 11:34:29,Q4,946210.0,604458.0,1520321.0,54917.0,-994953468.0,740279.0,0.0,-464340.0,2296532.0,-5451261.0,-2468738.0,-126550.0,0.0,-20870942.0,10754559.0,129916.0,18212360.0,38000000.0,0.0,390268.0,-654623.0,-422756.0,10675556.0,0.0,26419178.0,148422908.0,122003730.0,-2468738.0,-126550.0,-2595288.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774921005844/0001437749-21-005844-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774921005844/gfed20201231_10k.htm,1620592496,16:34:56,20210509
2,2020-09-30,GFED,USD,2020-11-06,2020-11-06 14:01:23,Q3,1897776.0,609244.0,-1163386.0,81373.0,-4658937800.0,69430.0,0.0,930947.0,997250000.0,5107390.0,7056896.0,-227688.0,0.0,-22623240.0,19728452.0,7189.0,-2367004.0,-12000000.0,0.0,0.0,-655051.0,134835.0,3688784.0,0.0,8378676.0,122003730.0,113625054.0,7056896.0,-73568.0,6983328.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774920022963/0001437749-20-022963-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774920022963/gfed20200930_10q.htm,1620592496,16:34:56,20210509
3,2020-06-30,GFED,USD,2020-08-07,2020-08-07 10:57:56,Q2,1883383.0,626197.0,-704541.0,-57501.0,456011680.0,-1336648.0,0.0,0.0,5656187800.0,-5141140.0,-3832758.0,-198778.0,0.0,-29540213.0,19913197.0,-802793.0,-63860964.0,0.0,0.0,0.0,-654735.0,109361.0,96974846.0,0.0,29281124.0,113625054.0,84343930.0,-3832758.0,-352898.0,-4185656.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774920017002/0001437749-20-017002-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774920017002/gfed20200630_10q.htm,1620592496,16:34:56,20210509
4,2020-03-31,GFED,USD,2020-05-08,2020-05-08 10:17:46,Q1,2104845.0,626646.0,-122539.0,57349.0,6093820860.0,-21981.0,0.0,0.0,5200176120.0,1286108.0,3867555.0,-131773.0,0.0,-35896426.0,11764063.0,708193.0,-24413262.0,-26000000.0,0.0,-390268.0,-650619.0,129206.0,12217728.0,0.0,-8327979.0,84343930.0,92671909.0,3867555.0,-131773.0,3735782.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774920009948/0001437749-20-009948-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774920009948/gfed20200331_10q.htm,1620592496,16:34:56,20210509
5,2019-12-31,GFED,USD,2020-03-13,2020-03-13 10:31:48,Q4,2315685.0,619941.0,288678.0,94062.0,-3962399390.0,-36126.0,0.0,0.0,-893644740.0,-2006061.0,234905.0,-93656.0,0.0,-18608282.0,6186766.0,235103.0,11533913.0,-6914000.0,0.0,-1140291.0,-569570.0,-430238.0,-5518289.0,0.0,6250529.0,92671909.0,86421380.0,234905.0,-93656.0,141249.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774920005084/0001437749-20-005084-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774920005084/gfed20191231_10k.htm,1620592496,16:34:56,20210509
6,2019-09-30,GFED,USD,2019-11-08,2019-11-08 10:54:03,Q3,2550542.0,847669.0,-200349.0,162207.0,-233467710.0,53227.0,0.0,0.0,3068754650.0,1202052.0,5972369.0,-303322.0,0.0,-18526214.0,7834152.0,-3979275.0,-7562118.0,-26586000.0,0.0,-2151696.0,-581000.0,172771.0,34985358.0,0.0,33395609.0,86421380.0,53025771.0,5972369.0,-303322.0,5669047.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774919022076/0001437749-19-022076-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774919022076/gfed20190930_10q.htm,1620592496,16:34:56,20210509
7,2019-06-30,GFED,USD,2019-08-09,2019-08-09 10:25:11,Q2,2428499.0,486594.0,19307.0,190016.0,-1644620590.0,244234.0,0.0,0.0,3302222360.0,1076670.0,2974520.0,-430504.0,0.0,-20847160.0,25669308.0,413014.0,14247676.0,-41620000.0,0.0,0.0,-582838.0,103841.0,-7245686.0,0.0,9976510.0,53025771.0,43049261.0,2974520.0,-430504.0,2544016.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774919016171/0001437749-19-016171-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774919016171/gfed20190630_10q.htm,1620592496,16:34:56,20210509
8,2019-03-31,GFED,USD,2019-05-09,2019-05-09 13:23:11,Q1,2120364.0,493238.0,116506.0,169100.0,5797658400.0,-382266.0,0.0,-113096.0,4946842950.0,-1265123.0,-854988.0,-153664.0,0.0,-20705164.0,6491497.0,2303930.0,6135291.0,-88245000.0,0.0,0.0,-580253.0,132018.0,3647316.0,0.0,8927619.0,43049261.0,34121642.0,-854988.0,158230.0,-1008652.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774919009244/0001437749-19-009244-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774919009244/gfed20190331_10q.htm,1620592496,16:34:56,20210509
9,2018-12-31,GFED,USD,2019-03-08,2019-03-08 13:04:17,Q4,2384876.0,183198.0,-81900.0,240662.0,-5212273450.0,12866.0,0.0,0.0,-850815450.0,-322707.0,2814126.0,-854898.0,0.0,-1312810.0,1157042.0,-239465.0,3629284.0,-130536000.0,0.0,0.0,-534205.0,-440630.0,-3533558.0,0.0,2909852.0,34121642.0,31211790.0,2814126.0,-854898.0,1959228.0,https://www.sec.gov/Archives/edgar/data/1046203/000143774919004433/0001437749-19-004433-index.htm,https://www.sec.gov/Archives/edgar/data/1046203/000143774919004433/gfed20181231_10k.htm,1620592496,16:34:56,20210509
