,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,HNNA,USD,2021-02-11,2021-02-11 16:07:13,Q1,1773000.0,62000.0,313000.0,352000.0,-1449000.0,-285000.0,0.0,0.0,-18000.0,0.0,1051000.0,-66000.0,0.0,0.0,0.0,0.0,-66000.0,0.0,6000.0,0.0,-992000.0,0.0,-986000.0,0.0,-1000.0,9954000.0,9955000.0,1051000.0,-66000.0,985000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312521038419/0001193125-21-038419-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312521038419/d19538d10q.htm,1620593167,16:46:07,20210509
1,2020-09-30,HNNA,USD,2020-12-01,2020-12-01,Q4,1468000.0,62000.0,240000.0,441000.0,941000.0,-9000.0,0.0,8000.0,8290000.0,-18000.0,2611000.0,-68000.0,0.0,-6000.0,0.0,0.0,-68000.0,18002000.0,16000.0,-315000.0,-981000.0,0.0,-1296000.0,0.0,1247000.0,9955000.0,8708000.0,2611000.0,-106000.0,2543000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312520307086/0001193125-20-307086-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520307086/d52767d10k.htm,1620593167,16:46:07,20210509
2,2020-06-30,HNNA,USD,2020-08-06,2020-08-06 16:16:36,Q3,1775000.0,63000.0,57000.0,447000.0,1311000.0,56000.0,0.0,0.0,7349000.0,-17000.0,2723000.0,-35000.0,0.0,0.0,0.0,0.0,-35000.0,0.0,2000.0,0.0,-979000.0,0.0,-977000.0,0.0,1711000.0,8708000.0,6997000.0,2723000.0,-35000.0,2688000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312520211915/0001193125-20-211915-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520211915/d904200d10q.htm,1620593167,16:46:07,20210509
3,2020-03-31,HNNA,USD,2020-05-14,2020-05-14 16:32:01,Q2,1970000.0,61000.0,547000.0,447000.0,-12011000.0,1034000.0,0.0,0.0,6038000.0,99000.0,4004000.0,-35000.0,0.0,0.0,0.0,0.0,-35000.0,-16406000.0,-18000.0,-2028000.0,-975000.0,0.0,-19427000.0,0.0,-15458000.0,6997000.0,22455000.0,4004000.0,-35000.0,3969000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312520142833/0001193125-20-142833-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520142833/d903286d10q.htm,1620593167,16:46:07,20210509
4,2019-12-31,HNNA,USD,2020-02-11,2020-02-11 16:28:59,Q1,2628000.0,53000.0,403000.0,447000.0,400000.0,-193000.0,0.0,0.0,18049000.0,-1000.0,1285000.0,-34000.0,0.0,0.0,0.0,-710000.0,-744000.0,-1094000.0,38000.0,-685000.0,-1032000.0,-685000.0,-2773000.0,0.0,-2232000.0,22455000.0,24687000.0,1285000.0,-34000.0,1251000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312520031361/0001193125-20-031361-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520031361/d843778d10q.htm,1620593167,16:46:07,20210509
5,2019-09-30,HNNA,USD,2019-12-03,2019-12-03 16:41:35,Q4,2407000.0,60000.0,103000.0,545000.0,-910000.0,85000.0,0.0,921000.0,17649000.0,12000.0,4172000.0,-27000.0,0.0,0.0,0.0,-1000.0,-28000.0,-1094000.0,-38000.0,-1096000.0,-972000.0,-5000.0,-3205000.0,0.0,939000.0,24687000.0,23748000.0,4172000.0,-27000.0,4145000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312519305328/0001193125-19-305328-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519305328/d780550d10k.htm,1620593167,16:46:07,20210509
6,2019-06-30,HNNA,USD,2019-08-07,2019-08-07 16:32:00,Q3,2657000.0,56000.0,218000.0,542000.0,-2606000.0,225000.0,0.0,831000.0,18559000.0,6000.0,4756000.0,-88000.0,0.0,0.0,0.0,0.0,-88000.0,-1093000.0,21000.0,-4016000.0,-825000.0,0.0,-5992000.0,0.0,-1324000.0,23748000.0,25072000.0,4756000.0,-88000.0,4668000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312519215385/0001193125-19-215385-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519215385/d734115d10q.htm,1620593167,16:46:07,20210509
7,2019-03-31,HNNA,USD,2019-05-07,2019-05-07 16:17:09,Q2,2900000.0,54000.0,559000.0,557000.0,2088000.0,14000.0,0.0,720000.0,21165000.0,24000.0,3632000.0,-32000.0,0.0,0.0,0.0,-29000.0,-61000.0,-1094000.0,20000.0,0.0,-871000.0,0.0,-1945000.0,0.0,1626000.0,25072000.0,23446000.0,3632000.0,-32000.0,3600000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312519139677/0001193125-19-139677-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519139677/d745382d10q.htm,1620593167,16:46:07,20210509
8,2018-12-31,HNNA,USD,2019-02-11,2019-02-11 16:16:24,Q1,3067000.0,55000.0,424000.0,568000.0,368000.0,644000.0,0.0,-4017000.0,19077000.0,36000.0,1832000.0,-57000.0,0.0,0.0,0.0,-1740000.0,-1797000.0,-1094000.0,17000.0,-36000.0,-871000.0,0.0,-1984000.0,0.0,-1949000.0,23446000.0,25395000.0,1832000.0,-57000.0,1775000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312519033978/0001193125-19-033978-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519033978/d675929d10q.htm,1620593167,16:46:07,20210509
9,2018-09-30,HNNA,USD,2018-11-28,2018-11-28 16:16:35,Q4,3655000.0,-45000.0,910000.0,585000.0,2673000.0,198000.0,0.0,1244000.0,18709000.0,257000.0,6979000.0,-83000.0,0.0,0.0,0.0,-125000.0,-208000.0,-1204000.0,-30000.0,-509000.0,-736000.0,0.0,-2518000.0,0.0,4253000.0,25395000.0,21142000.0,6979000.0,-83000.0,6896000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312518336590/0001193125-18-336590-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518336590/d630968d10k.htm,1620593167,16:46:07,20210509
10,2018-06-30,HNNA,USD,2018-08-01,2018-08-01 16:17:16,Q3,4218000.0,98000.0,362000.0,581000.0,3276000.0,255000.0,0.0,1318000.0,16036000.0,-88000.0,6391000.0,-57000.0,0.0,0.0,0.0,-16000.0,-73000.0,-1057000.0,17000.0,0.0,-782000.0,0.0,-1822000.0,0.0,4496000.0,21142000.0,16646000.0,6391000.0,-57000.0,6334000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312518234952/0001193125-18-234952-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518234952/d387239d10q.htm,1620593167,16:46:07,20210509
11,2018-03-31,HNNA,USD,2018-05-02,2018-05-02 16:16:54,Q2,4555000.0,95000.0,-38000.0,649000.0,839000.0,55000.0,0.0,1389000.0,12760000.0,-36000.0,5798000.0,-163000.0,0.0,0.0,0.0,-2336000.0,-2499000.0,-1057000.0,20000.0,-34000.0,-780000.0,0.0,-1851000.0,0.0,1448000.0,16646000.0,15198000.0,5798000.0,-163000.0,5635000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312518148696/0001193125-18-148696-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518148696/d539781d10q.htm,1620593167,16:46:07,20210509
12,2017-12-31,HNNA,USD,2018-01-25,2018-01-25 16:16:54,Q1,8187000.0,83000.0,-3810000.0,598000.0,1480000.0,-442000.0,0.0,-4221000.0,11921000.0,-37000.0,2363000.0,-57000.0,0.0,0.0,0.0,-1058000.0,-1115000.0,-1057000.0,9000.0,-117000.0,-585000.0,0.0,-1750000.0,0.0,-502000.0,15198000.0,15700000.0,2363000.0,-57000.0,2306000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312518019738/0001193125-18-019738-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518019738/d449275d10q.htm,1620593167,16:46:07,20210509
13,2017-09-30,HNNA,USD,2017-12-04,2017-12-04 16:19:01,Q4,3358000.0,-56000.0,368000.0,533000.0,2097000.0,35000.0,0.0,1652000.0,10441000.0,-228000.0,5312000.0,-64000.0,0.0,0.0,0.0,-104000.0,-168000.0,-1203000.0,0.0,0.0,-568000.0,0.0,-1771000.0,0.0,3373000.0,15700000.0,12327000.0,5312000.0,-64000.0,5248000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312517360245/0001193125-17-360245-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517360245/d442534d10k.htm,1620593167,16:46:07,20210509
14,2017-06-30,HNNA,USD,2017-08-02,2017-08-02 16:17:47,Q3,3960000.0,91000.0,53000.0,528000.0,2881000.0,200000.0,0.0,1142000.0,8344000.0,-37000.0,5943000.0,-44000.0,0.0,0.0,0.0,-46000.0,-90000.0,-1058000.0,1000.0,0.0,-568000.0,0.0,-1625000.0,0.0,4228000.0,12327000.0,8099000.0,5943000.0,-44000.0,5899000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312517245824/0001193125-17-245824-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517245824/d313412d10q.htm,1620593167,16:46:07,20210509
15,2017-03-31,HNNA,USD,2017-05-01,2017-05-01 16:17:56,Q2,3784000.0,91000.0,-29000.0,0.0,2758000.0,-17000.0,0.0,1379000.0,5463000.0,-601000.0,5687000.0,-36000.0,0.0,0.0,0.0,-68000.0,-104000.0,-1020000.0,0.0,0.0,-568000.0,0.0,-1589000.0,0.0,3994000.0,8099000.0,4105000.0,5687000.0,-36000.0,5651000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312517151859/0001193125-17-151859-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517151859/d349800d10q.htm,1620593167,16:46:07,20210509
16,2016-12-31,HNNA,USD,2017-01-26,2017-01-26 16:57:44,Q1,3840000.0,93000.0,1325000.0,0.0,3938000.0,-313000.0,0.0,-3398000.0,2705000.0,360000.0,2251000.0,-32000.0,0.0,0.0,0.0,-51000.0,-83000.0,-1094000.0,2000.0,0.0,-506000.0,0.0,-1598000.0,0.0,570000.0,4105000.0,3535000.0,2251000.0,-32000.0,2219000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312517019893/0001193125-17-019893-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517019893/d238255d10q.htm,1620593167,16:46:07,20210509
17,2016-09-30,HNNA,USD,2016-12-01,2016-12-01 16:22:00,Q4,3540000.0,88000.0,236000.0,0.0,-9164000.0,30000.0,0.0,1200000.0,-1233000.0,-53000.0,5016000.0,-63000.0,0.0,0.0,0.0,-11351000.0,-11414000.0,-1093000.0,-7000.0,0.0,-385000.0,-1000.0,-1486000.0,0.0,-7884000.0,3535000.0,11419000.0,5016000.0,-63000.0,4953000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312516782532/0001193125-16-782532-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516782532/d235794d10k.htm,1620593167,16:46:07,20210509
18,2016-06-30,HNNA,USD,2016-08-03,2016-08-03 16:18:23,Q3,3894000.0,88000.0,-45000.0,0.0,2716000.0,54000.0,0.0,1202000.0,7931000.0,349000.0,5493000.0,-21000.0,0.0,0.0,0.0,-56000.0,-77000.0,-1095000.0,8000.0,0.0,-406000.0,0.0,-1493000.0,0.0,3923000.0,11419000.0,7496000.0,5493000.0,-21000.0,5472000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312516670102/0001193125-16-670102-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516670102/d195256d10q.htm,1620593167,16:46:07,20210509
19,2016-03-31,HNNA,USD,2016-05-04,2016-05-04 16:11:28,Q2,3283000.0,89000.0,211000.0,0.0,2398000.0,110000.0,0.0,955000.0,5215000.0,350000.0,4885000.0,-14000.0,0.0,0.0,0.0,-32000.0,-46000.0,-1093000.0,9000.0,0.0,-405000.0,0.0,-1489000.0,0.0,3350000.0,7496000.0,4146000.0,4885000.0,-14000.0,4871000.0,https://www.sec.gov/Archives/edgar/data/1145255/000119312516577577/0001193125-16-577577-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516577577/d107859d10q.htm,1620593167,16:46:07,20210509
