,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,IFBAGRO.NS,INR,2020-09-30,2020-09-30,Q3,41965250.0,44298250,0.0,0.0,-103056500.0,0.0,-57594500.0,0.0,0.0,233750.0,5988000.0,-29995750,,-1894375000.0,1906427250.0,644000.0,0.0,-49924750.0,0.0,0.0,0.0,0.0,0.0,-1563000.0,-63599750.0,43240750.0,106840500.0,5988000.0,-29995750,-24007750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
1,2020-06-30,IFBAGRO.NS,INR,2020-06-30,2020-06-30,Q2,41965250.0,44298250,0.0,0.0,-103056500.0,0.0,-57594500.0,0.0,0.0,233750.0,5988000.0,-29995750,,-1894375000.0,1906427250.0,644000.0,0.0,-49924750.0,0.0,0.0,0.0,0.0,0.0,-1563000.0,-63599750.0,43240750.0,106840500.0,5988000.0,-29995750,-24007750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
2,2020-03-31,IFBAGRO.NS,INR,2020-03-31,2020-03-31,Q1,41965250.0,44298250,0.0,0.0,-103056500.0,0.0,-57594500.0,0.0,0.0,233750.0,5988000.0,-29995750,,-1894375000.0,1906427250.0,644000.0,0.0,-49924750.0,0.0,0.0,0.0,0.0,0.0,-1563000.0,-63599750.0,43240750.0,106840500.0,5988000.0,-29995750,-24007750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
3,2020-01-31,IFBAGRO.NS,INR,2020-01-31,2020-01-31,Q1,41965250.0,44298250,0.0,0.0,-103056500.0,0.0,-57594500.0,0.0,0.0,233750.0,5988000.0,-29995750,,-1894375000.0,1906427250.0,644000.0,0.0,-49924750.0,0.0,0.0,0.0,0.0,0.0,-1563000.0,-63599750.0,43240750.0,106840500.0,5988000.0,-29995750,-24007750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
4,2019-06-30,IFBAGRO.NS,INR,2019-06-30,2019-06-30,Q2,90230750.0,46781000,0.0,0.0,-2861000.0,0.0,-426250.0,0.0,0.0,2415000.0,104058000.0,-37038000,,-1572034000.0,1612788250.0,-2967750.0,0.0,-30889250.0,0.0,0.0,0.0,0.0,0.0,3823250.0,74028250.0,112092750.0,38064500.0,104058000.0,-37038000,67020000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
5,2019-03-31,IFBAGRO.NS,INR,2019-03-31,2019-03-31,Q1,90230750.0,46781000,0.0,0.0,-2861000.0,0.0,-426250.0,0.0,0.0,2415000.0,104058000.0,-37038000,,-1572034000.0,1612788250.0,-2967750.0,0.0,-30889250.0,0.0,0.0,0.0,0.0,0.0,3823250.0,74028250.0,112092750.0,38064500.0,104058000.0,-37038000,67020000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
6,2019-01-31,IFBAGRO.NS,INR,2019-01-31,2019-01-31,Q1,90230750.0,46781000,0.0,0.0,-2861000.0,0.0,-426250.0,0.0,0.0,2415000.0,104058000.0,-37038000,,-1572034000.0,1612788250.0,-2967750.0,0.0,-30889250.0,0.0,0.0,0.0,0.0,0.0,3823250.0,74028250.0,112092750.0,38064500.0,104058000.0,-37038000,67020000.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
7,2018-06-30,IFBAGRO.NS,INR,2018-06-30,2018-06-30,Q2,102233000.0,53620250,0.0,0.0,-118812500.0,0.0,-55376250.0,0.0,0.0,896750.0,10396750.0,-50014500,,-884408250.0,970848250.0,0.0,0.0,-29394750.0,0.0,0.0,0.0,0.0,0.0,-672250.0,13789000.0,38064500.0,24275500.0,10396750.0,-50014500,-39617750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
8,2018-03-31,IFBAGRO.NS,INR,2018-03-31,2018-03-31,Q1,102233000.0,53620250,0.0,0.0,-118812500.0,0.0,-55376250.0,0.0,0.0,896750.0,10396750.0,-50014500,,-884408250.0,970848250.0,0.0,0.0,-29394750.0,0.0,0.0,0.0,0.0,0.0,-672250.0,13789000.0,38064500.0,24275500.0,10396750.0,-50014500,-39617750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
9,2018-01-31,IFBAGRO.NS,INR,2018-01-31,2018-01-31,Q1,102233000.0,53620250,0.0,0.0,-118812500.0,0.0,-55376250.0,0.0,0.0,896750.0,10396750.0,-50014500,,-884408250.0,970848250.0,0.0,0.0,-29394750.0,0.0,0.0,0.0,0.0,0.0,-672250.0,13789000.0,38064500.0,24275500.0,10396750.0,-50014500,-39617750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593463,16:51:03,20210509
