,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-11-30,MKGI,USD,2021-01-19,2021-01-19 16:31:11,Q3,-2343796.0,89948.0,0.0,528585.0,785386.0,0.0,0.0,0.0,0.0,0.0,-232546.0,-4427.0,0.0,0.0,0.0,0.0,-3012296.0,-542408.0,0.0,0.0,0.0,0.0,6416058.0,0.0,3171216.0,3596130.0,424914.0,-232546.0,-918246.0,-1150792.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069521000020/0001580695-21-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069521000020/mkgi-10q_113020.htm,1620595045,17:17:25,20210509
1,2020-08-31,MKGI,USD,2020-10-15,2020-10-15 08:37:14,Q2,-2710124.0,57990.0,0.0,760090.0,60127.0,0.0,0.0,0.0,0.0,0.0,-1558338.0,-5721.0,0.0,0.0,20379.0,0.0,-162736.0,-397826.0,1820000.0,0.0,0.0,0.0,2072174.0,0.0,351100.0,424914.0,73814.0,-1558338.0,-183115.0,-1741453.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000395/0001580695-20-000395-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000395/mkgi-10q_083120.htm,1620595045,17:17:25,20210509
2,2020-05-31,MKGI,USD,2020-07-13,2020-07-10 19:23:34,Q1,-2048947.0,105316.0,0.0,116528.0,-1548926.0,0.0,0.0,0.0,-4059541.0,1.0,-1012674.0,-1352.0,0.0,0.0,87316.0,0.0,-147552.0,-175000.0,0.0,0.0,0.0,0.0,1071534.0,0.0,-88692.0,73814.0,162506.0,-1012674.0,-234868.0,-1247542.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000280/0001580695-20-000280-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000280/mkgi-10q_053120.htm,1620595045,17:17:25,20210509
3,2020-02-29,MKGI,USD,2020-05-29,2020-05-29 16:52:49,Q4,-747136.0,74799.0,0.0,564201.0,-1033183.0,0.0,0.0,0.0,-2510615.0,0.0,-7457594.0,-7345.0,0.0,0.0,1984870.0,0.0,6777296.0,0.0,0.0,0.0,0.0,0.0,699716.0,0.0,19418.0,162506.0,143088.0,-7457594.0,0.0,-2627668.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000208/0001580695-20-000208-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000208/mkgi-10k_022920.htm,1620595045,17:17:25,20210509
4,2019-11-30,MKGI,USD,2020-01-13,2020-01-13 17:29:18,Q3,-3297093.0,73784.0,0.0,26887.0,-2452883.0,0.0,0.0,0.0,-1477432.0,270250.0,-125544.0,0.0,0.0,0.0,0.0,0.0,-14000.0,0.0,0.0,0.0,0.0,0.0,175000.0,0.0,35456.0,143088.0,107632.0,-125544.0,-14000.0,-139544.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000034/0001580695-20-000034-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069520000034/mkgi-10q_113019.htm,1620595045,17:17:25,20210509
5,2019-08-31,MKGI,USD,2019-10-15,2019-10-15 16:25:53,Q2,-3974121.0,73451.0,0.0,-309363.0,2650773.0,0.0,0.0,0.0,975451.0,0.0,4124291.0,0.0,0.0,0.0,0.0,0.0,-4981622.0,0.0,0.0,0.0,0.0,0.0,700000.0,0.0,-157331.0,107632.0,264963.0,4124291.0,-4981622.0,-857331.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000413/0001580695-19-000413-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000413/mkgi-10q_083119.htm,1620595045,17:17:25,20210509
6,2019-05-31,MKGI,USD,2019-07-19,2019-06-13 16:33:10,Q1,-1436336.0,73451.0,0.0,425232.0,507496.0,0.0,0.0,0.0,-1675322.0,0.0,-1478850.0,0.0,0.0,0.0,0.0,0.0,-183.0,-350000.0,1785930.0,0.0,0.0,0.0,1711017.0,0.0,231984.0,264963.0,32979.0,-1478850.0,-183.0,-1479033.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000295/0001580695-19-000295-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000295/mkgi-10q_053119.htm,1620595045,17:17:25,20210509
7,2019-02-28,MKGI,USD,2019-06-13,2019-06-13 16:33:10,Q4,2145600.0,82646.0,0.0,726154.0,-798130.0,0.0,0.0,0.0,-2182818.0,0.0,-1007944.0,0.0,0.0,0.0,300000.0,0.0,299605.0,-627500.0,85084.0,0.0,0.0,0.0,435084.0,0.0,-273255.0,32979.0,306234.0,-1007944.0,-395.0,-1008339.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000236/0001580695-19-000236-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000236/mkgi-10k_022819.htm,1620595045,17:17:25,20210509
8,2018-11-30,MKGI,USD,2019-01-17,2019-01-17 16:23:08,Q3,-2098301.0,70386.0,0.0,440350.0,638999.0,0.0,0.0,0.0,-1384688.0,0.0,-910135.0,0.0,0.0,0.0,0.0,0.0,-4472.0,0.0,1712366.0,0.0,0.0,0.0,1192466.0,0.0,277859.0,306234.0,28375.0,-910135.0,-114472.0,-1024607.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000028/0001580695-19-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069519000028/mkgi-10q_113018.htm,1620595045,17:17:25,20210509
9,2018-08-31,MKGI,USD,2018-10-15,2018-10-15 16:49:21,Q2,5148750.0,70387.0,0.0,0.0,-1181515.0,0.0,0.0,0.0,-2023687.0,0.0,-635238.0,0.0,0.0,0.0,0.0,0.0,-515507.0,0.0,0.0,0.0,0.0,0.0,520000.0,0.0,-630745.0,28375.0,659120.0,-635238.0,-515507.0,-1150745.0,https://www.sec.gov/Archives/edgar/data/1372183/000158069518000468/0001580695-18-000468-index.htm,https://www.sec.gov/Archives/edgar/data/1372183/000158069518000468/mkgi-10q_083118.htm,1620595045,17:17:25,20210509
