,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2017-06-30,NCIT,USD,2017-08-04 00:00:00,2017-08-04 16:56:26,Q2,2276000.0,1771000.0,1000.0,228000.0,5178000.0,-4009000.0,0.0,2308000.0,21962000,0.0,3991000.0,-98000.0,0.0,0.0,0.0,0.0,-98000.0,0.0,0.0,-2336000.0,0.0,779000.0,-1557000.0,0.0,2336000.0,4187000.0,1851000.0,3991000.0,-98000.0,3893000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312517248818/0001193125-17-248818-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312517248818/d423269d10q.htm,1620595562,17:26:02,20210509
1,2017-03-31,NCIT,USD,2017-05-10 00:00:00,2017-05-10 16:31:58,Q1,-807000.0,1788000.0,-80000.0,361000.0,-867000.0,-2745000.0,0.0,939000.0,16784000,0.0,1141000.0,-140000.0,0.0,0.0,0.0,0.0,-140000.0,0.0,0.0,-1851000.0,-2020000.0,3707000.0,-164000.0,0.0,837000.0,1851000.0,1014000.0,1141000.0,-140000.0,1001000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312517165960/0001193125-17-165960-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312517165960/d394126d10q.htm,1620595562,17:26:02,20210509
2,2016-12-31,NCIT,USD,2017-03-31,2017-03-31 17:29:14,Q4,1100000.0,1807000.0,3846000.0,109000.0,-2747000.0,2220000.0,0.0,-1231000.0,17651000,0.0,2609000.0,-889000.0,0.0,0.0,0.0,0.0,-889000.0,0.0,0.0,-770000.0,0.0,-180000.0,-950000.0,0.0,770000.0,1014000.0,244000.0,2609000.0,-889000.0,1720000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312517106881/0001193125-17-106881-index.htm,https://www.sec.gov/Archives/edgar/data/1334478/000119312517106881/d328524d10k.htm,1620595562,17:26:02,20210509
3,2016-09-30,NCIT,USD,2016-11-07 00:00:00,2016-11-04 21:42:54,Q3,3240000.0,1737000.0,-656000.0,226000.0,4769000.0,1066000.0,0.0,-886000.0,20398000,0.0,8288000.0,-1294000.0,0.0,0.0,0.0,0.0,-1294000.0,0.0,0.0,-106000.0,0.0,-6782000.0,-6888000.0,0.0,106000.0,244000.0,138000.0,8288000.0,-1294000.0,6994000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312516760536/0001193125-16-760536-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312516760536/d246210d10q.htm,1620595562,17:26:02,20210509
4,2016-06-30,NCIT,USD,2016-08-01,2016-07-29 21:44:24,Q2,2552000.0,1684000.0,0.0,214000.0,3882000.0,14538000.0,0.0,-5843000.0,15629000,0.0,13631000.0,-488000.0,0.0,0.0,0.0,0.0,-488000.0,0.0,0.0,250000.0,0.0,-13643000.0,-13393000.0,0.0,-250000.0,138000.0,388000.0,13631000.0,-488000.0,13143000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312516665211/0001193125-16-665211-index.htm,https://www.sec.gov/Archives/edgar/data/1334478/000119312516665211/d216272d10q.htm,1620595562,17:26:02,20210509
5,2016-03-31,NCIT,USD,2016-04-29 00:00:00,2016-04-29 17:13:30,Q1,2589000.0,1792000.0,-67000.0,329000.0,-11281000.0,-8892000.0,0.0,-1738000.0,11747000,0.0,-8158000.0,-339000.0,0.0,0.0,0.0,0.0,-339000.0,0.0,0.0,-388000.0,-2020000.0,11060000.0,8652000.0,0.0,155000.0,388000.0,233000.0,-8158000.0,-339000.0,-8497000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312516569993/0001193125-16-569993-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312516569993/d153119d10q.htm,1620595562,17:26:02,20210509
6,2015-12-31,NCIT,USD,2016-02-26 00:00:00,2016-02-26 17:43:20,Q4,3550000.0,1885000.0,-2772000.0,271000.0,6777000.0,-7224000.0,0.0,4525000.0,23028000,0.0,1956000.0,-1134000.0,0.0,0.0,0.0,0.0,-1134000.0,0.0,0.0,-209000.0,0.0,-404000.0,-613000.0,0.0,209000.0,233000.0,24000.0,1956000.0,-1134000.0,822000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312516482459/0001193125-16-482459-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312516482459/d104976d10k.htm,1620595562,17:26:02,20210509
7,2015-09-30,NCIT,USD,2015-11-02 00:00:00,2015-11-02 16:55:02,Q3,3171000.0,1793000.0,-155000.0,340000.0,-3514000.0,4167000.0,0.0,-3773000.0,16251000,0.0,8505000.0,-688000.0,0.0,0.0,0.0,0.0,-688000.0,0.0,0.0,383000.0,0.0,-8583000.0,-8200000.0,0.0,-383000.0,24000.0,407000.0,8505000.0,-688000.0,7817000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312515362463/0001193125-15-362463-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312515362463/d34666d10q.htm,1620595562,17:26:02,20210509
8,2015-06-30,NCIT,USD,2015-08-03 00:00:00,2015-07-31 19:29:48,Q2,3046000.0,1892000.0,0.0,326000.0,-2942000.0,-3988000.0,0.0,3421000.0,19765000,0.0,7748000.0,-598000.0,0.0,0.0,0.0,0.0,-598000.0,0.0,0.0,299000.0,0.0,-7748000.0,-7449000.0,0.0,-299000.0,407000.0,706000.0,7748000.0,-598000.0,7150000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312515273359/0001193125-15-273359-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312515273359/d936990d10q.htm,1620595562,17:26:02,20210509
9,2015-03-31,NCIT,USD,2015-05-04 00:00:00,2015-05-01 19:06:54,Q1,2405000.0,2089000.0,-73000.0,370000.0,-23294000.0,5242000.0,0.0,-1035000.0,22707000,0.0,6229000.0,-251000.0,-56657000.0,0.0,0.0,0.0,-56908000.0,0.0,0.0,-706000.0,-1561000.0,27833000.0,25566000.0,0.0,-25113000.0,706000.0,25819000.0,6229000.0,-251000.0,5978000.0,https://www.sec.gov/Archives/edgar/data/1334478/000119312515166766/0001193125-15-166766-index.html,https://www.sec.gov/Archives/edgar/data/1334478/000119312515166766/d915199d10q.htm,1620595562,17:26:02,20210509
