,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-06-30,NICL.L,GBP,2019-06-30,2019-06-30,Q2,6708750.0,1135250.0,0.0,0.0,-730750.0,0.0,-231250.0,0.0,0.0,4250.0,7047250.0,-1477500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3616500.0,0.0,0.0,0.0,512000.0,10236000.0,9724000.0,7047250.0,-1477500.0,5569750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
1,2019-03-31,NICL.L,GBP,2019-03-31,2019-03-31,Q1,6708750.0,1135250.0,0.0,0.0,-730750.0,0.0,-231250.0,0.0,0.0,4250.0,7047250.0,-1477500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3616500.0,0.0,0.0,0.0,512000.0,10236000.0,9724000.0,7047250.0,-1477500.0,5569750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
2,2019-01-31,NICL.L,GBP,2019-01-31,2019-01-31,Q1,6708750.0,1135250.0,0.0,0.0,-730750.0,0.0,-231250.0,0.0,0.0,4250.0,7047250.0,-1477500.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3616500.0,0.0,0.0,0.0,512000.0,10236000.0,9724000.0,7047250.0,-1477500.0,5569750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
3,2018-06-30,NICL.L,GBP,2018-06-30,2018-06-30,Q2,6378750.0,544750.0,0.0,0.0,-1250500.0,0.0,-568500.0,0.0,0.0,-28750.0,5815750.0,-964250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3200750.0,0.0,0.0,0.0,709500.0,9724000.0,9014500.0,5815750.0,-964250.0,4851500.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
4,2018-03-31,NICL.L,GBP,2018-03-31,2018-03-31,Q1,6378750.0,544750.0,0.0,0.0,-1250500.0,0.0,-568500.0,0.0,0.0,-28750.0,5815750.0,-964250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3200750.0,0.0,0.0,0.0,709500.0,9724000.0,9014500.0,5815750.0,-964250.0,4851500.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
5,2018-01-31,NICL.L,GBP,2018-01-31,2018-01-31,Q1,6378750.0,544750.0,0.0,0.0,-1250500.0,0.0,-568500.0,0.0,0.0,-28750.0,5815750.0,-964250.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3200750.0,0.0,0.0,0.0,709500.0,9724000.0,9014500.0,5815750.0,-964250.0,4851500.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
6,2017-06-30,NICL.L,GBP,2017-06-30,2017-06-30,Q2,5793500.0,293750.0,0.0,0.0,-1735250.0,0.0,469500.0,0.0,0.0,5000.0,4435500.0,-948750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2803250.0,0.0,0.0,0.0,-924000.0,9014500.0,9938500.0,4435500.0,-948750.0,3486750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
7,2017-03-31,NICL.L,GBP,2017-03-31,2017-03-31,Q1,5793500.0,293750.0,0.0,0.0,-1735250.0,0.0,469500.0,0.0,0.0,5000.0,4435500.0,-948750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2803250.0,0.0,0.0,0.0,-924000.0,9014500.0,9938500.0,4435500.0,-948750.0,3486750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
8,2017-01-31,NICL.L,GBP,2017-01-31,2017-01-31,Q1,5793500.0,293750.0,0.0,0.0,-1735250.0,0.0,469500.0,0.0,0.0,5000.0,4435500.0,-948750.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2803250.0,0.0,0.0,0.0,-924000.0,9014500.0,9938500.0,4435500.0,-948750.0,3486750.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
9,2016-06-30,NICL.L,GBP,2016-06-30,2016-06-30,Q2,6369250.0,277750.0,0.0,0.0,-1289750.0,0.0,-595500.0,0.0,0.0,-291750.0,5038750.0,-610500.0,,0.0,0.0,0.0,0.0,0.0,-26750.0,0.0,-2451500.0,0.0,0.0,0.0,1079000.0,9938500.0,8859500.0,5038750.0,-610500.0,4428250.0,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,https://find-and-update.company-information.service.gov.uk/search/companies?q=Nichols+PLC,1620595691,17:28:11,20210509
