,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,NUKK,USD,2021-02-12,2021-02-12 16:38:31,Q1,-53595.0,0.0,0.0,0.0,60504.0,0.0,0.0,0.0,0.0,572.0,7493.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7493.0,90342.0,82849.0,7493.0,0.0,7493.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390021009029/0001213900-21-009029-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390021009029/f10q1220_nukkleus.htm,1620595896,17:31:36,20210509
1,2020-09-30,NUKK,USD,2020-12-28,2020-12-28 15:30:56,Q4,-66753.0,2290.0,0.0,0.0,-2903.0,0.0,0.0,0.0,-1394207.0,16968.0,154991.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59335.0,82849.0,55207.0,154991.0,0.0,154991.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390020044802/0001213900-20-044802-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390020044802/f10k2020_nukkleusinc.htm,1620595896,17:31:36,20210509
2,2020-06-30,NUKK,USD,2020-08-13,2020-08-13 15:49:55,Q3,11492.0,1717.0,0.0,0.0,-235817.0,0.0,0.0,0.0,-1391304.0,348.0,35821.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31693.0,55207.0,19386.0,35821.0,0.0,35821.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390020021839/0001213900-20-021839-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390020021839/f10q0620_nukkleusinc.htm,1620595896,17:31:36,20210509
3,2020-03-31,NUKK,USD,2020-05-15,2020-05-15 12:05:53,Q2,-63850.0,0.0,0.0,0.0,-63278.0,0.0,0.0,0.0,-1155487.0,573.0,-18037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18037.0,19386.0,37423.0,-18037.0,0.0,-18037.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390020012482/0001213900-20-012482-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390020012482/f10q0320_nukkleusinc.htm,1620595896,17:31:36,20210509
4,2019-12-31,NUKK,USD,2020-01-14 00:00:00,2020-01-14 13:30:19,Q1,-45301.0,0.0,0.0,0.0,-44729.0,0.0,0.0,0.0,-1092209.0,-17316.0,13909.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13909.0,37423.0,23514.0,13909.0,0.0,13909.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390020000944/0001213900-20-000944-index.html,https://www.sec.gov/Archives/edgar/data/1592782/000121390020000944/f10k2019_nukkleusinc.htm,1620595896,17:31:36,20210509
5,2019-09-30,NUKK,USD,2020-01-14,2020-01-14 13:30:19,Q4,-310394.0,0.0,0.0,0.0,-309821.0,0.0,0.0,0.0,-1047480.0,31082.0,16374.0,0.0,0.0,0.0,0.0,-1692.0,-1692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14682.0,23514.0,8832.0,16374.0,0.0,16374.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390020000944/0001213900-20-000944-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390020000944/f10k2019_nukkleusinc.htm,1620595896,17:31:36,20210509
6,2019-06-30,NUKK,USD,2019-08-20,2019-08-19 17:33:49,Q3,-68916.0,0.0,0.0,0.0,-68344.0,0.0,0.0,0.0,-737659.0,-61657.0,-65136.0,0.0,0.0,0.0,0.0,0.0,-49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65185.0,8832.0,74017.0,-65136.0,0.0,-65136.0,https://www.sec.gov/Archives/edgar/data/1592782/000121390019016344/0001213900-19-016344-index.htm,https://www.sec.gov/Archives/edgar/data/1592782/000121390019016344/f10q0619_nukkleusinc.htm,1620595896,17:31:36,20210509
7,2019-03-31,NUKK,USD,2019-05-15 00:00:00,2019-05-14 18:28:32,Q2,-230901.0,0.0,0.0,0.0,-230328.0,0.0,0.0,0.0,-669315.0,0.0,-51878.0,0.0,0.0,-296.0,0.0,0.0,-296.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52174.0,74017.0,126191.0,-51878.0,0.0,-51878.0,https://www.sec.gov/Archives/edgar/data/1592782/000161577419007808/0001615774-19-007808-index.html,https://www.sec.gov/Archives/edgar/data/1592782/000161577419007808/s118294_10q.htm,1620595896,17:31:36,20210509
8,2018-12-31,NUKK,USD,2019-02-14 00:00:00,2019-02-14 13:16:38,Q1,-119902.0,0.0,0.0,0.0,-119330.0,0.0,0.0,0.0,-438987.0,0.0,-37791.0,0.0,0.0,-93655.0,0.0,0.0,-93655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-131446.0,126191.0,257637.0,-37791.0,0.0,-37791.0,https://www.sec.gov/Archives/edgar/data/1592782/000161577419002490/0001615774-19-002490-index.html,https://www.sec.gov/Archives/edgar/data/1592782/000161577419002490/s116043_10q.htm,1620595896,17:31:36,20210509
9,2018-09-30,NUKK,USD,2018-12-20 00:00:00,2018-12-20 16:41:28,Q4,-19343.0,0.0,0.0,0.0,-18771.0,0.0,0.0,0.0,-319657.0,572.0,39499.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49499.0,257637.0,208138.0,39499.0,0.0,39499.0,https://www.sec.gov/Archives/edgar/data/1592782/000161577418014724/0001615774-18-014724-index.html,https://www.sec.gov/Archives/edgar/data/1592782/000161577418014724/s114715_10k.htm,1620595896,17:31:36,20210509
