,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2021-03-31,O5Q.DE,USD,2021-03-31,2021-03-31,Q1,210000000.0,119000000.0,13000000.0,12000000.0,-136000000.0,0.0,0.0,0.0,0.0,-14000000.0,204000000.0,-84000000,0.0,0.0,0.0,-2000000.0,-121000000.0,0.0,0.0,-142000000.0,-55000000.0,3000000.0,-194000000.0,-1000000.0,-112000000.0,612000000.0,724000000.0,204000000.0,-84000000.0,120000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
1,2020-12-31,O5Q.DE,USD,2020-12-31,2020-12-31,Q4,230000000.0,141000000.0,-9000000.0,10000000.0,147000000.0,0.0,0.0,0.0,0.0,-100000000.0,418000000.0,-104000000,0.0,0.0,0.0,3000000.0,-101000000.0,1000000.0,0.0,-222000000.0,-26000000.0,-5000000.0,-252000000.0,5000000.0,70000000.0,724000000.0,654000000.0,418000000.0,-104000000.0,314000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
2,2020-09-30,O5Q.DE,USD,2020-09-30,2020-09-30,Q3,206000000.0,120000000.0,47000000.0,11000000.0,138000000.0,0.0,0.0,0.0,0.0,-33000000.0,488000000.0,-63000000,0.0,0.0,0.0,13000000.0,-50000000.0,-483000000.0,0.0,0.0,-26000000.0,-2000000.0,-371000000.0,-2000000.0,65000000.0,654000000.0,589000000.0,488000000.0,-63000000.0,425000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
3,2020-06-30,O5Q.DE,USD,2020-06-30,2020-06-30,Q2,95000000.0,116000000.0,27000000.0,9000000.0,74000000.0,0.0,0.0,0.0,0.0,-40000000.0,281000000.0,-48000000,0.0,0.0,32000000.0,55000000.0,7000000.0,-216000000.0,0.0,0.0,-26000000.0,-3000000.0,52000000.0,8000000.0,348000000.0,589000000.0,241000000.0,281000000.0,-48000000.0,233000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
4,2020-03-31,O5Q.DE,USD,2020-03-31,2020-03-31,Q1,-916000000.0,116000000.0,21000000.0,11000000.0,-265000000.0,0.0,0.0,0.0,0.0,-5000000.0,-52000000.0,-92000000,0.0,0.0,16000000.0,31000000.0,-61000000.0,-397000000.0,0.0,-96000000.0,-26000000.0,-4000000.0,213000000.0,-38000000.0,62000000.0,241000000.0,179000000.0,-52000000.0,-92000000.0,-144000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
5,2019-12-31,O5Q.DE,USD,2019-12-31,2019-12-31,Q4,72000000.0,120000000.0,0.0,8000000.0,244000000.0,0.0,0.0,0.0,0.0,-48000000.0,441000000.0,-133000000,0.0,0.0,3000000.0,24000000.0,-109000000.0,-652000000.0,0.0,0.0,-23000000.0,-3000000.0,-203000000.0,8000000.0,137000000.0,179000000.0,42000000.0,441000000.0,-133000000.0,308000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
6,2019-09-30,O5Q.DE,USD,2019-09-30,2019-09-30,Q3,151000000.0,112000000.0,53000000.0,10000000.0,-20000000.0,0.0,0.0,0.0,0.0,-29000000.0,309000000.0,-101000000,0.0,0.0,20000000.0,18000000.0,-83000000.0,-1462000000.0,0.0,0.0,-24000000.0,-2000000.0,-288000000.0,4000000.0,-58000000.0,42000000.0,100000000.0,309000000.0,-101000000.0,208000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
7,2019-06-30,O5Q.DE,USD,2019-06-30,2019-06-30,Q2,138000000.0,112000000.0,36000000.0,10000000.0,155000000.0,0.0,0.0,0.0,0.0,-13000000.0,438000000.0,-115000000,0.0,0.0,0.0,8000000.0,-107000000.0,-723000000.0,0.0,0.0,0.0,2000000.0,-323000000.0,2000000.0,10000000.0,100000000.0,90000000.0,438000000.0,-115000000.0,323000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
8,2019-03-31,O5Q.DE,USD,2019-03-31,2019-03-31,Q1,44000000.0,113000000.0,29000000.0,11000000.0,-346000000.0,0.0,0.0,0.0,0.0,-2000000.0,-151000000.0,-98000000,0.0,0.0,0.0,3000000.0,-95000000.0,-195000000.0,0.0,-61000000.0,-48000000.0,-3000000.0,241000000.0,10000000.0,5000000.0,90000000.0,85000000.0,-151000000.0,-98000000.0,-249000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
9,2018-12-31,O5Q.DE,USD,2018-12-31,2018-12-31,Q4,171000000.0,110000000.0,64000000.0,13000000.0,6000000.0,0.0,0.0,0.0,0.0,-71000000.0,297000000.0,-112000000,0.0,0.0,0.0,74000000.0,-38000000.0,-722000000.0,0.0,0.0,-22000000.0,2000000.0,-306000000.0,-12000000.0,-59000000.0,85000000.0,144000000.0,297000000.0,-112000000.0,185000000.0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,https://www.bundesanzeiger.de/pub/de/suche;wwwsid=627BFD7A56A5CB624C47FDDEAB2FC509.web07-pub?0,1620595993,17:33:13,20210509
