,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2021-01-02,PGTI,USD,2021-03-02,2021-03-02 12:17:06,Q4,45108000.0,24014000.0,-593000.0,5458000.0,16238000.0,-13775000.0,-14793000.0,10240000.0,211196000.0,0.0,75495000.0,-24800000.0,0.0,0.0,0.0,0.0,-114402000.0,-10000000.0,305000.0,0.0,0.0,0.0,41984000.0,0.0,3077000.0,100320000.0,99344000.0,75495000.0,-24800000.0,50695000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459021010144/0001564590-21-010144-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459021010144/pgti-10k_20210102.htm,1620596530,17:42:10,20210509
1,2020-10-03,PGTI,USD,2020-11-05,2020-11-05 12:11:32,Q3,17322000.0,6110000.0,0.0,1451000.0,13438000.0,-5482000.0,-3146000.0,6145000.0,194958000.0,0.0,-1364000.0,-8063000.0,0.0,0.0,0.0,0.0,-7919000.0,-10000000.0,119000.0,0.0,0.0,0.0,-10000000.0,0.0,991000.0,99344000.0,98353000.0,-1364000.0,-8063000.0,-9427000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459020051050/0001564590-20-051050-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020051050/pgti-10q_20201003.htm,1620596530,17:42:10,20210509
2,2020-07-04,PGTI,USD,2020-08-12,2020-08-12 12:18:08,Q2,2199000.0,10947000.0,0.0,1400000.0,14754000.0,2807000.0,-1875000.0,9345000.0,181520000.0,12215000.0,35587000.0,-4988000.0,0.0,0.0,0.0,202000.0,-4786000.000000001,0.0,0.0,0.0,0.0,30801000.0,0.0,0.0,30801000.0,98353000.0,67552000.0,35587000.0,-4988000.0,30599000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459020039547/0001564590-20-039547-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020039547/pgti-10q_20200704.htm,1620596530,17:42:10,20210509
3,2020-04-04,PGTI,USD,2020-05-13,2020-05-13 12:22:43,Q1,15600000.0,9928000.0,0.0,1500000.0,-10747000.0,-17857000.0,-4039000.0,5916000.0,166766000.0,2405000.0,10924000.0,-2327000.0,-90145000.0,0.0,0.0,82000.0,-92390000.0,-1266000.0,119000.0,668000.0,0.0,120593000.0,51775000.0,0.0,-29691000.0,67552000.0,97243000.0,10924000.0,-2327000.0,8597000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459020024931/0001564590-20-024931-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020024931/pgti-10q_20200404.htm,1620596530,17:42:10,20210509
4,2019-12-28,PGTI,USD,2020-02-26,2020-02-26 09:59:33,Q4,3280000.000000001,8919000.000000002,4410000.0,700000.0,9243000.0,15364000.0,3715000.0,-9577000.0,177513000.0,-1037000.0000000008,26943999.999999996,-11016000.0,0.0,0.0,0.0,28000.0,-10988000.0,-63975000.0,59000.0,313000.0000000002,0.0,63459000.0,-516000.0,0.0,15440000.000000006,97243000.0,81803000.0,26943999.999999996,-11016000.0,15927999.999999994,https://www.sec.gov/Archives/edgar/data/1354327/000156459020006608/0001564590-20-006608-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459020006608/pgti-10k_20191228.htm,1620596530,17:42:10,20210509
5,2019-09-28,PGTI,USD,2019-11-07,2019-11-07 13:23:18,Q3,15106000.000000002,8639999.999999998,0.0,900000.0,14832000.0,-603000.0,-1840000.0,-10301000.0,168270000.0,3230000.0000000005,9689000.0,-7289000.0,0.0,-5550000.0,0.0,5574000.0,-7264999.999999999,-9000.0,-31000.0,-5112999.999999999,0.0,-84033000.0,-5122000.0,0.0,-2698000.0000000005,81803000.0,84501000.0,9689000.0,-7289000.0,2400000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459019041541/0001564590-19-041541-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019041541/pgti-10q_20190928.htm,1620596530,17:42:10,20210509
6,2019-06-29,PGTI,USD,2019-08-01,2019-08-01 15:51:20,Q2,17045000.0,8661000.000000002,0.0,1102000.0,23384000.0,-2019000.0,2591000.0,11633000.0,153438000.0,3350000.0,43675000.0,-4664000.0,0.0,0.0,0.0,-9000.0,-4673000.0,-78000.0,14000.0,641000.0,0.0,40192000.0,563000.0,0.0,39565000.0,84501000.0,44936000.0,43675000.0,-4664000.0,39011000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459019027914/0001564590-19-027914-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019027914/pgti-10q_20190629.htm,1620596530,17:42:10,20210509
7,2019-03-30,PGTI,USD,2019-05-02,2019-05-02 14:54:26,Q1,8257000.0,8512000.0,0.0,1198000.0,3213000.0,-60000.0,-3651000.0,-11242000.0,130054000.0,3262000.0,908000.0,-8299000.0,0.0,0.0,0.0,28000.0,-8271000.0,-76000.0,17000.0,230000.0,0.0,44644000.0,-351000.0,0.0,-7714000.0,44936000.0,52650000.0,908000.0,-8299000.0,-7391000.0,https://www.sec.gov/Archives/edgar/data/1354327/000156459019015247/0001564590-19-015247-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019015247/pgti-10q_20190330.htm,1620596530,17:42:10,20210509
8,2018-12-29,PGTI,USD,2019-02-27,2019-02-27 14:57:50,Q4,10473999.999999996,8599999.999999998,-4962000.0,840000.0,-867000.0,9917000.0,1811000.0,-1167000.0,126841000.0,2419000.0000000005,35753999.99999999,-8029000.0,629000.0,-687000.0,0.0,778000.0,-7309000.000000026,-8074000.0,-150000.0,-513999.9999999816,0.0,-31202000.0,-7954000.000000008,0.0,20491000.0,52650000.0,32159000.0,35753999.99999999,-8029000.0,27724999.99999999,https://www.sec.gov/Archives/edgar/data/1354327/000156459019004831/0001564590-19-004831-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000156459019004831/pgti-10k_20181229.htm,1620596530,17:42:10,20210509
9,2018-09-29,PGTI,USD,2018-11-01,2018-11-01 16:48:08,Q3,13571000.0,6450000.000000001,0.0,1345000.0,-21965000.0,-10772000.0,1429000.0,8240000.0,127708000.0,8210000.0,24652000.000000007,-6848000.0,-355213000.0,0.0,0.0,46000.0,-361986999.99999994,-152074000.0,152642000.0,152999000.0,0.0,273241000.0,305565000.0,0.0,-31770000.0,32130000.0,63900000.0,24652000.000000007,-6848000.0,17812000.00000001,https://www.sec.gov/Archives/edgar/data/1354327/000119312518315879/0001193125-18-315879-index.htm,https://www.sec.gov/Archives/edgar/data/1354327/000119312518315879/d613955d10q.htm,1620596530,17:42:10,20210509
