,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,POL.OL,NOK,2020-12-31,2020-12-31,Q4,188240000.0,47138000.0,0.0,0.0,34925000.0,0.0,0.0,0.0,0.0,0.0,171798000.0,0.0,0.0,-890000.0,0.0,0.0,-54517000.0,-4494000.0,-556000.0,0.0,0.0,24853000.0,-22908000.0,-293000.0,101837000.0,710337000,608500000,171798000.0,-26515000.0,145283000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
1,2020-09-30,POL.OL,NOK,2020-09-30,2020-09-30,Q3,123800000.0,45400000.0,0.0,0.0,-76300000.0,0.0,0.0,0.0,0.0,0.0,44000000.0,0.0,0.0,0.0,0.0,0.0,-27200000.0,-400000.0,0.0,0.0,0.0,-16000000.0,-39200000.0,1100000.0,-15400000.0,608500000,623900000,44000000.0,-20100000.0,23900000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
2,2020-06-30,POL.OL,NOK,2020-06-30,2020-06-30,Q2,84800000.0,51500000.0,0.0,0.0,-40900000.0,0.0,0.0,0.0,0.0,0.0,23300000.0,0.0,0.0,0.0,0.0,0.0,-46400000.0,-7400000.0,500000.0,0.0,0.0,54700000.0,23700000.0,1000000.0,19600000.0,623900000,604300000,23300000.0,-13900000.0,9400000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
3,2020-03-31,POL.OL,NOK,2020-03-31,2020-03-31,Q1,23800000.0,45700000.0,0.0,0.0,48700000.0,0.0,0.0,0.0,0.0,0.0,76500000.0,0.0,0.0,0.0,0.0,-100000.0,-245400000.0,0.0,1700000.0,0.0,0.0,2000000.0,269300000.0,7400000.0,280600000.0,604300000,323700000,76500000.0,-26000000.0,50500000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
4,2019-12-31,POL.OL,NOK,2019-12-31,2019-12-31,Q4,46459000.0,39835000.0,0.0,0.0,118137000.0,0.0,0.0,0.0,0.0,0.0,147281000.0,0.0,0.0,0.0,0.0,0.0,-27880000.0,-307000.0,0.0,0.0,-31000.0,-6150000.0,-28689000.0,1756000.0,92426000.0,323726000,231300000,147281000.0,-24534000.0,122747000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
5,2019-09-30,POL.OL,NOK,2019-09-30,2019-09-30,Q3,62500000.0,39200000.0,0.0,0.0,-92000000.0,0.0,0.0,0.0,0.0,0.0,-26600000.0,0.0,0.0,0.0,0.0,0.0,-5000000.0,-500000.0,0.0,0.0,-100000.0,81500000.0,53000000.0,1200000.0,22600000.0,231300000,208700000,-26600000.0,-5000000.0,-31600000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
6,2019-06-30,POL.OL,NOK,2019-06-30,2019-06-30,Q2,55900000.0,35000000.0,0.0,0.0,-42000000.0,0.0,0.0,0.0,0.0,0.0,12600000.0,0.0,0.0,-103300000.0,0.0,100000.0,-112400000.0,-600000.0,0.0,0.0,-85300000.0,51000000.0,-51600000.0,-200000.0,-20200000.0,208700000,228900000,12600000.0,-9200000.0,3400000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
7,2019-03-31,POL.OL,NOK,2019-03-31,2019-03-31,Q1,25700000.0,29000000.0,0.0,0.0,11000000.0,0.0,0.0,0.0,0.0,0.0,30600000.0,0.0,0.0,-9800000.0,0.0,0.0,-21900000.0,-400000.0,0.0,0.0,0.0,900000.0,-15300000.0,0.0,-6500000.0,228900000,235400000,30600000.0,-12100000.0,18500000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
8,2018-12-31,POL.OL,NOK,2018-12-31,2018-12-31,Q4,42927000.0,19468000.0,0.0,0.0,57107000.0,0.0,0.0,0.0,0.0,0.0,79023000.0,0.0,0.0,0.0,0.0,0.0,-8558000.0,-1739000.0,0.0,0.0,-33000.0,1694000.0,-2076000.0,0.0,68514000.0,235414000,166900000,79023000.0,-5932000.0,73091000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
9,2018-09-30,POL.OL,NOK,2018-09-30,2018-09-30,Q3,33000000.0,19700000.0,0.0,0.0,-51600000.0,0.0,0.0,0.0,0.0,0.0,-19400000.0,0.0,0.0,0.0,0.0,0.0,-3900000.0,-1700000.0,0.0,0.0,0.0,39500000.0,35800000.0,0.0,12400000.0,166900000,154500000,-19400000.0,-3300000.0,-22700000.0,https://www.oslobors.no/ob_eng/,https://www.oslobors.no/ob_eng/,1620596702,17:45:02,20210509
