,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,PRTK,USD,2021-03-29,2021-03-29,Q4,-25010000.0,141000.0,0.0,2323000.0,1483000.0,1248000.0,-4661000.0,0.0,-566000.0,-3846000.0,-23850000.0,-45000.0,0.0,0.0,27000000.0,0.0,26955000.0,-60000000.0,-1000.0,0.0,0.0,0.0,-876000.0,0.0,2229000.0,106048000.0,103819000.0,-23850000.0,-45000.0,-23895000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459021016154/0001564590-21-016154-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459021016154/prtk-10k_20201231.htm,1620596823,17:47:03,20210509
1,2020-09-30,PRTK,USD,2020-11-05,2020-11-05 16:29:11,Q3,-20855000.0,173000.0,0.0,2401000.0,-16175000.0,-8207000.0,-1285000.0,-3754000.0,172103000.0,2485000.0,-28919000.0,-40000.0,0.0,-9994000.0,7500000.0,0.0,-2534000.0,-10000000.0,1055000.0,0.0,0.0,0.0,-8945000.0,0.0,-40398000.0,103819000.0,144217000.0,-28919000.0,-40000.0,-28959000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459020051367/0001564590-20-051367-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020051367/prtk-10q_20200930.htm,1620596823,17:47:03,20210509
2,2020-06-30,PRTK,USD,2020-08-10,2020-08-10 07:12:55,Q2,-23059000.0,194000.0,0.0,2989000.0,4381000.0,1579000.0,-5677000.0,0.0,188278000.0,-1684000.0,-20329000.0,-38000.0,0.0,0.0,25000000.0,0.0,24962000.0,0.0,11745000.0,0.0,0.0,0.0,12069000.0,0.0,16702000.0,144217000.0,127515000.0,-20329000.0,-38000.0,-20367000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459020038591/0001564590-20-038591-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020038591/prtk-10q_20200630.htm,1620596823,17:47:03,20210509
3,2020-03-31,PRTK,USD,2020-05-11,2020-05-11 06:31:51,Q1,-27617000.0,70000.0,0.0,2535000.0,-35257000.0,-2079000.0,-137000.0,0.0,183897000.0,4563000.0,-30326000.0,-253000.0,0.0,-19631000.0,63000000.0,0.0,43116000.0,0.0,9092000.0,0.0,0.0,0.0,9092000.0,0.0,21882000.0,127515000.0,105633000.0,-30326000.0,-253000.0,-30579000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459020023825/0001564590-20-023825-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020023825/prtk-10q_20200331.htm,1620596823,17:47:03,20210509
4,2019-12-31,PRTK,USD,2020-03-10,2020-03-10 17:32:26,Q4,-27365000.0,-168000.0,0.0,3553000.0,-1004000.0,-5176000.0,-3301000.0,0.0,219154000.0,-2009000.0,-35530000.0,-194000.0,0.0,-25130000.0,33000000.0,0.0,7676000.0,0.0,24630000.0,0.0,0.0,0.0,24845000.0,0.0,-3009000.0,105633000.0,108642000.0,-35530000.0,-194000.0,-35724000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459020009802/0001564590-20-009802-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459020009802/prtk-10k_20191231.htm,1620596823,17:47:03,20210509
5,2019-09-30,PRTK,USD,2019-11-12,2019-11-12 16:06:56,Q3,-32614000.0,-231000.0,0.0,3824000.0,-26446000.0,-2648000.0,-4587000.0,0.0,220158000.0,3601000.0,-28165000.0,-34000.0,0.0,-54767000.0,57500000.0,0.0,2699000.0,0.0,1929000.0,0.0,0.0,0.0,695000.0,0.0,-24771000.0,108642000.0,133413000.0,-28165000.0,-34000.0,-28199000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459019042902/0001564590-19-042902-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019042902/prtk-10q_20190930.htm,1620596823,17:47:03,20210509
6,2019-06-30,PRTK,USD,2019-08-06,2019-08-06 16:16:45,Q2,-33201000.0,-408000.0,0.0,3055000.0,-1258000.0,-1056000.0,-1589000.0,0.0,246604000.0,-1099000.0,-34594000.0,0.0,0.0,-22310000.0,76500000.0,0.0,54190000.0,0.0,0.0,0.0,0.0,0.0,32082000.0,0.0,51678000.0,133413000.0,81735000.0,-34594000.0,0.0,-34594000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459019029353/0001564590-19-029353-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019029353/prtk-10q_20190630.htm,1620596823,17:47:03,20210509
7,2019-03-31,PRTK,USD,2019-05-08,2019-05-08 17:01:45,Q1,-35610000.0,-485000.0,0.0,3863000.0,10328000.0,-2348000.0,-1379000.0,0.0,247862000.0,2748000.0,-35756000.0,-11000.0,0.0,0.0,70000000.0,0.0,69989000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34233000.0,81735000.0,47502000.0,-35756000.0,-11000.0,-35767000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459019017306/0001564590-19-017306-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019017306/prtk-10q_20190331.htm,1620596823,17:47:03,20210509
8,2018-12-31,PRTK,USD,2019-03-06,2019-03-05 17:34:40,Q4,-22791000.0,-537000.0,0.0,12538000.0,-29300000.0,-526000.0,0.0,0.0,237534000.0,-1830000.0,-18985000.0,-6000.0,0.0,-72132000.0,48992000.0,0.0,-23146000.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,-42131000.0,47502000.0,89633000.0,-18985000.0,-6000.0,-18991000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459019006315/0001564590-19-006315-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459019006315/prtk-10k_20181231.htm,1620596823,17:47:03,20210509
9,2018-09-30,PRTK,USD,2018-11-06,2018-11-06 16:03:06,Q3,-32083000.0,-820000.0,0.0,4085000.0,32933000.0,-425000.0,0.0,0.0,266834000.0,2713000.0,-20467000.0,0.0,0.0,0.0,43758000.0,0.0,43758000.0,0.0,0.0,0.0,0.0,0.0,9744000.0,0.0,33035000.0,89633000.0,56598000.0,-20467000.0,0.0,-20467000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459018027389/0001564590-18-027389-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018027389/prtk-10q_20180930.htm,1620596823,17:47:03,20210509
10,2018-06-30,PRTK,USD,2018-08-02,2018-08-01 21:04:26,Q2,-29732000.0,103000.0,0.0,4503000.0,69038000.0,406000.0,0.0,0.0,233901000.0,1414000.0,-22675000.0,-30000.0,0.0,-171040000.0,41300000.0,0.0,-129770000.0,0.0,0.0,0.0,0.0,0.0,159291000.0,0.0,6846000.0,56598000.0,49752000.0,-22675000.0,-30000.0,-22705000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459018018613/0001564590-18-018613-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018018613/prtk-10q_20180630.htm,1620596823,17:47:03,20210509
11,2018-03-31,PRTK,USD,2018-05-09,2018-05-08 20:01:30,Q1,-27750000.0,187000.0,0.0,4367000.0,21166000.0,4985000.0,0.0,0.0,164863000.0,424000.0,-19052000.0,-24000.0,0.0,-49692000.0,31000000.0,0.0,-18716000.0,0.0,51516000.0,0.0,0.0,0.0,51692000.0,0.0,13924000.0,49752000.0,35828000.0,-19052000.0,-24000.0,-19076000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459018012027/0001564590-18-012027-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018012027/prtk-10q_20180331.htm,1620596823,17:47:03,20210509
12,2017-12-31,PRTK,USD,2018-03-06,2018-03-06 16:50:41,Q4,-21893000.0,289000.0,0.0,3884000.0,-6712000.0,-5942000.0,0.0,0.0,143697000.0,39000.0,-22385000.0,48000.0,0.0,-30933000.0,44999000.0,0.0,14114000.0,0.0,693000.0,0.0,0.0,0.0,10692000.0,0.0,2421000.0,35416000.0,32995000.0,-22385000.0,0.0,-22337000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459018004551/0001564590-18-004551-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459018004551/prtk-10k_20171231.htm,1620596823,17:47:03,20210509
13,2017-09-30,PRTK,USD,2017-11-08,2017-11-07 19:26:01,Q3,-21324000.0,324000.0,0.0,4082000.0,-13009000.0,463000.0,0.0,0.0,150409000.0,39000.0,-15503000.0,-37000.0,0.0,-55469000.0,48750000.0,-46000.0,-6802000.0,0.0,3412000.0,0.0,0.0,0.0,3713000.0,0.0,-18592000.0,32995000.0,51587000.0,-15503000.0,-37000.0,-15540000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459017022400/0001564590-17-022400-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017022400/prtk-10q_20170930.htm,1620596823,17:47:03,20210509
14,2017-06-30,PRTK,USD,2017-08-02,2017-08-01 19:16:37,Q2,-18182000.0,354000.0,0.0,4892000.0,39254000.0,226000.0,0.0,0.0,163418000.0,-318000.0,-15759000.0,-231000.0,0.0,-66222000.0,20000000.0,11000.0,-46442000.0,0.0,41831000.0,0.0,0.0,0.0,51744000.0,0.0,-10457000.0,51587000.0,62044000.0,-15759000.0,-231000.0,-15990000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459017014727/0001564590-17-014727-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017014727/prtk-10q_20170630.htm,1620596823,17:47:03,20210509
15,2017-03-31,PRTK,USD,2017-05-04,2017-05-03 18:45:21,Q1,-27670000.0,301000.0,0.0,4044000.0,12476000.0,420000.0,0.0,0.0,124164000.0,62000.0,-24927000.0,-897000.0,0.0,-27665000.0,25000000.0,690000.0,-2872000.0,0.0,36859000.0,0.0,0.0,0.0,36881000.0,0.0,9082000.0,62044000.0,52962000.0,-24927000.0,-897000.0,-25824000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459017008487/0001564590-17-008487-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017008487/prtk-10q_20170331.htm,1620596823,17:47:03,20210509
16,2016-12-31,PRTK,USD,2017-03-02,2017-03-01 20:16:37,Q4,-26454000.0,1362000.0,0.0,2690000.0,5981000.0,339000.0,0.0,0.0,111688000.0,-719000.0,-24231000.0,-376000.0,0.0,-42549000.0,35140000.0,2823000.0,-4962000.0,0.0,9643000.0,0.0,0.0,0.0,29217000.0,0.0,24000.0,52962000.0,52938000.0,-24231000.0,-376000.0,-24607000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459017003144/0001564590-17-003144-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459017003144/prtk-10k_20161231.htm,1620596823,17:47:03,20210509
17,2016-09-30,PRTK,USD,2016-11-02,2016-11-01 21:32:17,Q3,-23628000.0,358000.0,0.0,2659000.0,-20935000.0,-2481000.0,0.0,0.0,105707000.0,411000.0,-29052000.0,60000.0,0.0,-25041000.0,19966000.0,-92000.0,-5107000.0,0.0,-330000.0,0.0,0.0,0.0,-330000.0,0.0,-34489000.0,52938000.0,87427000.0,-29052000.0,0.0,-28992000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459016026824/0001564590-16-026824-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016026824/prtk-10q_20160930.htm,1620596823,17:47:03,20210509
18,2016-06-30,PRTK,USD,2016-08-04,2016-08-03 20:20:03,Q2,-30283000.0,339000.0,0.0,3024000.0,33324000.0,2631000.0,0.0,0.0,126642000.0,-67000.0,-22305000.0,-275000.0,0.0,144000.0,0.0,-158000.0,4711000.0,0.0,60878000.0,0.0,0.0,0.0,60878000.0,0.0,43284000.0,87427000.0,44143000.0,-22305000.0,-275000.0,-22580000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459016022461/0001564590-16-022461-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016022461/prtk-10q_20160630.htm,1620596823,17:47:03,20210509
19,2016-03-31,PRTK,USD,2016-05-02,2016-05-02 16:30:50,Q1,-31271000.0,244000.0,0.0,2419000.0,-28597000.0,4471000.0,0.0,0.0,93318000.0,271000.0,-18510000.0,-99000.0,0.0,-68353000.0,0.0,-947000.0,-69399000.0,0.0,739000.0,0.0,0.0,0.0,750000.0,0.0,-87159000.0,44143000.0,131302000.0,-18510000.0,-99000.0,-18609000.0,https://www.sec.gov/Archives/edgar/data/1178711/000156459016017306/0001564590-16-017306-index.htm,https://www.sec.gov/Archives/edgar/data/1178711/000156459016017306/prtk-10q_20160331.htm,1620596823,17:47:03,20210509
