,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2019-09-30,PRTO,USD,2019-09-30,2019-09-30,Q3,-1536000.0,83000.0,0.0,96000.0,-1337000.0,0.0,0.0,-442000.0,8035000.0,0.0,-1464000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464000.0,0.0,-1464000.0,0.0,0.0,-1464000.0,9349000.0,10813000.0,-1464000.0,0.0,-1464000.0,,,1620596824,17:47:04,20210509
1,2019-06-30,PRTO,USD,2019-06-30,2019-06-30,Q2,-5315000.0,22000.0,0.0,101000.0,-5191000.0,0.0,0.0,-1178000.0,9372000.0,0.0,-5950000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5950000.0,0.0,-5950000.0,0.0,0.0,-5950000.0,10813000.0,16763000.0,-5950000.0,0.0,-5950000.0,,,1620596824,17:47:04,20210509
2,2019-03-31,PRTO,USD,2019-03-31,2019-03-31,Q1,-6531000.0,178000.0,0.0,780000.0,-5595000.0,0.0,0.0,155000.0,14563000.0,0.0,-5092000.0,-16000.0,0.0,0.0,2500000.0,0.0,2484000.0,0.0,0.0,-16763000.0,0.0,16763000.0,0.0,0.0,-2608000.0,16763000.0,19371000.0,-5092000.0,-16000.0,-5108000.0,,,1620596824,17:47:04,20210509
3,2018-12-31,PRTO,USD,2018-12-31,2018-12-31,Q4,-5259000.0,48000.0,0.0,782000.0,-4391000.0,0.0,0.0,544000.0,20158000.0,0.0,-4313000.0,-95000.0,0.0,0.0,8000000.0,-2492000.0,5413000.0,0.0,0.0,-1146000.0,0.0,1194000.0,48000.0,-2000.0,1146000.0,19371000.0,18225000.0,-4313000.0,-95000.0,-4408000.0,,,1620596824,17:47:04,20210509
4,2018-09-30,PRTO,USD,2018-09-30,2018-09-30,Q3,-4510000.0,43000.0,0.0,904000.0,-731000.0,0.0,0.0,303000.0,24549000.0,0.0,-3116000.0,-3000.0,0.0,0.0,8000000.0,-1994000.0,6003000.0,0.0,3000000.0,-5740000.0,0.0,5593000.0,2853000.0,0.0,5740000.0,18225000.0,12485000.0,-3116000.0,-3000.0,-3119000.0,,,1620596824,17:47:04,20210509
5,2018-06-30,PRTO,USD,2018-06-30,2018-06-30,Q2,-4879000.0,46000.0,0.0,922000.0,-3733000.0,0.0,0.0,-6789000.0,25280000.0,0.0,-10348000.0,-12000.0,0.0,0.0,8475000.0,-10957000.0,-2494000.0,0.0,0.0,12871000.0,0.0,-12787000.0,84000.0,-113000.0,-12871000.0,12485000.0,25356000.0,-10348000.0,-12000.0,-10360000.0,,,1620596824,17:47:04,20210509
6,2018-03-31,PRTO,USD,2018-03-31,2018-03-31,Q1,-6081000.0,29000.0,0.0,821000.0,-5227000.0,0.0,0.0,-220000.0,29013000.0,0.0,-5456000.0,-9000.0,0.0,0.0,7515000.0,1999000.0,9505000.0,0.0,0.0,-25356000.0,0.0,25356000.0,0.0,137000.0,4186000.0,25356000.0,21170000.0,-5456000.0,-9000.0,-5465000.0,,,1620596824,17:47:04,20210509
7,2017-12-31,PRTO,USD,2017-12-31,2017-12-31,Q4,-5551000.0,33000.0,0.0,768000.0,-4650000.0,0.0,0.0,146000.0,34240000.0,0.0,-5698000.0,-12000.0,0.0,0.0,7958000.0,-1499000.0,6447000.0,0.0,113000.0,-1184000.0,0.0,1130000.0,59000.0,376000.0,1184000.0,21170000.0,19986000.0,-5698000.0,-12000.0,-5710000.0,,,1620596824,17:47:04,20210509
8,2017-09-30,PRTO,USD,2017-09-30,2017-09-30,Q3,-12307000.0,41000.0,0.0,747000.0,10005000.0,0.0,0.0,4957000.0,38890000.0,0.0,-5926000.0,-9000.0,0.0,0.0,4000000.0,-18083000.0,-14092000.0,0.0,0.0,-1601000.0,0.0,23137000.0,21536000.0,83000.0,1601000.0,19986000.0,18385000.0,-5926000.0,-9000.0,-5935000.0,,,1620596824,17:47:04,20210509
9,2017-06-30,PRTO,USD,2017-06-30,2017-06-30,Q2,-5608000.0,40000.0,0.0,867000.0,-3479000.0,0.0,0.0,1114000.0,28885000.0,0.0,-3282000.0,-8000.0,0.0,0.0,0.0,-13360000.0,-13368000.0,0.0,1182000.0,15747000.0,0.0,-15688000.0,1241000.0,-338000.0,-15747000.0,18385000.0,34132000.0,-3282000.0,-8000.0,-3290000.0,,,1620596824,17:47:04,20210509
