,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,SALASAR.NS,INR,2020-09-30,2020-09-30,Q3,69871250,12479750.0,0.0,0.0,-34290250.0,0.0,60976500.0,0.0,0.0,45826750,77667500.0,-48147750.0,,0.0,0.0,3525250.0,0.0,0.0,0.0,0.0,-9997750.0,0.0,0.0,0.0,-2928500.0,1637000.0,4565500.0,77667500.0,-48147750.0,29519750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
1,2020-06-30,SALASAR.NS,INR,2020-06-30,2020-06-30,Q2,69871250,12479750.0,0.0,0.0,-34290250.0,0.0,60976500.0,0.0,0.0,45826750,77667500.0,-48147750.0,,0.0,0.0,3525250.0,0.0,0.0,0.0,0.0,-9997750.0,0.0,0.0,0.0,-2928500.0,1637000.0,4565500.0,77667500.0,-48147750.0,29519750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
2,2020-03-31,SALASAR.NS,INR,2020-03-31,2020-03-31,Q1,69871250,12479750.0,0.0,0.0,-34290250.0,0.0,60976500.0,0.0,0.0,45826750,77667500.0,-48147750.0,,0.0,0.0,3525250.0,0.0,0.0,0.0,0.0,-9997750.0,0.0,0.0,0.0,-2928500.0,1637000.0,4565500.0,77667500.0,-48147750.0,29519750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
3,2020-01-31,SALASAR.NS,INR,2020-01-31,2020-01-31,Q1,69871250,12479750.0,0.0,0.0,-34290250.0,0.0,60976500.0,0.0,0.0,45826750,77667500.0,-48147750.0,,0.0,0.0,3525250.0,0.0,0.0,0.0,0.0,-9997750.0,0.0,0.0,0.0,-2928500.0,1637000.0,4565500.0,77667500.0,-48147750.0,29519750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
4,2019-06-30,SALASAR.NS,INR,2019-06-30,2019-06-30,Q2,133252500,11504750.0,0.0,0.0,-169760750.0,0.0,-72294250.0,0.0,0.0,38702500,-30611250.0,-22767500.0,,-11514500.0,0.0,-2409500.0,0.0,0.0,0.0,0.0,-8008000.0,-250.0,0.0,0.0,-10814500.0,4565250.0,15379750.0,-30611250.0,-22767500.0,-53378750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
5,2019-03-31,SALASAR.NS,INR,2019-03-31,2019-03-31,Q1,133252500,11504750.0,0.0,0.0,-169760750.0,0.0,-72294250.0,0.0,0.0,38702500,-30611250.0,-22767500.0,,-11514500.0,0.0,-2409500.0,0.0,0.0,0.0,0.0,-8008000.0,-250.0,0.0,0.0,-10814500.0,4565250.0,15379750.0,-30611250.0,-22767500.0,-53378750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
6,2019-01-31,SALASAR.NS,INR,2019-01-31,2019-01-31,Q1,133252500,11504750.0,0.0,0.0,-169760750.0,0.0,-72294250.0,0.0,0.0,38702500,-30611250.0,-22767500.0,,-11514500.0,0.0,-2409500.0,0.0,0.0,0.0,0.0,-8008000.0,-250.0,0.0,0.0,-10814500.0,4565250.0,15379750.0,-30611250.0,-22767500.0,-53378750.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
7,2018-06-30,SALASAR.NS,INR,2018-06-30,2018-06-30,Q2,108070000,9652250.0,0.0,0.0,-206710750.0,0.0,-50492750.0,0.0,0.0,18011250,-106249000.0,-37855500.0,,-1695500.0,2639750.0,-6969250.0,0.0,-5687000.0,85915500.0,0.0,-3997500.0,-21042000.0,0.0,0.0,14811500.0,15379750.0,568250.0,-106249000.0,-37855500.0,-144104500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
8,2018-03-31,SALASAR.NS,INR,2018-03-31,2018-03-31,Q1,108070000,9652250.0,0.0,0.0,-206710750.0,0.0,-50492750.0,0.0,0.0,18011250,-106249000.0,-37855500.0,,-1695500.0,2639750.0,-6969250.0,0.0,-5687000.0,85915500.0,0.0,-3997500.0,-21042000.0,0.0,0.0,14811500.0,15379750.0,568250.0,-106249000.0,-37855500.0,-144104500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
9,2018-01-31,SALASAR.NS,INR,2018-01-31,2018-01-31,Q1,108070000,9652250.0,0.0,0.0,-206710750.0,0.0,-50492750.0,0.0,0.0,18011250,-106249000.0,-37855500.0,,-1695500.0,2639750.0,-6969250.0,0.0,-5687000.0,85915500.0,0.0,-3997500.0,-21042000.0,0.0,0.0,14811500.0,15379750.0,568250.0,-106249000.0,-37855500.0,-144104500.0,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620597550,17:59:10,20210509
