,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,TLC,TWD,2020-09-30,2020-09-30,Q1,-233693000,12498000.0,0.0,0.0,-219702000.0,-56830000.0,0.0,0.0,0.0,0.0,0.0,-19850000.0,0.0,-220000.0,0.0,0.0,33000.0,-50817000.0,0.0,-220000.0,0.0,0.0,-51037000.0,0.0,-219702000,0.0,0.0,0.0,-19850000.0,0.0,,,1620598853,18:20:53,20210509
1,2018-12-31,TLC,TWD,2018-12-31,2018-12-31,Q4,-306515000,11441000.0,0.0,14221000.0,118238000.0,-1208000.0,0.0,0.0,0.0,9554000.0,-158026000.0,-23491000.0,0.0,0.0,0.0,3247000.0,-328317000.0,-386474000.0,0.0,0.0,0.0,49021000.0,635184000.0,-375000.0,148466000,807484000.0,659018000.0,-158026000.0,-24414000.0,-182440000.0,,,1620598853,18:20:53,20210509
2,2018-09-30,TLC,TWD,2018-09-30,2018-09-30,Q1,-195731000,11499000.0,0.0,11719000.0,-29131000.0,-44000.0,0.0,0.0,0.0,2677000.0,-202963000.0,-17931000.0,0.0,0.0,0.0,5034000.0,-12897000.0,-14700000.0,0.0,0.0,0.0,-1776000.0,-13176000.0,-1095000.0,-230131000,659018000.0,889149000.0,-202963000.0,-17931000.0,-220894000.0,,,1620598853,18:20:53,20210509
3,2017-12-31,TLC,TWD,2017-12-31,2017-12-31,Q4,-262352000,12319000.0,0.0,11334000.0,-51539000.0,-158000.0,0.0,0.0,0.0,-141000.0,-287684000.0,-2557000.0,0.0,0.0,0.0,-1067000.0,-6134000.0,-28000000.0,0.0,0.0,0.0,4859000.0,-7141000.0,-1202000.0,-302161000,951713000.0,1253874000.0,-287684000.0,-5067000.0,-292751000.0,,,1620598853,18:20:53,20210509
4,2017-09-30,TLC,TWD,2017-09-30,2017-09-30,Q1,-223504000,13240000.0,0.0,15079000.0,37120000.0,-610000.0,0.0,0.0,0.0,-169000.0,-148466000.0,-3922000.0,0.0,0.0,0.0,643000.0,-3279000.0,-43700000.0,0.0,0.0,0.0,-153000.0,-13853000.0,228000.0,-165370000,1253874000.0,1419244000.0,-148466000.0,-3922000.0,-152388000.0,,,1620598853,18:20:53,20210509
5,2016-12-31,TLC,TWD,2016-12-31,2016-12-31,Q4,-269620000,18313000.0,0.0,21358000.0,59281000.0,16888000.0,0.0,0.0,0.0,-1505000.0,-188802000.0,-4788000.0,0.0,0.0,-1817000.0,3297000.0,-4581000.0,14000000.0,444000.0,0.0,0.0,0.0,35944000.0,326000.0,-157113000,1798800000.0,1955913000.0,-188802000.0,-6061000.0,-194863000.0,,,1620598853,18:20:53,20210509
6,2016-09-30,TLC,TWD,2016-09-30,2016-09-30,Q1,-236391000,18730000.0,0.0,26113000.0,16951000.0,273000.0,0.0,0.0,0.0,-1627000.0,-165445000.0,-5238000.0,0.0,0.0,0.0,5292000.0,54000.0,-13000000.0,590000.0,0.0,0.0,-117000.0,-12527000.0,-974000.0,-178892000,1955913000.0,2134805000.0,-165445000.0,-5238000.0,-170683000.0,,,1620598853,18:20:53,20210509
7,2015-12-31,TLC,TWD,2015-12-31,2015-12-31,Q4,-147155000,17742000.0,0.0,2954000.0,23853000.0,-1446000.0,0.0,0.0,-169000.0,-3672000.0,-103015000.0,-27751000.0,0.0,0.0,-3933000.0,8459000.0,-25325000.0,-13380000.0,2197000.0,-20832000.0,0.0,-21025000.0,-6208000.0,-112000.0,-134660000,2384527000.0,2519187000.0,-103015000.0,-29851000.0,-132866000.0,,,1620598853,18:20:53,20210509
8,2015-09-30,TLC,TWD,2015-09-30,2015-09-30,Q1,-185805000,14101000.0,0.0,34498000.0,-19121000.0,170000.0,0.0,0.0,0.0,-4041000.0,-156787000.0,-21692000.0,0.0,0.0,276000.0,-6007000.0,-27423000.0,-51436000.0,3027000.0,0.0,0.0,-16290000.0,7051000.0,1860000.0,-175299000,2519187000.0,2694486000.0,-156787000.0,-21692000.0,-178479000.0,,,1620598853,18:20:53,20210509
9,2014-12-31,TLC,TWD,2014-12-31,2014-12-31,Q4,-207404000,13618000.0,0.0,33861000.0,9511000.0,51000.0,0.0,0.0,0.0,-5679000.0,-150901000.0,-25469000.0,0.0,0.0,664000.0,2186000.0,-23434000.0,-3873000.0,0.0,0.0,0.0,356000.0,46766000.0,947000.0,-126622000,2958467000.0,3085089000.0,-150901000.0,-26284000.0,-177185000.0,,,1620598853,18:20:53,20210509
