,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2016-06-30,TLMR,USD,2016-08-05,2016-08-05 13:42:56,Q2,21625000.0,138000.0,2434000.0,845000.0,-121172000.0,-6570000.0,0.0,0.0,854706000,0.0,-9757000.0,-528000.0,0.0,-46687000,79775000,-169700000.0,-90453000.0,-190248000.0,0.0,0.0,-3356000.0,390233000,196629000,0.0,96419000.0,460234000,363815000,-9757000.0,-528000.0,-10285000.0,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000185/0001360683-16-000185-index.htm,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000185/tlmr-2016630x10q.htm,1620598862,18:21:02,20210509
1,2016-03-31,TLMR,USD,2016-05-06 00:00:00,2016-05-06 15:16:29,Q1,19683000.0,138000.0,-4188000.0,698000.0,46783000.0,-5985000.0,0.0,0.0,975878000,0.0,82454000.0,-450000.0,0.0,-109359000,44160000,-208137000.0,-164427000.0,22487000.0,0.0,0.0,-3320000.0,39298000,58465000,0.0,-23508000.0,363815000,387323000,82454000.0,-450000.0,82004000.0,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000140/0001360683-16-000140-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000140/tlmr-2016331x10q.htm,1620598862,18:21:02,20210509
2,2015-12-31,TLMR,USD,2016-02-29 00:00:00,2016-02-29 17:29:11,Q4,13113000.0,399000.0,-19022000.0,399000.0,-179082000.0,-36211000.0,0.0,0.0,929095000,0.0,66498000.0,-1229000.0,-810000.0,267175000,67655000,-185102000.0,-118676000.0,-250450000.0,-183000.0,0.0,-661000.0,361233000,109939000,0.0,-75826000.0,387323000,463149000,66498000.0,-1229000.0,65269000.0,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000130/0001360683-16-000130-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000136068316000130/tlmr-20151231x10xk.htm,1620598862,18:21:02,20210509
3,2015-09-30,TLMR,USD,2015-11-12 00:00:00,2015-11-12 14:46:09,Q3,20035000.0,372000.0,15353000.0,515000.0,106245000.0,8783000.0,0.0,0.0,1108177000,0.0,51674000.0,-1657000.0,0.0,-74987000,20922000,-136751000.0,-192473000.0,151814000.0,127000.0,-74987000.0,-712000.0,-16439000,59803000,0.0,-80996000.0,329562000,410558000,51674000.0,-1657000.0,50017000.0,https://www.sec.gov/Archives/edgar/data/1360683/000136068315000029/0001360683-15-000029-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000136068315000029/tlmr-2015930x10q.htm,1620598862,18:21:02,20210509
4,2015-06-30,TLMR,USD,2015-08-14 00:00:00,2015-08-14 11:24:41,Q2,17544000.0,612000.0,-2880000.0,515000.0,-12114000.0,14644000.0,0.0,0.0,1001932000,0.0,-20417000.0,-777000.0,0.0,-156081000,31715000,-203893000.0,-172955000.0,-152461000.0,-393000.0,0.0,-709000.0,271610000,118047000,0.0,156822000.0,410558000,253736000,-20417000.0,-777000.0,-21194000.0,https://www.sec.gov/Archives/edgar/data/1360683/000136068315000009/0001360683-15-000009-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000136068315000009/tlmr-2015630x10q.htm,1620598862,18:21:02,20210509
5,2015-03-31,TLMR,USD,2015-05-15 00:00:00,2015-05-15 13:37:00,Q1,9437000.0,897000.0,-5663000.0,351000.0,142701000.0,12784000.0,0.0,0.0,1014046000,0.0,43045000.0,-1130000.0,810000.0,-30928000,53523000,-47658000.0,4735000.0,64179000.0,266000.0,0.0,-706000.0,120628000,184367000,0.0,0.0,485883000,485883000,43045000.0,-1130000.0,41915000.0,https://www.sec.gov/Archives/edgar/data/1360683/000110465915038599/0001104659-15-038599-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000110465915038599/a15-7914_110q.htm,1620598862,18:21:02,20210509
6,2014-12-31,TLMR,USD,2015-03-26,2015-03-26 17:29:27,Q4,12502000.0,719000.0,24451000.0,334000.0,-24113000.0,-44330000.0,0.0,0.0,871345000,0.0,89731000.0,-636000.0,-209831000.0,257534000,35460000,-287212000.0,-252388000.0,14796000.0,1062000.0,0.0,-706000.0,102575000,117727000,0.0,-88914000.0,253736000,253736000,89731000.0,-636000.0,89095000.0,https://www.sec.gov/Archives/edgar/data/1360683/000104746915002813/0001047469-15-002813-index.htm,https://www.sec.gov/Archives/edgar/data/1360683/000104746915002813/a2223804z10-k.htm,1620598862,18:21:02,20210509
7,2014-09-30,TLMR,USD,2014-11-14 00:00:00,2014-11-14 10:02:06,Q3,21335000.0,-1771000.0,1472000.0,344000.0,-10717000.0,14578000.0,0.0,0.0,895458000,0.0,-27931000.0,-3507000.0,0.0,-71847000,39233000,-606294000.0,-570568000.0,88219000.0,-302000.0,0.0,-704000.0,434596000,521809000,0.0,0.0,298666000,298666000,-27931000.0,-3507000.0,-31438000.0,https://www.sec.gov/Archives/edgar/data/1360683/000110465914080777/0001104659-14-080777-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000110465914080777/a14-19907_110q.htm,1620598862,18:21:02,20210509
8,2014-06-30,TLMR,USD,2014-08-14 00:00:00,2014-08-14 14:22:56,Q2,24346000.0,2912000.0,-18682000.0,274000.0,-176803000.0,17283000.0,0.0,0.0,906175000,0.0,5924000.0,-2732000.0,0.0,-124399000,30605000,-181576000.0,-153703000.0,-202373000.0,-611000.0,0.0,0.0,350763000,147779000,0.0,0.0,402601000,402601000,5924000.0,-2732000.0,3192000.0,https://www.sec.gov/Archives/edgar/data/1360683/000110465914060991/0001104659-14-060991-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000110465914060991/a14-14213_110q.htm,1620598862,18:21:02,20210509
9,2014-03-31,TLMR,USD,2014-05-15 00:00:00,2014-05-15 12:00:28,Q1,32667000.0,1934000.0,-1983000.0,180000.0,0.0,12469000.0,0.0,0.0,1082978000,0.0,29962000.0,-4263000.0,209831000.0,-61288000,14014000,-5578000.0,4173000.0,375000.0,42025000.0,0.0,0.0,-76535000,-34135000,0.0,0.0,530538000,530538000,29962000.0,-4263000.0,25699000.0,https://www.sec.gov/Archives/edgar/data/1360683/000110465914039220/0001104659-14-039220-index.html,https://www.sec.gov/Archives/edgar/data/1360683/000110465914039220/a14-10299_110q.htm,1620598862,18:21:02,20210509
