,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,TPB,USD,2021-02-19,2021-02-19 16:42:31,Q4,12743000.0,-549000.0,1924000.0,568000.0,-14837000.0,-235000.0,-5286000.0,-1864000.0,100668000,-6904000.0,10479000.0,3423000.0,-39441000.0,0.0,0.0,0.0,-23671000.0,12240000.0,0.0,7665000.0,-2846000.0,1931000.0,-12446000.0,0.0,24847000.0,0.0,102477000.0,10479000.0,3423000.0,13902000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/0001140361-21-005505-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036121005505/brhc10020238_10k.htm,1620598964,18:22:44,20210509
1,2020-09-30,TPB,USD,2020-10-27,2020-10-27 17:02:50,Q3,7796000.0,1286000.0,-569000.0,773000.0,5898000.0,-3671000.0,2213000.0,-3435000.0,115505000,2403000.0,15665000.0,-1464000.0,-37735000.0,0.0,0.0,0.0,-1424000.0,-3000000.0,0.0,-2376000.0,-974000.0,-1737000.0,-8030000.0,0.0,6211000.0,102477000.0,96266000.0,15665000.0,-1464000.0,14201000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036120023876/0001140361-20-023876-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120023876/brhc10016198_10q.htm,1620598964,18:22:44,20210509
2,2020-06-30,TPB,USD,2020-07-28,2020-07-28 16:26:53,Q2,9227000.0,1224000.0,900000.0,758000.0,-24070000.0,-802000.0,-6361000.0,-2975000.0,109607000,2251000.0,2807000.0,-1079000.0,0.0,0.0,0.0,0.0,-38851000.0,-3000000.0,0.0,-2662000.0,-986000.0,-26000.0,830000.0,0.0,-35214000.0,96266000.0,131480000.0,2807000.0,-1079000.0,1728000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036120016862/0001140361-20-016862-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120016862/form10q.htm,1620598964,18:22:44,20210509
3,2020-03-31,TPB,USD,2020-04-28,2020-04-28 17:11:25,Q1,3275000.0,1276000.0,545000.0,455000.0,313000.0,2596000.0,1784000.0,3210000.0,133677000,2250000.0,14727000.0,-877000.0,0.0,0.0,0.0,0.0,-877000.0,-6240000.0,0.0,-2627000.0,-886000.0,-168000.0,-9694000.0,0.0,4156000.0,131480000.0,127324000.0,14727000.0,-877000.0,13850000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036120010002/0001140361-20-010002-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120010002/form10q.htm,1620598964,18:22:44,20210509
4,2019-12-31,TPB,USD,2020-03-12,2020-03-12 17:32:16,Q4,-12265000.0,1155000.0,-4215000.0,1149000.0,-25940000.0,92000.0,27740000.0,5539000.0,133364000,-1211000.0,17782000.0,-755000.0,0.0,0.0,0.0,5000.0,-745000.0,-2000000.0,0.0,0.0,-885000.0,-120000.0,-2906000.0,0.0,14126000.0,127324000.0,113198000.0,17782000.0,-755000.0,17027000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036120005641/0001140361-20-005641-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036120005641/hc10009574x1_10k.htm,1620598964,18:22:44,20210509
5,2019-09-30,TPB,USD,2019-11-04,2019-11-04 17:15:43,Q3,6274000.0,1048000.0,105000.0,1068000.0,106040000.0,107000.0,-3358000.0,-11858000.0,159304000,540000.0,-1685000.0,-2096000.0,0.0,0.0,0.0,28036000.0,16933000.0,-52511000.0,0.0,0.0,-884000.0,-27349000.0,91785000.0,0.0,107033000.0,113198000.0,6165000.0,-1685000.0,-2096000.0,-3781000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036119019729/0001140361-19-019729-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119019729/form10q.htm,1620598964,18:22:44,20210509
6,2019-06-30,TPB,USD,2019-08-01,2019-08-01 15:13:01,Q2,13205000.0,996000.0,-80000.0,946000.0,6132000.0,-1937000.0,-3712000.0,4698000.0,53264000,241000.0,7673000.0,-1078000.0,0.0,0.0,0.0,-25000.0,-1103000.0,-5489000.0,0.0,0.0,-882000.0,-260000.0,-6208000.0,0.0,362000.0,6165000.0,5803000.0,7673000.0,-1078000.0,6595000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036119013997/0001140361-19-013997-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119013997/form10q.htm,1620598964,18:22:44,20210509
7,2019-03-31,TPB,USD,2019-05-01,2019-05-01 16:24:35,Q1,6560000.0,890000.0,-29000.0,466000.0,-956000.0,-1726000.0,366000.0,8229000.0,47132000,237000.0,14025000.0,-886000.0,0.0,0.0,0.0,1702000.0,816000.0,-14000000.0,0.0,0.0,-880000.0,-12000.0,-14705000.0,0.0,136000.0,5803000.0,5667000.0,14025000.0,-886000.0,13139000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036119008162/0001140361-19-008162-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119008162/form10q.htm,1620598964,18:22:44,20210509
8,2018-12-31,TPB,USD,2019-03-07,2019-03-06 19:23:29,Q4,4984000.0,957000.0,-241000.0,355000.0,26000.0,4016000.0,-1810000.0,-1919000.0,48088000,239000.0,12116000.0,-739000.0,0.0,0.0,0.0,18000.0,-2721000.0,-6000000.0,0.0,0.0,-781000.0,0.0,-6727000.0,0.0,2663000.0,5662000.0,2999000.0,12116000.0,-739000.0,11377000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036119004508/0001140361-19-004508-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036119004508/h10061332x1_10k.htm,1620598964,18:22:44,20210509
9,2018-09-30,TPB,USD,2018-11-07,2018-11-07 17:20:58,Q3,7954000.0,685000.0,1363000.0,365000.0,-5265000.0,-752000.0,-8492000.0,-5605000.0,48062000,238000.0,-4991000.0,-525000.0,0.0,0.0,0.0,6976000.0,-7913000.0,-170000.0,0.0,0.0,-769000.0,-630000.0,10603000.0,0.0,-2301000.0,2999000.0,5300000.0,-4991000.0,-525000.0,-5516000.0,https://www.sec.gov/Archives/edgar/data/1290677/000114036118042654/0001140361-18-042654-index.htm,https://www.sec.gov/Archives/edgar/data/1290677/000114036118042654/form10q.htm,1620598964,18:22:44,20210509
