,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,netIncome,depreciationAndAmortization,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables,inventory,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivites,netCashUsedForInvestingActivites,debtRepayment,commonStockIssued,commonStockRepurchased,dividendsPaid,otherFinancingActivites,netCashUsedProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,VCEL,USD,2021-02-24,2021-02-24 16:48:01,Q4,12220000.0,-2578000.0,0.0,3024000.0,-2992000.0,-8330000.0,724000.0,85000.0,101077000.0,0.0,11337000.0,-1070000.0,0.0,-34008000.0,9400000.0,0.0,-25678000.0,0.0,6632000.0,0.0,0.0,195000.0,4454000.0,0.0,-9887000.0,33831000.0,43718000.0,11337000.0,-1070000.0,10267000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/0001628280-21-003081-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828021003081/vcel-20201231.htm,1620599442,18:30:42,20210509
1,2020-09-30,VCEL,USD,2020-11-05,2020-11-05 15:11:07,Q3,3618000.0,2279000.0,0.0,2675000.0,6428000.0,-2519000.0,-1663000.0,1640000.0,104069000.0,0.0,4570000.0,-370000.0,0.0,-23392000.0,6326000.0,0.0,-17436000.0,0.0,2182000.0,0.0,0.0,-18000.0,791000.0,0.0,-12075000.0,43718000.0,55793000.0,4570000.0,-370000.0,4200000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020015697/0001628280-20-015697-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020015697/vcel-20200930.htm,1620599442,18:30:42,20210509
2,2020-06-30,VCEL,USD,2020-08-05,2020-08-05 13:46:11,Q2,-8269000.0,1355000.0,0.0,4376000.0,-771000.0,516000.0,-1135000.0,-1633000.0,97641000.0,0.0,-3021000.0,-469000.0,0.0,19000.0,12662000.0,0.0,12212000.0,0.0,0.0,0.0,0.0,-63000.0,890000.0,0.0,10081000.0,55793000.0,45712000.0,-3021000.0,-469000.0,-3490000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020011753/0001628280-20-011753-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020011753/vcel-20200630.htm,1620599442,18:30:42,20210509
3,2020-03-31,VCEL,USD,2020-05-11 00:00:00,2020-05-11 16:36:39,Q1,-4705000.0,1327000.0,0.0,3768000.0,6552000.0,7997000.0,-466000.0,-59000.0,98412000.0,0.0,4686000.0,-717000.0,0.0,-5676000.0,20135000.0,0.0,13742000.0,0.0,0.0,0.0,0.0,-114000.0,306000.0,0.0,18734000.0,45712000.0,26978000.0,4686000.0,-717000.0,3969000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020007473/0001628280-20-007473-index.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828020007473/vcel03-31x202010q.htm,1620599442,18:30:42,20210509
4,2019-12-31,VCEL,USD,2020-02-25 00:00:00,2020-02-25 17:23:32,Q4,9501000.0,570000.0,0.0,3084000.0,2254000.0,-12210000.0,7000.0,871000.0,91860000.0,776000.0,3150000.0,-361000.0,0.0,-26043000.0,11800000.0,0.0,-14604000.0,0.0,0.0,0.0,0.0,3000.0,1527000.0,0.0,-9927000.0,26978000.0,36905000.0,3150000.0,-361000.0,2789000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/0001628280-20-002229-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828020002229/vcel12-31x201910k.htm,1620599442,18:30:42,20210509
5,2019-09-30,VCEL,USD,2019-11-05 00:00:00,2019-11-05 15:22:23,Q3,3470000.0,476000.0,0.0,3285000.0,8101000.0,1126000.0,-2035000.0,343000.0,89606000.0,872000.0,7892000.0,-1031000.0,0.0,-13901000.0,28300000.0,0.0,13368000.0,0.0,0.0,0.0,0.0,-20000.0,1683000.0,0.0,22943000.0,36905000.0,13962000.0,7892000.0,-1031000.0,6861000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019013312/0001628280-19-013312-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019013312/vericel9301910q.htm,1620599442,18:30:42,20210509
6,2019-06-30,VCEL,USD,2019-08-06,2019-08-06 13:58:36,Q2,-19792000.0,-13000.0,0.0,4182000.0,-15155000.0,-2310000.0,-725000.0,-870000.0,81505000.0,0.0,-18379000.0,-992000.0,0.0,-21716000.0,18897000.0,0.0,-3811000.0,0.0,0.0,0.0,0.0,7000.0,1068000.0,0.0,-21122000.0,13962000.0,35084000.0,-18379000.0,-992000.0,-19371000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019010077/vericel6301910q.htm,https://www.sec.gov/Archives/edgar/data/887359/000162828019010077/vericel6301910q.htm,1620599442,18:30:42,20210509
7,2019-03-31,VCEL,USD,2019-05-07 00:00:00,2019-05-07 17:04:31,Q1,-2844000.0,711000.0,0.0,2628000.0,-1331000.0,4680000.0,-505000.0,-1368000.0,96660000.0,0.0,154000.0,-232000.0,0.0,-10686000.0,26580000.0,0.0,15662000.0,0.0,0.0,0.0,0.0,-16000.0,982000.0,0.0,16798000.0,35084000.0,18286000.0,154000.0,-232000.0,-78000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019006102/0001628280-19-006102-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019006102/vericel3311910q.htm,1620599442,18:30:42,20210509
8,2018-12-31,VCEL,USD,2019-02-26 00:00:00,2019-02-26 17:25:16,Q4,5242000.0,293000.0,0.0,1484000.0,-6273000.0,0.0,383000.0,2111000.0,97991000.0,0.0,2611000.0,-577000.0,0.0,-22069000.0,0.0,0.0,-20446000.0,0.0,4361000.0,0.0,0.0,-687000.0,-17168000.0,0.0,-35003000.0,18286000.0,53289000.0,2611000.0,-577000.0,2034000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/0001628280-19-002007-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828019002007/vcel12-31x201810k.htm,1620599442,18:30:42,20210509
9,2018-09-30,VCEL,USD,2018-11-06 00:00:00,2018-11-06 16:09:42,Q3,-1069000.0,320000.0,0.0,1932000.0,1964000.0,0.0,-450000.0,-163000.0,104264000.0,0.0,2013000.0,-1122000.0,0.0,0.0,0.0,0.0,-45602000.0,0.0,-62000.0,0.0,0.0,6000.0,1909000.0,0.0,-41680000.0,53289000.0,94969000.0,2013000.0,-1122000.0,891000.0,https://www.sec.gov/Archives/edgar/data/887359/000162828018013767/0001628280-18-013767-index.html,https://www.sec.gov/Archives/edgar/data/887359/000162828018013767/vericel9301810q.htm,1620599442,18:30:42,20210509
