,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,0303.HK,USD,2020-09-30,2020-09-30,Q3,541375000,375475000.0,165900000.0,0.3064419302701455,20425000.0,17950000.0,74075000.0,1475000.0,0.0,487925000.0,1850000.0,14300000.0,67750000,0.12514430847379357,53450000,0.09873008543061648,0.0,53075000.0,0.09803740475640729,5400000.0,47675000.0,0.08806280304779497,0.18925,0.18925,251800000,251800000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
1,2020-06-30,0303.HK,USD,2020-06-30,2020-06-30,Q2,541375000,375475000.0,165900000.0,0.3064419302701455,20425000.0,17950000.0,74075000.0,1475000.0,0.0,487925000.0,1850000.0,14300000.0,67750000,0.12514430847379357,53450000,0.09873008543061648,0.0,53075000.0,0.09803740475640729,5400000.0,47675000.0,0.08806280304779497,0.18925,0.18925,251800000,251800000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
2,2020-03-31,0303.HK,USD,2020-03-31,2020-03-31,Q1,541375000,375475000.0,165900000.0,0.3064419302701455,20425000.0,17950000.0,74075000.0,1475000.0,0.0,487925000.0,1850000.0,14300000.0,67750000,0.12514430847379357,53450000,0.09873008543061648,0.0,53075000.0,0.09803740475640729,5400000.0,47675000.0,0.08806280304779497,0.18925,0.18925,251800000,251800000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
3,2020-01-31,0303.HK,USD,2020-01-31,2020-01-31,Q1,541375000,375475000.0,165900000.0,0.3064419302701455,20425000.0,17950000.0,74075000.0,1475000.0,0.0,487925000.0,1850000.0,14300000.0,67750000,0.12514430847379357,53450000,0.09873008543061648,0.0,53075000.0,0.09803740475640729,5400000.0,47675000.0,0.08806280304779497,0.18925,0.18925,251800000,251800000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
4,2019-09-30,0303.HK,USD,2019-09-30,2019-09-30,Q3,540475000,381375000.0,159100000.0,0.29437069244645914,19300000.0,19475000.0,73500000.0,1475000.0,0.0,493650000.0,0.0,9500000.0,56325000,0.10421388593366945,46825000,0.08663675470650817,0.0,48075000.0,0.08894953513113465,5250000.0,42825000.0,0.07923585734770341,0.1705,0.17025,251300000,251300000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
5,2019-06-30,0303.HK,USD,2019-06-30,2019-06-30,Q2,540475000,381375000.0,159100000.0,0.29437069244645914,19300000.0,19475000.0,73500000.0,1475000.0,0.0,493650000.0,0.0,9500000.0,56325000,0.10421388593366945,46825000,0.08663675470650817,0.0,48075000.0,0.08894953513113465,5250000.0,42825000.0,0.07923585734770341,0.1705,0.17025,251300000,251300000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
6,2019-03-31,0303.HK,USD,2019-03-31,2019-03-31,Q1,540475000,381375000.0,159100000.0,0.29437069244645914,19300000.0,19475000.0,73500000.0,1475000.0,0.0,493650000.0,0.0,9500000.0,56325000,0.10421388593366945,46825000,0.08663675470650817,0.0,48075000.0,0.08894953513113465,5250000.0,42825000.0,0.07923585734770341,0.1705,0.17025,251300000,251300000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
7,2019-01-31,0303.HK,USD,2019-01-31,2019-01-31,Q1,540475000,381375000.0,159100000.0,0.29437069244645914,19300000.0,19475000.0,73500000.0,1475000.0,0.0,493650000.0,0.0,9500000.0,56325000,0.10421388593366945,46825000,0.08663675470650817,0.0,48075000.0,0.08894953513113465,5250000.0,42825000.0,0.07923585734770341,0.1705,0.17025,251300000,251300000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
8,2018-09-30,0303.HK,USD,2018-09-30,2018-09-30,Q3,532525000,357025000.0,175500000.0,0.3295619923947233,19400000.0,19600000.0,79725000.0,1050000.0,0.0,475750000.0,0.0,9025000.0,65800000,0.12356227407163983,56775000,0.10661471292427585,0.0,57750000.0,0.10844561288202431,6175000.0,51575000.0,0.09684991314961738,0.20525,0.20525,251100000,251100000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
9,2018-06-30,0303.HK,USD,2018-06-30,2018-06-30,Q2,532525000,357025000.0,175500000.0,0.3295619923947233,19400000.0,19600000.0,79725000.0,1050000.0,0.0,475750000.0,0.0,9025000.0,65800000,0.12356227407163983,56775000,0.10661471292427585,0.0,57750000.0,0.10844561288202431,6175000.0,51575000.0,0.09684991314961738,0.20525,0.20525,251100000,251100000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
10,2018-03-31,0303.HK,USD,2018-03-31,2018-03-31,Q1,532525000,357025000.0,175500000.0,0.3295619923947233,19400000.0,19600000.0,79725000.0,1050000.0,0.0,475750000.0,0.0,9025000.0,65800000,0.12356227407163983,56775000,0.10661471292427585,0.0,57750000.0,0.10844561288202431,6175000.0,51575000.0,0.09684991314961738,0.20525,0.20525,251100000,251100000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
11,2018-01-31,0303.HK,USD,2018-01-31,2018-01-31,Q1,532525000,357025000.0,175500000.0,0.3295619923947233,19400000.0,19600000.0,79725000.0,1050000.0,0.0,475750000.0,0.0,9025000.0,65800000,0.12356227407163983,56775000,0.10661471292427585,0.0,57750000.0,0.10844561288202431,6175000.0,51575000.0,0.09684991314961738,0.20525,0.20525,251100000,251100000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
12,2017-09-30,0303.HK,USD,2017-09-30,2017-09-30,Q3,519825000,347475000.0,172350000.0,0.33155388832780264,19300000.0,23300000.0,79750000.0,0.0,0.0,469825000.0,0.0,8700000.0,58700000,0.11292261818881354,50000000,0.09618621651517338,0.0,50025000.0,0.09623430962343096,5275000.0,44750000.0,0.08608666378108017,0.17825,0.17825,251100000,251100000,https://www1.hkexnews.hk/search/titlesearch.xhtml,https://www1.hkexnews.hk/search/titlesearch.xhtml,1620584656,14:24:16,20210509
