,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,AFLT.ME,RUB,2020-12-31,2020-12-31,Q4,67969000000,56643000000,11326000000,0.16663478938928042,0.0,0.0,0.0,0.0,42292000000,98935000000,11210000000,31108000000,142000000,0.002089187717930233,-30966000000,-0.4555900484044197,0.0,-52777000000,-0.7764863393605909,-8975000000,-43326000000,-0.6374376554017273,-40.76590139254799,-40.76590139254799,1062800000,1062800000,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
1,2020-09-30,AFLT.ME,RUB,2020-09-30,2020-09-30,Q3,84861000000,96093000000,-11232000000,-0.1323576201081769,0.0,0.0,0.0,0.0,-596000000,95497000000,11099000000,30628000000,19992000000,0.23558525117545162,-10636000000,-0.12533437032323447,0.0,-25520000000,-0.30072707132840765,-4384000000,-19479000000,-0.22954007141089547,-18.3,-18.3,1062800000,1062800000,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
2,2020-06-30,AFLT.ME,RUB,2020-06-30,2020-06-30,Q2,25458000000,64009000000,-38551000000,-1.5142980595490612,0.0,0.0,0.0,0.0,-5588000000,58421000000,11309000000,30875000000,-2088000000,-0.08201744049021918,-32963000000,-1.2947992772409458,0.0,-44120000000,-1.7330505145730222,-8334000000,-34947000000,-1.3727315578600048,-26.842002,-26.842002,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
3,2020-03-31,AFLT.ME,RUB,2020-03-31,2020-03-31,Q1,123894000000,135481000000,-11587000000,-0.09352349589164931,0.0,8759000000.0,1896000000.0,0.0,1569000000,137050000000,11126000000,26022000000,12866000000,0.10384683681211358,-13156000000,-0.10618754741956835,0.0,-31070000000,-0.2507788916331703,-8586000000,-19861000000,-0.16030639094709995,-15.2567,-15.2567,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
4,2019-12-31,AFLT.ME,RUB,2019-12-31,2019-12-31,Q4,153898000000,89642000000,64256000000,0.41752329464970306,0.0,11795000000.0,2868000000.0,0.0,68456000000,158098000000,10939000000,28062000000,23862000000,0.1550507478979584,-4200000000,-0.027290802999389206,0.0,-9822000000,-0.06382149215714304,-3029000000,-6679000000,-0.043398874579266784,-5.127183970609087,-5.127183970609087,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
5,2019-09-30,AFLT.ME,RUB,2019-09-30,2019-09-30,Q3,212543000000,164666000000,47877000000,0.22525794780350328,0.0,9877000000.0,3443000000.0,0.0,800000000,165466000000,12188000000,26110000000,73187000000,0.3443397336068466,47077000000,0.22149400356633717,0.0,34091000000,0.160395778736538,5002000000,28636000000,0.1347303839693615,21.946804,21.946804,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
6,2019-06-30,AFLT.ME,RUB,2019-06-30,2019-06-30,Q2,173399000000,153432000000,19967000000,0.11515060640488123,0.0,9390000000.0,2865000000.0,0.0,-550000000,152882000000,13226000000,26231000000,46748000000,0.26959786388618157,20517000000,0.1183224816752115,0.0,9195000000,0.053027987473976204,2262000000,5533000000,0.0319090652195226,4.242505,4.242505,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
7,2019-03-31,AFLT.ME,RUB,2019-03-31,2019-03-31,Q1,138041000000,147186000000,-9145000000,-0.0662484334364428,0.0,9640000000.0,2704000000.0,0.0,-3246000000,143940000000,13617000000,27074000000,21175000000,0.15339645467650914,-5899000000,-0.04273368057316305,0.0,-19690000000,-0.14263878123166307,-3944000000,-16870000000,-0.12221006802326845,-12.972274,-12.972274,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
8,2018-12-31,AFLT.ME,RUB,2018-12-31,2018-12-31,Q4,145225000000,169923000000,-24698000000,-0.17006713720089517,0.0,11410000000.0,3083000000.0,0.0,-7454000000,162469000000,1891000000,3322000000,-13922000000,-0.09586503701153383,-17244000000,-0.11873988638319849,0.0,-20109000000,-0.1384678946462386,-3332000000,-16241000000,-0.11183336202444483,-12.46752431002578,-12.46752431002578,1302664394,1302664394,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
9,2018-09-30,AFLT.ME,RUB,2018-09-30,2018-09-30,Q3,200523000000,163255000000,37268000000,0.18585399181141316,0.0,9634000000.0,3029000000.0,0.0,143000000,163398000000,1680000000,3196000000,40321000000,0.20107917794966162,37125000000,0.18514085665983454,0.0,35401000000,0.1765433391680755,7683000000,27841000000,0.13884192835734555,20.641418,20.641418,1349853498,1349853498,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,http://www.cbr.ru/eng/search/?text=AFLT&category=Any&time=Any&dateFrom=&dateTo=,1620586282,14:51:22,20210509
