,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2019-06-30,AFMC.L,USD,2019-06-30,2019-06-30,Q2,-2197500.0,0.0,0.0,0.0,0.0,151750.0,7750.0,0.0,6250.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,-2363250.0,1.0754266211604095,47250.0,-2410500.0,1.0969283276450512,-0.031825,-0.031825,75734498,75734498,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
1,2019-03-31,AFMC.L,USD,2019-03-31,2019-03-31,Q1,-2197500.0,0.0,0.0,0.0,0.0,151750.0,7750.0,0.0,6250.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,-2363250.0,1.0754266211604095,47250.0,-2410500.0,1.0969283276450512,-0.031825,-0.031825,75734498,75734498,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
2,2019-01-31,AFMC.L,USD,2019-01-31,2019-01-31,Q1,-2197500.0,0.0,0.0,0.0,0.0,151750.0,7750.0,0.0,6250.0,0.0,6250.0,0.0,0.0,0.0,0.0,0.0,0.0,-2363250.0,1.0754266211604095,47250.0,-2410500.0,1.0969283276450512,-0.031825,-0.031825,75734498,75734498,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
3,2018-06-30,AFMC.L,USD,2018-06-30,2018-06-30,Q2,-1759750.0,0.0,0.0,0.0,0.0,182750.0,9000.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,-1951500.0,1.1089643415257848,58250.0,-2009750.0,1.1420656343230573,-0.02355,-0.02355,85316533,85316533,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
4,2018-03-31,AFMC.L,USD,2018-03-31,2018-03-31,Q1,-1759750.0,0.0,0.0,0.0,0.0,182750.0,9000.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,-1951500.0,1.1089643415257848,58250.0,-2009750.0,1.1420656343230573,-0.02355,-0.02355,85316533,85316533,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
5,2018-01-31,AFMC.L,USD,2018-01-31,2018-01-31,Q1,-1759750.0,0.0,0.0,0.0,0.0,182750.0,9000.0,0.0,0.0,0.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,-1951500.0,1.1089643415257848,58250.0,-2009750.0,1.1420656343230573,-0.02355,-0.02355,85316533,85316533,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
6,2017-06-30,AFMC.L,USD,2017-06-30,2017-06-30,Q2,4672750.0,0.0,0.0,0.0,0.0,168000.0,14000.0,0.0,11250.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,4479500.0,0.9586431972607137,22750.0,4456750.0,0.9537745438981328,0.03075,0.03075,144898182,144898182,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
7,2017-03-31,AFMC.L,USD,2017-03-31,2017-03-31,Q1,4672750.0,0.0,0.0,0.0,0.0,168000.0,14000.0,0.0,11250.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,4479500.0,0.9586431972607137,22750.0,4456750.0,0.9537745438981328,0.03075,0.03075,144898182,144898182,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
8,2017-01-31,AFMC.L,USD,2017-01-31,2017-01-31,Q1,4672750.0,0.0,0.0,0.0,0.0,168000.0,14000.0,0.0,11250.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0,0.0,4479500.0,0.9586431972607137,22750.0,4456750.0,0.9537745438981328,0.03075,0.03075,144898182,144898182,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
9,2016-06-30,AFMC.L,USD,2016-06-30,2016-06-30,Q2,-5301750.0,0.0,0.0,0.0,0.0,181750.0,3500.0,0.0,35250.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5522500.0,1.0416371952657142,15250.0,-5537750.0,1.0445136039986798,-0.032675,-0.032675,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
10,2016-03-31,AFMC.L,USD,2016-03-31,2016-03-31,Q1,-5301750.0,0.0,0.0,0.0,0.0,181750.0,3500.0,0.0,35250.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5522500.0,1.0416371952657142,15250.0,-5537750.0,1.0445136039986798,-0.032675,-0.032675,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
11,2016-01-31,AFMC.L,USD,2016-01-31,2016-01-31,Q1,-5301750.0,0.0,0.0,0.0,0.0,181750.0,3500.0,0.0,35250.0,0.0,51000.0,0.0,0.0,0.0,0.0,0.0,0.0,-5522500.0,1.0416371952657142,15250.0,-5537750.0,1.0445136039986798,-0.032675,-0.032675,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
12,2015-09-30,AFMC.L,USD,2015-09-30,2015-09-30,Q3,-4852750.0,0.0,0.0,0.0,0.0,196000.0,0.0,0.0,36750.0,0.0,64250.0,0.0,0.0,0.0,0.0,0.0,0.0,-5085500.0,1.0479624954922466,59250.0,-5144750.0,1.0601720673844728,-0.03035,-0.03035,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
13,2015-06-30,AFMC.L,USD,2015-06-30,2015-06-30,Q2,-4852750.0,0.0,0.0,0.0,0.0,196000.0,0.0,0.0,36750.0,0.0,64250.0,0.0,0.0,0.0,0.0,0.0,0.0,-5085500.0,1.0479624954922466,59250.0,-5144750.0,1.0601720673844728,-0.03035,-0.03035,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
14,2015-03-31,AFMC.L,USD,2015-03-31,2015-03-31,Q1,-4852750.0,0.0,0.0,0.0,0.0,196000.0,0.0,0.0,36750.0,0.0,64250.0,0.0,0.0,0.0,0.0,0.0,0.0,-5085500.0,1.0479624954922466,59250.0,-5144750.0,1.0601720673844728,-0.03035,-0.03035,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
15,2015-01-31,AFMC.L,USD,2015-01-31,2015-01-31,Q1,-4852750.0,0.0,0.0,0.0,0.0,196000.0,0.0,0.0,36750.0,0.0,64250.0,0.0,0.0,0.0,0.0,0.0,0.0,-5085500.0,1.0479624954922466,59250.0,-5144750.0,1.0601720673844728,-0.03035,-0.03035,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
16,2014-09-30,AFMC.L,USD,2014-09-30,2014-09-30,Q3,8575000.0,0.0,0.0,0.0,0.0,172250.0,0.0,0.0,11000.0,0.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,8391750.0,0.9786297376093295,25500.0,8366250.0,0.9756559766763848,0.049375,0.049375,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
17,2014-06-30,AFMC.L,USD,2014-06-30,2014-06-30,Q2,8575000.0,0.0,0.0,0.0,0.0,172250.0,0.0,0.0,11000.0,0.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,8391750.0,0.9786297376093295,25500.0,8366250.0,0.9756559766763848,0.049375,0.049375,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
18,2014-03-31,AFMC.L,USD,2014-03-31,2014-03-31,Q1,8575000.0,0.0,0.0,0.0,0.0,172250.0,0.0,0.0,11000.0,0.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,8391750.0,0.9786297376093295,25500.0,8366250.0,0.9756559766763848,0.049375,0.049375,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
19,2014-01-31,AFMC.L,USD,2014-01-31,2014-01-31,Q1,8575000.0,0.0,0.0,0.0,0.0,172250.0,0.0,0.0,11000.0,0.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,8391750.0,0.9786297376093295,25500.0,8366250.0,0.9756559766763848,0.049375,0.049375,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
20,2013-09-30,AFMC.L,USD,2013-09-30,2013-09-30,Q3,6543000.0,0.0,0.0,0.0,0.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398000.0,0.9778389118141525,16750.0,6381250.0,0.9752789240409598,0.03765,0.03765,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
21,2013-06-30,AFMC.L,USD,2013-06-30,2013-06-30,Q2,6543000.0,0.0,0.0,0.0,0.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398000.0,0.9778389118141525,16750.0,6381250.0,0.9752789240409598,0.03765,0.03765,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
22,2013-03-31,AFMC.L,USD,2013-03-31,2013-03-31,Q1,6543000.0,0.0,0.0,0.0,0.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398000.0,0.9778389118141525,16750.0,6381250.0,0.9752789240409598,0.03765,0.03765,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
23,2013-01-31,AFMC.L,USD,2013-01-31,2013-01-31,Q1,6543000.0,0.0,0.0,0.0,0.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6398000.0,0.9778389118141525,16750.0,6381250.0,0.9752789240409598,0.03765,0.03765,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
24,2012-09-30,AFMC.L,USD,2012-09-30,2012-09-30,Q3,-4196000.0,0.0,0.0,0.0,0.0,144750.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4340750.0,1.0344971401334604,15500.0,-4356250.0,1.0381911344137273,-0.0257,-0.0257,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
25,2012-06-30,AFMC.L,USD,2012-06-30,2012-06-30,Q2,-4196000.0,0.0,0.0,0.0,0.0,144750.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4340750.0,1.0344971401334604,15500.0,-4356250.0,1.0381911344137273,-0.0257,-0.0257,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
26,2012-03-31,AFMC.L,USD,2012-03-31,2012-03-31,Q1,-4196000.0,0.0,0.0,0.0,0.0,144750.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4340750.0,1.0344971401334604,15500.0,-4356250.0,1.0381911344137273,-0.0257,-0.0257,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
27,2012-01-31,AFMC.L,USD,2012-01-31,2012-01-31,Q1,-4196000.0,0.0,0.0,0.0,0.0,144750.0,0.0,0.0,0.0,0.0,17000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4340750.0,1.0344971401334604,15500.0,-4356250.0,1.0381911344137273,-0.0257,-0.0257,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
28,2011-09-30,AFMC.L,USD,2011-09-30,2011-09-30,Q3,4825000.0,0.0,0.0,0.0,0.0,148250.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,4676750.0,0.9692746113989638,12250.0,4664500.0,0.9667357512953368,0.027525,0.027525,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
29,2011-06-30,AFMC.L,USD,2011-06-30,2011-06-30,Q2,4825000.0,0.0,0.0,0.0,0.0,148250.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,4676750.0,0.9692746113989638,12250.0,4664500.0,0.9667357512953368,0.027525,0.027525,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
30,2011-03-31,AFMC.L,USD,2011-03-31,2011-03-31,Q1,4825000.0,0.0,0.0,0.0,0.0,148250.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,4676750.0,0.9692746113989638,12250.0,4664500.0,0.9667357512953368,0.027525,0.027525,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
31,2011-01-31,AFMC.L,USD,2011-01-31,2011-01-31,Q1,4825000.0,0.0,0.0,0.0,0.0,148250.0,0.0,0.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0,0.0,0.0,4676750.0,0.9692746113989638,12250.0,4664500.0,0.9667357512953368,0.027525,0.027525,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
32,2010-09-30,AFMC.L,USD,2010-09-30,2010-09-30,Q3,2900250.0,0.0,0.0,0.0,0.0,152250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748000.0,0.9475045254719421,9000.0,2739000.0,0.9444013447116628,0.016175,0.016175,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
33,2010-06-30,AFMC.L,USD,2010-06-30,2010-06-30,Q2,2900250.0,0.0,0.0,0.0,0.0,152250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748000.0,0.9475045254719421,9000.0,2739000.0,0.9444013447116628,0.016175,0.016175,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
34,2010-03-31,AFMC.L,USD,2010-03-31,2010-03-31,Q1,2900250.0,0.0,0.0,0.0,0.0,152250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748000.0,0.9475045254719421,9000.0,2739000.0,0.9444013447116628,0.016175,0.016175,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
35,2010-01-31,AFMC.L,USD,2010-01-31,2010-01-31,Q1,2900250.0,0.0,0.0,0.0,0.0,152250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2748000.0,0.9475045254719421,9000.0,2739000.0,0.9444013447116628,0.016175,0.016175,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
36,2009-09-30,AFMC.L,USD,2009-09-30,2009-09-30,Q3,-15651250.0,0.0,0.0,0.0,0.0,131750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15783000.0,1.0084178579985623,1250.0,-15784250.0,1.0084977238239756,-0.09315,-0.09315,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
37,2009-06-30,AFMC.L,USD,2009-06-30,2009-06-30,Q2,-15651250.0,0.0,0.0,0.0,0.0,131750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15783000.0,1.0084178579985623,1250.0,-15784250.0,1.0084977238239756,-0.09315,-0.09315,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
38,2009-03-31,AFMC.L,USD,2009-03-31,2009-03-31,Q1,-15651250.0,0.0,0.0,0.0,0.0,131750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15783000.0,1.0084178579985623,1250.0,-15784250.0,1.0084977238239756,-0.09315,-0.09315,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
39,2009-01-31,AFMC.L,USD,2009-01-31,2009-01-31,Q1,-15651250.0,0.0,0.0,0.0,0.0,131750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15783000.0,1.0084178579985623,1250.0,-15784250.0,1.0084977238239756,-0.09315,-0.09315,169460000,169460000,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
40,2008-09-30,AFMC.L,USD,2008-09-30,2008-09-30,Q3,1154500.0,0.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019500.0,0.8830662624512776,5750.0,1013750.0,0.8780857514075358,0.011275,0.011225,89861832,89861832,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
41,2008-06-30,AFMC.L,USD,2008-06-30,2008-06-30,Q2,1154500.0,0.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019500.0,0.8830662624512776,5750.0,1013750.0,0.8780857514075358,0.011275,0.011225,89861832,89861832,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
42,2008-03-31,AFMC.L,USD,2008-03-31,2008-03-31,Q1,1154500.0,0.0,0.0,0.0,0.0,135000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1019500.0,0.8830662624512776,5750.0,1013750.0,0.8780857514075358,0.011275,0.011225,89861832,89861832,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,https://find-and-update.company-information.service.gov.uk/search/companies?q=Aberdeen+Frontier+Markets+Investment+Company+Ltd,1620586283,14:51:23,20210509
