,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,CEPU,ARS,2020-12-31,2020-12-31,Q3,9281320000,4543832000,4737365000.0,0.5104193153560054,0.0,857837000,0.0,0.0,-2881175000,1662657000.0,5994590000.0,2126290000.0,9744830000,1.0499400947279052,7618540000.0,0.8208466037158507,-2262996000.0,1652818000.0,0.17808005757801693,1072487000.0,554569000.0,0.05975109143957971,3.7,3.7,149883514.0,149883514.0,,,1620590131,15:55:31,20210509
1,2020-09-30,CEPU,ARS,2020-09-30,2020-09-30,Q2,9079350000,3616864000,5462486000.0,0.6016384432806313,0.0,600114000,0.0,-1621438000.0,555559000,0.0,-4421898000.0,1384912000.0,7868722000,0.8666613799445996,6483810000.0,0.714127112623701,0.0,3412548000.0,0.3758581836805498,1125641000.0,2272094000.0,0.25024853100717565,15.104524469510595,15.104524469510595,150424729.0,150424729.0,,,1620590131,15:55:31,20210509
2,2020-06-30,CEPU,ARS,2020-06-30,2020-06-30,Q1,7183422000,3391453000,3791969000.0,0.527877799745024,0.0,383391000,0.0,165631000.0,565211000,0.0,-820630000.0,1282510000.0,4525457000,0.6299862377568797,3242947000.0,0.45144876634005354,0.0,2801882000.0,0.39004836413620136,612475000.0,2194480000.0,0.30549228487481317,14.588558773471348,14.588558773471348,150424729.0,150424729.0,,,1620590131,15:55:31,20210509
3,2019-12-31,CEPU,ARS,2019-12-31,2019-12-31,Q3,13962520000,7548557000,6413963000.0,0.45937001343597,0.0,715747000,0.0,0.0,1006698000,8555255000.0,1076770000.0,245000.0,5407510000,0.3872875383526756,5407265000.0,0.23546315421571465,-1940820000.0,3287659000.0,0.23546315421571465,1188586000.0,1786617000.0,0.12795806201172855,6.3,6.3,152958571.0,152958571.0,,,1620590131,15:55:31,20210509
4,2019-09-30,CEPU,ARS,2019-09-30,2019-09-30,Q2,7770497000,3195246000,4575251000.0,0.5887977306985641,0.0,353378000,0.0,0.0,823082000,4018328000.0,925504000.0,811392000.0,4563561000,0.5872933224219764,3752169000.0,0.48287374668570104,-886449000.0,5728214000.0,0.7371747264042442,2202523000.0,4166765000.0,0.5362288924376395,27.7,27.7,150424729.0,150424729.0,,,1620590131,15:55:31,20210509
5,2019-06-30,CEPU,ARS,2019-06-30,2019-06-30,Q1,5819232000,3278035000,2541197000.0,0.4366894119361455,0.0,202774000,0.0,0.0,433542000,3711577000.0,571854000.0,387512000.0,2495167000,0.4287794334372646,2107655000.0,0.3621878282220059,-948064000.0,1851621000.0,0.3181899260933401,499579000.0,1158508000.0,0.19908262808563054,7.7,7.7,150455584.0,150455584.0,,,1620590131,15:55:31,20210509
6,2018-12-31,CEPU,ARS,2018-12-31,2018-12-31,Q3,6846082000,3610643000,3235439000.0,0.4725971730984233,0.0,419017000,0.0,0.0,1175508000,4786151000.0,848102000.0,1228053000.0,3287984000,0.48027236600438034,2059931000.0,0.10781173815913979,-1228604000.0,738088000.0,0.10781173815913979,147534000.0,159330000.0,0.023273165585805135,1.0575719804079762,1.0575719804079762,150656412.0,150656412.0,,,1620590131,15:55:31,20210509
7,2018-09-30,CEPU,ARS,2018-09-30,2018-09-30,Q2,3513311000,1191262000,2322049000.0,0.6609289641594496,0.0,181393000,0.0,0.0,130252000,1321514000.0,314863000.0,-96000.0,2191701000,0.6238277795504014,2191797000.0,0.6238551042022753,5251681000.0,7574127000.0,2.155837328377704,2169645000.0,5709878000.0,1.6252127978422632,37.9,37.9,150656412.0,150656412.0,,,1620590131,15:55:31,20210509
8,2018-06-30,CEPU,ARS,2018-06-30,2018-06-30,Q1,2101825000,936735000,1165090000.0,0.5543230287964032,0.0,163409000,0.0,0.0,244071000,1180806000.0,100013000.0,48000.0,921067000,0.4382224971156019,921019000.0,0.43819965981944264,4407936000.0,5553376000.0,2.6421685915811257,1610330000.0,4126538000.0,1.9633118837201005,27.4,27.4,150603577.0,150603577.0,,,1620590131,15:55:31,20210509
9,2017-12-31,CEPU,ARS,2017-12-31,2017-12-31,Q3,1935216000,786545000,1148671000.0,0.5935621656703954,0.0,211866000,0.0,0.0,-53489000,733056000.0,211711000.0,116294000.0,1318454000,0.6812955246339427,1202160000.0,0.8159099552711429,492086000.0,1578962000.0,0.8159099552711429,227322000.0,1414910000.0,0.7311380228356938,9.345371,9.345371,151402225.0,151402225.0,,,1620590131,15:55:31,20210509
