,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,DKM.AX,AUD,2020-09-30,2020-09-30,Q3,0.0,0.0,0.0,0.0,0.0,242838.0,0.0,5314896.5,329204.5,0.0,0.0,7631.75,-572042.5,0.0,-579674.25,0.0,5314896.5,4782544.25,0.0,0.0,4782544.25,0.0,0.04055472869146013,0.04055472869146013,117928153,117928153,,,1620591152,16:12:32,20210509
1,2020-06-30,DKM.AX,AUD,2020-06-30,2020-06-30,Q2,0.0,0.0,0.0,0.0,0.0,242838.0,0.0,5314896.5,329204.5,0.0,0.0,7631.75,-572042.5,0.0,-579674.25,0.0,5314896.5,4782544.25,0.0,0.0,4782544.25,0.0,0.04055472869146013,0.04055472869146013,117928153,117928153,,,1620591152,16:12:32,20210509
2,2020-03-31,DKM.AX,AUD,2020-03-31,2020-03-31,Q1,0.0,0.0,0.0,0.0,0.0,242838.0,0.0,5314896.5,329204.5,0.0,0.0,7631.75,-572042.5,0.0,-579674.25,0.0,5314896.5,4782544.25,0.0,0.0,4782544.25,0.0,0.04055472869146013,0.04055472869146013,117928153,117928153,,,1620591152,16:12:32,20210509
3,2020-01-31,DKM.AX,AUD,2020-01-31,2020-01-31,Q1,0.0,0.0,0.0,0.0,0.0,242838.0,0.0,5314896.5,329204.5,0.0,0.0,7631.75,-572042.5,0.0,-579674.25,0.0,5314896.5,4782544.25,0.0,0.0,4782544.25,0.0,0.04055472869146013,0.04055472869146013,117928153,117928153,,,1620591152,16:12:32,20210509
4,2019-06-30,DKM.AX,AUD,2019-06-30,2019-06-30,Q2,0.0,0.0,0.0,0.0,0.0,157176.75,0.0,15588.0,599930.0,0.0,0.0,5169.5,-757106.75,0.0,-762276.25,0.0,22234.5,-722574.0,0.0,0.0,-722574.0,0.0,-0.00625,-0.00625,117928153,117928153,,,1620591152,16:12:32,20210509
5,2019-03-31,DKM.AX,AUD,2019-03-31,2019-03-31,Q1,0.0,0.0,0.0,0.0,0.0,157176.75,0.0,15588.0,599930.0,0.0,0.0,5169.5,-757106.75,0.0,-762276.25,0.0,22234.5,-722574.0,0.0,0.0,-722574.0,0.0,-0.00625,-0.00625,117928153,117928153,,,1620591152,16:12:32,20210509
6,2019-01-31,DKM.AX,AUD,2019-01-31,2019-01-31,Q1,0.0,0.0,0.0,0.0,0.0,157176.75,0.0,15588.0,599930.0,0.0,0.0,5169.5,-757106.75,0.0,-762276.25,0.0,22234.5,-722574.0,0.0,0.0,-722574.0,0.0,-0.00625,-0.00625,117928153,117928153,,,1620591152,16:12:32,20210509
7,2018-06-30,DKM.AX,AUD,2018-06-30,2018-06-30,Q2,0.0,0.0,0.0,0.0,0.0,124115.5,0.0,106260.5,788946.25,0.0,0.0,3876.0,-913061.75,0.0,-916937.75,0.0,106260.5,-790028.0,0.0,0.0,-790028.0,0.0,-0.0075,-0.0075,106726512,106726512,,,1620591152,16:12:32,20210509
8,2018-03-31,DKM.AX,AUD,2018-03-31,2018-03-31,Q1,0.0,0.0,0.0,0.0,0.0,124115.5,0.0,106260.5,788946.25,0.0,0.0,3876.0,-913061.75,0.0,-916937.75,0.0,106260.5,-790028.0,0.0,0.0,-790028.0,0.0,-0.0075,-0.0075,106726512,106726512,,,1620591152,16:12:32,20210509
9,2018-01-31,DKM.AX,AUD,2018-01-31,2018-01-31,Q1,0.0,0.0,0.0,0.0,0.0,124115.5,0.0,106260.5,788946.25,0.0,0.0,3876.0,-913061.75,0.0,-916937.75,0.0,106260.5,-790028.0,0.0,0.0,-790028.0,0.0,-0.0075,-0.0075,106726512,106726512,,,1620591152,16:12:32,20210509
