,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,FITBP,USD,2021-02-26,2021-02-26 16:58:20,Q4,1901000000,0.0,0.0,0.0,0.0,769000000.0,30000000.0,0.0,0.0,0.0,133000000,-358000000,0.0,0.0,0.0,0.3924250394529195,0.0,746000000,0.3924250394529195,142000000,604000000,0.31772751183587583,0.84593837535014,0.84593837535014,714000000.0,714000000.0,https://www.sec.gov/Archives/edgar/data/35527/000003552721000100/0000035527-21-000100-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552721000100/fitb-20201231.htm,1620592092,16:28:12,20210509
1,2020-09-30,FITBP,USD,2020-11-05,2020-11-05 16:23:49,Q3,1329000000,0.0,1329000000.0,1.0,0.0,0.0,23000000.0,225000000.0,23000000.0,23000000.0,-159000000,358000000,1104000000.0,0.8306997742663657,746000000.0,0.5613243039879608,26000000.0,746000000,0.5613243039879608,165000000,581000000,0.43717080511662904,0.8137254901960784,0.808066759388039,714000000.0,719000000.0,https://www.sec.gov/Archives/edgar/data/35527/000003552720000107/0000035527-20-000107-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552720000107/fitb-20200930.htm,1620592092,16:28:12,20210509
2,2020-06-30,FITBP,USD,2020-08-07,2020-08-07 15:03:29,Q2,122000000,0.0,122000000.0,1.0,90000000.0,576000000.0,51000000.0,457000000.0,717000000.0,717000000.0,203000000,113000000,357000000.0,2.9262295081967213,244000000.0,2.0,18000000.0,244000000,2.0,47000000,197000000,1.6147540983606556,0.2759103641456583,0.27399165507649514,714000000.0,719000000.0,https://www.sec.gov/Archives/edgar/data/35527/000003552720000077/0000035527-20-000077-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000003552720000077/fitb-20200630.htm,1620592092,16:28:12,20210509
3,2020-03-31,FITBP,USD,2020-05-08,2020-05-08,Q1,148000000,0.0,148000000.0,1.0,93000000.0,647000000.0,0.0,0.0,740000000.0,740000000.0,296000000,118000000,178000000.0,1.2027027027027026,60000000.0,0.40540540540540543,0.0,60000000,0.40540540540540543,14000000,46000000,0.3108108108108108,0.06442577030812324,0.06388888888888888,714000000.0,720000000.0,https://www.sec.gov/Archives/edgar/data/35527/000119312520137598/0001193125-20-137598-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000119312520137598/d840512d10q.htm,1620592092,16:28:12,20210509
4,2019-12-31,FITBP,USD,2020-03-02,2020-03-02,Q4,148000000,0.0,148000000.0,1.0,103000000.0,474000000.0,0.0,0.0,577000000.0,577000000.0,332000000,183000000,1124000000.0,7.594594594594595,941000000.0,6.358108108108108,0.0,941000000,6.358108108108108,207000000,734000000,4.95945945945946,1.0338028169014084,1.0194444444444444,710000000.0,720000000.0,https://www.sec.gov/Archives/edgar/data/35527/000119312520057751/0001193125-20-057751-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000119312520057751/d840471d10k.htm,1620592092,16:28:12,20210509
5,2019-09-30,FITBP,USD,2019-11-08,2019-11-08,Q3,143000000,0.0,143000000.0,1.0,100000000.0,504000000.0,0.0,0.0,604000000.0,604000000.0,383000000,91000000,1124000000.0,7.86013986013986,1033000000.0,7.223776223776224,0.0,-257000000,-1.7972027972027973,139000000,550000000,3.8461538461538463,0.7757404795486601,0.766016713091922,709000000.0,718000000.0,https://www.sec.gov/Archives/edgar/data/35527/000119312519288323/0001193125-19-288323-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000119312519288323/d818697d10q.htm,1620592092,16:28:12,20210509
6,2019-06-30,FITBP,USD,2019-08-08,2019-08-08,Q2,143000000,0.0,143000000.0,1.0,136000000.0,544000000.0,0.0,0.0,680000000.0,680000000.0,391000000,109000000,562000000.0,3.93006993006993,453000000.0,3.167832167832168,0.0,1222000000,8.545454545454545,123000000,453000000,3.167832167832168,0.6471428571428571,0.6389280677009873,700000000.0,709000000.0,https://www.sec.gov/Archives/edgar/data/35527/000119312519216480/0001193125-19-216480-index.htm,https://www.sec.gov/ix?doc=/Archives/edgar/data/35527/000119312519216480/d760071d10q.htm,1620592092,16:28:12,20210509
7,2019-03-31,FITBP,USD,2019-05-10,2019-05-10,Q1,131000000,0.0,131000000.0,1.0,83000000.0,479000000.0,0.0,0.0,562000000.0,562000000.0,351000000,89000000,864000000.0,6.595419847328245,775000000.0,5.916030534351145,0.0,1296000000,9.893129770992367,221000000,775000000,5.916030534351145,1.1723646513330044,1.155534969637946,661057120.0,670685025.0,https://www.sec.gov/Archives/edgar/data/35527/000119312519144213/0001193125-19-144213-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312519144213/d738212d10q.htm,1620592092,16:28:12,20210509
8,2018-12-31,FITBP,USD,2019-03-01,2019-03-01,Q4,135000000,101000000.0,34000000.0,0.2518518518518518,79000000.0,444000000.0,0.0,0.0,523000000.0,624000000.0,312000000,85000000,557000000.0,4.125925925925926,472000000.0,3.4962962962962965,0.0,1135000000,8.407407407407407,251000000,472000000,3.4962962962962965,0.7009767374216348,0.6885600580857595,673346168.0,685488498.0,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/0001193125-19-059441-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312519059441/d680668d10k.htm,1620592092,16:28:12,20210509
9,2018-09-30,FITBP,USD,2018-11-06,2018-11-06,Q3,-1602000000,0.0,-1602000000.0,1.0,71000000.0,421000000.0,0.0,0.0,492000000.0,492000000.0,273000000,49000000,480000000.0,-0.299625468164794,431000000.0,-0.2690387016229713,0.0,208000000,-0.12983770287141075,82000000,431000000,-0.2690387016229713,0.633654134092991,0.6218630481051308,680181785.0,693078647.0,https://www.sec.gov/Archives/edgar/data/35527/000119312518319637/0001193125-18-319637-index.htm,https://www.sec.gov/Archives/edgar/data/35527/000119312518319637/d634357d10q.htm,1620592092,16:28:12,20210509
