,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,FLFL.NS,INR,2020-12-31,2020-12-31,Q4,9500900000.0,7089000000.0,2411900000.0,0.2538601606163627,0.0,0.0,0.0,131800000.0,3382400000.0,10471400000.0,881000000.0,1436700000.0,466200000.0,0.04906903556505173,-970500000.0,-0.10214821753728594,0.0,-1760900000.0,-0.18534033617867782,-24900000.0,-1736000000.0,-0.18271953183382628,-8.59,-8.59,202095460,202095460,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
1,2020-09-30,FLFL.NS,INR,2020-09-30,2020-09-30,Q3,4091900000.0,2858400000.0,1233500000.0,0.3014492045260148,0.0,0.0,0.0,148000000.0,3095300000.0,5953700000.0,868200000.0,1383100000.0,-478700000.0,-0.11698721865148219,-1861800000.0,-0.45499645641389086,0.0,-2625200000.0,-0.6415601554290183,-47200000.0,-2578000000.0,-0.6300251716806373,-12.76,-12.76,202037618,202037618,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
2,2020-06-30,FLFL.NS,INR,2020-06-30,2020-06-30,Q2,858200000.0,720800000.0,137400000.0,0.16010254020041947,0.0,0.0,0.0,105600000.0,2898000000.0,3618800000.0,820600000.0,1713700000.0,-1046900000.0,-1.219878816126777,-2760600000.0,-3.2167326963411793,0.0,-3527600000.0,-4.110463761360988,1900000.0,-3529500000.0,-4.112677697506409,-17.48,-17.48,201916476,201916476,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
3,2020-03-31,FLFL.NS,INR,2020-03-31,2020-03-31,Q1,14429500000.0,10353700000.0,4075800000.0,0.28246300980629957,0.0,0.0,0.0,-106100000.0,4148800000.0,14502500000.0,534000000.0,1916100000.0,1843100000.0,0.1277313836238262,-73000000.0,-0.005059080356214699,0.0,-1837000000.0,-0.12730863855296443,-347800000.0,-1486300000.0,-0.10300426210194394,-7.531925688398523,-7.531925688398523,197333333,197333333,,,1620592109,16:28:29,20210509
4,2019-12-31,FLFL.NS,INR,2019-12-31,2019-12-31,Q4,17422300000.0,11338400000.0,6083900000.0,0.3492018849405647,0.0,0.0,0.0,110600000.0,4642100000.0,15980500000.0,663500000.0,1787000000.0,3228800000.0,0.18532570326535533,1441800000.0,0.08275600810455566,0.0,871000000.0,0.04999339926416145,279000000.0,592000000.0,0.03397944014280548,3.0,2.99,197333333,197993311,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
5,2019-09-30,FLFL.NS,INR,2019-09-30,2019-09-30,Q3,15718100000.0,10316700000.0,5401400000.0,0.34364204324950215,0.0,0.0,0.0,112400000.0,4559100000.0,14875800000.0,747700000.0,1732000000.0,2574300000.0,0.16377933719724394,842300000.0,0.053587901845642924,0.0,209000000.0,0.013296772510672409,90300000.0,118700000.0,0.007551803335008684,0.62,0.62,191451613,191451613,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
6,2019-06-30,FLFL.NS,INR,2019-06-30,2019-06-30,Q2,15403000000.0,9681800000.0,5721200000.0,0.37143413620723237,0.0,0.0,0.0,108100000.0,4675000000.0,14356800000.0,713400000.0,1580200000.0,2626400000.0,0.1705122378757385,1046200000.0,0.06792183340907615,0.0,401900000.0,0.026092319677984806,156500000.0,245400000.0,0.015931961306239046,1.27,1.27,193228346,193228346,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
7,2019-03-31,FLFL.NS,INR,2019-03-31,2019-03-31,Q1,13811900000.0,8638700000.0,5173200000.0,0.3745465866390576,0.0,0.0,0.0,-228100000.0,4284400000.0,12923100000.0,109300000.0,605100000.0,1493900000.0,0.10816035447693656,888800000.0,0.06435030661965406,0.0,452200000.0,0.03273988372345586,-225400000.0,630100000.0,0.04562008123429796,3.118726137426546,3.118726137426546,202037618,202037618,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
8,2018-12-31,FLFL.NS,INR,2018-12-31,2018-12-31,Q4,16924500000.0,11164100000.0,5760400000.0,0.3403586516588378,0.0,0.0,0.0,124300000.0,4627900000.0,15792000000.0,279200000.0,542300000.0,1674800000.0,0.09895713315016692,1132500000.0,0.06691482761676859,0.0,965900000.0,0.0570711099293923,320300000.0,645600000.0,0.03814588318709563,3.34,3.33,193293413,193873874,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
9,2018-09-30,FLFL.NS,INR,2018-09-30,2018-09-30,Q3,13356200000.0,8499900000.0,4856300000.0,0.3635989278387565,0.0,0.0,0.0,74000000.0,4063100000.0,12563000000.0,257100000.0,454000000.0,1247200000.0,0.09337985355115976,793200000.0,0.0593881493239095,0.0,542300000.0,0.0406028660846648,191000000.0,351300000.0,0.02630239139875114,1.82,1.82,193021978,193021978,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
10,2018-06-30,FLFL.NS,INR,2018-06-30,2018-06-30,Q2,13188600000.0,8591600000.0,4597000000.0,0.34855860364253977,0.0,0.0,0.0,93300000.0,3940100000.0,12531700000.0,287400000.0,469500000.0,1126400000.0,0.08540709400542894,656900000.0,0.04980816765994874,0.0,442700000.0,0.03356686835600443,179300000.0,263400000.0,0.019971793821937128,1.39,1.39,189496403,189496403,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
11,2018-03-31,FLFL.NS,INR,2018-03-31,2018-03-31,Q1,10710000000.0,6628600000.0,4081400000.0,0.3810830999066293,0.0,0.0,0.0,-128500000.0,3361800000.0,9990400000.0,183900000.0,407600000.0,1127200000.0,0.10524743230625584,719600000.0,0.06718954248366013,0.0,265900000.0,0.024827264239028944,60400000.0,195800000.0,0.018281979458450046,0.9691264524807455,0.9691264524807455,202037618,202037618,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
12,2017-12-31,FLFL.NS,INR,2017-12-31,2017-12-31,Q4,12256000000.0,7853200000.0,4402800000.0,0.35923629242819843,0.0,0.0,0.0,113700000.0,3641200000.0,11494400000.0,224600000.0,387200000.0,1148800000.0,0.09373368146214099,761600000.0,0.062140992167101824,0.0,650700000.0,0.05309236292428198,206200000.0,444500000.0,0.03626795039164491,2.334631,2.334631,190394123,190394123,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
13,2017-09-30,FLFL.NS,INR,2017-09-30,2017-09-30,Q3,11178000000.0,7114000000.0,4064000000.0,0.3635713007693684,0.0,0.0,0.0,59100000.0,3433800000.0,10547800000.0,239500000.0,409900000.0,1040100000.0,0.09304884594739667,630200000.0,0.056378600823045265,0.0,449800000.0,0.04023975666487744,147000000.0,302800000.0,0.027088924673465735,1.592329,1.592329,190161765,190161765,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
14,2017-03-31,FLFL.NS,INR,2017-03-31,2017-03-31,Q1,10456300000.0,6192300000.0,4264000000.0,0.40779243135717225,0.0,0.0,0.0,-18500000.0,3533100000.0,9725400000.0,227600000.0,404700000.0,1135600000.0,0.10860438204718686,730900000.0,0.06990044279525262,0.0,186600000.0,0.017845700678060118,3500000.0,182600000.0,0.017463156183353576,0.9037920848977739,0.9037920848977739,202037618,202037618,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
15,2016-12-31,FLFL.NS,INR,2016-12-31,2016-12-31,Q4,10438300000.0,6761500000.0,3676800000.0,0.3522412653401416,0.0,0.0,0.0,18000000.0,3155300000.0,9916800000.0,295800000.0,483600000.0,1005100000.0,0.09628962570533516,521500000.0,0.04996024256823429,0.0,243700000.0,0.0233467135453091,84300000.0,159400000.0,0.015270685839648218,0.84,0.84,189761905,189761905,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
16,2016-09-30,FLFL.NS,INR,2016-09-30,2016-09-30,Q3,10016300000.0,6605800000.0,3410500000.0,0.34049499316114734,0.0,0.0,0.0,14100000.0,3030400000.0,9636200000.0,283000000.0,467800000.0,847900000.0,0.08465201721194453,380100000.0,0.03794814452442519,0.0,111200000.0,0.011101903896648464,38500000.0,72700000.0,0.007258169184229705,0.38,0.38,191315789,191315789,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
17,2016-06-30,FLFL.NS,INR,2016-06-30,2016-06-30,Q2,7859700000.0,4894600000.0,2965100000.0,0.3772535847424202,0.0,0.0,0.0,16400000.0,2617300000.0,7511900000.0,310200000.0,430600000.0,778400000.0,0.09903685891319007,347800000.0,0.04425105283916689,0.0,54000000.0,0.006870491240123669,18700000.0,35300000.0,0.004491265569932694,0.19,0.19,185789474,185789474,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620592109,16:28:29,20210509
