,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,FRHC,USD,2021-02-09,2021-02-09 16:21:15,Q3,101646000.0,26927000.0,74719000.0,0.7350904118214194,0.0,0.0,0.0,-244000.0,23030000.0,49957000.0,0.0,893000.0,52582000.0,0.5173051571139051,51689000.0,0.5085197646734746,-1657000.0,50032000.0,0.4922180902347362,7711000.0,42374000.0,0.4168781850736871,0.7256367884939836,0.724952972324295,58395606.0,58450688.0,https://www.sec.gov/Archives/edgar/data/924805/000165495421001365/0001654954-21-001365-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495421001365/frhc_10q.htm,1620592246,16:30:46,20210509
1,2020-09-30,FRHC,USD,2020-11-09,2020-11-09 16:23:20,Q2,69710000.0,0.0,69710000.0,1.0,0.0,0.0,0.0,15867000.0,16911000.0,15867000.0,-4699000.0,955000.0,58231000.0,0.8353320900875054,57276000.0,0.8216324774063979,-68000.0,28147000.0,0.4037727729163678,-4584000.0,23563000.0,0.33801463204705207,0.4030917098218685,0.4030917098218685,58455680.0,58455680.0,https://www.sec.gov/Archives/edgar/data/924805/000165495420012017/0001654954-20-012017-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420012017/frhc_10q.htm,1620592246,16:30:46,20210509
2,2020-06-30,FRHC,USD,2020-08-11,2020-08-10 21:14:02,Q1,56672000.0,9769000.0,46903000.0,0.8276221061547149,0.0,0.0,0.0,14399000.0,14048000.0,23790000.0,-4001000.0,700000.0,33582000.0,0.5925677583286278,32882000.0,0.5802159796725014,-27000.0,28881000.0,0.5096167419536984,4605000.0,23853000.0,0.42089568040654995,0.40805,0.40805,58455680.0,58455680.0,https://www.sec.gov/Archives/edgar/data/924805/000165495420008748/0001654954-20-008748-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420008748/frhc_10q.htm,1620592246,16:30:46,20210509
3,2020-03-31,FRHC,USD,2020-07-14,2020-07-13 19:36:02,Q4,28231000.0,7868000.0,20363000.0,0.7212992809323084,0.0,0.0,0.0,16710000.0,16928000.0,24730000.000000004,9976000.0,732999.9999999999,4234000.0,0.14997697566504906,3501000.0,0.12401261025114237,-675000.0,2940000.0,0.10414083808579222,1710000.0,2817000.0,0.09978392547199887,0.04832,0.04832,58304290.0,58304290.0,https://www.sec.gov/Archives/edgar/data/924805/000165495420007646/0001654954-20-007646-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420007646/frhc_10k.htm,1620592246,16:30:46,20210509
4,2019-12-31,FRHC,USD,2020-02-10,2020-02-10,Q3,30094000.0,5525000.0,24569000.0,0.8164085864291886,0.0,0.0,0.0,16726000.0,16760000.0,22403000.0,-3691000.0,543000.0000000001,8234000.0,0.27360935734697944,7691000.0,0.2555658935335947,0.0,4000000.0,0.1329168605037549,-50000.0,5041000.0,0.16750847344985711,0.08633,0.08633,58391550.0,58391550.0,https://www.sec.gov/Archives/edgar/data/924805/000165495420001289/0001654954-20-001289-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495420001289/frhc_10q.htm,1620592246,16:30:46,20210509
5,2019-09-30,FRHC,USD,2019-11-12,2019-11-12,Q2,32115000.0,4512000.0,27603000.0,0.8595049042503503,0.0,0.0,0.0,14170000.0,13526000.0,18287000.0,-2326000.0,851999.9999999999,14680000.0,0.4571072707457574,13828000.0,0.43057761170792463,0.0,11502000.0,0.35815039701074264,2866000.0,8765000.0,0.2729254242565779,0.15032,0.15032,58309150.0,58309150.0,https://www.sec.gov/Archives/edgar/data/924805/000165495419012748/0001654954-19-012748-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419012748/frhc_10q.htm,1620592246,16:30:46,20210509
6,2019-06-30,FRHC,USD,2019-08-09,2019-08-09,Q1,29285000.0,4031000.0,25254000.0,0.8623527403107393,0.0,0.0,0.0,12993000.0,11612000.0,15951000.000000002,-3644000.0,530000.0,13864000.0,0.47341642479084856,13334000.0,0.4553184224005464,0.0,9690000.0,0.33088611917363836,1476000.0,8214000.0,0.2804848898753628,0.14101,0.14101,58249340.0,58249340.0,https://www.sec.gov/Archives/edgar/data/924805/000165495419009157/0001654954-19-009157-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419009157/frhc_10q.htm,1620592246,16:30:46,20210509
7,2019-03-31,FRHC,USD,2019-06-14,2019-06-14,Q4,22878000.0,3083000.0,19795000.0,0.8652417169332983,0.0,0.0,0.0,11517000.0,13360000.0,16097999.999999998,-3550000.0,530999.9999999999,7311000.0,0.31956464725937583,6780000.0,0.29635457644899027,0.0,3230000.0,0.14118366990121514,359000.0,2871000.0,0.12549173878835562,0.04927,0.04927,58271850.0,58271850.0,https://www.sec.gov/Archives/edgar/data/924805/000165495419007343/0001654954-19-007343-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419007343/frhc_10k.htm,1620592246,16:30:46,20210509
8,2018-12-31,FRHC,USD,2019-02-12,2019-02-12,Q3,26891000.0,1422000.0,25469000.0,0.9471198542263211,0.0,0.0,0.0,12346000.0,12117000.0,13768000.0,-3678000.0,702999.9999999998,13826000.0,0.5141497155182031,13123000.0,0.4880071399352943,0.0,9445000.0,0.35123275445316277,545000.0,8900000.0,0.33096575062288497,0.15279,0.15279,58248920.0,58248920.0,https://www.sec.gov/Archives/edgar/data/924805/000165495419001385/0001654954-19-001385-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495419001385/frhc_10q.htm,1620592246,16:30:46,20210509
9,2018-09-30,FRHC,USD,2018-11-14,2018-11-14,Q2,18580000.0,970000.0,17610000.0,0.9477933261571583,0.0,0.0,0.0,10450000.0,10044000.0,11429999.999999998,-4820000.0,400000.0,7550000.0,0.40635091496232506,7150000.0,0.3848223896663079,410000.0,2330000.0,0.12540365984930033,610000.0,1720000.0,0.09257265877287406,0.02955,0.02955,58210000.0,58210000.0,https://www.sec.gov/Archives/edgar/data/924805/000165495418012588/0001654954-18-012588-index.htm,https://www.sec.gov/Archives/edgar/data/924805/000165495418012588/frhc_10-q.htm,1620592246,16:30:46,20210509
