,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,HINDNATGLS.NS,INR,2020-12-31,2020-12-31,Q4,5216200000,1680800000,3535400000,0.6777730915225643,0.0,0.0,0.0,23500000.0,3766500000,5447300000,524800000.0,318400000,87300000,0.016736321460066716,-231100000.0,-0.0443042828112419,0.0,-732400000,-0.14040872665925386,0.0,-732400000,-0.14040872665925386,-8.18,-8.18,89535452,89535452,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
1,2020-09-30,HINDNATGLS.NS,INR,2020-09-30,2020-09-30,Q3,4901000000,1293400000,3607600000,0.736094674556213,0.0,0.0,0.0,25100000.0,3957700000,5251100000,531100000.0,335700000,-14400000,-0.002938175882472965,-350100000.0,-0.07143440114262395,0.0,-856100000,-0.17467863701285452,0.0,-856100000,-0.17467863701285452,-9.56,-9.56,89550209,89550209,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
2,2020-06-30,HINDNATGLS.NS,INR,2020-06-30,2020-06-30,Q2,2948600000,541100000,2407500000,0.8164891813063827,0.0,0.0,0.0,15100000.0,2658300000,3199400000,553800000.0,345300000,94500000,0.03204910805127857,-250800000.0,-0.0850573153360917,0.0,-908000000,-0.3079427524927084,0.0,-908000000,-0.3079427524927084,-10.14,-10.14,89546351,89546351,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
3,2020-03-31,HINDNATGLS.NS,INR,2020-03-31,2020-03-31,Q1,5312769000,1631820000,3680949000,0.6928494350121377,0.0,0.0,0.0,14386000.0,3189877000,4821697000,588581000.0,377733000,868805000,0.1635314842410803,491072000.0,0.09243240201107934,0.0,-283924000,-0.05344181160521001,-501000.0,-283423000,-0.05334751049782138,-3.1649619042206814,-3.1649619042206814,89550209,89550209,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
4,2019-12-31,HINDNATGLS.NS,INR,2019-12-31,2019-12-31,Q4,5663700000,1673800000,3989900000,0.7044688101417801,0.0,0.0,0.0,166700000.0,3772200000,5446000000,581700000.0,356900000,574600000,0.10145311368893127,217700000.0,0.038437770362130766,0.0,-197300000,-0.03483588466903261,-1100000.0,-196200000,-0.034641665342443985,-2.190868,-2.190868,89553565,89553565,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
5,2019-09-30,HINDNATGLS.NS,INR,2019-09-30,2019-09-30,Q3,5664200000,1574200000,4090000000,0.7220790226333816,0.0,0.0,0.0,111600000.0,3897800000,5472000000,601500000.0,372600000,564800000,0.09971399314995939,192200000.0,0.033932417640620036,0.0,-297700000,-0.052558172380918755,300000.0,-298000000,-0.05261113661240775,-3.32,-3.32,89553565,89553565,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
6,2019-06-30,HINDNATGLS.NS,INR,2019-06-30,2019-06-30,Q2,6165800000,2037300000,4128500000,0.669580589704499,0.0,0.0,0.0,17600000.0,3841800000,5879100000,556500000.0,377400000,664100000,0.10770702909598105,286700000.0,0.046498426805929485,0.0,-252200000,-0.04090304583346849,400000.0,-252600000,-0.04096791981575789,-2.82,-2.82,89553565,89553565,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
7,2019-03-31,HINDNATGLS.NS,INR,2019-03-31,2019-03-31,Q1,6168098000,2015075000,4153023000,0.6733069091963195,0.0,0.0,0.0,-92325000.0,3980467000,5995542000,585968000.0,391278000,563834000,0.09141132323124568,172556000.0,0.02797556069958681,0.0,-502807000,-0.0815173494325155,-1000.0,-502806000,-0.08151718730798375,-5.6147942658626295,-5.6147942658626295,89550209,89550209,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
8,2018-12-31,HINDNATGLS.NS,INR,2018-12-31,2018-12-31,Q4,6232700000,2100900000,4131800000,0.6629229707831277,0.0,0.0,0.0,107000000.0,4387200000,6488100000,635800000.0,406800000,151400000,0.024291238147191425,-255400000.0,-0.04097742551382226,0.0,-784200000,-0.12582027050876826,2500000.0,-786700000,-0.1262213807820046,-8.79,-8.79,89553565,89553565,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
9,2018-09-30,HINDNATGLS.NS,INR,2018-09-30,2018-09-30,Q3,5810800000,1771300000,4039500000,0.6951710607833689,0.0,0.0,0.0,14000000.0,4203400000,5974700000,638200000.0,400400000,236500000,0.04070007572107111,-163900000.0,-0.02820609898809114,0.0,-788100000,-0.13562676395677015,0.0,-788100000,-0.13562676395677015,-8.8,-8.8,89553565,89553565,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,https://www.nseindia.com/companies-listing/corporate-filings-annual-reports,1620593100,16:45:00,20210509
