,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-12-31,KLS.TO,USD,2020-12-31,2020-12-31,Q4,1394958.0,901040.0,493918.0,0.3540737427220031,703298.0,1151477.0,82575.0,0.0,1980087.0,2881127.0,0.0,535248.0,-950921.0,-0.681684323112237,-1486169.0,-1.0653861980073953,-69284.0,-1524487.0,-1.0928551253872876,130743.0,-1655230.0,-1.1865805278725237,-0.03509067166000079,-0.03509067166000079,47170086.0,47170086.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
1,2020-09-30,KLS.TO,USD,2020-09-30,2020-09-30,Q3,1586206.0,985452.0,600754.0,0.37873643145972213,221984.0,902837.0,91560.0,0.0,1251491.0,2236943.0,0.0,103383.0,-547354.0,-0.3450711950402407,-650737.0,-0.41024747100944015,-53200.0,-703937.0,-0.44378662040113326,-22410.0,-681527.0,-0.429658568937452,-0.014448288264727776,-0.01400299559774766,47170086.0,48670086.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
2,2020-06-30,KLS.TO,USD,2020-06-30,2020-06-30,Q2,2524538.0,1428858.0,1095680.0,0.4340120845873582,234404.0,824716.0,104033.0,0.0,1197652.0,2626510.0,0.0,34499.0,-67473.0,-0.026726870421439487,-101972.0,-0.040392341093697146,-11797.0,-113769.0,-0.045065275309779454,140659.0,-254428.0,-0.10078200446972872,-0.005393842190578156,-0.005206211423487162,47170086.0,48870086.0,,,1620594170,17:02:50,20210509
3,2020-03-31,KLS.TO,USD,2020-03-31,2020-03-31,Q1,5643428.0,3041102.0,2602326.0,0.461125046691479,232026.0,1003617.0,87025.0,0.0,1350500.0,4391602.0,0.0,27832.0,1279658.0,0.22675189618791983,1251826.0,0.22182014194209618,31469.0,1283295.0,0.2273963626363267,0.0,1283295.0,0.2273963626363267,0.027205695575793522,0.026367222774169745,47170086.0,48670086.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
4,2019-12-31,KLS.TO,USD,2019-12-31,2019-12-31,Q4,5303192.0,2749956.0,2553236.0,0.4814526798200027,154399.0,1456039.0,90781.0,0.0,1736471.0,4486427.0,0.0,14395.0,831160.0,0.15672824970319763,816765.0,0.1540138467549355,-94015.0,722150.0,0.13617270504254797,-520388.0,1242538.0,0.23430002157191368,0.026341652207290865,0.026341652207290865,47170086.0,47170086.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
5,2019-09-30,KLS.TO,USD,2019-09-30,2019-09-30,Q3,5596031.0,3019452.0,2576579.0,0.4604297224229101,369041.0,1121135.0,72634.0,0.0,1583166.0,4602618.0,0.0,166340.0,1159753.0,0.2072456353440501,993413.0,0.17752099657775305,10132.0,1003545.0,0.17933156553278565,243832.0,759713.0,0.13575925508632816,0.01610582181257842,0.015536479866921499,47170086.0,48898657.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
6,2019-06-30,KLS.TO,USD,2019-06-30,2019-06-30,Q2,3977170.0,2269041.0,1708129.0,0.42948352723167477,402781.0,1022601.0,68907.0,0.0,1501121.0,3770162.0,0.0,152816.0,359824.0,0.09047237105781246,207008.0,0.05204907006740974,7458.0,214466.0,0.05392427278693141,-26421.0,240887.0,0.06056743865612986,0.005106774662229787,0.004805854449127685,47170086.0,50123657.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
7,2019-03-31,KLS.TO,USD,2019-03-31,2019-03-31,Q1,5674288.0,2929353.0,2744935.0,0.4837496792549127,202185.0,992919.0,56571.0,0.0,1258507.0,4187860.0,0.0,51276.0,1537704.0,0.2709950570009841,1486428.0,0.26195850474984705,6530.0,1492958.0,0.2631093099257563,402054.0,1090904.0,0.19225390040124857,0.023127030126678168,0.02230948796814604,47170086.0,48898657.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
8,2018-12-31,KLS.TO,USD,2018-12-31,2018-12-31,Q4,4177880.0,2362343.0,1815537.0,0.4345593937595144,126995.0,1103842.0,58128.0,0.0,1296327.0,3658670.0,0.0,113269.0,632479.0,0.15138754583664443,519210.0,0.12427594856721591,-392532.0,126678.0,0.030321119802387813,-248112.0,374789.0,0.08970793799726177,0.007945480531877767,0.007945480531877767,47170086.0,47170086.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
9,2018-09-30,KLS.TO,USD,2018-09-30,2018-09-30,Q3,3491602.0,1947607.0,1543995.0,0.4422024617926098,469872.0,744511.0,69636.0,0.0,1291646.0,3239253.0,0.0,55614.0,307963.0,0.08820106071654214,252349.0,0.07227312849517213,9530.0,261879.0,0.07500253465314775,161.0,261717.0,0.07495613761247702,0.01,0.01,47051547.0,47051547.0,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,https://www.sedar.com/ModifyCompanyDocumentSearchForm.do?lang=EN&company_search=Kelso Technologies Inc&document_selection=0&industry_group=A&FromDate=13&FromMonth=05&FromYear=2000&ToDate=13&ToMonth=11&ToYear=2020&Variable=Issuer,1620594170,17:02:50,20210509
