,date,symbol,reportedCurrency,fillingDate,acceptedDate,period,revenue,costOfRevenue,grossProfit,grossProfitRatio,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,otherExpenses,operatingExpenses,costAndExpenses,interestExpense,depreciationAndAmortization,ebitda,ebitdaratio,operatingIncome,operatingIncomeRatio,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeBeforeTaxRatio,incomeTaxExpense,netIncome,netIncomeRatio,eps,epsdiluted,weightedAverageShsOut,weightedAverageShsOutDil,link,finalLink,timestamp,est_time,est_date
0,2020-09-30,MEY.AX,AUD,2020-09-30,2020-09-30,Q3,0.0,0.0,0.0,0.0,0.0,329790.75,0.0,51803.75,125885.25,0.0,713.25,11500.75,-455676.0,0.0,-467176.75,0.0,51803.75,-414651.25,0.0,0.0,-414651.25,0.0,-0.004025,-0.004025,103291964.0,103291964.0,,,1620594929,17:15:29,20210509
1,2020-06-30,MEY.AX,AUD,2020-06-30,2020-06-30,Q2,0.0,0.0,0.0,0.0,0.0,329790.75,0.0,51803.75,125885.25,0.0,713.25,11500.75,-455676.0,0.0,-467176.75,0.0,51803.75,-414651.25,0.0,0.0,-414651.25,0.0,-0.004025,-0.004025,103291964.0,103291964.0,,,1620594929,17:15:29,20210509
2,2020-03-31,MEY.AX,AUD,2020-03-31,2020-03-31,Q1,0.0,0.0,0.0,0.0,0.0,329790.75,0.0,51803.75,125885.25,0.0,713.25,11500.75,-455676.0,0.0,-467176.75,0.0,51803.75,-414651.25,0.0,0.0,-414651.25,0.0,-0.004025,-0.004025,103291964.0,103291964.0,,,1620594929,17:15:29,20210509
3,2020-01-31,MEY.AX,AUD,2020-01-31,2020-01-31,Q1,0.0,0.0,0.0,0.0,0.0,329790.75,0.0,51803.75,125885.25,0.0,713.25,11500.75,-455676.0,0.0,-467176.75,0.0,51803.75,-414651.25,0.0,0.0,-414651.25,0.0,-0.004025,-0.004025,103291964.0,103291964.0,,,1620594929,17:15:29,20210509
4,2019-06-30,MEY.AX,AUD,2019-06-30,2019-06-30,Q2,0.0,0.0,0.0,0.0,0.0,280784.5,0.0,27392.75,55143.5,0.0,18276.5,1079.25,-335928.0,0.0,-337007.25,0.0,27392.75,-324215.25,0.0,0.0,-324215.25,0.0,-0.004725,-0.004725,68554455.0,68554455.0,,,1620594929,17:15:29,20210509
5,2019-03-31,MEY.AX,AUD,2019-03-31,2019-03-31,Q1,0.0,0.0,0.0,0.0,0.0,280784.5,0.0,27392.75,55143.5,0.0,18276.5,1079.25,-335928.0,0.0,-337007.25,0.0,27392.75,-324215.25,0.0,0.0,-324215.25,0.0,-0.004725,-0.004725,68554455.0,68554455.0,,,1620594929,17:15:29,20210509
6,2019-01-31,MEY.AX,AUD,2019-01-31,2019-01-31,Q1,0.0,0.0,0.0,0.0,0.0,280784.5,0.0,27392.75,55143.5,0.0,18276.5,1079.25,-335928.0,0.0,-337007.25,0.0,27392.75,-324215.25,0.0,0.0,-324215.25,0.0,-0.004725,-0.004725,68554455.0,68554455.0,,,1620594929,17:15:29,20210509
7,2018-06-30,MEY.AX,AUD,2018-06-30,2018-06-30,Q2,0.0,0.0,0.0,0.0,0.0,272118.5,0.0,35521.25,26556.75,0.0,48693.0,991.0,-298675.25,0.0,-299666.25,0.0,35521.25,-311274.5,0.0,0.0,-311274.5,0.0,-0.00655,-0.00655,47573840.0,47573840.0,,,1620594929,17:15:29,20210509
8,2018-03-31,MEY.AX,AUD,2018-03-31,2018-03-31,Q1,0.0,0.0,0.0,0.0,0.0,272118.5,0.0,35521.25,26556.75,0.0,48693.0,991.0,-298675.25,0.0,-299666.25,0.0,35521.25,-311274.5,0.0,0.0,-311274.5,0.0,-0.00655,-0.00655,47573840.0,47573840.0,,,1620594929,17:15:29,20210509
9,2018-01-31,MEY.AX,AUD,2018-01-31,2018-01-31,Q1,0.0,0.0,0.0,0.0,0.0,272118.5,0.0,35521.25,26556.75,0.0,48693.0,991.0,-298675.25,0.0,-299666.25,0.0,35521.25,-311274.5,0.0,0.0,-311274.5,0.0,-0.00655,-0.00655,47573840.0,47573840.0,,,1620594929,17:15:29,20210509
